date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,0,0
20200313,false,0,0,0,0,1,0,1,0
20200314,false,0,0,0,0,6,1,5,1
20200315,false,0,0,0,0,12,2,6,1
20200316,false,0,0,0,0,28,6,16,3
20200317,false,0,0,0,0,36,7,8,2
20200318,false,0,0,0,0,46,9,10,2
20200319,false,0,0,0,0,68,14,22,4
20200320,false,0,0,0,0,81,17,13,3
20200321,false,0,0,0,0,124,25,43,9
20200322,false,0,0,0,0,138,28,14,3
20200323,false,0,0,0,0,167,34,29,6
20200324,false,0,0,0,0,215,44,48,10
20200325,false,0,0,0,0,283,58,68,14
20200326,false,1,0,1,0,506,103,223,45
20200327,false,3,1,2,0,587,120,81,17
20200328,false,3,1,0,0,696,142,109,22
20200329,false,4,1,1,0,806,164,110,22
20200330,false,6,1,2,0,859,175,53,11
20200331,false,13,3,7,1,981,200,122,25
20200401,false,26,5,13,3,1077,220,96,20
20200402,false,32,7,6,1,1233,251,156,32
20200403,false,35,7,3,1,1432,292,199,41
20200404,false,43,9,8,2,1580,322,148,30
20200405,false,45,9,2,0,1796,366,216,44
20200406,false,50,10,5,1,1968,401,172,35
20200407,false,56,11,6,1,2119,432,151,31
20200408,false,66,13,10,2,2369,483,250,51
20200409,false,74,15,8,2,2769,565,400,82
20200410,false,80,16,6,1,2968,605,199,41
20200411,false,91,19,11,2,3191,651,223,45
20200412,false,93,19,2,0,3525,719,334,68
20200413,false,99,20,6,1,3734,762,209,43
20200414,false,110,22,11,2,3876,791,142,29
20200415,false,121,25,11,2,4113,839,237,48
20200416,false,133,27,12,2,4345,886,232,47
20200417,false,144,29,11,2,4530,924,185,38
20200418,false,146,30,2,0,4655,949,125,25
20200419,false,154,31,8,2,4837,987,182,37
20200420,false,167,34,13,3,5025,1025,188,38
20200421,false,177,36,10,2,5231,1067,206,42
20200422,false,194,40,17,3,5465,1115,234,48
20200423,false,197,40,3,1,5778,1178,313,64
20200424,false,197,40,0,0,5832,1189,54,11
20200425,false,212,43,15,3,6137,1252,305,62
20200426,false,216,44,4,1,6270,1279,133,27
20200427,false,222,45,6,1,6499,1325,229,47
20200428,false,242,49,20,4,6687,1364,188,38
20200429,false,245,50,3,1,6842,1395,155,32
20200430,false,269,55,24,5,7019,1432,177,36
20200501,false,279,57,10,2,7158,1460,139,28
20200502,false,288,59,9,2,7434,1516,276,56
20200503,false,290,59,2,0,7725,1576,291,59
20200504,false,296,60,6,1,8025,1637,300,61
20200505,false,313,64,17,3,8285,1690,260,53
20200506,false,340,69,27,6,8581,1750,296,60
20200507,false,349,71,9,2,8898,1815,317,65
20200508,false,375,76,26,5,9221,1881,323,66
20200509,false,388,79,13,3,9567,1951,346,71
20200510,false,393,80,5,1,9777,1994,210,43
20200511,false,401,82,8,2,10009,2041,232,47
20200512,false,429,87,28,6,10310,2103,301,61
20200513,false,449,92,20,4,10617,2165,307,63
20200514,false,467,95,18,4,10968,2237,351,72
20200515,false,476,97,9,2,11216,2287,248,51
20200516,false,485,99,9,2,11523,2350,307,63
20200517,false,488,100,3,1,11771,2401,248,51
20200518,false,489,100,1,0,12086,2465,315,64
20200519,false,504,103,15,3,12376,2524,290,59
20200520,false,517,105,13,3,12744,2599,368,75
20200521,false,529,108,12,2,13119,2676,375,76
20200522,false,537,110,8,2,13563,2766,444,91
20200523,false,546,111,9,2,13938,2843,375,76
20200524,false,551,112,5,1,14327,2922,389,79
20200525,false,562,115,11,2,14730,3004,403,82
20200526,false,575,117,13,3,15396,3140,666,136
20200527,false,581,118,6,1,15843,3231,447,91
20200528,false,590,120,9,2,16310,3326,467,95
20200529,false,605,123,15,3,16823,3431,513,105
20200530,false,618,126,13,3,17359,3540,536,109
20200531,false,631,129,13,3,17903,3651,544,111
20200601,false,646,132,15,3,18363,3745,460,94
20200602,false,651,133,5,1,18642,3802,279,57
20200603,false,653,133,2,0,18851,3845,209,43
20200604,false,653,133,0,0,19072,3890,221,45
20200605,false,676,138,23,5,19387,3954,315,64
20200606,false,689,141,13,3,20043,4088,656,134
20200607,false,692,141,3,1,20500,4181,457,93
20200608,false,718,146,26,5,20925,4268,425,87
20200609,false,729,149,11,2,21422,4369,497,101
20200610,false,744,152,15,3,21989,4485,567,116
20200611,false,755,154,11,2,22845,4659,856,175
20200612,false,769,157,14,3,23710,4836,865,176
20200613,false,773,158,4,1,24601,5017,891,182
