date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,6,2,6,2
20200313,false,0,0,0,0,9,3,3,1
20200314,false,0,0,0,0,12,4,3,1
20200315,false,0,0,0,0,16,5,4,1
20200316,false,0,0,0,0,22,7,6,2
20200317,false,0,0,0,0,22,7,0,0
20200318,false,0,0,0,0,33,11,11,4
20200319,false,0,0,0,0,46,15,13,4
20200320,false,0,0,0,0,96,32,50,17
20200321,false,0,0,0,0,118,39,22,7
20200322,false,0,0,0,0,165,55,47,16
20200323,false,0,0,0,0,174,58,9,3
20200324,false,0,0,0,0,218,72,44,15
20200325,false,2,1,2,1,280,93,62,21
20200326,false,3,1,1,0,335,111,55,18
20200327,false,3,1,0,0,381,126,46,15
20200328,false,5,2,2,1,404,134,23,8
20200329,false,6,2,1,0,426,141,22,7
20200330,false,7,2,1,0,473,157,47,16
20200331,false,8,3,1,0,523,173,50,17
20200401,false,10,3,2,1,584,194,61,20
20200402,false,12,4,2,1,643,213,59,20
20200403,false,12,4,0,0,704,233,61,20
20200404,false,14,5,2,1,743,246,39,13
20200405,false,16,5,2,1,830,275,87,29
20200406,false,16,5,0,0,875,290,45,15
20200407,false,16,5,0,0,946,313,71,24
20200408,false,18,6,2,1,1000,331,54,18
20200409,false,21,7,3,1,1119,371,119,39
20200410,false,23,8,2,1,1171,388,52,17
20200411,false,24,8,1,0,1226,406,55,18
20200412,false,27,9,3,1,1280,424,54,18
20200413,false,30,10,3,1,1410,467,130,43
20200414,false,30,10,0,0,1480,490,70,23
20200415,false,33,11,3,1,1569,520,89,29
20200416,false,37,12,4,1,1620,537,51,17
20200417,false,37,12,0,0,1695,562,75,25
20200418,false,38,13,1,0,1739,576,44,15
20200419,false,40,13,2,1,1781,590,42,14
20200420,false,42,14,2,1,1923,637,142,47
20200421,false,43,14,1,0,2227,738,304,101
20200422,false,42,14,-1,0,2276,754,49,16
20200423,false,45,15,3,1,2465,817,189,63
20200424,false,45,15,0,0,2741,908,276,91
20200425,false,47,16,2,1,2829,937,88,29
20200426,false,49,16,2,1,2941,975,112,37
20200427,false,50,17,1,0,3017,1000,76,25
20200428,false,52,17,2,1,3111,1031,94,31
20200429,false,59,20,7,2,3192,1058,81,27
20200430,false,61,20,2,1,3255,1079,63,21
20200501,false,64,21,3,1,3321,1100,66,22
20200502,false,73,24,9,3,3372,1117,51,17
20200503,false,76,25,3,1,3431,1137,59,20
20200504,false,81,27,5,2,3458,1146,27,9
20200505,false,83,28,2,1,3496,1158,38,13
20200506,false,85,28,2,1,3568,1182,72,24
20200507,false,87,29,2,1,3611,1197,43,14
20200508,false,88,29,1,0,3694,1224,83,28
20200509,false,88,29,0,0,3747,1242,53,18
20200510,false,88,29,0,0,3747,1242,0,0
20200511,false,94,31,6,2,4034,1337,287,95
20200512,false,95,31,1,0,4164,1380,130,43
20200513,false,95,31,0,0,4164,1380,0,0
20200514,false,97,32,2,1,4236,1404,72,24
20200515,false,98,32,1,0,4463,1479,227,75
20200516,false,98,32,0,0,4578,1517,115,38
20200517,false,98,32,0,0,4759,1577,181,60
20200518,false,100,33,2,1,4813,1595,54,18
20200519,false,102,34,2,1,4923,1631,110,36
20200520,false,107,35,5,2,5003,1658,80,27
20200521,false,110,36,3,1,5458,1809,455,151
20200522,false,113,37,3,1,5612,1860,154,51
20200523,false,113,37,0,0,5612,1860,0,0
20200524,false,116,38,3,1,5922,1962,310,103
20200525,false,117,39,1,0,6029,1998,107,35
20200526,false,119,39,2,1,6180,2048,151,50
20200527,false,120,40,1,0,6277,2080,97,32
20200528,false,120,40,0,0,6538,2166,261,86
20200529,false,125,41,5,2,6538,2166,0,0
20200530,false,133,44,8,3,7013,2324,475,157
20200531,false,133,44,0,0,7253,2403,240,80
20200601,false,133,44,0,0,7443,2466,190,63
20200602,false,133,44,0,0,7443,2466,0,0
20200603,false,142,47,9,3,8067,2673,624,207
20200604,false,142,47,0,0,8067,2673,0,0
20200605,false,152,50,10,3,8651,2867,584,194
20200606,false,154,51,2,1,9101,3016,450,149
20200607,false,154,51,0,0,9426,3123,325,108
20200608,false,155,51,1,0,9740,3227,314,104
20200609,false,161,53,6,2,10080,3340,340,113
20200610,false,165,55,4,1,10368,3436,288,95
20200611,false,171,57,6,2,10816,3584,448,148
20200612,false,176,58,5,2,11547,3826,731,242
20200613,false,176,58,0,0,11547,3826,0,0
20200614,false,179,59,3,1,12501,4142,954,316
20200615,false,182,60,3,1,12917,4280,416,138
20200616,false,182,60,0,0,13191,4371,274,91
20200617,false,197,65,15,5,13606,4509,415,138
20200618,false,208,69,11,4,13928,4615,322,107
20200619,false,214,71,6,2,14631,4848,703,233
20200620,false,224,74,10,3,15142,5018,511,169
