date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200304,false,0,0,0,0,53,1,0,0
20200305,false,0,0,0,0,53,1,0,0
20200306,false,0,0,0,0,60,2,7,0
20200307,false,0,0,0,0,69,2,9,0
20200308,false,0,0,0,0,88,2,19,0
20200309,false,0,0,0,0,114,3,26,1
20200310,false,0,0,0,0,133,3,19,0
20200311,false,0,0,0,0,157,4,24,1
20200312,false,4,0,4,0,202,5,45,1
20200313,false,4,0,0,0,202,5,0,0
20200314,false,5,0,1,0,252,6,50,1
20200315,false,5,0,0,0,293,7,41,1
20200316,false,6,0,1,0,335,8,42,1
20200317,false,11,0,5,0,483,12,148,4
20200318,false,13,0,2,0,611,15,128,3
20200319,false,18,0,5,0,924,23,313,8
20200320,false,20,1,2,0,1063,27,139,4
20200321,false,24,1,4,0,1279,32,216,5
20200322,false,27,1,3,0,1536,39,257,7
20200323,false,27,1,0,0,1733,44,197,5
20200324,false,40,1,13,0,2102,53,369,9
20200325,false,53,1,13,0,2355,60,253,6
20200326,false,65,2,12,0,3006,76,651,16
20200327,false,78,2,13,0,3879,98,873,22
20200328,false,101,3,23,1,4643,118,764,19
20200329,false,123,3,22,1,5708,144,1065,27
20200330,false,133,3,10,0,6447,163,739,19
20200331,false,153,4,20,1,7482,189,1035,26
20200401,false,171,4,18,0,8155,206,673,17
20200402,false,203,5,32,1,9191,233,1036,26
20200403,false,237,6,34,1,10701,271,1510,38
20200404,false,276,7,39,1,12026,304,1325,34
20200405,false,319,8,43,1,13438,340,1412,36
20200406,false,343,9,24,1,14336,363,898,23
20200407,false,374,9,31,1,15865,402,1529,39
20200408,false,442,11,68,2,16957,429,1092,28
20200409,false,492,12,50,1,18309,463,1352,34
20200410,false,541,14,49,1,19472,493,1163,29
20200411,false,609,15,68,2,20615,522,1143,29
20200412,false,651,16,42,1,21794,552,1179,30
20200413,false,687,17,36,1,22348,566,554,14
