date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,1,1,1,1
20200312,false,0,0,0,0,4,4,3,3
20200313,false,0,0,0,0,4,4,0,0
20200314,false,0,0,0,0,6,6,2,2
20200315,false,0,0,0,0,6,6,0,0
20200316,false,0,0,0,0,8,8,2,2
20200317,false,0,0,0,0,16,16,8,8
20200318,false,0,0,0,0,25,26,9,9
20200319,false,0,0,0,0,30,31,5,5
20200320,false,0,0,0,0,38,39,8,8
20200321,false,0,0,0,0,45,46,7,7
20200322,false,0,0,0,0,56,58,11,11
20200323,false,0,0,0,0,68,70,12,12
20200324,false,1,1,1,1,91,93,23,24
20200325,false,2,2,1,1,115,118,24,25
20200326,false,3,3,1,1,130,134,15,15
20200327,false,5,5,2,2,163,167,33,34
20200328,false,9,9,4,4,214,220,51,52
20200329,false,10,10,1,1,232,238,18,18
20200330,false,11,11,1,1,264,271,32,33
20200331,false,12,12,1,1,319,328,55,56
20200401,false,13,13,1,1,368,378,49,50
20200402,false,16,16,3,3,393,404,25,26
20200403,false,17,17,1,1,450,462,57,59
20200404,false,17,17,0,0,593,609,143,147
20200405,false,19,20,2,2,673,691,80,82
20200406,false,24,25,5,5,673,691,0,0
20200407,false,28,29,4,4,928,953,255,262
20200408,false,32,33,4,4,928,953,0,0
20200409,false,34,35,2,2,1207,1240,279,287
20200410,false,36,37,2,2,1326,1362,119,122
20200411,false,43,44,7,7,1479,1519,153,157
20200412,false,48,49,5,5,1479,1519,0,0
20200413,false,53,54,5,5,1625,1669,146,150
20200414,false,60,62,7,7,1761,1808,136,140
20200415,false,67,69,7,7,2014,2068,253,260
20200416,false,70,72,3,3,2075,2131,61,63
20200417,false,76,78,6,6,2323,2386,248,255
20200418,false,86,88,10,10,2323,2386,0,0
20200419,false,90,92,4,4,2538,2606,215,221
20200420,false,99,102,9,9,2745,2819,207,213
20200421,false,104,107,5,5,2931,3010,186,191
20200422,false,117,120,13,13,3200,3286,269,276
20200423,false,131,135,14,14,3308,3397,108,111
20200424,false,147,151,16,16,3442,3535,134,138
20200425,false,155,159,8,8,3576,3672,134,138
20200426,false,168,173,13,13,4034,4143,458,470
20200427,false,181,186,13,13,4162,4274,128,131
20200428,false,192,197,11,11,4575,4698,413,424
20200429,false,204,209,12,12,4655,4780,80,82
20200430,false,210,216,6,6,4734,4862,79,81
20200501,false,222,228,12,12,4918,5051,184,189
20200502,false,235,241,13,13,5038,5174,120,123
20200503,false,246,253,11,11,5208,5348,170,175
20200504,false,255,262,9,9,5288,5430,80,82
20200505,false,266,273,11,11,5371,5516,83,85
20200506,false,269,276,3,3,5778,5934,407,418
20200507,false,285,293,16,16,5939,6099,161,165
20200508,false,297,305,12,12,6111,6276,172,177
20200509,false,301,309,4,4,6277,6446,166,170
20200510,false,312,320,11,11,6447,6621,170,175
20200511,false,324,333,12,12,6565,6742,118,121
20200512,false,334,343,10,10,6741,6923,176,181
20200513,false,351,360,17,17,6952,7139,211,217
20200514,false,362,372,11,11,7223,7418,271,278
20200515,false,373,383,11,11,7373,7572,150,154
20200516,false,383,393,10,10,7547,7750,174,179
20200517,false,392,403,9,9,7670,7877,123,126
20200518,false,399,410,7,7,7869,8081,199,204
20200519,false,408,419,9,9,8037,8254,168,173
20200520,false,414,425,6,6,8194,8415,157,161
20200521,false,417,428,3,3,8386,8612,192,197
20200522,false,420,431,3,3,8529,8759,143,147
20200523,false,425,436,5,5,8690,8924,161,165
20200524,false,431,443,6,6,8809,9046,119,122
20200525,false,436,448,5,5,8965,9207,156,160
20200526,false,444,456,8,8,9066,9310,101,104
20200527,false,453,465,9,9,9096,9341,30,31
20200528,false,459,471,6,6,9171,9418,75,77
20200529,false,463,475,4,4,9236,9485,65,67
20200530,false,466,479,3,3,9422,9676,186,191
20200531,false,468,481,2,2,9498,9754,76,78
20200601,false,471,484,3,3,9605,9864,107,110
20200602,false,471,484,0,0,9685,9946,80,82
20200603,false,475,488,4,4,9712,9974,27,28
20200604,false,483,496,8,8,9746,10009,34,35
20200605,false,485,498,2,2,9773,10036,27,28
20200606,false,485,498,0,0,9845,10110,72,74
20200607,false,488,501,3,3,9942,10210,97,100
20200608,false,490,503,2,2,9972,10241,30,31
20200609,false,492,505,2,2,10020,10290,48,49
20200610,false,493,506,1,1,10056,10327,36,37
20200611,false,494,507,1,1,10106,10378,50,51
20200612,false,494,507,0,0,10173,10447,67,69
20200613,false,495,508,1,1,10229,10505,56,58
20200614,false,496,509,1,1,10264,10541,35,36
20200615,false,498,511,2,2,10340,10619,76,78
20200616,false,499,512,1,1,10403,10683,63,65
20200617,false,502,516,3,3,10444,10725,41,42
20200618,false,502,516,0,0,10499,10782,55,56
20200619,false,504,518,2,2,10611,10897,112,115
