date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200304,false,0,0,0,0,4,0,0,0
20200305,false,0,0,0,0,5,0,1,0
20200306,false,0,0,0,0,5,0,0,0
20200307,false,0,0,0,0,6,0,1,0
20200308,false,0,0,0,0,6,0,0,0
20200309,false,0,0,0,0,7,1,1,0
20200310,false,0,0,0,0,19,1,12,1
20200311,false,0,0,0,0,19,1,0,0
20200312,false,0,0,0,0,25,2,6,0
20200313,false,0,0,0,0,32,3,7,1
20200314,false,0,0,0,0,46,4,14,1
20200315,false,0,0,0,0,64,5,18,1
20200316,false,0,0,0,0,93,7,29,2
20200317,false,1,0,1,0,159,13,66,5
20200318,false,1,0,0,0,288,23,129,10
20200319,false,4,0,3,0,422,33,134,11
20200320,false,5,0,1,0,585,46,163,13
20200321,false,6,0,1,0,753,59,168,13
20200322,false,9,1,3,0,1049,83,296,23
20200323,false,12,1,3,0,1273,100,224,18
20200324,false,16,1,4,0,1535,121,262,21
20200325,false,19,1,3,0,1865,147,330,26
20200326,false,26,2,7,1,2538,200,673,53
20200327,false,34,3,8,1,3026,239,488,39
20200328,false,47,4,13,1,3491,275,465,37
20200329,false,65,5,18,1,4596,363,1105,87
20200330,false,73,6,8,1,5057,399,461,36
20200331,false,99,8,26,2,5994,473,937,74
20200401,false,141,11,42,3,6980,551,986,78
20200402,false,157,12,16,1,7695,607,715,56
20200403,false,210,17,53,4,8904,703,1209,95
20200404,false,243,19,33,3,10357,817,1453,115
20200405,false,274,22,31,2,11256,888,899,71
20200406,false,307,24,33,3,12262,968,1006,79
20200407,false,380,30,73,6,13549,1069,1287,102
20200408,false,462,36,82,6,15078,1190,1529,121
20200409,false,528,42,66,5,16422,1296,1344,106
20200410,false,596,47,68,5,17887,1412,1465,116
20200411,false,677,53,81,6,19180,1514,1293,102
20200412,false,720,57,43,3,20852,1646,1672,132
20200413,false,794,63,74,6,22025,1738,1173,93
20200414,false,868,68,74,6,23247,1835,1222,96
20200415,false,948,75,80,6,24593,1941,1346,106
20200416,false,1072,85,124,10,25733,2031,1140,90
20200417,false,1134,89,62,5,27575,2176,1842,145
20200418,false,1259,99,125,10,29160,2301,1585,125
20200419,false,1290,102,31,2,30357,2396,1197,94
20200420,false,1349,106,59,5,31508,2486,1151,91
20200421,false,1468,116,119,9,33059,2609,1551,122
20200422,false,1565,124,97,8,35108,2771,2049,162
20200423,false,1688,133,123,10,36934,2915,1826,144
20200424,false,1795,142,107,8,39658,3130,2724,215
20200425,false,1874,148,79,6,41777,3297,2119,167
20200426,false,1933,153,59,5,43903,3465,2126,168
20200427,false,1983,156,50,4,45883,3621,1980,156
20200428,false,2125,168,142,11,48102,3796,2219,175
20200429,false,2215,175,90,7,50355,3974,2253,178
20200430,false,2355,186,140,11,52918,4176,2563,202
20200501,false,2457,194,102,8,56055,4424,3137,248
20200502,false,2559,202,102,8,58505,4617,2450,193
20200503,false,2618,207,59,5,61499,4853,2994,236
20200504,false,2662,210,44,3,63840,5038,2341,185
20200505,false,2838,224,176,14,65962,5205,2122,167
20200506,false,2974,235,136,11,68232,5385,2270,179
20200507,false,3111,246,137,11,70873,5593,2641,208
20200508,false,3241,256,130,10,73760,5821,2887,228
20200509,false,3349,264,108,9,76085,6004,2325,183
20200510,false,3406,269,57,4,77741,6135,1656,131
20200511,false,3459,273,53,4,79007,6235,1266,100
20200512,false,3601,284,142,11,83021,6552,4014,317
20200513,false,3792,299,191,15,84698,6684,1677,132
20200514,false,3928,310,136,11,87937,6940,3239,256
20200515,false,4058,320,130,10,90369,7131,2432,192
20200516,false,4129,326,71,6,92457,7296,2088,165
20200517,false,4177,330,48,4,94191,7433,1734,137
20200518,false,4234,334,57,4,96485,7614,2294,181
20200519,false,4379,346,145,11,98030,7736,1545,122
20200520,false,4525,357,146,12,100418,7925,2388,188
20200521,false,4607,364,82,6,102686,8103,2268,179
20200522,false,4715,372,108,9,105444,8321,2758,218
20200523,false,4790,378,75,6,107796,8507,2352,186
20200524,false,4856,383,66,5,110304,8705,2508,198
20200525,false,4884,385,28,2,112017,8840,1713,135
20200526,false,4923,388,39,3,113195,8933,1178,93
20200527,false,5083,401,160,13,114306,9020,1111,88
20200528,false,5186,409,103,8,115833,9141,1527,121
20200529,false,5270,416,84,7,117455,9269,1622,128
20200530,false,5330,421,60,5,118917,9384,1462,115
20200531,false,5390,425,60,5,120260,9490,1343,106
20200601,false,5412,427,22,2,121234,9567,974,77
20200602,false,5525,436,113,9,122848,9695,1614,127
20200603,false,5621,444,96,8,123830,9772,982,77
20200604,false,5736,453,115,9,124759,9845,929,73
20200605,false,5795,457,59,5,125915,9937,1156,91
20200606,false,5864,463,69,5,126890,10014,975,77
20200607,false,5904,466,40,3,127757,10082,867,68
20200608,false,6102,482,198,16,129139,10191,1382,109
20200609,false,6196,489,94,7,129936,10254,797,63
20200610,false,6273,495,77,6,130561,10303,625,49
20200611,false,6363,502,90,7,131327,10364,766,60
20200612,false,6441,508,78,6,132059,10421,732,58
20200613,false,6470,511,29,2,132732,10475,673,53
20200614,false,6489,512,19,1,133404,10528,672,53
20200615,false,6507,514,18,1,133877,10565,473,37
20200616,false,6579,519,72,6,134500,10614,623,49
20200617,false,6666,526,87,7,135046,10657,546,43
20200618,false,6718,530,52,4,135639,10704,593,47
20200619,false,6718,530,0,0,136470,10770,831,66
20200620,false,6829,539,111,9,137104,10820,634,50
20200621,false,6851,541,22,2,137762,10872,658,52
20200622,false,6875,543,24,2,138224,10908,462,36
20200623,false,6911,545,36,3,138825,10955,601,47
20200624,false,6974,550,63,5,139540,11012,715,56
20200625,false,7014,554,40,3,140434,11082,894,71
20200626,false,7048,556,34,3,141344,11154,910,72
20200627,false,7074,558,26,2,142130,11216,786,62
20200628,false,7089,559,15,1,142776,11267,646,51
20200629,false,7103,561,14,1,143514,11325,738,58
20200630,false,7124,562,21,2,144238,11383,724,57
20200701,false,7152,564,28,2,145066,11448,828,65
20200702,false,7188,567,36,3,145935,11516,869,69
20200703,false,7215,569,27,2,146872,11590,937,74
20200704,false,7224,570,9,1,147734,11658,862,68
20200705,false,7230,571,6,0,148373,11709,639,50
20200706,false,7236,571,6,0,148987,11757,614,48
20200707,false,7273,574,37,3,149574,11804,587,46
20200708,false,7309,577,36,3,150554,11881,980,77
20200709,false,7329,578,20,2,151572,11961,1018,80
20200710,false,7345,580,16,1,152899,12066,1327,105
20200711,false,7369,582,24,2,154094,12160,1195,94
20200712,false,7388,583,19,1,155048,12236,954,75
20200713,false,7394,583,6,0,155931,12305,883,70
20200714,false,7419,585,25,2,156638,12361,707,56
20200715,false,7427,586,8,1,157825,12455,1187,94
20200716,false,7452,588,25,2,159082,12554,1257,99
20200717,false,7465,589,13,1,160509,12667,1427,113
20200718,false,7483,591,18,1,161785,12767,1276,101
20200719,false,7488,591,5,0,162750,12843,965,76
20200720,false,7494,591,6,0,163923,12936,1173,93
20200721,false,7517,593,23,2,164878,13011,955,75
20200722,false,7540,595,23,2,166476,13137,1598,126
20200723,false,7560,597,20,2,168100,13266,1624,128
20200724,false,7577,598,17,1,169699,13392,1599,126
20200725,false,7589,599,12,1,171125,13504,1426,113
20200726,false,7590,599,1,0,172666,13626,1541,122
20200727,false,7608,600,18,1,173897,13723,1231,97
20200728,false,7638,603,30,2,174973,13808,1076,85
20200729,false,7654,604,16,1,176366,13918,1393,110
20200730,false,7670,605,16,1,178138,14058,1772,140
20200731,false,7692,607,22,2,180118,14214,1980,156
20200801,false,7700,608,8,1,181757,14343,1639,129
20200802,false,7714,609,14,1,183224,14459,1467,116
20200803,false,7723,609,9,1,184522,14562,1298,102
20200804,false,7742,611,19,1,185993,14678,1471,116
20200805,false,7770,613,28,2,187752,14816,1759,139
20200806,false,7791,615,21,2,189705,14971,1953,154
20200807,false,7822,617,31,2,191808,15137,2103,166
20200808,false,7840,619,18,1,193998,15309,2190,173
20200809,false,7845,619,5,0,195380,15418,1382,109
20200810,false,7846,619,1,0,196699,15523,1319,104
20200811,false,7866,621,20,2,198248,15645,1549,122
20200812,false,7881,622,15,1,199893,15775,1645,130
20200813,false,7905,624,24,2,201727,15919,1834,145
20200814,false,7932,626,27,2,204023,16101,2296,181
20200815,false,7937,626,5,0,205851,16245,1828,144
20200816,false,7955,628,18,1,207413,16368,1562,123
20200817,false,7967,629,12,1,209186,16508,1773,140
20200818,false,7993,631,26,2,210926,16645,1740,137
20200819,false,8017,633,24,2,213221,16826,2295,181
20200820,false,8044,635,27,2,215053,16971,1832,145
20200821,false,8066,637,22,2,217346,17152,2293,181
20200822,false,8083,638,17,1,219702,17338,2356,186
20200823,false,8089,638,6,0,221595,17487,1893,149
20200824,false,8097,639,8,1,223207,17614,1612,127
20200825,false,8126,641,29,2,224887,17747,1680,133
20200826,false,8163,644,37,3,227044,17917,2157,170
20200827,false,8186,646,23,2,228751,18052,1707,135
20200828,false,8206,648,20,2,231185,18244,2434,192
20200829,false,8217,648,11,1,233065,18392,1880,148
20200830,false,8228,649,11,1,235057,18550,1992,157
20200831,false,8235,650,7,1,236725,18681,1668,132
20200901,false,8273,653,38,3,238217,18799,1492,118
20200902,false,8300,655,27,2,240345,18967,2128,168
20200903,false,8324,657,24,2,241705,19074,1360,107
20200904,false,8362,660,38,3,247299,19516,5594,441
20200905,false,8385,662,23,2,250105,19737,2806,221
20200906,false,8390,662,5,0,251508,19848,1403,111
20200907,false,8398,663,8,1,252889,19957,1381,109
20200908,false,8405,663,7,1,254281,20067,1392,110
20200909,false,8433,665,28,2,255618,20172,1337,106
20200910,false,8461,668,28,2,257571,20326,1953,154
20200911,false,8505,671,44,3,259883,20509,2312,182
20200912,false,8527,673,22,2,262004,20676,2121,167
20200913,false,8541,674,14,1,263466,20791,1462,115
20200914,false,8546,674,5,0,264839,20900,1373,108
20200915,false,8564,676,18,1,266305,21016,1466,116
20200916,false,8599,679,35,3,268246,21169,1941,153
20200917,false,8624,681,25,2,270302,21331,2056,162
20200918,false,8647,682,23,2,272525,21506,2223,175
20200919,false,8672,684,25,2,275054,21706,2529,200
20200920,false,8686,685,14,1,276456,21817,1402,111
20200921,false,8693,686,7,1,277933,21933,1477,117
20200922,false,8722,688,29,2,279464,22054,1531,121
20200923,false,8744,690,22,2,281312,22200,1848,146
20200924,false,8774,692,30,2,283569,22378,2257,178
20200925,false,8807,695,33,3,286374,22599,2805,221
20200926,false,8832,697,25,2,288815,22792,2441,193
20200927,false,8845,698,13,1,290419,22918,1604,127
20200928,false,8858,699,13,1,292128,23053,1709,135
20200929,false,8881,701,23,2,293490,23161,1362,107
20200930,false,8916,704,35,3,295763,23340,2273,179
20201001,false,8940,706,24,2,297929,23511,2166,171
20201002,false,8992,710,52,4,300385,23705,2456,194
20201003,false,9023,712,31,2,302827,23898,2442,193
20201004,false,9040,713,17,1,304280,24012,1453,115
20201005,false,9054,714,14,1,306133,24159,1853,146
20201006,false,9085,717,31,2,307750,24286,1617,128
20201007,false,9127,720,42,3,310380,24494,2630,208
20201008,false,9159,723,32,3,313439,24735,3059,241
20201009,false,9191,725,32,3,316556,24981,3117,246
20201010,false,9221,728,30,2,319461,25210,2905,229
20201011,false,9230,728,9,1,322188,25426,2727,215
20201012,false,9243,729,13,1,324930,25642,2742,216
20201013,false,9272,732,29,2,327781,25867,2851,225
20201014,false,9320,735,48,4,330643,26093,2862,226
20201015,false,9373,740,53,4,334658,26410,4015,317
20201016,false,9425,744,52,4,339761,26812,5103,403
20201017,false,9452,746,27,2,343390,27099,3629,286
20201018,false,9474,748,22,2,347635,27434,4245,335
20201019,false,9496,749,22,2,350748,27679,3113,246
20201020,false,9537,753,41,3,354462,27972,3714,293
20201021,false,9605,758,68,5,358804,28315,4342,343
20201022,false,9647,761,42,3,363746,28705,4942,390
20201023,false,9688,765,41,3,368746,29100,5000,395
20201024,false,9751,770,63,5,374907,29586,6161,486
20201025,false,9775,771,24,2,378969,29906,4062,321
20201026,false,9792,773,17,1,383698,30280,4729,373
20201027,false,9838,776,46,4,387698,30595,4000,316
20201028,false,9889,780,51,4,393808,31077,6110,482
20201029,false,9945,785,56,4,400171,31580,6363,502
20201030,false,9994,789,49,4,408660,32250,8489,670
20201031,false,10050,793,56,4,416559,32873,7899,623
20201101,false,10075,795,25,2,423539,33424,6980,551
20201102,false,10093,796,18,1,429761,33915,6222,491
20201103,false,10161,802,68,5,436277,34429,6516,514
20201104,false,10216,806,55,4,443815,35024,7538,595
20201105,false,10313,814,97,8,453750,35808,9935,784
20201106,false,10397,820,84,7,465540,36738,11790,930
20201107,false,10488,828,91,7,477978,37720,12438,982
20201108,false,10538,832,50,4,487987,38510,10009,790
20201109,false,10563,834,25,2,498560,39344,10573,834
20201110,false,10645,840,82,6,511183,40340,12623,996
20201111,true,10730,847,85,7,524343,41379,13160,1039
20201112,true,10819,854,89,7,538064,42461,13720,1083
20201113,true,10911,861,92,7,552368,43590,14304,1129
20201114,true,11007,869,96,8,567281,44767,14913,1177
20201115,true,11107,877,100,8,582830,45994,15548,1227
20201116,true,11211,885,104,8,599039,47273,16210,1279
20201117,true,11319,893,108,9,615939,48607,16900,1334
20201118,true,11431,902,112,9,633558,49997,17619,1390
20201119,true,11548,911,117,9,651927,51447,18369,1450
20201120,true,11669,921,121,10,671078,52958,19151,1511
20201121,true,11796,931,126,10,691044,54534,19966,1576
20201122,true,11927,941,131,10,711860,56177,20816,1643
20201123,true,12064,952,137,11,733562,57889,21702,1713
20201124,true,12206,963,142,11,756188,59675,22626,1786
