date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,1,0,1,0
20200310,false,0,0,0,0,1,0,0,0
20200311,false,0,0,0,0,6,1,5,1
20200312,false,0,0,0,0,14,3,8,2
20200313,false,0,0,0,0,36,8,22,5
20200314,false,0,0,0,0,51,11,15,3
20200315,false,2,0,2,0,90,19,39,8
20200316,false,2,0,0,0,115,25,25,5
20200317,false,4,1,2,0,137,29,22,5
20200318,false,6,1,2,0,240,52,103,22
20200319,false,8,2,2,0,347,75,107,23
20200320,false,12,3,4,1,473,102,126,27
20200321,false,16,3,4,1,580,125,107,23
20200322,false,20,4,4,1,837,180,257,55
20200323,false,34,7,14,3,1172,252,335,72
20200324,false,46,10,12,3,1388,299,216,46
20200325,false,65,14,19,4,1795,386,407,88
20200326,false,83,18,18,4,2305,496,510,110
20200327,false,119,26,36,8,2746,591,441,95
20200328,false,137,29,18,4,3315,713,569,122
20200329,false,151,32,14,3,3540,761,225,48
20200330,false,185,40,34,7,4025,866,485,104
20200331,false,239,51,54,12,5237,1127,1212,261
20200401,false,273,59,34,7,6424,1382,1187,255
20200402,false,310,67,37,8,9150,1968,2726,586
20200403,false,370,80,60,13,10297,2215,1147,247
20200404,false,409,88,39,8,12496,2688,2199,473
20200405,false,477,103,68,15,13010,2799,514,111
20200406,false,512,110,35,8,14867,3198,1857,399
20200407,false,582,125,70,15,16284,3503,1417,305
20200408,false,652,140,70,15,17030,3663,746,160
20200409,false,702,151,50,11,18283,3933,1253,270
20200410,false,755,162,53,11,19253,4142,970,209
20200411,false,806,173,51,11,20014,4305,761,164
20200412,false,840,181,34,7,20595,4430,581,125
20200413,false,884,190,44,9,21016,4521,421,91
20200414,false,1013,218,129,28,21518,4629,502,108
20200415,false,1103,237,90,19,21951,4722,433,93
20200416,false,1156,249,53,11,22532,4847,581,125
20200417,false,1213,261,57,12,23118,4973,586,126
20200418,false,1267,273,54,12,23580,5072,462,99
20200419,false,1296,279,29,6,23928,5147,348,75
20200420,false,1328,286,32,7,24523,5275,595,128
20200421,false,1405,302,77,17,24854,5346,331,71
20200422,false,1473,317,68,15,25258,5433,404,87
20200423,false,1540,331,67,14,25739,5537,481,103
20200424,false,1601,344,61,13,26140,5623,401,86
20200425,false,1644,354,43,9,26512,5703,372,80
20200426,false,1670,359,26,6,26773,5759,261,56
20200427,false,1697,365,27,6,27068,5823,295,63
20200428,false,1758,378,61,13,27286,5869,218,47
20200429,false,1802,388,44,9,27660,5950,374,80
20200430,false,1862,401,60,13,28001,6023,341,73
20200501,false,1927,415,65,14,28711,6176,710,153
20200502,false,1950,419,23,5,29140,6268,429,92
20200503,false,1969,424,19,4,29340,6311,200,43
20200504,false,2064,444,95,20,29673,6383,333,72
20200505,false,2115,455,51,11,29996,6452,323,69
20200506,false,2115,455,0,0,30399,6539,403,87
20200507,false,2208,475,93,20,30652,6594,253,54
20200508,false,2227,479,19,4,30855,6637,203,44
20200509,false,2267,488,40,9,31417,6758,562,121
20200510,false,2286,492,19,4,31600,6797,183,39
20200511,false,2308,496,22,5,31815,6844,215,46
20200512,false,2347,505,39,8,32050,6894,235,51
20200513,false,2381,512,34,7,32662,7026,612,132
20200514,false,2417,520,36,8,33489,7204,827,178
20200515,false,2448,527,31,7,33837,7279,348,75
20200516,false,2479,533,31,7,34117,7339,280,60
20200517,false,2491,536,12,3,34432,7407,315,68
20200518,false,2563,551,72,15,34709,7466,277,60
20200519,false,2581,555,18,4,35038,7537,329,71
20200520,false,2608,561,27,6,35316,7597,278,60
20200521,false,2629,566,21,5,36504,7852,1188,256
20200522,false,2668,574,39,8,36925,7943,421,91
20200523,false,2668,574,0,0,37040,7968,115,25
20200524,false,2690,579,22,5,37169,7995,129,28
20200525,false,2690,579,0,0,37809,8133,640,138
20200526,false,2701,581,11,2,38054,8186,245,53
20200527,false,2722,586,21,5,38497,8281,443,95
20200528,false,2740,589,18,4,38802,8347,305,66
20200529,false,2766,595,26,6,38802,8347,0,0
20200530,false,2785,599,19,4,39577,8513,775,167
20200531,false,2791,600,6,1,39916,8586,339,73
20200601,false,2801,603,10,2,40341,8678,425,91
20200602,false,2835,610,34,7,40746,8765,405,87
20200603,false,2870,617,35,8,41133,8848,387,83
20200604,false,2883,620,13,3,41562,8940,429,92
20200605,false,2912,626,29,6,41989,9032,427,92
20200606,false,2925,629,13,3,42486,9139,497,107
20200607,false,2936,632,11,2,42816,9210,330,71
20200608,false,2944,633,8,2,43050,9260,234,50
20200609,false,2957,636,13,3,43612,9381,562,121
