date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200301,false,0,0,0,0,14,1,0,0
20200302,false,0,0,0,0,27,3,13,1
20200303,false,0,0,0,0,50,5,23,2
20200304,false,0,0,0,0,74,7,24,2
20200305,false,0,0,0,0,100,10,26,3
20200306,false,0,0,0,0,140,14,40,4
20200307,false,0,0,0,0,188,19,48,5
20200308,false,0,0,0,0,251,25,63,6
20200309,false,0,0,0,0,372,37,121,12
20200310,false,0,0,0,0,528,53,156,16
20200311,false,0,0,0,0,727,73,199,20
20200312,false,0,0,0,0,997,100,270,27
20200313,false,0,0,0,0,1361,136,364,36
20200314,false,0,0,0,0,1728,173,367,37
20200315,false,0,0,0,0,2188,219,460,46
20200316,false,0,0,0,0,2895,290,707,71
20200317,false,2,0,2,0,3659,366,764,77
20200318,false,5,1,3,0,4531,454,872,87
20200319,false,10,1,5,1,5276,528,745,75
20200320,false,13,1,3,0,6219,623,943,94
20200321,false,23,2,10,1,7023,703,804,81
20200322,false,36,4,13,1,7822,783,799,80
20200323,false,57,6,21,2,9062,907,1240,124
20200324,false,86,9,29,3,10155,1017,1093,109
20200325,false,111,11,25,3,11335,1135,1180,118
20200326,false,159,16,48,5,12475,1249,1140,114
20200327,false,212,21,53,5,13799,1382,1324,133
20200328,false,283,28,71,7,14865,1488,1066,107
20200329,false,351,35,68,7,15784,1580,919,92
20200330,false,437,44,86,9,17363,1739,1579,158
20200331,false,551,55,114,11,18654,1868,1291,129
20200401,false,676,68,125,13,20246,2027,1592,159
20200402,false,801,80,125,13,21376,2140,1130,113
20200403,false,918,92,117,12,22579,2261,1203,120
20200404,false,1030,103,112,11,23581,2361,1002,100
20200405,false,1150,115,120,12,24458,2449,877,88
20200406,false,1291,129,141,14,25785,2582,1327,133
20200407,false,1449,145,158,16,26964,2700,1179,118
20200408,false,1600,160,151,15,28064,2810,1100,110
20200409,false,1756,176,156,16,29096,2913,1032,103
20200410,false,1917,192,161,16,30172,3021,1076,108
20200411,false,2081,208,164,16,30980,3102,808,81
20200412,false,2249,225,168,17,31666,3171,686,69
20200413,false,2391,239,142,14,32702,3275,1036,104
20200414,false,2532,254,141,14,33613,3366,911,91
20200415,false,2672,268,140,14,34533,3458,920,92
20200416,false,2841,284,169,17,35455,3550,922,92
20200417,false,2984,299,143,14,36320,3637,865,87
20200418,false,3107,311,123,12,37029,3708,709,71
20200419,false,3236,324,129,13,37557,3761,528,53
20200420,false,3347,335,111,11,38494,3854,937,94
20200421,false,3471,348,124,12,39589,3964,1095,110
20200422,false,3602,361,131,13,40705,4076,1116,112
20200423,false,3711,372,109,11,41694,4175,989,99
20200424,false,3818,382,107,11,42730,4279,1036,104
20200425,false,3929,393,111,11,43263,4332,533,53
20200426,false,4036,404,107,11,43789,4385,526,53
20200427,false,4148,415,112,11,44709,4477,920,92
20200428,false,4247,425,99,10,45538,4560,829,83
20200429,false,4335,434,88,9,46488,4655,950,95
20200430,false,4434,444,99,10,47505,4757,1017,102
20200501,false,4520,453,86,9,48240,4830,735,74
20200502,false,4579,459,59,6,48672,4874,432,43
20200503,false,4641,465,62,6,49029,4909,357,36
20200504,false,4722,473,81,8,49809,4987,780,78
20200505,false,4781,479,59,6,50497,5056,688,69
20200506,false,4839,485,58,6,51131,5120,634,63
20200507,false,4925,493,86,9,51731,5180,600,60
20200508,false,4987,499,62,6,52349,5242,618,62
20200509,false,5036,504,49,5,52732,5280,383,38
20200510,false,5081,509,45,5,53033,5310,301,30
20200511,false,5139,515,58,6,54004,5408,971,97
20200512,false,5188,519,49,5,55641,5571,1637,164
20200513,false,5232,524,44,4,56458,5653,817,82
20200514,false,5278,528,46,5,57036,5711,578,58
20200515,false,5325,533,47,5,57687,5776,651,65
20200516,false,5357,536,32,3,58023,5810,336,34
20200517,false,5396,540,39,4,58278,5835,255,26
20200518,false,5427,543,31,3,58812,5889,534,53
20200519,false,5470,548,43,4,59576,5965,764,77
20200520,false,5514,552,44,4,60151,6023,575,58
20200521,false,5555,556,41,4,60610,6069,459,46
20200522,false,5586,559,31,3,61075,6116,465,47
20200523,false,5612,562,26,3,61293,6137,218,22
20200524,false,5640,565,28,3,61457,6154,164,16
20200525,false,5678,569,38,4,61632,6171,175,18
20200526,false,5703,571,25,3,62075,6216,443,44
20200527,false,5727,573,24,2,62461,6254,386,39
20200528,false,5751,576,24,2,62797,6288,336,34
20200529,false,5778,579,27,3,63116,6320,319,32
20200530,false,5802,581,24,2,63321,6340,205,21
20200531,false,5818,583,16,2,63568,6365,247,25
20200601,false,5843,585,25,3,63813,6390,245,25
20200602,false,5869,588,26,3,64103,6419,290,29
20200603,false,5884,589,15,2,64382,6447,279,28
20200604,false,5901,591,17,2,64616,6470,234,23
20200605,false,5909,592,8,1,64821,6491,205,21
20200606,false,5916,592,7,1,64914,6500,93,9
20200607,false,5927,593,11,1,64969,6505,55,6
20200608,false,5942,595,15,2,65104,6519,135,14
20200609,false,5951,596,9,1,65167,6525,63,6
20200610,false,5952,596,1,0,65182,6527,15,2
20200611,false,5985,599,33,3,65449,6554,267,27
20200612,false,5990,600,5,1,65672,6576,223,22
20200613,false,6013,602,23,2,65836,6592,164,16
20200614,false,6016,602,3,0,66054,6614,218,22
20200615,false,6017,602,1,0,66085,6617,31,3
20200616,false,6034,604,17,2,66269,6636,184,18
20200617,false,6036,604,2,0,66497,6658,228,23
20200618,false,6061,607,25,3,66798,6689,301,30
20200619,false,6067,607,6,1,67097,6719,299,30
20200620,false,6087,610,20,2,67545,6763,448,45
20200621,false,6090,610,3,0,67711,6780,166,17
20200622,false,6097,611,7,1,67957,6805,246,25
20200623,false,6109,612,12,1,68197,6829,240,24
20200624,false,6114,612,5,1,68555,6865,358,36
20200625,false,6133,614,19,2,68989,6908,434,43
20200626,false,6134,614,1,0,69329,6942,340,34
20200627,false,6153,616,19,2,69679,6977,350,35
20200628,false,6158,617,5,1,69946,7004,267,27
20200629,false,6161,617,3,0,70223,7032,277,28
20200630,false,6193,620,32,3,70728,7082,505,51
20200701,false,6198,621,5,1,71089,7118,361,36
20200702,false,6212,622,14,1,71678,7177,589,59
20200703,false,6215,622,3,0,72175,7227,497,50
20200704,false,6218,623,3,0,72581,7268,406,41
20200705,false,6218,623,0,0,72941,7304,360,36
20200706,false,6221,623,3,0,73269,7337,328,33
20200707,false,6251,626,30,3,73900,7400,631,63
20200708,false,6262,627,11,1,74551,7465,651,65
20200709,false,6271,628,9,1,75063,7516,512,51
20200710,false,6285,629,14,1,75685,7578,622,62
20200711,false,6313,632,28,3,76370,7647,685,69
20200712,false,6314,632,1,0,76776,7688,406,41
20200713,false,6321,633,7,1,77198,7730,422,42
20200714,false,6326,633,5,1,77864,7797,666,67
20200715,false,6330,634,4,0,78913,7902,1049,105
20200716,false,6348,636,18,2,79839,7994,926,93
20200717,false,6355,636,7,1,80593,8070,754,75
20200718,false,6364,637,9,1,81338,8145,745,75
20200719,false,6366,637,2,0,81868,8198,530,53
20200720,false,6373,638,7,1,82395,8250,527,53
20200721,false,6382,639,9,1,83059,8317,664,66
20200722,false,6388,640,6,1,83730,8384,671,67
20200723,false,6395,640,7,1,84431,8454,701,70
20200724,false,6400,641,5,1,85072,8518,641,64
20200725,false,6400,641,0,0,85072,8518,0,0
20200726,false,6400,641,0,0,86661,8678,1589,159
20200727,false,6405,641,5,1,87173,8729,512,51
20200728,false,6421,643,16,2,87958,8807,785,79
20200729,false,6422,643,1,0,88974,8909,1016,102
20200730,false,6443,645,21,2,89781,8990,807,81
20200731,false,6450,646,7,1,90574,9069,793,79
20200801,false,6457,647,7,1,91332,9145,758,76
20200802,false,6457,647,0,0,91761,9188,429,43
20200803,false,6463,647,6,1,92374,9250,613,61
20200804,false,6471,648,8,1,93175,9330,801,80
20200805,false,6478,649,7,1,93893,9402,718,72
20200806,false,6506,651,28,3,94656,9478,763,76
20200807,false,6524,653,18,2,95470,9560,814,82
20200808,false,6520,653,-4,0,96191,9632,721,72
20200809,false,6519,653,-1,0,96726,9685,535,54
20200810,false,6526,653,7,1,97306,9743,580,58
20200811,false,6533,654,7,1,98213,9834,907,91
20200812,false,6539,655,6,1,98689,9882,476,48
20200813,false,6555,656,16,2,99856,9999,1167,117
20200814,false,6566,657,11,1,100724,10086,868,87
20200815,false,6586,659,20,2,101782,10192,1058,106
20200816,false,6592,660,6,1,102259,10239,477,48
20200817,false,6592,660,0,0,102749,10288,490,49
20200818,false,6608,662,16,2,103403,10354,654,65
20200819,false,6618,663,10,1,104091,10423,688,69
20200820,false,6634,664,16,2,104618,10476,527,53
20200821,false,6634,664,0,0,104618,10476,0,0
20200822,false,6655,666,21,2,106044,10618,1426,143
20200823,false,6659,667,4,0,106808,10695,764,77
20200824,false,6663,667,4,0,107686,10783,878,88
20200825,false,6684,669,21,2,108637,10878,951,95
20200826,false,6690,670,6,1,109480,10962,843,84
20200827,false,6706,671,16,2,110343,11049,863,86
20200828,false,6712,672,6,1,111136,11128,793,79
20200829,false,6712,672,0,0,111136,11128,0,0
20200830,false,6748,676,36,4,112526,11267,1390,139
20200831,false,6753,676,5,1,113025,11317,499,50
20200901,false,6767,678,14,1,113820,11397,795,80
20200902,false,6781,679,14,1,114468,11462,648,65
20200903,false,6791,680,10,1,115242,11539,774,78
20200904,false,6798,681,7,1,116295,11645,1053,105
20200905,false,6806,681,8,1,117191,11735,896,90
20200906,false,6806,681,0,0,117191,11735,0,0
20200907,false,6810,682,4,0,118403,11856,1212,121
20200908,false,6811,682,1,0,118902,11906,499,50
20200909,false,6887,690,76,8,119863,12002,961,96
20200910,false,6894,690,7,1,120846,12101,983,98
20200911,false,6900,691,6,1,122251,12241,1405,141
20200912,false,6911,692,11,1,123058,12322,807,81
20200913,false,6911,692,0,0,123058,12322,0,0
20200914,false,6921,693,10,1,124287,12445,1229,123
20200915,false,6932,694,11,1,124969,12513,682,68
20200916,false,6943,695,11,1,125742,12591,773,77
20200917,false,6955,696,12,1,126722,12689,980,98
20200918,false,6954,696,-1,0,127500,12767,778,78
20200919,false,6969,698,15,2,128087,12826,587,59
20200920,false,6969,698,0,0,128087,12826,0,0
20200921,false,6981,699,12,1,129662,12983,1575,158
20200922,false,6997,701,16,2,130357,13053,695,70
20200923,false,7013,702,16,2,131259,13143,902,90
20200924,false,7019,703,6,1,132337,13251,1078,108
20200925,false,7027,704,8,1,133377,13355,1040,104
20200926,false,7044,705,17,2,134373,13455,996,100
20200927,false,7044,705,0,0,134373,13455,0,0
20200928,false,7051,706,7,1,135702,13588,1329,133
20200929,false,7072,708,21,2,136820,13700,1118,112
20200930,false,7083,709,11,1,138014,13820,1194,120
20201001,false,7102,711,19,2,139012,13919,998,100
20201002,false,7110,712,8,1,139996,14018,984,99
20201003,false,7124,713,14,1,141271,14146,1275,128
20201004,false,7124,713,0,0,141271,14146,0,0
20201005,false,7139,715,15,2,142726,14291,1455,146
20201006,false,7161,717,22,2,143878,14407,1152,115
20201007,false,7169,718,8,1,145092,14528,1214,122
20201008,false,7193,720,24,2,146493,14669,1401,140
20201009,false,7200,721,7,1,147816,14801,1323,132
20201010,false,7219,723,19,2,149464,14966,1648,165
20201011,false,7219,723,0,0,149464,14966,0,0
20201012,false,7225,723,6,1,151396,15160,1932,193
20201013,false,7255,726,30,3,152862,15306,1466,147
20201014,false,7268,728,13,1,154455,15466,1593,160
20201015,false,7302,731,34,3,156913,15712,2458,246
20201016,false,7317,733,15,2,159119,15933,2206,221
20201017,false,7317,733,0,0,159119,15933,0,0
20201018,false,7317,733,0,0,159119,15933,0,0
20201019,false,7363,737,46,5,164123,16434,5004,501
20201020,false,7383,739,20,2,165994,16621,1871,187
20201021,false,7418,743,35,4,167872,16809,1878,188
20201022,false,7464,747,46,5,170076,17030,2204,221
20201023,false,7484,749,20,2,172122,17235,2046,205
20201024,false,7522,753,38,4,175612,17584,3490,349
20201025,false,7522,753,0,0,175612,17584,0,0
20201026,false,7552,756,30,3,179669,17991,4057,406
20201027,false,7585,759,33,3,182344,18258,2675,268
20201028,false,7606,762,21,2,185934,18618,3590,359
20201029,false,7653,766,47,5,190043,19029,4109,411
20201030,false,7665,768,12,1,193388,19364,3345,335
20201031,false,7699,771,34,3,197406,19767,4018,402
20201101,false,7699,771,0,0,197406,19767,0,0
20201102,false,7716,773,17,2,204326,20459,6920,693
20201103,false,7761,777,45,5,207763,20804,3437,344
20201104,false,7782,779,21,2,212160,21244,4397,440
20201105,false,7833,784,51,5,218263,21855,6103,611
20201106,false,7880,789,47,5,222509,22280,4246,425
20201107,false,7945,796,65,7,229003,22930,6494,650
20201108,false,7945,796,0,0,229003,22930,0,0
20201109,false,8008,802,63,6,238308,23862,9305,932
20201110,false,8094,810,86,9,245252,24557,6944,695
20201111,true,8183,819,89,9,252442,25277,7190,720
20201112,true,8276,829,93,9,259888,26023,7445,746
20201113,true,8372,838,96,10,267597,26795,7710,772
20201114,true,8471,848,100,10,275580,27594,7983,799
20201115,true,8575,859,103,10,283846,28422,8266,828
20201116,true,8682,869,107,11,292406,29279,8559,857
20201117,true,8793,880,111,11,301269,30167,8863,887
20201118,true,8908,892,115,12,310446,31085,9177,919
20201119,true,9027,904,120,12,319949,32037,9503,952
20201120,true,9151,916,124,12,329789,33022,9840,985
20201121,true,9280,929,129,13,339978,34043,10189,1020
20201122,true,9413,943,133,13,350529,35099,10551,1056
20201123,true,9552,956,138,14,361454,36193,10925,1094
20201124,true,9695,971,144,14,372766,37326,11312,1133
20201125,true,9844,986,149,15,384480,38499,11714,1173
20201126,true,9999,1001,154,15,396609,39713,12129,1215
20201127,true,10159,1017,160,16,409169,40971,12559,1258
20201128,true,10325,1034,166,17,422174,42273,13005,1302
20201129,true,10497,1051,172,17,435640,43621,13466,1348
20201130,true,10676,1069,179,18,449584,45018,13944,1396
20201201,true,10861,1088,185,19,464023,46463,14439,1446
