date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,1,0,1,0
20200309,false,0,0,0,0,1,0,0,0
20200310,false,0,0,0,0,1,0,0,0
20200311,false,0,0,0,0,1,0,0,0
20200312,false,0,0,0,0,1,0,0,0
20200313,false,0,0,0,0,2,0,1,0
20200314,false,0,0,0,0,4,1,2,0
20200315,false,0,0,0,0,5,1,1,0
20200316,false,0,0,0,0,6,1,1,0
20200317,false,0,0,0,0,8,1,2,0
20200318,false,0,0,0,0,13,2,5,1
20200319,false,1,0,1,0,24,4,11,2
20200320,false,1,0,0,0,47,8,23,4
20200321,false,3,0,2,0,73,12,26,4
20200322,false,3,0,0,0,90,15,17,3
20200323,false,3,0,0,0,183,30,93,15
20200324,false,3,0,0,0,183,30,0,0
20200325,false,8,1,5,1,356,58,173,28
20200326,false,8,1,0,0,502,82,146,24
20200327,false,8,1,0,0,669,109,167,27
20200328,false,10,2,2,0,838,137,169,28
20200329,false,10,2,0,0,838,137,0,0
20200330,false,13,2,3,0,1031,168,193,31
20200331,false,14,2,1,0,1327,216,296,48
20200401,false,18,3,4,1,1581,258,254,41
20200402,false,19,3,1,0,1834,299,253,41
20200403,false,19,3,0,0,2113,344,279,45
20200404,false,24,4,5,1,2291,373,178,29
20200405,false,34,6,10,2,2367,386,76,12
20200406,false,39,6,5,1,2722,444,355,58
20200407,false,53,9,14,2,3037,495,315,51
20200408,false,58,9,5,1,3327,542,290,47
20200409,false,77,13,19,3,3539,577,212,35
20200410,false,96,16,19,3,3799,619,260,42
20200411,false,109,18,13,2,4024,656,225,37
20200412,false,110,18,1,0,4160,678,136,22
20200413,false,114,19,4,1,4388,715,228,37
20200414,false,133,22,19,3,4686,764,298,49
20200415,false,147,24,14,2,4895,798,209,34
20200416,false,152,25,5,1,5111,833,216,35
20200417,false,165,27,13,2,5283,861,172,28
20200418,false,175,29,10,2,5517,899,234,38
20200419,false,176,29,1,0,5667,923,150,24
20200420,false,177,29,1,0,5807,946,140,23
20200421,false,189,31,12,2,5941,968,134,22
20200422,false,208,34,19,3,6137,1000,196,32
20200423,false,218,36,10,2,6321,1030,184,30
20200424,false,262,43,44,7,6625,1079,304,50
20200425,false,273,44,11,2,6826,1112,201,33
20200426,false,274,45,1,0,6997,1140,171,28
20200427,false,288,47,14,2,7171,1168,174,28
20200428,false,314,51,26,4,7303,1190,132,22
20200429,false,318,52,4,1,7425,1210,122,20
20200430,false,329,54,11,2,7562,1232,137,22
20200501,false,337,55,8,1,7835,1277,273,44
20200502,false,351,57,14,2,8154,1329,319,52
20200503,false,352,57,1,0,8386,1366,232,38
20200504,false,358,58,6,1,8754,1426,368,60
20200505,false,377,61,19,3,8916,1453,162,26
20200506,false,396,65,19,3,9102,1483,186,30
20200507,false,418,68,22,4,9341,1522,239,39
20200508,false,449,73,31,5,9489,1546,148,24
20200509,false,472,77,23,4,9666,1575,177,29
20200510,false,482,79,10,2,9844,1604,178,29
20200511,false,488,80,6,1,9918,1616,74,12
20200512,false,524,85,36,6,10006,1630,88,14
20200513,false,542,88,18,3,10142,1652,136,22
20200514,false,562,92,20,3,10317,1681,175,29
20200515,false,576,94,14,2,10456,1704,139,23
20200516,false,589,96,13,2,10675,1739,219,36
20200517,false,594,97,5,1,10789,1758,114,19
20200518,false,605,99,11,2,10945,1783,156,25
20200519,false,616,100,11,2,11080,1805,135,22
20200520,false,631,103,15,2,11232,1830,152,25
20200521,false,661,108,30,5,11340,1848,108,18
20200522,false,671,109,10,2,11558,1883,218,36
20200523,false,676,110,5,1,11752,1915,194,32
20200524,false,681,111,5,1,11988,1953,236,38
20200525,false,685,112,4,1,12167,1982,179,29
20200526,false,686,112,1,0,12291,2003,124,20
20200527,false,696,113,10,2,12492,2035,201,33
20200528,false,707,115,11,2,12673,2065,181,29
20200529,false,738,120,31,5,12795,2085,122,20
20200530,false,771,126,33,5,12962,2112,167,27
20200531,false,772,126,1,0,13147,2142,185,30
20200601,false,773,126,1,0,13327,2171,180,29
20200602,false,783,128,10,2,13575,2212,248,40
20200603,false,786,128,3,0,13767,2243,192,31
20200604,false,786,128,0,0,14057,2290,290,47
20200605,false,799,130,13,2,14253,2322,196,32
20200606,false,809,132,10,2,14442,2353,189,31
20200607,false,809,132,0,0,14553,2371,111,18
20200608,false,819,133,10,2,14734,2401,181,29
20200609,false,840,137,21,3,14913,2430,179,29
20200610,false,848,138,8,1,15187,2474,274,45
20200611,false,860,140,12,2,15390,2508,203,33
20200612,false,872,142,12,2,15585,2539,195,32
20200613,false,879,143,7,1,15810,2576,225,37
20200614,false,879,143,0,0,15810,2576,0,0
20200615,false,880,143,1,0,16189,2638,379,62
20200616,false,882,144,2,0,16414,2674,225,37
20200617,false,909,148,27,4,16625,2709,211,34
20200618,false,946,154,37,6,16908,2755,283,46
20200619,false,948,154,2,0,17201,2803,293,48
20200620,false,955,156,7,1,17590,2866,389,63
20200621,false,956,156,1,0,18003,2933,413,67
20200622,false,961,157,5,1,18143,2956,140,23
20200623,false,961,157,0,0,18143,2956,0,0
20200624,false,975,159,14,2,18868,3074,725,118
20200625,false,982,160,7,1,19421,3164,553,90
20200626,false,990,161,8,1,19914,3245,493,80
