date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200304,false,0,0,0,0,1,0,0,0
20200305,false,0,0,0,0,1,0,0,0
20200306,false,0,0,0,0,2,0,1,0
20200307,false,0,0,0,0,2,0,0,0
20200308,false,0,0,0,0,2,0,0,0
20200309,false,0,0,0,0,2,0,0,0
20200310,false,0,0,0,0,7,1,5,0
20200311,false,0,0,0,0,7,1,0,0
20200312,false,0,0,0,0,12,1,5,0
20200313,false,0,0,0,0,15,1,3,0
20200314,false,0,0,0,0,23,2,8,1
20200315,false,0,0,0,0,32,3,9,1
20200316,false,0,0,0,0,33,3,1,0
20200317,false,0,0,0,0,40,4,7,1
20200318,false,0,0,0,0,63,6,23,2
20200319,false,0,0,0,0,97,9,34,3
20200320,false,0,0,0,0,137,13,40,4
20200321,false,0,0,0,0,184,18,47,4
20200322,false,0,0,0,0,255,24,71,7
20200323,false,0,0,0,0,297,28,42,4
20200324,false,0,0,0,0,398,38,101,10
20200325,false,1,0,1,0,504,48,106,10
20200326,false,2,0,1,0,636,61,132,13
20200327,false,3,0,1,0,763,73,127,12
20200328,false,4,0,1,0,935,89,172,16
20200329,false,4,0,0,0,1040,99,105,10
20200330,false,6,1,2,0,1307,125,267,25
20200331,false,8,1,2,0,1498,143,191,18
20200401,false,10,1,2,0,1584,151,86,8
20200402,false,16,2,6,1,1857,177,273,26
20200403,false,19,2,3,0,2093,200,236,23
20200404,false,24,2,5,0,2402,229,309,29
20200405,false,31,3,7,1,2585,246,183,17
20200406,false,33,3,2,0,2870,274,285,27
20200407,false,46,4,13,1,3221,307,351,33
20200408,false,53,5,7,1,3426,327,205,20
20200409,false,65,6,12,1,3651,348,225,21
20200410,false,74,7,9,1,3908,373,257,25
20200411,false,80,8,6,1,4312,411,404,39
20200412,false,81,8,1,0,4520,431,208,20
20200413,false,86,8,5,0,4816,459,296,28
20200414,false,108,10,22,2,5024,479,208,20
20200415,false,117,11,9,1,5123,488,99,9
20200416,false,131,12,14,1,5465,521,342,33
20200417,false,152,14,21,2,5859,559,394,38
20200418,false,164,16,12,1,6140,585,281,27
20200419,false,172,16,8,1,6493,619,353,34
20200420,false,179,17,7,1,6764,645,271,26
20200421,false,213,20,34,3,6951,663,187,18
20200422,false,242,23,29,3,7220,688,269,26
20200423,false,253,24,11,1,7608,725,388,37
20200424,false,269,26,16,2,8052,768,444,42
20200425,false,289,28,20,2,8623,822,571,54
20200426,false,299,29,10,1,8830,842,207,20
20200427,false,306,29,7,1,9142,872,312,30
20200428,false,342,33,36,3,9568,912,426,41
20200429,false,354,34,12,1,9948,949,380,36
20200430,false,378,36,24,2,10509,1002,561,53
20200501,false,399,38,21,2,10923,1041,414,39
20200502,false,420,40,21,2,11509,1097,586,56
20200503,false,422,40,2,0,11664,1112,155,15
20200504,false,430,41,8,1,11848,1130,184,18
20200505,false,452,43,22,2,12256,1169,408,39
20200506,false,477,45,25,2,12758,1216,502,48
20200507,false,507,48,30,3,13397,1277,639,61
20200508,false,527,50,20,2,13868,1322,471,45
20200509,false,544,52,17,2,14360,1369,492,47
20200510,false,547,52,3,0,14764,1408,404,39
20200511,false,550,52,3,0,15045,1434,281,27
20200512,false,577,55,27,3,15346,1463,301,29
20200513,false,597,57,20,2,15816,1508,470,45
