date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,1,1,1,1
20200313,false,0,0,0,0,1,1,0,0
20200314,false,0,0,0,0,1,1,0,0
20200315,false,0,0,0,0,1,1,0,0
20200316,false,0,0,0,0,1,1,0,0
20200317,false,0,0,0,0,1,1,0,0
20200318,false,0,0,0,0,6,8,5,7
20200319,false,0,0,0,0,15,20,9,12
20200320,false,0,0,0,0,20,26,5,7
20200321,false,0,0,0,0,28,37,8,10
20200322,false,0,0,0,0,28,37,0,0
20200323,false,0,0,0,0,30,39,2,3
20200324,false,0,0,0,0,33,43,3,4
20200325,false,0,0,0,0,39,51,6,8
20200326,false,0,0,0,0,52,68,13,17
20200327,false,0,0,0,0,61,80,9,12
20200328,false,1,1,1,1,80,105,19,25
20200329,false,1,1,0,0,97,127,17,22
20200330,false,2,3,1,1,107,140,10,13
20200331,false,3,4,1,1,117,154,10,13
20200401,false,3,4,0,0,139,182,22,29
20200402,false,3,4,0,0,159,209,20,26
20200403,false,3,4,0,0,173,227,14,18
20200404,false,3,4,0,0,186,244,13,17
20200405,false,3,4,0,0,207,272,21,28
20200406,false,3,4,0,0,225,295,18,24
20200407,false,4,5,1,1,237,311,12,16
20200408,false,4,5,0,0,251,329,14,18
20200409,false,5,7,1,1,269,353,18,24
20200410,false,6,8,1,1,278,365,9,12
20200411,false,7,9,1,1,293,384,15,20
20200412,false,8,10,1,1,308,404,15,20
20200413,false,8,10,0,0,331,434,23,30
20200414,false,9,12,1,1,341,447,10,13
20200415,false,9,12,0,0,364,478,23,30
20200416,false,9,12,0,0,392,514,28,37
20200417,false,9,12,0,0,438,575,46,60
20200418,false,9,12,0,0,528,693,90,118
20200419,false,10,13,1,1,584,766,56,73
20200420,false,13,17,3,4,626,821,42,55
20200421,false,13,17,0,0,644,845,18,24
20200422,false,14,18,1,1,677,888,33,43
20200423,false,15,20,1,1,709,930,32,42
20200424,false,15,20,0,0,747,980,38,50
20200425,false,16,21,1,1,803,1054,56,73
20200426,false,17,22,1,1,867,1138,64,84
20200427,false,19,25,2,3,942,1236,75,98
20200428,false,19,25,0,0,991,1300,49,64
20200429,false,19,25,0,0,1033,1356,42,55
20200430,false,19,25,0,0,1067,1400,34,45
20200501,false,23,30,4,5,1107,1453,40,52
20200502,false,24,31,1,1,1153,1513,46,60
20200503,false,16,21,-8,-10,1191,1563,38,50
20200504,false,15,20,-1,-1,1225,1607,34,45
20200505,false,17,22,2,3,1266,1661,41,54
20200506,false,22,29,5,7,1322,1735,56,73
20200507,false,23,30,1,1,1371,1799,49,64
20200508,false,24,31,1,1,1424,1869,53,70
20200509,false,24,31,0,0,1464,1921,40,52
20200510,false,24,31,0,0,1490,1955,26,34
20200511,false,24,31,0,0,1516,1989,26,34
20200512,false,25,33,1,1,1568,2058,52,68
20200513,false,29,38,4,5,1642,2155,74,97
20200514,false,31,41,2,3,1709,2243,67,88
20200515,false,35,46,4,5,1760,2310,51,67
20200516,false,35,46,0,0,1847,2424,87,114
20200517,false,35,46,0,0,1898,2491,51,67
20200518,false,37,49,2,3,1929,2531,31,41
20200519,false,37,49,0,0,1989,2610,60,79
20200520,false,37,49,0,0,2070,2716,81,106
20200521,false,38,50,1,1,2165,2841,95,125
20200522,false,39,51,1,1,2235,2933,70,92
20200523,false,39,51,0,0,2284,2997,49,64
20200524,false,39,51,0,0,2338,3068,54,71
20200525,false,39,51,0,0,2378,3120,40,52
20200526,false,40,52,1,1,2421,3177,43,56
20200527,false,44,58,4,5,2438,3199,17,22
20200528,false,48,63,4,5,2479,3253,41,54
20200529,false,48,63,0,0,2519,3306,40,52
20200530,false,48,63,0,0,2553,3350,34,45
20200531,false,48,63,0,0,2576,3380,23,30
20200601,false,50,66,2,3,2623,3442,47,62
20200602,false,54,71,4,5,2645,3471,22,29
20200603,false,54,71,0,0,2678,3514,33,43
20200604,false,58,76,4,5,2704,3548,26,34
20200605,false,59,77,1,1,2744,3601,40,52
20200606,false,59,77,0,0,2815,3694,71,93
20200607,false,59,77,0,0,2859,3752,44,58
20200608,false,62,81,3,4,2878,3777,19,25
20200609,false,65,85,3,4,2900,3805,22,29
20200610,false,67,88,2,3,2940,3858,40,52
20200611,false,67,88,0,0,2978,3908,38,50
20200612,false,67,88,0,0,3014,3955,36,47
20200613,false,67,88,0,0,3056,4010,42,55
20200614,false,67,88,0,0,3078,4039,22,29
