date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200210,false,0,0,0,0,0,0,0,0
20200211,false,0,0,0,0,0,0,0,0
20200212,false,0,0,0,0,0,0,0,0
20200213,false,0,0,0,0,0,0,0,0
20200214,false,0,0,0,0,0,0,0,0
20200215,false,0,0,0,0,0,0,0,0
20200216,false,0,0,0,0,0,0,0,0
20200217,false,0,0,0,0,0,0,0,0
20200218,false,0,0,0,0,0,0,0,0
20200219,false,0,0,0,0,0,0,0,0
20200220,false,0,0,0,0,0,0,0,0
20200221,false,0,0,0,0,0,0,0,0
20200222,false,0,0,0,0,0,0,0,0
20200223,false,0,0,0,0,0,0,0,0
20200224,false,0,0,0,0,0,0,0,0
20200225,false,0,0,0,0,0,0,0,0
20200226,false,0,0,0,0,0,0,0,0
20200227,false,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,1,0,1,0
20200306,false,0,0,0,0,1,0,0,0
20200307,false,0,0,0,0,4,0,3,0
20200308,false,0,0,0,0,6,1,2,0
20200309,false,0,0,0,0,11,1,5,1
20200310,false,0,0,0,0,15,2,4,0
20200311,false,1,0,1,0,24,3,9,1
20200312,false,1,0,0,0,30,3,6,1
20200313,false,1,0,0,0,50,6,20,2
20200314,false,1,0,0,0,50,6,0,0
20200315,false,2,0,1,0,98,11,48,5
20200316,false,2,0,0,0,178,20,80,9
20200317,false,4,0,2,0,267,30,89,10
20200318,false,7,1,3,0,427,48,160,18
20200319,false,13,1,6,1,742,84,315,35
20200320,false,16,2,3,0,890,100,148,17
20200321,false,22,2,6,1,1327,149,437,49
20200322,false,29,3,7,1,1914,215,587,66
20200323,false,40,5,11,1,2844,320,930,105
20200324,false,60,7,20,2,3675,414,831,94
20200325,false,81,9,21,2,4402,496,727,82
20200326,false,108,12,27,3,6876,774,2474,279
20200327,false,140,16,32,4,8825,994,1949,219
20200328,false,191,22,51,6,11124,1252,2299,259
20200329,false,217,24,26,3,13386,1507,2262,255
20200330,false,266,30,49,6,16636,1873,3250,366
20200331,false,364,41,98,11,18696,2105,2060,232
20200401,false,475,53,111,12,22255,2506,3559,401
20200402,false,680,77,205,23,25590,2881,3335,375
20200403,false,816,92,136,15,29895,3366,4305,485
20200404,false,1058,119,242,27,34124,3842,4229,476
20200405,false,1184,133,126,14,37505,4222,3381,381
20200406,false,1334,150,150,17,41090,4626,3585,404
20200407,false,1631,184,297,33,44416,5001,3326,374
20200408,false,1969,222,338,38,47437,5341,3021,340
20200409,false,2236,252,267,30,51027,5745,3590,404
20200410,false,2521,284,285,32,54588,6146,3561,401
20200411,false,2844,320,323,36,58151,6547,3563,401
20200412,false,3084,347,240,27,61850,6963,3699,416
20200413,false,3248,366,164,18,64584,7271,2734,308
20200414,false,3659,412,411,46,68824,7749,4240,477
20200415,false,4068,458,409,46,71030,7997,2206,248
20200416,false,4489,505,421,47,75317,8480,4287,483
20200417,false,4853,546,364,41,78467,8834,3150,355
20200418,false,5139,579,286,32,81420,9167,2953,332
20200419,false,5310,598,171,19,85301,9604,3881,437
20200420,false,5518,621,208,23,88806,9998,3505,395
20200421,false,5932,668,414,47,92387,10401,3581,403
20200422,false,6275,706,343,39,95865,10793,3478,392
20200423,false,6607,744,332,37,99989,11257,4124,464
20200424,false,6886,775,279,31,102196,11506,2207,248
20200425,false,7166,807,280,32,105523,11880,3327,375
20200426,false,7268,818,102,11,109038,12276,3515,396
20200427,false,7407,834,139,16,111188,12518,2150,242
20200428,false,7835,882,428,48,113856,12818,2668,300
20200429,false,8184,921,349,39,116264,13090,2408,271
20200430,false,8664,975,480,54,118652,13358,2388,269
20200501,false,9000,1013,336,38,121190,13644,2538,286
20200502,false,9225,1039,225,25,123717,13929,2527,285
20200503,false,9380,1056,155,17,126744,14269,3027,341
20200504,false,9442,1063,62,7,128269,14441,1525,172
20200505,false,9783,1101,341,38,130593,14703,2324,262
20200506,false,10104,1138,321,36,131890,14849,1297,146
20200507,false,10368,1167,264,30,133635,15045,1745,196
20200508,false,10538,1186,170,19,135454,15250,1819,205
20200509,false,10715,1206,177,20,137085,15434,1631,184
20200510,false,10866,1223,151,17,138532,15597,1447,163
20200511,false,10926,1230,60,7,139945,15756,1413,159
20200512,false,11138,1254,212,24,140743,15846,798,90
20200513,false,11340,1277,202,23,141560,15938,817,92
20200514,false,11592,1305,252,28,142704,16066,1144,129
20200515,false,11789,1327,197,22,143905,16202,1201,135
20200516,false,11903,1340,114,13,145089,16335,1184,133
20200517,false,12013,1352,110,12,146334,16475,1245,140
20200518,false,12096,1362,83,9,148039,16667,1705,192
20200519,false,12248,1379,152,17,149013,16777,974,110
20200520,false,12416,1398,168,19,150399,16933,1386,156
20200521,false,12518,1409,102,11,151472,17053,1073,121
20200522,false,12666,1426,148,17,152719,17194,1247,140
20200523,false,12765,1437,99,11,153104,17237,385,43
20200524,false,12819,1443,54,6,154154,17355,1050,118
20200525,false,12834,1445,15,2,155092,17461,938,106
20200526,false,12886,1451,52,6,155764,17537,672,76
20200527,false,13037,1468,151,17,156628,17634,864,97
20200528,false,13104,1475,67,8,157815,17768,1187,134
20200529,false,13239,1491,135,15,158844,17883,1029,116
20200530,false,13345,1502,106,12,159608,17969,764,86
20200531,false,13412,1510,67,8,160445,18064,837,94
20200601,false,13438,1513,26,3,160918,18117,473,53
20200602,false,13490,1519,52,6,161545,18188,627,71
20200603,false,13602,1531,112,13,162068,18246,523,59
20200604,false,13697,1542,95,11,162530,18298,462,52
20200605,false,13779,1551,82,9,163336,18389,806,91
20200606,false,13837,1558,58,7,163893,18452,557,63
20200607,false,13908,1566,71,8,164164,18482,271,31
20200608,false,13947,1570,39,4,164497,18520,333,37
20200609,false,14040,1581,93,10,164796,18554,299,34
20200610,false,14116,1589,76,9,165346,18615,550,62
20200611,false,14183,1597,67,8,165816,18668,470,53
20200612,false,14232,1602,49,6,166164,18708,348,39
20200613,false,14335,1614,103,12,166605,18757,441,50
20200614,false,14372,1618,37,4,166881,18788,276,31
20200615,false,14424,1624,52,6,167103,18813,222,25
20200616,false,14476,1630,52,6,167426,18850,323,36
20200617,false,14518,1635,42,5,167703,18881,277,31
20200618,false,14550,1638,32,4,168107,18926,404,45
20200619,false,14585,1642,35,4,168496,18970,389,44
20200620,false,14608,1645,23,3,168834,19008,338,38
20200621,false,14623,1646,15,2,169142,19043,308,35
20200622,false,14651,1649,28,3,169415,19074,273,31
20200623,false,14707,1656,56,6,169734,19109,319,36
20200624,false,14753,1661,46,5,169892,19127,158,18
20200625,false,14776,1664,23,3,170196,19161,304,34
20200626,false,14819,1668,43,5,170584,19205,388,44
20200627,false,14855,1672,36,4,170873,19238,289,33
20200628,false,14882,1675,27,3,171182,19272,309,35
20200629,false,14901,1678,19,2,171272,19283,90,10
20200630,false,14944,1682,43,5,171667,19327,395,44
20200701,false,14987,1687,43,5,171928,19356,261,29
20200702,false,15014,1690,27,3,172356,19405,428,48
20200703,false,15072,1697,58,7,172742,19448,386,43
20200704,false,15097,1700,25,3,173033,19481,291,33
20200705,false,15119,1702,22,2,173402,19522,369,42
20200706,false,15138,1704,19,2,173611,19546,209,24
20200707,false,15191,1710,53,6,173878,19576,267,30
20200708,false,15243,1716,52,6,174039,19594,161,18
20200709,false,15268,1719,25,3,174240,19617,201,23
20200710,false,15299,1722,31,3,174628,19660,388,44
20200711,false,15345,1728,46,5,174959,19698,331,37
20200712,false,15361,1729,16,2,175298,19736,339,38
20200713,false,15380,1732,19,2,175522,19761,224,25
20200714,false,15402,1734,22,2,175915,19805,393,44
20200715,false,15427,1737,25,3,176278,19846,363,41
20200716,false,15458,1740,31,3,176501,19871,223,25
20200717,false,15477,1742,19,2,176551,19877,50,6
20200718,false,15492,1744,15,2,176814,19907,263,30
20200719,false,15500,1745,8,1,176783,19903,-31,-3
20200720,false,15510,1746,10,1,176963,19923,180,20
20200721,false,15533,1749,23,3,177256,19956,293,33
20200722,false,15557,1751,24,3,177645,20000,389,44
20200723,false,15581,1754,24,3,177887,20027,242,27
20200724,false,15616,1758,35,4,178345,20079,458,52
20200725,false,15627,1759,11,1,178858,20137,513,58
20200726,false,15639,1761,12,1,179363,20194,505,57
20200727,false,15657,1763,18,2,179812,20244,449,51
20200728,false,15679,1765,22,2,180295,20298,483,54
20200729,false,15697,1767,18,2,180766,20352,471,53
20200730,false,15708,1768,11,1,180970,20374,204,23
20200731,false,15719,1770,11,1,181660,20452,690,78
20200801,false,15731,1771,12,1,182029,20494,369,42
20200802,false,15737,1772,6,1,182350,20530,321,36
20200803,false,15747,1773,10,1,182614,20560,264,30
20200804,false,15758,1774,11,1,182970,20600,356,40
20200805,false,15765,1775,7,1,183327,20640,357,40
20200806,false,15772,1776,7,1,183701,20682,374,42
20200807,false,15783,1777,11,1,184061,20722,360,41
20200808,false,15792,1778,9,1,184429,20764,368,41
20200809,false,15797,1779,5,1,184773,20803,344,39
20200810,false,15801,1779,4,0,185031,20832,258,29
20200811,false,15813,1780,12,1,185475,20882,444,50
20200812,false,15824,1782,11,1,185938,20934,463,52
20200813,false,15832,1782,8,1,186594,21008,656,74
