date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,3,1,3,1
20200312,false,0,0,0,0,5,2,2,1
20200313,false,0,0,0,0,10,5,5,2
20200314,false,0,0,0,0,10,5,0,0
20200315,false,0,0,0,0,13,6,3,1
20200316,false,0,0,0,0,17,8,4,2
20200317,false,0,0,0,0,23,11,6,3
20200318,false,0,0,0,0,28,13,5,2
20200319,false,0,0,0,0,35,17,7,3
20200320,false,0,0,0,0,43,21,8,4
20200321,false,0,0,0,0,57,27,14,7
20200322,false,0,0,0,0,57,27,0,0
20200323,false,0,0,0,0,65,31,8,4
20200324,false,0,0,0,0,83,40,18,9
20200325,false,1,0,1,0,100,48,17,8
20200326,false,1,0,0,0,112,53,12,6
20200327,false,1,0,0,0,136,65,24,11
20200328,false,1,0,0,0,191,91,55,26
20200329,false,2,1,1,0,237,113,46,22
20200330,false,2,1,0,0,237,113,0,0
20200331,false,4,2,2,1,281,134,44,21
20200401,false,5,2,1,0,315,150,34,16
20200402,false,6,3,1,0,363,173,48,23
20200403,false,7,3,1,0,403,192,40,19
20200404,false,10,5,3,1,495,236,92,44
20200405,false,11,5,1,0,543,259,48,23
20200406,false,12,6,1,0,624,298,81,39
20200407,false,12,6,0,0,686,327,62,30
20200408,false,13,6,1,0,794,379,108,52
20200409,false,16,8,3,1,865,413,71,34
20200410,false,19,9,3,1,1091,520,226,108
20200411,false,19,9,0,0,1091,520,0,0
20200412,false,20,10,1,0,1174,560,83,40
20200413,false,26,12,6,3,1245,594,71,34
20200414,false,31,15,5,2,1345,641,100,48
20200415,false,36,17,5,2,1407,671,62,30
20200416,false,36,17,0,0,1484,708,77,37
20200417,false,44,21,8,4,1597,762,113,54
20200418,false,51,24,7,3,1711,816,114,54
20200419,false,53,25,2,1,1798,857,87,41
20200420,false,55,26,2,1,1845,880,47,22
20200421,false,58,28,3,1,1971,940,126,60
20200422,false,65,31,7,3,2072,988,101,48
20200423,false,71,34,6,3,2210,1054,138,66
20200424,false,78,37,7,3,2379,1135,169,81
20200425,false,84,40,6,3,2521,1202,142,68
20200426,false,93,44,9,4,2660,1269,139,66
20200427,false,99,47,6,3,2726,1300,66,31
20200428,false,104,50,5,2,2823,1346,97,46
20200429,false,110,52,6,3,2974,1418,151,72
20200430,false,112,53,2,1,3213,1532,239,114
20200501,false,123,59,11,5,3411,1627,198,94
20200502,false,131,62,8,4,3513,1675,102,49
20200503,false,139,66,8,4,3732,1780,219,104
20200504,false,151,72,12,6,3850,1836,118,56
20200505,false,156,74,5,2,4031,1922,181,86
20200506,false,162,77,6,3,4138,1973,107,51
20200507,false,169,81,7,3,4291,2046,153,73
20200508,false,172,82,3,1,4493,2143,202,96
20200509,false,181,86,9,4,4673,2229,180,86
20200510,false,191,91,10,5,4778,2279,105,50
20200511,false,200,95,9,4,4863,2319,85,41
20200512,false,208,99,8,4,5069,2417,206,98
20200513,false,219,104,11,5,5212,2486,143,68
20200514,false,231,110,12,6,5364,2558,152,72
20200515,false,242,115,11,5,5503,2624,139,66
20200516,false,253,121,11,5,5662,2700,159,76
20200517,false,259,124,6,3,5857,2793,195,93
20200518,false,265,126,6,3,5938,2832,81,39
20200519,false,270,129,5,2,6096,2907,158,75
20200520,false,276,132,6,3,6192,2953,96,46
20200521,false,283,135,7,3,6317,3013,125,60
20200522,false,294,140,11,5,6472,3087,155,74
20200523,false,302,144,8,4,6625,3160,153,73
20200524,false,308,147,6,3,6795,3241,170,81
20200525,false,317,151,9,4,6943,3311,148,71
20200526,false,320,153,3,1,7026,3351,83,40
20200527,false,325,155,5,2,7130,3400,104,50
20200528,false,329,157,4,2,7252,3459,122,58
20200529,false,335,160,6,3,7364,3512,112,53
20200530,false,344,164,9,4,7493,3573,129,62
20200531,false,351,167,7,3,7624,3636,131,62
20200601,false,356,170,5,2,7689,3667,65,31
20200602,false,362,173,6,3,7800,3720,111,53
20200603,false,367,175,5,2,8024,3827,224,107
20200604,false,375,179,8,4,8140,3882,116,55
20200605,false,383,183,8,4,8353,3984,213,102
20200606,false,387,185,4,2,8672,4136,319,152
20200607,false,392,187,5,2,8800,4197,128,61
20200608,false,396,189,4,2,8940,4264,140,67
20200609,false,400,191,4,2,9062,4322,122,58
20200610,false,404,193,4,2,9105,4342,43,21
20200611,false,410,196,6,3,9250,4411,145,69
20200612,false,426,203,16,8,9526,4543,276,132
20200613,false,426,203,0,0,9526,4543,0,0
20200614,false,431,206,5,2,9621,4588,95,45
20200615,false,435,207,4,2,9723,4637,102,49
20200616,false,440,210,5,2,9845,4695,122,58
20200617,false,447,213,7,3,9933,4737,88,42
20200618,false,452,216,5,2,10065,4800,132,63
20200619,false,456,217,4,2,10153,4842,88,42
20200620,false,464,221,8,4,10260,4893,107,51
