date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200305,false,0,0,0,0,1,0,0,0
20200306,false,0,0,0,0,3,1,2,1
20200307,false,0,0,0,0,4,1,1,0
20200308,false,0,0,0,0,4,1,0,0
20200309,false,0,0,0,0,5,2,1,0
20200310,false,0,0,0,0,5,2,0,0
20200311,false,0,0,0,0,9,3,4,1
20200312,false,0,0,0,0,12,4,3,1
20200313,false,0,0,0,0,22,7,10,3
20200314,false,0,0,0,0,34,11,12,4
20200315,false,1,0,1,0,45,15,11,4
20200316,false,1,0,0,0,63,20,18,6
20200317,false,1,0,0,0,73,24,10,3
20200318,false,2,1,1,0,78,25,5,2
20200319,false,3,1,1,0,101,33,23,7
20200320,false,3,1,0,0,109,35,8,3
20200321,false,5,2,2,1,124,40,15,5
20200322,false,7,2,2,1,154,50,30,10
20200323,false,8,3,1,0,190,62,36,12
20200324,false,13,4,5,2,278,90,88,29
20200325,false,13,4,0,0,321,104,43,14
20200326,false,17,6,4,1,420,136,99,32
20200327,false,21,7,4,1,535,174,115,37
20200328,false,25,8,4,1,621,202,86,28
20200329,false,28,9,3,1,738,240,117,38
20200330,false,32,10,4,1,996,323,258,84
20200331,false,37,12,5,2,1113,361,117,38
20200401,false,45,15,8,3,1279,415,166,54
20200402,false,51,17,6,2,1458,473,179,58
20200403,false,59,19,8,3,1514,492,56,18
20200404,false,70,23,11,4,1742,566,228,74
20200405,false,76,25,6,2,1836,596,94,31
20200406,false,79,26,3,1,1953,634,117,38
20200407,false,91,30,12,4,2087,678,134,44
20200408,false,101,33,10,3,2318,753,231,75
20200409,false,110,36,9,3,2456,797,138,45
20200410,false,120,39,10,3,2584,839,128,42
20200411,false,125,41,5,2,2700,877,116,38
20200412,false,128,42,3,1,2836,921,136,44
20200413,false,133,43,5,2,2971,965,135,44
20200414,false,141,46,8,3,3088,1003,117,38
20200415,false,150,49,9,3,3211,1042,123,40
20200416,false,158,51,8,3,3321,1078,110,36
20200417,false,162,53,4,1,3524,1144,203,66
20200418,false,168,55,6,2,3626,1177,102,33
20200419,false,172,56,4,1,3728,1210,102,33
20200420,false,180,58,8,3,3830,1243,102,33
20200421,false,193,63,13,4,3937,1278,107,35
