date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200305,false,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,3,0,3,0
20200310,false,0,0,0,0,3,0,0,0
20200311,false,0,0,0,0,4,0,1,0
20200312,false,0,0,0,0,5,0,1,0
20200313,false,0,0,0,0,13,1,8,1
20200314,false,0,0,0,0,13,1,0,0
20200315,false,0,0,0,0,36,3,23,2
20200316,false,0,0,0,0,50,4,14,1
20200317,false,0,0,0,0,67,6,17,1
20200318,false,0,0,0,0,88,8,21,2
20200319,false,0,0,0,0,119,10,31,3
20200320,false,1,0,1,0,169,14,50,4
20200321,false,3,0,2,0,247,21,78,7
20200322,false,3,0,0,0,351,30,104,9
20200323,false,6,1,3,0,442,38,91,8
20200324,false,8,1,2,0,564,48,122,10
20200325,false,10,1,2,0,704,60,140,12
20200326,false,15,1,5,0,867,74,163,14
20200327,false,19,2,4,0,1137,97,270,23
20200328,false,25,2,6,1,1406,120,269,23
20200329,false,29,2,4,0,1653,141,247,21
20200330,false,39,3,10,1,1933,165,280,24
20200331,false,55,5,16,1,2199,188,266,23
20200401,false,65,6,10,1,2547,218,348,30
20200402,false,81,7,16,1,2902,248,355,30
20200403,false,91,8,10,1,3312,283,410,35
20200404,false,102,9,11,1,3739,320,427,37
20200405,false,119,10,17,1,4043,346,304,26
20200406,false,142,12,23,2,4450,381,407,35
20200407,false,167,14,25,2,4782,409,332,28
20200408,false,193,17,26,2,5148,440,366,31
20200409,false,213,18,20,2,5512,472,364,31
20200410,false,231,20,18,2,5878,503,366,31
20200411,false,247,21,16,1,6250,535,372,32
20200412,false,253,22,6,1,6604,565,354,30
20200413,false,274,23,21,2,6975,597,371,32
20200414,false,324,28,50,4,7280,623,305,26
20200415,false,361,31,37,3,7791,667,511,44
20200416,false,389,33,28,2,8414,720,623,53
20200417,false,418,36,29,2,9107,779,693,59
20200418,false,451,39,33,3,10222,874,1115,95
20200419,false,471,40,20,2,11602,993,1380,118
20200420,false,509,44,38,3,12919,1105,1317,113
20200421,false,557,48,48,4,13725,1174,806,69
20200422,false,610,52,53,5,14117,1208,392,34
20200423,false,656,56,46,4,14694,1257,577,49
20200424,false,690,59,34,3,15169,1298,475,41
20200425,false,711,61,21,2,15587,1333,418,36
20200426,false,728,62,17,1,15963,1366,376,32
20200427,false,753,64,25,2,16325,1397,362,31
20200428,false,799,68,46,4,16769,1435,444,38
20200429,false,937,80,138,12,17303,1480,534,46
20200430,false,975,83,38,3,18027,1542,724,62
20200501,false,1002,86,27,2,18743,1603,716,61
20200502,false,1021,87,19,2,19335,1654,592,51
20200503,false,1038,89,17,1,19914,1704,579,50
20200504,false,1056,90,18,2,20474,1752,560,48
20200505,false,1135,97,79,7,20969,1794,495,42
20200506,false,1225,105,90,8,21576,1846,607,52
20200507,false,1271,109,46,4,22131,1893,555,47
20200508,false,1306,112,35,3,23016,1969,885,76
20200509,false,1331,114,25,2,23697,2027,681,58
20200510,false,1341,115,10,1,24081,2060,384,33
20200511,false,1357,116,16,1,24777,2120,696,60
20200512,false,1436,123,79,7,25250,2160,473,40
20200513,false,1483,127,47,4,25721,2200,471,40
20200514,false,1534,131,51,4,26357,2255,636,54
20200515,false,1581,135,47,4,26954,2306,597,51
20200516,false,1610,138,29,2,27474,2350,520,44
20200517,false,1625,139,15,1,27923,2389,449,38
20200518,false,1657,142,32,3,28454,2434,531,45
20200519,false,1720,147,63,5,28952,2477,498,43
20200520,false,1781,152,61,5,29436,2518,484,41
20200521,false,1836,157,55,5,30167,2581,731,63
20200522,false,1872,160,36,3,30794,2634,627,54
20200523,false,1956,167,84,7,31408,2687,614,53
20200524,false,1969,168,13,1,31911,2730,503,43
20200525,false,1987,170,18,2,32477,2778,566,48
20200526,false,2002,171,15,1,33006,2824,529,45
20200527,false,2044,175,42,4,33439,2861,433,37
20200528,false,2098,179,54,5,33915,2901,476,41
20200529,false,2131,182,33,3,34566,2957,651,56
20200530,false,2149,184,18,2,35034,2997,468,40
20200531,false,2155,184,6,1,35513,3038,479,41
20200601,false,2206,189,51,4,35984,3078,471,40
20200602,false,2258,193,52,4,36350,3110,366,31
20200603,false,2299,197,41,4,36792,3148,442,38
20200604,false,2339,200,40,3,37282,3189,490,42
20200605,false,2355,201,16,1,37758,3230,476,41
20200606,false,2370,203,15,1,38111,3260,353,30
20200607,false,2377,203,7,1,38476,3292,365,31
20200608,false,2404,206,27,2,38837,3322,361,31
20200609,false,2421,207,17,1,39162,3350,325,28
20200610,false,2457,210,36,3,39575,3386,413,35
