date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,1,0,0,0
20200308,false,0,0,0,0,1,0,0,0
20200309,false,0,0,0,0,1,0,0,0
20200310,false,0,0,0,0,2,1,1,0
20200311,false,0,0,0,0,2,1,0,0
20200312,false,0,0,0,0,3,1,1,0
20200313,false,0,0,0,0,3,1,0,0
20200314,false,0,0,0,0,4,1,1,0
20200315,false,0,0,0,0,9,2,5,1
20200316,false,0,0,0,0,10,3,1,0
20200317,false,0,0,0,0,17,4,7,2
20200318,false,0,0,0,0,29,7,12,3
20200319,false,1,0,1,0,44,11,15,4
20200320,false,1,0,0,0,49,12,5,1
20200321,false,1,0,0,0,53,13,4,1
20200322,false,2,1,1,0,67,17,14,4
20200323,false,2,1,0,0,81,20,14,4
20200324,false,3,1,1,0,106,27,25,6
20200325,false,5,1,2,1,164,41,58,15
20200326,false,7,2,2,1,248,63,84,21
20200327,false,8,2,1,0,322,81,74,19
20200328,false,15,4,7,2,377,95,55,14
20200329,false,16,4,1,0,429,108,52,13
20200330,false,17,4,1,0,481,122,52,13
20200331,false,23,6,6,2,565,143,84,21
20200401,false,30,8,7,2,719,182,154,39
20200402,false,34,9,4,1,879,222,160,40
20200403,false,38,10,4,1,988,250,109,28
20200404,false,42,11,4,1,1159,293,171,43
20200405,false,46,12,4,1,1252,316,93,24
20200406,false,51,13,5,1,1327,335,75,19
20200407,false,67,17,16,4,1472,372,145,37
20200408,false,79,20,12,3,1524,385,52,13
20200409,false,80,20,1,0,1684,426,160,40
20200410,false,88,22,8,2,1794,453,110,28
20200411,false,94,24,6,2,1868,472,74,19
20200412,false,96,24,2,1,1970,498,102,26
20200413,false,99,25,3,1,2069,523,99,25
20200414,false,108,27,9,2,2184,552,115,29
20200415,false,123,31,15,4,2263,572,79,20
20200416,false,131,33,8,2,2357,596,94,24
20200417,false,136,34,5,1,2465,623,108,27
20200418,false,139,35,3,1,2570,649,105,27
20200419,false,140,35,1,0,2599,657,29,7
20200420,false,143,36,3,1,2680,677,81,20
20200421,false,164,41,21,5,2807,709,127,32
20200422,false,170,43,6,2,2894,731,87,22
20200423,false,179,45,9,2,3017,762,123,31
20200424,false,188,48,9,2,3121,789,104,26
20200425,false,194,49,6,2,3193,807,72,18
20200426,false,195,49,1,0,3253,822,60,15
20200427,false,197,50,2,1,3280,829,27,7
20200428,false,207,52,10,3,3410,862,130,33
20200429,false,214,54,7,2,3473,878,63,16
20200430,false,222,56,8,2,3618,914,145,37
20200501,false,230,58,8,2,3748,947,130,33
20200502,false,238,60,8,2,3851,973,103,26
20200503,false,238,60,0,0,3972,1004,121,31
20200504,false,238,60,0,0,4044,1022,72,18
20200505,false,247,62,9,2,4127,1043,83,21
20200506,false,253,64,6,2,4201,1062,74,19
20200507,false,260,66,7,2,4330,1094,129,33
20200508,false,266,67,6,2,4424,1118,94,24
20200509,false,270,68,4,1,4490,1135,66,17
