date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200304,false,0,0,0,0,3,1,0,0
20200305,false,0,0,0,0,3,1,0,0
20200306,false,0,0,0,0,3,1,0,0
20200307,false,0,0,0,0,7,2,4,1
20200308,false,0,0,0,0,14,3,7,2
20200309,false,0,0,0,0,14,3,0,0
20200310,false,0,0,0,0,15,4,1,0
20200311,false,0,0,0,0,19,5,4,1
20200312,false,0,0,0,0,19,5,0,0
20200313,false,0,0,0,0,30,7,11,3
20200314,false,0,0,0,0,30,7,0,0
20200315,false,0,0,0,0,36,9,6,1
20200316,false,0,0,0,0,39,9,3,1
20200317,false,0,0,0,0,47,11,8,2
20200318,false,3,1,3,1,75,18,28,7
20200319,false,3,1,0,0,88,21,13,3
20200320,false,3,1,0,0,114,27,26,6
20200321,false,3,1,0,0,114,27,0,0
20200322,false,4,1,1,0,161,38,47,11
20200323,false,5,1,1,0,191,45,30,7
20200324,false,8,2,3,1,209,50,18,4
20200325,false,8,2,0,0,209,50,0,0
20200326,false,11,3,3,1,327,78,118,28
20200327,false,12,3,1,0,414,98,87,21
20200328,false,13,3,1,0,479,114,65,15
20200329,false,13,3,0,0,548,130,69,16
20200330,false,16,4,3,1,606,144,58,14
20200331,false,18,4,2,0,690,164,84,20
20200401,false,18,4,0,0,736,175,46,11
20200402,false,21,5,3,1,826,196,90,21
20200403,false,22,5,1,0,899,213,73,17
20200404,false,26,6,4,1,999,237,100,24
20200405,false,27,6,1,0,1068,253,69,16
20200406,false,27,6,0,0,1132,268,64,15
20200407,false,33,8,6,1,1181,280,49,12
20200408,false,33,8,0,0,1239,294,58,14
20200409,false,44,10,11,3,1321,313,82,19
20200410,false,44,10,0,0,1321,313,0,0
20200411,false,48,11,4,1,1371,325,50,12
20200412,false,52,12,4,1,1527,362,156,37
20200413,false,53,13,1,0,1584,376,57,14
20200414,false,55,13,2,0,1633,387,49,12
20200415,false,58,14,3,1,1663,394,30,7
20200416,false,64,15,6,1,1736,412,73,17
20200417,false,70,17,6,1,1785,423,49,12
20200418,false,72,17,2,0,1844,437,59,14
20200419,false,74,18,2,0,1910,453,66,16
20200420,false,75,18,1,0,1956,464,46,11
20200421,false,78,18,3,1,2002,475,46,11
20200422,false,78,18,0,0,2059,488,57,14
20200423,false,83,20,5,1,2127,504,68,16
20200424,false,86,20,3,1,2177,516,50,12
20200425,false,87,21,1,0,2253,534,76,18
20200426,false,91,22,4,1,2311,548,58,14
20200427,false,92,22,1,0,2354,558,43,10
20200428,false,92,22,0,0,2354,558,0,0
20200429,false,101,24,9,2,2446,580,92,22
20200430,false,103,24,2,0,2510,595,64,15
20200501,false,104,25,1,0,2579,611,69,16
20200502,false,109,26,5,1,2635,625,56,13
20200503,false,109,26,0,0,2680,635,45,11
20200504,false,109,26,0,0,2759,654,79,19
20200505,false,113,27,4,1,2839,673,80,19
20200506,false,115,27,2,0,2916,691,77,18
20200507,false,121,29,6,1,2989,709,73,17
20200508,false,124,29,3,1,3068,727,79,19
20200509,false,127,30,3,1,3160,749,92,22
20200510,false,127,30,0,0,3228,765,68,16
20200511,false,130,31,3,1,3286,779,58,14
20200512,false,130,31,0,0,3286,779,0,0
20200513,false,134,32,4,1,3416,810,130,31
20200514,false,137,32,3,1,3479,825,63,15
20200515,false,137,32,0,0,3541,840,62,15
20200516,false,137,32,0,0,3612,856,71,17
20200517,false,137,32,0,0,3623,859,11,3
20200518,false,138,33,1,0,3687,874,64,15
20200519,false,140,33,2,0,3726,883,39,9
20200520,false,144,34,4,1,3801,901,75,18
20200521,false,145,34,1,0,3817,905,16,4
20200522,false,147,35,2,0,3864,916,47,11
20200523,false,147,35,0,0,3888,922,24,6
20200524,false,148,35,1,0,3927,931,39,9
20200525,false,148,35,0,0,3949,936,22,5
20200526,false,148,35,0,0,3967,941,18,4
20200527,false,148,35,0,0,4038,957,71,17
20200528,false,151,36,3,1,4086,969,48,11
20200529,false,151,36,0,0,4131,979,45,11
20200530,false,153,36,2,0,4185,992,54,13
20200531,false,153,36,0,0,4243,1006,58,14
20200601,false,154,37,1,0,4302,1020,59,14
20200602,false,157,37,3,1,4335,1028,33,8
20200603,false,159,38,2,0,4399,1043,64,15
20200604,false,159,38,0,0,4474,1061,75,18
20200605,false,161,38,2,0,4570,1084,96,23
20200606,false,163,39,2,0,4662,1105,92,22
20200607,false,164,39,1,0,4808,1140,146,35
20200608,false,164,39,0,0,4922,1167,114,27
20200609,false,169,40,5,1,4988,1183,66,16
20200610,false,169,40,0,0,5060,1200,72,17
20200611,false,171,41,2,0,5237,1242,177,42
20200612,false,173,41,2,0,5377,1275,140,33
20200613,false,174,41,1,0,5535,1312,158,37
20200614,false,176,42,2,0,5636,1336,101,24
20200615,false,180,43,4,1,5820,1380,184,44
20200616,false,182,43,2,0,6098,1446,278,66
20200617,false,183,43,1,0,6218,1474,120,28
20200618,false,187,44,4,1,6366,1509,148,35
20200619,false,188,45,1,0,6572,1558,206,49
20200620,false,189,45,1,0,6750,1600,178,42
20200621,false,190,45,1,0,6937,1645,187,44
20200622,false,192,46,2,0,7083,1679,146,35
20200623,false,192,46,0,0,7274,1725,191,45
20200624,false,195,46,3,1,7444,1765,170,40
20200625,false,197,47,2,0,7568,1794,124,29
20200626,false,202,48,5,1,7818,1854,250,59
20200627,false,202,48,0,0,8094,1919,276,65
20200628,false,202,48,0,0,8341,1978,247,59
20200629,false,204,48,2,0,8485,2012,144,34
20200630,false,207,49,3,1,8656,2052,171,41
20200701,false,208,49,1,0,8931,2117,275,65
20200702,false,209,50,1,0,9294,2204,363,86
20200703,false,209,50,0,0,9636,2285,342,81
20200704,false,213,51,4,1,9930,2354,294,70
20200705,false,215,51,2,0,10230,2425,300,71
20200706,false,215,51,0,0,10395,2465,165,39
20200707,false,220,52,5,1,10605,2514,210,50
20200708,false,224,53,4,1,10817,2565,212,50
20200709,false,230,55,6,1,11188,2653,371,88
20200710,false,232,55,2,0,11454,2716,266,63
20200711,false,232,55,0,0,11851,2810,397,94
20200712,false,234,55,2,0,12170,2885,319,76
20200713,false,237,56,3,1,12438,2949,268,64
20200714,false,244,58,7,2,12805,3036,367,87
20200715,false,247,59,3,1,13081,3101,276,65
20200716,false,249,59,2,0,13509,3203,428,101
20200717,false,254,60,5,1,13802,3272,293,69
20200718,false,257,61,3,1,14149,3355,347,82
20200719,false,260,62,3,1,14579,3457,430,102
20200720,false,262,62,2,0,14847,3520,268,64
20200721,false,269,64,7,2,15139,3589,292,69
20200722,false,269,64,0,0,15393,3650,254,60
20200723,false,273,65,4,1,15713,3725,320,76
20200724,false,282,67,9,2,16104,3818,391,93
20200725,false,286,68,4,1,16492,3910,388,92
20200726,false,289,69,3,1,16758,3973,266,63
20200727,false,289,69,0,0,17088,4051,330,78
20200728,false,303,72,14,3,17416,4129,328,78
20200729,false,311,74,8,2,17721,4202,305,72
20200730,false,316,75,5,1,18131,4299,410,97
20200731,false,322,76,6,1,18492,4384,361,86
20200801,false,325,77,3,1,18817,4461,325,77
20200802,false,326,77,1,0,19097,4528,280,66
20200803,false,328,78,2,0,19366,4592,269,64
20200804,false,333,79,5,1,19699,4671,333,79
20200805,false,338,80,5,1,19979,4737,280,66
20200806,false,339,80,1,0,20225,4795,246,58
20200807,false,348,83,9,2,20636,4893,411,97
20200808,false,355,84,7,2,21010,4981,374,89
20200809,false,356,84,1,0,21272,5043,262,62
20200810,false,357,85,1,0,21488,5095,216,51
20200811,false,368,87,11,3,21774,5162,286,68
20200812,false,375,89,7,2,22022,5221,248,59
20200813,false,383,91,8,2,22300,5287,278,66
20200814,false,385,91,2,0,22613,5361,313,74
20200815,false,386,92,1,0,23018,5457,405,96
20200816,false,388,92,2,0,23262,5515,244,58
20200817,false,388,92,0,0,23451,5560,189,45
20200818,false,397,94,9,2,23676,5613,225,53
20200819,false,408,97,11,3,23870,5659,194,46
20200820,false,412,98,4,1,24165,5729,295,70
20200821,false,414,98,2,0,24421,5790,256,61
20200822,false,417,99,3,1,24710,5859,289,69
20200823,false,417,99,0,0,24937,5912,227,54
20200824,false,420,100,3,1,25155,5964,218,52
20200825,false,428,101,8,2,25391,6020,236,56
20200826,false,433,103,5,1,25571,6063,180,43
20200827,false,438,104,5,1,25761,6108,190,45
20200828,false,447,106,9,2,26054,6177,293,69
20200829,false,454,108,7,2,26293,6234,239,57
20200830,false,458,109,4,1,26554,6296,261,62
20200831,false,459,109,1,0,26713,6333,159,38
20200901,false,465,110,6,1,26946,6389,233,55
20200902,false,468,111,3,1,27075,6419,129,31
20200903,false,470,111,2,0,27336,6481,261,62
20200904,false,475,113,5,1,27601,6544,265,63
20200905,false,480,114,5,1,27856,6604,255,60
20200906,false,481,114,1,0,28044,6649,188,45
20200907,false,482,114,1,0,28190,6684,146,35
20200908,false,486,115,4,1,28355,6723,165,39
20200909,false,494,117,8,2,28471,6750,116,28
20200910,false,497,118,3,1,28654,6794,183,43
20200911,false,499,118,2,0,28865,6844,211,50
20200912,false,505,120,6,1,29156,6913,291,69
20200913,false,509,121,4,1,29337,6956,181,43
20200914,false,511,121,2,0,29484,6990,147,35
20200915,false,519,123,8,2,29662,7033,178,42
20200916,false,521,124,2,0,29850,7077,188,45
20200917,false,521,124,0,0,29850,7077,0,0
20200918,false,521,124,0,0,30342,7194,492,117
20200919,false,525,124,4,1,30599,7255,257,61
20200920,false,526,125,1,0,30801,7303,202,48
20200921,false,529,125,3,1,30995,7349,194,46
20200922,false,532,126,3,1,31313,7424,318,75
20200923,false,538,128,6,1,31503,7469,190,45
20200924,false,539,128,1,0,31865,7555,362,86
20200925,false,542,129,3,1,32314,7661,449,106
20200926,false,546,129,4,1,32581,7725,267,63
20200927,false,547,130,1,0,32820,7781,239,57
20200928,false,547,130,0,0,32994,7823,174,41
20200929,false,555,132,8,2,33291,7893,297,70
20200930,false,559,133,4,1,33509,7945,218,52
20201001,false,560,133,1,0,33862,8028,353,84
20201002,false,563,133,3,1,34163,8100,301,71
20201003,false,571,135,8,2,34511,8182,348,83
20201004,false,572,136,1,0,34770,8244,259,61
20201005,false,572,136,0,0,35049,8310,279,66
20201006,false,581,138,9,2,35340,8379,291,69
20201007,false,583,138,2,0,35634,8449,294,70
20201008,false,594,141,11,3,36116,8563,482,114
20201009,false,597,142,3,1,36526,8660,410,97
20201010,false,599,142,2,0,36935,8757,409,97
20201011,false,599,142,0,0,37262,8835,327,78
20201012,false,599,142,0,0,37467,8883,205,49
20201013,false,605,143,6,1,37780,8957,313,74
20201014,false,608,144,3,1,38160,9048,380,90
20201015,false,611,145,3,1,38525,9134,365,87
20201016,false,617,146,6,1,38935,9231,410,97
20201017,false,620,147,3,1,39316,9322,381,90
20201018,false,620,147,0,0,39532,9373,216,51
20201019,false,628,149,8,2,39794,9435,262,62
20201020,false,633,150,5,1,40136,9516,342,81
20201021,false,635,151,2,0,40443,9589,307,73
20201022,false,646,153,11,3,40810,9676,367,87
20201023,false,649,154,3,1,41348,9803,538,128
20201024,false,653,155,4,1,41739,9896,391,93
20201025,false,653,155,0,0,42101,9982,362,86
20201026,false,655,155,2,0,42436,10061,335,79
20201027,false,664,157,9,2,42808,10150,372,88
20201028,false,671,159,7,2,43228,10249,420,100
20201029,false,673,160,2,0,43793,10383,565,134
20201030,false,675,160,2,0,44389,10524,596,141
20201031,false,689,163,14,3,44921,10650,532,126
20201101,false,691,164,2,0,45429,10771,508,120
20201102,false,692,164,1,0,45978,10901,549,130
20201103,false,701,166,9,2,46460,11015,482,114
20201104,false,705,167,4,1,47049,11155,589,140
20201105,false,710,168,5,1,47839,11342,790,187
20201106,false,716,170,6,1,48608,11525,769,182
20201107,false,729,173,13,3,49587,11757,979,232
20201108,false,730,173,1,0,50448,11961,861,204
20201109,false,734,174,4,1,51155,12129,707,168
20201110,false,737,175,3,1,51909,12307,754,179
20201111,true,740,175,3,1,52700,12495,791,187
20201112,true,743,176,3,1,53529,12691,829,197
20201113,true,746,177,3,1,54398,12897,869,206
20201114,true,749,178,3,1,55310,13114,912,216
20201115,true,752,178,3,1,56266,13340,956,227
20201116,true,755,179,3,1,57269,13578,1003,238
20201117,true,757,180,3,1,58320,13827,1051,249
20201118,true,760,180,3,1,59423,14089,1102,261
20201119,true,763,181,3,1,60579,14363,1156,274
20201120,true,766,182,3,1,61791,14650,1212,287
20201121,true,769,182,3,1,63062,14952,1271,301
20201122,true,771,183,3,1,64396,15268,1333,316
20201123,true,774,184,3,1,65794,15599,1398,331
20201124,true,777,184,3,1,67260,15947,1466,348
20201125,true,780,185,3,1,68797,16311,1537,364
20201126,true,782,185,3,1,70409,16694,1612,382
20201127,true,785,186,3,1,72099,17094,1690,401
20201128,true,788,187,3,1,73872,17515,1773,420
20201129,true,790,187,3,1,75731,17955,1859,441
20201130,true,793,188,3,1,77680,18418,1949,462
20201201,true,795,189,3,1,79724,18902,2044,485
