date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200306,false,0,0,0,0,2,0,0,0
20200307,false,0,0,0,0,4,0,2,0
20200308,false,0,0,0,0,6,0,2,0
20200309,false,0,0,0,0,10,1,4,0
20200310,false,0,0,0,0,12,1,2,0
20200311,false,0,0,0,0,16,1,4,0
20200312,false,0,0,0,0,22,2,6,0
20200313,false,0,0,0,0,41,3,19,1
20200314,false,0,0,0,0,47,4,6,0
20200315,false,0,0,0,0,63,5,16,1
20200316,false,0,0,0,0,76,6,13,1
20200317,false,0,0,0,0,96,7,20,2
20200318,false,1,0,1,0,133,10,37,3
20200319,false,1,0,0,0,185,14,52,4
20200320,false,1,0,0,0,268,21,83,6
20200321,false,2,0,1,0,371,29,103,8
20200322,false,2,0,0,0,479,37,108,8
20200323,false,6,0,4,0,644,50,165,13
20200324,false,7,1,1,0,851,66,207,16
20200325,false,11,1,4,0,1127,88,276,22
20200326,false,16,1,5,0,1687,132,560,44
20200327,false,22,2,6,0,2218,173,531,41
20200328,false,34,3,12,1,2751,215,533,42
20200329,false,38,3,4,0,3394,265,643,50
20200330,false,49,4,11,1,4087,319,693,54
20200331,false,63,5,14,1,4843,378,756,59
20200401,false,74,6,11,1,5805,453,962,75
20200402,false,90,7,16,1,7016,548,1211,95
20200403,false,102,8,12,1,8420,658,1404,110
20200404,false,136,11,34,3,10017,782,1597,125
20200405,false,150,12,14,1,11510,899,1493,117
20200406,false,162,13,12,1,12980,1014,1470,115
20200407,false,240,19,78,6,14559,1137,1579,123
20200408,false,309,24,69,5,16239,1268,1680,131
20200409,false,338,26,29,2,18228,1424,1989,155
20200410,false,416,32,78,6,19979,1561,1751,137
20200411,false,494,39,78,6,21655,1692,1676,131
20200412,false,507,40,13,1,22833,1784,1178,92
20200413,false,524,41,17,1,24199,1890,1366,107
20200414,false,584,46,60,5,25345,1980,1146,90
20200415,false,647,51,63,5,26490,2069,1145,89
20200416,false,707,55,60,5,27735,2166,1245,97
20200417,false,756,59,49,4,29441,2300,1706,133
20200418,false,836,65,80,6,31069,2427,1628,127
20200419,false,1112,87,276,22,32284,2522,1215,95
20200420,false,1204,94,92,7,33232,2596,948,74
20200421,false,1564,122,360,28,34528,2697,1296,101
20200422,false,1622,127,58,5,35684,2787,1156,90
20200423,false,1421,111,-201,-16,37053,2894,1369,107
20200424,false,1492,117,71,6,38652,3019,1599,125
20200425,false,1537,120,45,4,40049,3128,1397,109
20200426,false,1550,121,13,1,41165,3216,1116,87
20200427,false,1597,125,47,4,42050,3285,885,69
20200428,false,1716,134,119,9,43264,3379,1214,95
20200429,false,2195,171,479,37,44366,3466,1102,86
20200430,false,2292,179,97,8,45763,3575,1397,109
20200501,false,2354,184,62,5,46971,3669,1208,94
20200502,false,2418,189,64,5,48305,3773,1334,104
20200503,false,2444,191,26,2,49267,3848,962,75
20200504,false,2458,192,14,1,50092,3913,825,64
20200505,false,3012,235,554,43,50957,3980,865,68
20200506,false,3106,243,94,7,51845,4050,888,69
20200507,false,3416,267,310,24,52915,4133,1070,84
20200508,false,3616,282,200,16,54238,4237,1323,103
20200509,false,3688,288,72,6,55316,4321,1078,84
20200510,false,3707,290,19,1,56611,4422,1295,101
20200511,false,3731,291,24,2,57154,4464,543,42
20200512,false,3806,297,75,6,57991,4530,837,65
20200513,false,3943,308,137,11,58698,4585,707,55
20200514,false,4218,329,275,21,59636,4658,938,73
20200515,false,4342,339,124,10,60622,4735,986,77
20200516,false,4403,344,61,5,61611,4813,989,77
20200517,false,4418,345,15,1,62234,4861,623,49
20200518,false,4505,352,87,7,63056,4925,822,64
20200519,false,4624,361,119,9,63666,4973,610,48
20200520,false,4624,361,0,0,63666,4973,0,0
20200521,false,4869,380,245,19,65392,5108,1726,135
20200522,false,4984,389,115,9,66258,5176,866,68
20200523,false,5096,398,112,9,66983,5232,725,57
20200524,false,5124,400,28,2,67713,5289,730,57
20200525,false,5139,401,15,1,68186,5326,473,37
20200526,false,5152,402,13,1,68637,5361,451,35
20200527,false,5265,411,113,9,69417,5422,780,61
20200528,false,5373,420,108,8,70042,5471,625,49
20200529,false,5464,427,91,7,71339,5572,1297,101
20200530,false,5537,433,73,6,72031,5627,692,54
20200531,false,5555,434,18,1,72546,5667,515,40
20200601,false,5567,435,12,1,72898,5694,352,27
20200602,false,5667,443,100,8,73510,5742,612,48
20200603,false,5741,448,74,6,74022,5782,512,40
20200604,false,5817,454,76,6,74560,5824,538,42
20200605,false,5886,460,69,5,75005,5859,445,35
20200606,false,5931,463,45,4,75706,5914,701,55
20200607,false,5943,464,12,1,76212,5953,506,40
20200608,false,5953,465,10,1,76563,5981,351,27
20200609,false,6014,470,61,5,77056,6019,493,39
20200610,false,6062,474,48,4,77466,6051,410,32
20200611,false,6113,478,51,4,77933,6088,467,36
20200612,false,6162,481,49,4,77999,6093,66,5
20200613,false,6211,485,49,4,78462,6129,463,36
20200614,false,6215,485,4,0,78798,6155,336,26
20200615,false,6243,488,28,2,79121,6180,323,25
20200616,false,6276,490,33,3,79483,6209,362,28
20200617,false,6319,494,43,3,79818,6235,335,26
20200618,false,6361,497,42,3,80236,6267,418,33
20200619,false,6399,500,38,3,80762,6309,526,41
20200620,false,6419,501,20,2,81266,6348,504,39
20200621,false,6423,502,4,0,81730,6384,464,36
20200622,false,6426,502,3,0,82186,6420,456,36
20200623,false,6464,505,38,3,82696,6460,510,40
20200624,false,6518,509,54,4,83191,6498,495,39
20200625,false,6557,512,39,3,83770,6544,579,45
20200626,false,6579,514,22,2,84370,6590,600,47
20200627,false,6579,514,0,0,84370,6590,0,0
20200628,false,6579,514,0,0,85496,6678,1126,88
20200629,false,6614,517,35,3,85988,6717,492,38
20200630,false,6649,519,35,3,86606,6765,618,48
20200701,false,6649,519,0,0,87242,6815,636,50
20200702,false,6712,524,63,5,88074,6880,832,65
20200703,false,6746,527,34,3,88741,6932,667,52
20200704,false,6749,527,3,0,89375,6981,634,50
20200705,false,6753,527,4,0,89854,7019,479,37
20200706,false,6754,528,1,0,90304,7054,450,35
20200707,false,6787,530,33,3,91299,7132,995,78
20200708,false,6812,532,25,2,92148,7198,849,66
20200709,false,6848,535,36,3,92867,7254,719,56
20200710,false,6880,537,32,2,93876,7333,1009,79
20200711,false,6897,539,17,1,94689,7396,813,64
20200712,false,6904,539,7,1,95266,7441,577,45
20200713,false,6911,540,7,1,95742,7479,476,37
20200714,false,6931,541,20,2,96671,7551,929,73
20200715,false,6957,543,26,2,97665,7629,994,78
20200716,false,6973,545,16,1,98446,7690,781,61
20200717,false,6992,546,19,1,99478,7771,1032,81
20200718,false,7007,547,15,1,100241,7830,763,60
20200719,false,7015,548,8,1,101027,7892,786,61
20200720,false,7018,548,3,0,101738,7947,711,56
20200721,false,7038,550,20,2,102765,8027,1027,80
20200722,false,7063,552,25,2,103396,8077,631,49
20200723,false,7079,553,16,1,104358,8152,962,75
20200724,false,7101,555,22,2,105571,8246,1213,95
20200725,false,7114,556,13,1,106625,8329,1054,82
20200726,false,7118,556,4,0,107425,8391,800,62
20200727,false,7122,556,4,0,108264,8457,839,66
20200728,false,7146,558,24,2,109384,8544,1120,87
20200729,false,7162,559,16,1,110218,8609,834,65
20200730,false,7176,561,14,1,111078,8677,860,67
20200731,false,7189,562,13,1,112048,8752,970,76
20200801,false,7204,563,15,1,112936,8822,888,69
20200802,false,7209,563,5,0,113590,8873,654,51
20200803,false,7209,563,0,0,114155,8917,565,44
20200804,false,7232,565,23,2,115009,8984,854,67
20200805,false,7244,566,12,1,115714,9039,705,55
20200806,false,7282,569,38,3,116521,9102,807,63
20200807,false,7297,570,15,1,117279,9161,758,59
20200808,false,7313,571,16,1,118092,9225,813,64
20200809,false,7314,571,1,0,118852,9284,760,59
20200810,false,7317,572,3,0,119453,9331,601,47
20200811,false,7352,574,35,3,120281,9395,828,65
20200812,false,7385,577,33,3,121130,9462,849,66
20200813,false,7409,579,24,2,122121,9539,991,77
20200814,false,7445,582,36,3,122950,9604,829,65
20200815,false,7465,583,20,2,123800,9670,850,66
20200816,false,7468,583,3,0,124460,9722,660,52
20200817,false,7468,583,0,0,124844,9752,384,30
20200818,false,7499,586,31,2,125579,9809,735,57
20200819,false,7523,588,24,2,126149,9854,570,45
20200820,false,7538,589,15,1,126940,9916,791,62
20200821,false,7558,590,20,2,127633,9970,693,54
20200822,false,7576,592,18,1,128429,10032,796,62
20200823,false,7578,592,2,0,129048,10080,619,48
20200824,false,7579,592,1,0,129474,10114,426,33
20200825,false,7605,594,26,2,130035,10157,561,44
20200826,false,7624,596,19,1,130536,10197,501,39
20200827,false,7635,596,11,1,131156,10245,620,48
20200828,false,7655,598,20,2,131991,10310,835,65
20200829,false,7671,599,16,1,132834,10376,843,66
20200830,false,7673,599,2,0,133504,10428,670,52
20200831,false,7673,599,0,0,134025,10469,521,41
20200901,false,7691,601,18,1,134795,10529,770,60
20200902,false,7712,602,21,2,135611,10593,816,64
20200903,false,7732,604,20,2,136771,10684,1160,91
20200904,false,7742,605,10,1,137662,10753,891,70
20200905,false,7760,606,18,1,138625,10828,963,75
20200906,false,7760,606,0,0,139316,10882,691,54
20200907,false,7780,608,20,2,139863,10925,547,43
20200908,false,7791,609,11,1,140359,10964,496,39
20200909,false,7805,610,14,1,141290,11037,931,73
20200910,false,7820,611,15,1,141877,11082,587,46
20200911,false,7837,612,17,1,142885,11161,1008,79
20200912,false,7837,612,0,0,143805,11233,920,72
20200913,false,7837,612,0,0,143881,11239,76,6
20200914,false,7869,615,32,2,145063,11331,1182,92
20200915,false,7875,615,6,0,146214,11421,1151,90
20200916,false,7903,617,28,2,146990,11482,776,61
20200917,false,7913,618,10,1,147923,11555,933,73
20200918,false,7934,620,21,2,148683,11614,760,59
20200919,false,7956,621,22,2,149845,11705,1162,91
20200920,false,7981,623,25,2,150578,11762,733,57
20200921,false,8004,625,23,2,150812,11780,234,18
20200922,false,8023,627,19,1,151646,11846,834,65
20200923,false,8062,630,39,3,152544,11916,898,70
20200924,false,8079,631,17,1,153397,11982,853,67
20200925,false,8081,631,2,0,154203,12045,806,63
20200926,false,8103,633,22,2,155232,12126,1029,80
20200927,false,8106,633,3,0,156150,12197,918,72
20200928,false,8107,633,1,0,156826,12250,676,53
20200929,false,8123,635,16,1,157814,12327,988,77
20200930,false,8142,636,19,1,158967,12417,1153,90
20201001,false,8160,637,18,1,160123,12508,1156,90
20201002,false,8179,639,19,1,161284,12598,1161,91
20201003,false,8199,640,20,2,161284,12598,0,0
20201004,false,8216,642,17,1,163535,12774,2251,176
20201005,false,8227,643,11,1,164207,12827,672,52
20201006,false,8244,644,17,1,165243,12908,1036,81
20201007,false,8272,646,28,2,166552,13010,1309,102
20201008,false,8299,648,27,2,167928,13117,1376,107
20201009,false,8308,649,9,1,169308,13225,1380,108
20201010,false,8344,652,36,3,171050,13361,1742,136
20201011,false,8350,652,6,0,172216,13452,1166,91
20201012,false,8368,654,18,1,173304,13537,1088,85
20201013,false,8384,655,16,1,174646,13642,1342,105
20201014,false,8411,657,27,2,175922,13742,1276,100
20201015,false,8432,659,21,2,177520,13867,1598,125
20201016,false,8457,661,25,2,179086,13989,1566,122
20201017,false,8466,661,9,1,180943,14134,1857,145
20201018,false,8492,663,26,2,182212,14233,1269,99
20201019,false,8500,664,8,1,183315,14319,1103,86
20201020,false,8533,667,33,3,184872,14441,1557,122
20201021,false,8562,669,29,2,186297,14552,1425,111
20201022,false,8592,671,30,2,188360,14713,2063,161
20201023,false,8625,674,33,3,190579,14887,2219,173
20201024,false,8654,676,29,2,192622,15046,2043,160
20201025,false,8666,677,12,1,194288,15176,1666,130
