date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200316,false,0,0,0,0,5,2,0,0
20200317,false,0,0,0,0,5,2,0,0
20200318,false,0,0,0,0,5,2,0,0
20200319,false,0,0,0,0,5,2,0,0
20200320,false,0,0,0,0,14,4,9,3
20200321,false,0,0,0,0,21,7,7,2
20200322,false,1,0,1,0,23,7,2,1
20200323,false,2,1,1,0,31,10,8,3
20200324,false,2,1,0,0,39,12,8,3
20200325,false,2,1,0,0,51,16,12,4
20200326,false,2,1,0,0,64,20,13,4
20200327,false,3,1,1,0,79,25,15,5
20200328,false,3,1,0,0,100,31,21,7
20200329,false,5,2,2,1,127,40,27,8
20200330,false,6,2,1,0,174,54,47,15
20200331,false,8,3,2,1,239,75,65,20
20200401,false,11,3,3,1,286,90,47,15
20200402,false,12,4,1,0,316,99,30,9
20200403,false,15,5,3,1,378,118,62,19
20200404,false,18,6,3,1,452,142,74,23
20200405,false,20,6,2,1,475,149,23,7
20200406,false,21,7,1,0,513,161,38,12
20200407,false,23,7,2,1,573,179,60,19
20200408,false,24,8,1,0,620,194,47,15
20200409,false,33,10,9,3,683,214,63,20
20200410,false,39,12,6,2,725,227,42,13
20200411,false,42,13,3,1,788,247,63,20
20200412,false,44,14,2,1,897,281,109,34
20200413,false,45,14,1,0,903,283,6,2
20200414,false,45,14,0,0,923,289,20,6
20200415,false,51,16,6,2,974,305,51,16
20200416,false,56,18,5,2,1043,327,69,22
20200417,false,58,18,2,1,1068,334,25,8
20200418,false,60,19,2,1,1118,350,50,16
20200419,false,62,19,2,1,1213,380,95,30
20200420,false,63,20,1,0,1252,392,39,12
20200421,false,64,20,1,0,1298,406,46,14
20200422,false,67,21,3,1,915,287,-383,-120
20200423,false,69,22,2,1,915,287,0,0
20200424,false,77,24,8,3,871,273,-44,-14
20200425,false,83,26,6,2,878,275,7,2
20200426,false,84,26,1,0,891,279,13,4
20200427,false,84,26,0,0,895,280,4,1
20200428,false,86,27,2,1,898,281,3,1
20200429,false,86,27,0,0,904,283,6,2
20200430,false,92,29,6,2,955,299,51,16
20200501,false,92,29,0,0,964,302,9,3
20200502,false,95,30,3,1,973,305,9,3
20200503,false,97,30,2,1,988,309,15,5
20200504,false,97,30,0,0,1001,313,13,4
20200505,false,99,31,2,1,1005,315,4,1
20200506,false,99,31,0,0,1006,315,1,0
20200507,false,102,32,3,1,1013,317,7,2
20200508,false,107,34,5,2,1029,322,16,5
20200509,false,108,34,1,0,1034,324,5,2
20200510,false,111,35,3,1,1040,326,6,2
20200511,false,113,35,2,1,1054,330,14,4
20200512,false,114,36,1,0,1062,333,8,3
20200513,false,115,36,1,0,1064,333,2,1
20200514,false,117,37,2,1,1073,336,9,3
20200515,false,122,38,5,2,1088,341,15,5
20200516,false,122,38,0,0,1114,349,26,8
20200517,false,123,39,1,0,1147,359,33,10
20200518,false,124,39,1,0,1195,374,48,15
20200519,false,124,39,0,0,1207,378,12,4
20200520,false,125,39,1,0,1206,378,-1,0
20200521,false,126,39,1,0,1213,380,7,2
20200522,false,126,39,0,0,1221,382,8,3
20200523,false,127,40,1,0,1870,586,649,203
20200524,false,127,40,0,0,1230,385,-640,-200
20200525,false,129,40,2,1,1240,388,10,3
20200526,false,129,40,0,0,1241,389,1,0
20200527,false,129,40,0,0,1260,395,19,6
20200528,false,131,41,2,1,1280,401,20,6
20200529,false,132,41,1,0,1293,405,13,4
20200530,false,133,42,1,0,1300,407,7,2
20200531,false,136,43,3,1,1304,408,4,1
20200601,false,136,43,0,0,1304,408,0,0
20200602,false,138,43,2,1,1305,409,1,0
20200603,false,140,44,2,1,1313,411,8,3
20200604,false,140,44,0,0,1322,414,9,3
20200605,false,141,44,1,0,1330,416,8,3
20200606,false,142,44,1,0,1360,426,30,9
20200607,false,142,44,0,0,1364,427,4,1
20200608,false,142,44,0,0,1373,430,9,3
20200609,false,142,44,0,0,1386,434,13,4
20200610,false,143,45,1,0,1402,439,16,5
20200611,false,144,45,1,0,1403,439,1,0
20200612,false,146,46,2,1,1443,452,40,13
20200613,false,146,46,0,0,1460,457,17,5
20200614,false,147,46,1,0,1471,461,11,3
20200615,false,147,46,0,0,1477,462,6,2
20200616,false,147,46,0,0,1479,463,2,1
20200617,false,147,46,0,0,1486,465,7,2
20200618,false,147,46,0,0,1496,468,10,3
20200619,false,147,46,0,0,1499,469,3,1
20200620,false,147,46,0,0,1531,479,32,10
20200621,false,149,47,2,1,1533,480,2,1
20200622,false,149,47,0,0,1540,482,7,2
20200623,false,149,47,0,0,1550,485,10,3
20200624,false,149,47,0,0,1577,494,27,8
20200625,false,151,47,2,1,1579,494,2,1
20200626,false,151,47,0,0,1583,496,4,1
20200627,false,152,48,1,0,1602,502,19,6
20200628,false,153,48,1,0,1624,509,22,7
20200629,false,153,48,0,0,1638,513,14,4
20200630,false,153,48,0,0,1693,530,55,17
20200701,false,153,48,0,0,1729,541,36,11
20200702,false,153,48,0,0,1767,553,38,12
20200703,false,154,48,1,0,1791,561,24,8
20200704,false,155,49,1,0,1817,569,26,8
20200705,false,155,49,0,0,1846,578,29,9
20200706,false,155,49,0,0,2071,648,225,70
20200707,false,157,49,2,1,2147,672,76,24
20200708,false,159,50,2,1,2171,680,24,8
20200709,false,159,50,0,0,2235,700,64,20
20200710,false,159,50,0,0,2351,736,116,36
20200711,false,167,52,8,3,2435,762,84,26
20200712,false,167,52,0,0,2583,809,148,46
20200713,false,167,52,0,0,2811,880,228,71
20200714,false,169,53,2,1,2904,909,93,29
20200715,false,171,54,2,1,3043,953,139,44
20200716,false,172,54,1,0,3119,977,76,24
20200717,false,177,55,5,2,3272,1025,153,48
20200718,false,178,56,1,0,3461,1084,189,59
20200719,false,178,56,0,0,3791,1187,330,103
20200720,false,180,56,2,1,4011,1256,220,69
20200721,false,180,56,0,0,4255,1332,244,76
20200722,false,185,58,5,2,4330,1356,75,23
20200723,false,188,59,3,1,4574,1432,244,76
20200724,false,191,60,3,1,4794,1501,220,69
20200725,false,201,63,10,3,5042,1579,248,78
20200726,false,201,63,0,0,5236,1639,194,61
20200727,false,201,63,0,0,5416,1696,180,56
20200728,false,209,65,8,3,5585,1749,169,53
20200729,false,211,66,2,1,5700,1785,115,36
20200730,false,214,67,3,1,5920,1854,220,69
20200731,false,219,69,5,2,5997,1878,77,24
20200801,false,225,70,6,2,6543,2049,546,171
20200802,false,230,72,5,2,6835,2140,292,91
20200803,false,230,72,0,0,7113,2227,278,87
20200804,false,237,74,7,2,7413,2321,300,94
20200805,false,246,77,9,3,7684,2406,271,85
20200806,false,258,81,12,4,7824,2450,140,44
20200807,false,265,83,7,2,8230,2577,406,127
20200808,false,274,86,9,3,8573,2684,343,107
20200809,false,279,87,5,2,8934,2797,361,113
20200810,false,279,87,0,0,9319,2918,385,121
20200811,false,287,90,8,3,9605,3007,286,90
20200812,false,295,92,8,3,10169,3184,564,177
20200813,false,306,96,11,3,10279,3219,110,34
20200814,false,317,99,11,3,10730,3360,451,141
20200815,false,329,103,12,4,11069,3466,339,106
20200816,false,335,105,6,2,11251,3523,182,57
20200817,false,335,105,0,0,11723,3671,472,148
20200818,false,346,108,11,3,12371,3874,648,203
20200819,false,356,111,10,3,12452,3899,81,25
20200820,false,367,115,11,3,12576,3938,124,39
20200821,false,374,117,7,2,13014,4075,438,137
20200822,false,381,119,7,2,13282,4159,268,84
20200823,false,390,122,9,3,13477,4220,195,61
20200824,false,390,122,0,0,13922,4359,445,139
20200825,false,395,124,5,2,13992,4381,70,22
20200826,false,404,126,9,3,14010,4387,18,6
20200827,false,412,129,8,3,14469,4530,459,144
20200828,false,424,133,12,4,14726,4611,257,80
20200829,false,428,134,4,1,14986,4692,260,81
20200830,false,434,136,6,2,15229,4768,243,76
20200831,false,434,136,0,0,15476,4846,247,77
20200901,false,435,136,1,0,15584,4880,108,34
20200902,false,443,139,8,3,15942,4992,358,112
20200903,false,448,140,5,2,16069,5031,127,40
20200904,false,455,142,7,2,16101,5041,32,10
20200905,false,464,145,9,3,16243,5086,142,44
20200906,false,477,149,13,4,16269,5094,26,8
20200907,false,477,149,0,0,16692,5227,423,132
20200908,false,482,151,5,2,16788,5257,96,30
20200909,false,500,157,18,6,16789,5257,1,0
20200910,false,512,160,12,4,17248,5401,459,144
20200911,false,523,164,11,3,17357,5435,109,34
20200912,false,535,168,12,4,17598,5510,241,75
20200913,false,539,169,4,1,17769,5564,171,54
20200914,false,542,170,3,1,17977,5629,208,65
20200915,false,551,173,9,3,18206,5701,229,72
20200916,false,570,178,19,6,18252,5715,46,14
20200917,false,588,184,18,6,18634,5835,382,120
20200918,false,599,188,11,3,19113,5985,479,150
20200919,false,605,189,6,2,19807,6202,694,217
20200920,false,608,190,3,1,20069,6284,262,82
20200921,false,609,191,1,0,20311,6360,242,76
20200922,false,613,192,4,1,20399,6387,88,28
20200923,false,617,193,4,1,20439,6400,40,13
20200924,false,627,196,10,3,21156,6624,717,225
20200925,false,635,199,8,3,21868,6847,712,223
20200926,false,642,201,7,2,22164,6940,296,93
20200927,false,644,202,2,1,22697,7107,533,167
20200928,false,648,203,4,1,23357,7313,660,207
20200929,false,654,205,6,2,23801,7452,444,139
20200930,false,661,207,7,2,24000,7515,199,62
20201001,false,665,208,4,1,24176,7570,176,55
20201002,false,673,211,8,3,24505,7673,329,103
20201003,false,681,213,8,3,24804,7767,299,94
20201004,false,686,215,5,2,25034,7839,230,72
20201005,false,695,218,9,3,25397,7952,363,114
20201006,false,696,218,1,0,25635,8027,238,75
20201007,false,705,221,9,3,25658,8034,23,7
20201008,false,715,224,10,3,26010,8144,352,110
20201009,false,720,225,5,2,26326,8243,316,99
20201010,false,728,228,8,3,26558,8316,232,73
20201011,false,730,229,2,1,26776,8384,218,68
20201012,false,735,230,5,2,27004,8455,228,71
20201013,false,738,231,3,1,27139,8498,135,42
20201014,false,742,232,4,1,27629,8651,490,153
20201015,false,743,233,1,0,27947,8751,318,100
20201016,false,758,237,15,5,28174,8822,227,71
20201017,false,761,238,3,1,28293,8859,119,37
20201018,false,766,240,5,2,28711,8990,418,131
20201019,false,768,240,2,1,29138,9124,427,134
20201020,false,769,241,1,0,29585,9264,447,140
20201021,false,774,242,5,2,29717,9305,132,41
20201022,false,783,245,9,3,29804,9332,87,27
20201023,false,791,248,8,3,30956,9693,1152,361
20201024,false,794,249,3,1,31072,9729,116,36
20201025,false,801,251,7,2,31737,9937,665,208
20201026,false,804,252,3,1,32198,10082,461,144
20201027,false,808,253,4,1,32461,10164,263,82
20201028,false,813,255,5,2,32527,10185,66,21
20201029,false,814,255,1,0,33279,10420,752,235
20201030,false,820,257,6,2,33853,10600,574,180
20201031,false,822,257,2,1,34138,10689,285,89
20201101,false,832,261,10,3,34541,10815,403,126
20201102,false,839,263,7,2,35405,11086,864,271
20201103,false,842,264,3,1,35750,11194,345,108
20201104,false,850,266,8,3,35807,11212,57,18
20201105,false,855,268,5,2,36101,11304,294,92
20201106,false,862,270,7,2,36904,11555,803,251
20201107,false,862,270,0,0,37567,11763,663,208
20201108,false,872,273,10,3,38100,11930,533,167
20201109,false,882,276,10,3,38581,12080,481,151
20201110,false,889,278,7,2,38856,12166,275,86
20201111,true,895,280,6,2,39313,12310,457,143
20201112,true,901,282,6,2,39770,12453,457,143
20201113,true,907,284,6,2,40227,12596,457,143
20201114,true,913,286,6,2,40684,12739,457,143
20201115,true,919,288,6,2,41141,12882,457,143
20201116,true,925,290,6,2,41598,13025,457,143
20201117,true,931,292,6,2,42055,13168,457,143
20201118,true,937,293,6,2,42512,13311,457,143
20201119,true,943,295,6,2,42969,13454,457,143
20201120,true,949,297,6,2,43426,13597,457,143
20201121,true,955,299,6,2,43883,13741,457,143
20201122,true,961,301,6,2,44340,13884,457,143
20201123,true,967,303,6,2,44797,14027,457,143
20201124,true,973,305,6,2,45254,14170,457,143
20201125,true,979,307,6,2,45711,14313,457,143
20201126,true,985,308,6,2,46168,14456,457,143
20201127,true,991,310,6,2,46625,14599,457,143
20201128,true,997,312,6,2,47082,14742,457,143
20201129,true,1003,314,6,2,47539,14885,457,143
20201130,true,1009,316,6,2,47996,15028,457,143
20201201,true,1015,318,6,2,48453,15171,457,143
