date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200301,false,0,0,0,0,2,2,0,0
20200302,false,0,0,0,0,2,2,0,0
20200303,false,0,0,0,0,2,2,0,0
20200304,false,0,0,0,0,2,2,0,0
20200305,false,0,0,0,0,3,3,1,1
20200306,false,0,0,0,0,3,3,0,0
20200307,false,0,0,0,0,3,3,0,0
20200308,false,0,0,0,0,3,3,0,0
20200309,false,0,0,0,0,4,4,1,1
20200310,false,0,0,0,0,5,5,1,1
20200311,false,0,0,0,0,5,5,0,0
20200312,false,0,0,0,0,13,12,8,8
20200313,false,0,0,0,0,19,18,6,6
20200314,false,0,0,0,0,19,18,0,0
20200315,false,0,0,0,0,20,19,1,1
20200316,false,0,0,0,0,22,21,2,2
20200317,false,0,0,0,0,33,31,11,10
20200318,false,0,0,0,0,44,42,11,10
20200319,false,0,0,0,0,61,58,17,16
20200320,false,0,0,0,0,74,70,13,12
20200321,false,0,0,0,0,88,83,14,13
20200322,false,0,0,0,0,113,107,25,24
20200323,false,0,0,0,0,129,122,16,15
20200324,false,0,0,0,0,148,140,19,18
20200325,false,0,0,0,0,176,166,28,26
20200326,false,0,0,0,0,217,205,41,39
20200327,false,0,0,0,0,248,234,31,29
20200328,false,0,0,0,0,312,295,64,60
20200329,false,3,3,3,3,417,394,105,99
20200330,false,4,4,1,1,495,467,78,74
20200331,false,8,8,4,4,568,536,73,69
20200401,false,10,9,2,2,668,631,100,94
20200402,false,12,11,2,2,730,689,62,59
20200403,false,14,13,2,2,831,784,101,95
20200404,false,17,16,3,3,968,914,137,129
20200405,false,25,24,8,8,1150,1086,182,172
20200406,false,27,25,2,2,1356,1280,206,194
20200407,false,30,28,3,3,1617,1526,261,246
20200408,false,35,33,5,5,1890,1784,273,258
20200409,false,43,41,8,8,2169,2047,279,263
20200410,false,49,46,6,6,2573,2429,404,381
20200411,false,56,53,7,7,2853,2693,280,264
20200412,false,63,59,7,7,3142,2966,289,273
20200413,false,73,69,10,9,3329,3142,187,177
20200414,false,80,76,7,7,3596,3394,267,252
20200415,false,87,82,7,7,3903,3684,307,290
20200416,false,105,99,18,17,4295,4054,392,370
20200417,false,118,111,13,12,4585,4328,290,274
20200418,false,150,142,32,30,4868,4595,283,267
20200419,false,164,155,14,13,5207,4915,339,320
20200420,false,175,165,11,10,5585,5272,378,357
20200421,false,186,176,11,10,5972,5637,387,365
20200422,false,201,190,15,14,6354,5998,382,361
20200423,false,213,201,12,11,6773,6393,419,396
20200424,false,202,191,-11,-10,7188,6785,415,392
20200425,false,215,203,13,12,7493,7073,305,288
20200426,false,226,213,11,10,7769,7334,276,261
20200427,false,233,220,7,7,7972,7525,203,192
20200428,false,239,226,6,6,8296,7831,324,306
20200429,false,251,237,12,11,8668,8182,372,351
20200430,false,266,251,15,14,9016,8511,348,328
20200501,false,279,263,13,12,9333,8810,317,299
20200502,false,296,279,17,16,9522,8988,189,178
20200503,false,320,302,24,23,9703,9159,181,171
20200504,false,341,322,21,20,9994,9434,291,275
20200505,false,355,335,14,13,10297,9720,303,286
20200506,false,370,349,15,14,10639,10043,342,323
20200507,false,388,366,18,17,10910,10299,271,256
20200508,false,399,377,11,10,11141,10517,231,218
20200509,false,418,395,19,18,11427,10787,286,270
20200510,false,422,398,4,4,11613,10962,186,176
20200511,false,430,406,8,8,11788,11127,175,165
20200512,false,444,419,14,13,12007,11334,219,207
20200513,false,462,436,18,17,12203,11519,196,185
20200514,false,468,442,6,6,12431,11734,228,215
20200515,false,479,452,11,10,12663,11953,232,219
20200516,false,489,462,10,9,12915,12191,252,238
20200517,false,499,471,10,9,13040,12309,125,118
20200518,false,506,478,7,7,13177,12439,137,129
20200519,false,532,502,26,25,13392,12642,215,203
20200520,false,538,508,6,6,13579,12818,187,177
20200521,false,556,525,18,17,13748,12978,169,160
20200522,false,579,547,23,22,13949,13167,201,190
20200523,false,597,564,18,17,14057,13269,108,102
20200524,false,608,574,11,10,14141,13349,84,79
20200525,false,608,574,0,0,14211,13415,70,66
20200526,false,634,598,26,25,14365,13560,154,145
20200527,false,655,618,21,20,14498,13686,133,126
20200528,false,677,639,22,21,14630,13810,132,125
20200529,false,693,654,16,15,14808,13978,178,168
20200530,false,711,671,18,17,14912,14076,104,98
20200531,false,718,678,7,7,14988,14148,76,72
20200601,false,720,680,2,2,15087,14242,99,93
20200602,false,732,691,12,11,15194,14343,107,101
20200603,false,742,700,10,9,15299,14442,105,99
20200604,false,756,714,14,13,15416,14552,117,110
20200605,false,772,729,16,15,15521,14651,105,99
20200606,false,772,729,0,0,15589,14715,68,64
20200607,false,772,729,0,0,15638,14762,49,46
20200608,false,799,754,27,25,15683,14804,45,42
20200609,false,808,763,9,8,15751,14868,68,64
20200610,false,812,766,4,4,15855,14967,104,98
20200611,false,823,777,11,10,15942,15049,87,82
20200612,false,833,786,10,9,16023,15125,81,76
20200613,false,833,786,0,0,16072,15171,49,46
20200614,false,833,786,0,0,16104,15202,32,30
20200615,false,851,803,18,17,16180,15273,76,72
20200616,false,865,817,14,13,16232,15322,52,49
20200617,false,876,827,11,10,16283,15371,51,48
20200618,false,885,835,9,8,16354,15438,71,67
20200619,false,894,844,9,8,16413,15493,59,56
20200620,false,894,844,0,0,16449,15527,36,34
20200621,false,894,844,0,0,16476,15553,27,25
20200622,false,903,852,9,8,16535,15608,59,56
20200623,false,906,855,3,3,16612,15681,77,73
20200624,false,912,861,6,6,16663,15729,51,48
20200625,false,920,868,8,8,16708,15772,45,42
20200626,false,927,875,7,7,16777,15837,69,65
20200627,false,927,875,0,0,16813,15871,36,34
20200628,false,927,875,0,0,16835,15892,22,21
20200629,false,946,893,19,18,16871,15926,36,34
20200630,false,950,897,4,4,16911,15963,40,38
20200701,false,956,902,6,6,16976,16025,65,61
20200702,false,959,905,3,3,17035,16080,59,56
20200703,false,960,906,1,1,17057,16101,22,21
20200704,false,960,906,0,0,17084,16127,27,25
20200705,false,960,906,0,0,17108,16149,24,23
20200706,false,960,906,0,0,17163,16201,55,52
20200707,false,969,915,9,8,17204,16240,41,39
20200708,false,971,917,2,2,17204,16240,0,0
20200709,false,974,919,3,3,17243,16277,39,37
20200710,false,976,921,2,2,17312,16342,69,65
20200711,false,976,921,0,0,17312,16342,0,0
20200712,false,976,921,0,0,17312,16342,0,0
20200713,false,984,929,8,8,17487,16507,175,165
20200714,false,985,930,1,1,17588,16602,101,95
20200715,false,987,932,2,2,17640,16652,52,49
20200716,false,988,933,1,1,17711,16719,71,67
20200717,false,990,935,2,2,17793,16796,82,77
20200718,false,990,935,0,0,17793,16796,0,0
20200719,false,990,935,0,0,17793,16796,0,0
20200720,false,995,939,5,5,17904,16901,111,105
20200721,false,996,940,1,1,17986,16978,82,77
20200722,false,997,941,1,1,18062,17050,76,72
20200723,false,1001,945,4,4,18148,17131,86,81
20200724,false,1002,946,1,1,18224,17203,76,72
20200725,false,1002,946,0,0,18224,17203,0,0
20200726,false,1002,946,0,0,18224,17203,0,0
20200727,false,1004,948,2,2,18515,17478,291,275
20200728,false,1005,949,1,1,18725,17676,210,198
20200729,false,1007,951,2,2,18800,17747,75,71
20200730,false,1007,951,0,0,18950,17888,150,142
20200731,false,1007,951,0,0,19022,17956,72,68
20200801,false,1007,951,0,0,19022,17956,0,0
20200802,false,1007,951,0,0,19022,17956,0,0
20200803,false,1010,953,3,3,19246,18168,224,211
20200804,false,1011,954,1,1,19390,18303,144,136
20200805,false,1012,955,1,1,19481,18389,91,86
20200806,false,1014,957,2,2,19611,18512,130,123
20200807,false,1014,957,0,0,19738,18632,127,120
20200808,false,1015,958,1,1,19832,18721,94,89
20200809,false,1015,958,0,0,19906,18791,74,70
20200810,false,1015,958,0,0,19934,18817,28,26
20200811,false,1016,959,1,1,20053,18929,119,112
20200812,false,1018,961,2,2,20129,19001,76,72
20200813,false,1019,962,1,1,20240,19106,111,105
20200814,false,1021,964,2,2,20335,19196,95,90
20200815,false,1022,965,1,1,20439,19294,104,98
20200816,false,1022,965,0,0,20514,19365,75,71
20200817,false,1023,966,1,1,20572,19419,58,55
20200818,false,1024,967,1,1,20692,19533,120,113
20200819,false,1027,969,3,3,20795,19630,103,97
20200820,false,1028,970,1,1,20871,19701,76,72
20200821,false,1030,972,2,2,21022,19844,151,143
20200822,false,1035,977,5,5,21175,19988,153,144
20200823,false,1035,977,0,0,21263,20072,88,83
20200824,false,1035,977,0,0,21302,20108,39,37
20200825,false,1039,981,4,4,21372,20174,70,66
20200826,false,1041,983,2,2,21454,20252,82,77
20200827,false,1044,985,3,3,21589,20379,135,127
20200828,false,1046,987,2,2,21683,20468,94,89
20200829,false,1047,988,1,1,21857,20632,174,164
20200830,false,1047,988,0,0,21903,20676,46,43
20200831,false,1048,989,1,1,21949,20719,46,43
20200901,false,1050,991,2,2,22002,20769,53,50
20200902,false,1051,992,1,1,22078,20841,76,72
20200903,false,1055,996,4,4,22143,20902,65,61
20200904,false,1055,996,0,0,22243,20997,100,94
20200905,false,1058,999,3,3,22484,21224,241,227
20200906,false,1058,999,0,0,22519,21257,35,33
20200907,false,1059,1000,1,1,22572,21307,53,50
20200908,false,1059,1000,0,0,22592,21326,20,19
20200909,false,1062,1002,3,3,22676,21405,84,79
20200910,false,1067,1007,5,5,22782,21505,106,100
20200911,false,1071,1011,4,4,22905,21622,123,116
20200912,false,1072,1012,1,1,22999,21710,94,89
20200913,false,1075,1015,3,3,23098,21804,99,93
20200914,false,1075,1015,0,0,23130,21834,32,30
20200915,false,1078,1018,3,3,23250,21947,120,113
20200916,false,1081,1020,3,3,23358,22049,108,102
20200917,false,1085,1024,4,4,23488,22172,130,123
20200918,false,1088,1027,3,3,23620,22296,132,125
20200919,false,1091,1030,3,3,23798,22464,178,168
20200920,false,1094,1033,3,3,23880,22542,82,77
20200921,false,1097,1036,3,3,23932,22591,52,49
20200922,false,1099,1037,2,2,24044,22697,112,106
20200923,false,1102,1040,3,3,24177,22822,133,126
20200924,false,1106,1044,4,4,24311,22949,134,126
20200925,false,1107,1045,1,1,24181,22826,-130,-123
20200926,false,1110,1048,3,3,24284,22923,103,97
20200927,false,1110,1048,0,0,24398,23031,114,108
20200928,false,1110,1048,0,0,24424,23055,26,25
20200929,false,1113,1051,3,3,24556,23180,132,125
20200930,false,1114,1052,1,1,24748,23361,192,181
20201001,false,1117,1054,3,3,24914,23518,166,157
20201002,false,1118,1055,1,1,25076,23671,162,153
20201003,false,1119,1056,1,1,25245,23830,169,160
20201004,false,1120,1057,1,1,25369,23947,124,117
20201005,false,1121,1058,1,1,25419,23995,50,47
20201006,false,1125,1062,4,4,25596,24162,177,167
20201007,false,1126,1063,1,1,25776,24332,180,170
20201008,false,1127,1064,1,1,26045,24586,269,254
20201009,false,1130,1067,3,3,26294,24821,249,235
20201010,false,1132,1069,2,2,26580,25091,286,270
20201011,false,1134,1070,2,2,26750,25251,170,160
20201012,false,1137,1073,3,3,26831,25328,81,76
20201013,false,1139,1075,2,2,26960,25449,129,122
20201014,false,1147,1083,8,8,27164,25642,204,193
20201015,false,1149,1085,2,2,27438,25901,274,259
20201016,false,1152,1087,3,3,27691,26139,253,239
20201017,false,1158,1093,6,6,27978,26410,287,271
20201018,false,1158,1093,0,0,28262,26678,284,268
20201019,false,1159,1094,1,1,28347,26759,85,80
20201020,false,1164,1099,5,5,28649,27044,302,285
20201021,false,1169,1103,5,5,29123,27491,474,447
20201022,false,1173,1107,4,4,29594,27936,471,445
20201023,false,1177,1111,4,4,30118,28430,524,495
20201024,false,1183,1117,6,6,30583,28869,465,439
20201025,false,1183,1117,0,0,30857,29128,274,259
20201026,false,1184,1118,1,1,31024,29286,167,158
20201027,false,1188,1121,4,4,31445,29683,421,397
20201028,false,1192,1125,4,4,31944,30154,499,471
20201029,false,1195,1128,3,3,32312,30501,368,347
20201030,false,1201,1134,6,6,32874,31032,562,531
20201031,false,1204,1137,3,3,33408,31536,534,504
20201101,false,1207,1139,3,3,33888,31989,480,453
20201102,false,1210,1142,3,3,34120,32208,232,219
20201103,false,1212,1144,2,2,34543,32607,423,399
20201104,false,1214,1146,2,2,35122,33154,579,547
20201105,false,1222,1154,8,8,35750,33747,628,593
20201106,false,1224,1155,2,2,36380,34341,630,595
20201107,false,1231,1162,7,7,37175,35092,795,750
20201108,false,1232,1163,1,1,37743,35628,568,536
20201109,false,1233,1164,1,1,38009,35879,266,251
20201110,false,1237,1168,4,4,38798,36624,789,745
20201111,true,1241,1171,4,4,39611,37391,813,767
20201112,true,1245,1175,4,4,40448,38181,837,790
20201113,true,1249,1179,4,4,41310,38995,862,814
20201114,true,1253,1183,4,4,42197,39833,888,838
20201115,true,1257,1187,4,4,43112,40696,914,863
20201116,true,1261,1191,4,4,44053,41585,942,889
20201117,true,1266,1195,4,4,45023,42500,970,916
20201118,true,1270,1199,4,4,46022,43443,999,943
20201119,true,1274,1203,4,4,47051,44414,1029,971
20201120,true,1278,1207,4,4,48111,45415,1060,1000
20201121,true,1282,1211,4,4,49202,46445,1091,1030
20201122,true,1287,1215,4,4,50326,47506,1124,1061
20201123,true,1291,1219,4,4,51483,48599,1158,1093
20201124,true,1295,1223,4,4,52676,49724,1192,1125
20201125,true,1300,1227,4,4,53904,50883,1228,1159
20201126,true,1304,1231,4,4,55168,52077,1265,1194
20201127,true,1308,1235,4,4,56471,53306,1303,1230
20201128,true,1313,1239,4,4,57812,54573,1342,1266
20201129,true,1317,1243,4,4,59194,55877,1382,1304
20201130,true,1321,1247,4,4,60617,57220,1423,1343
20201201,true,1326,1252,4,4,62083,58604,1466,1383
