date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200304,false,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,2,0,2,0
20200308,false,0,0,0,0,2,0,0,0
20200309,false,0,0,0,0,7,1,5,1
20200310,false,0,0,0,0,7,1,0,0
20200311,false,0,0,0,0,9,2,2,0
20200312,false,0,0,0,0,10,2,1,0
20200313,false,0,0,0,0,12,2,2,0
20200314,false,0,0,0,0,13,3,1,0
20200315,false,0,0,0,0,19,4,6,1
20200316,false,1,0,1,0,28,5,9,2
20200317,false,1,0,0,0,33,6,5,1
20200318,false,1,0,0,0,60,12,27,5
20200319,false,1,0,0,0,60,12,0,0
20200320,false,1,0,0,0,81,16,21,4
20200321,false,1,0,0,0,152,30,71,14
20200322,false,3,1,2,0,195,38,43,8
20200323,false,5,1,2,0,298,58,103,20
20200324,false,5,1,0,0,298,58,0,0
20200325,false,7,1,2,0,424,82,126,24
20200326,false,9,2,2,0,456,89,32,6
20200327,false,9,2,0,0,456,89,0,0
20200328,false,13,3,4,1,539,105,83,16
20200329,false,16,3,3,1,774,150,235,46
20200330,false,18,3,2,0,925,180,151,29
20200331,false,22,4,4,1,1083,210,158,31
20200401,false,26,5,4,1,1293,251,210,41
20200402,false,31,6,5,1,1554,302,261,51
20200403,false,31,6,0,0,1554,302,0,0
20200404,false,40,8,9,2,1917,372,363,71
20200405,false,44,9,4,1,2049,398,132,26
20200406,false,44,9,0,0,2049,398,0,0
20200407,false,51,10,7,1,2417,469,368,71
20200408,false,63,12,12,2,2552,496,135,26
20200409,false,67,13,4,1,2792,542,240,47
20200410,false,72,14,5,1,3065,595,273,53
20200411,false,80,16,8,2,3207,623,142,28
20200412,false,82,16,2,0,3319,645,112,22
20200413,false,82,16,0,0,3319,645,0,0
20200414,false,97,19,15,3,3553,690,234,45
20200415,false,107,21,10,2,3656,710,103,20
20200416,false,107,21,0,0,3656,710,0,0
20200417,false,109,21,2,0,3931,763,275,53
20200418,false,119,23,10,2,4246,825,315,61
20200419,false,120,23,1,0,4377,850,131,25
20200420,false,120,23,0,0,4377,850,0,0
20200421,false,124,24,4,1,4439,862,62,12
20200422,false,140,27,16,3,4761,925,322,63
20200423,false,150,29,10,2,4917,955,156,30
20200424,false,150,29,0,0,4917,955,0,0
20200425,false,166,32,16,3,5253,1020,336,65
20200426,false,174,34,8,2,5490,1066,237,46
20200427,false,174,34,0,0,5490,1066,0,0
20200428,false,177,34,3,1,5613,1090,123,24
20200429,false,203,39,26,5,5881,1142,268,52
20200430,false,244,47,41,8,6095,1184,214,42
20200501,false,256,50,12,2,6258,1215,163,32
20200502,false,267,52,11,2,6489,1260,231,45
20200503,false,275,53,8,2,6626,1287,137,27
20200504,false,275,53,0,0,6626,1287,0,0
20200505,false,283,55,8,2,6757,1312,131,25
20200506,false,305,59,22,4,6936,1347,179,35
20200507,false,305,59,0,0,6936,1347,0,0
20200508,false,316,61,11,2,7142,1387,206,40
20200509,false,330,64,14,3,7531,1463,389,76
20200510,false,331,64,1,0,7653,1486,122,24
20200511,false,331,64,0,0,7653,1486,0,0
20200512,false,355,69,24,5,7927,1540,274,53
20200513,false,355,69,0,0,7927,1540,0,0
20200514,false,371,72,16,3,8189,1590,262,51
20200515,false,380,74,9,2,8407,1633,218,42
20200516,false,380,74,0,0,8407,1633,0,0
20200517,false,380,74,0,0,8816,1712,409,79
20200518,false,391,76,11,2,8942,1737,126,24
20200519,false,399,77,8,2,9056,1759,114,22
20200520,false,399,77,0,0,9056,1759,0,0
20200521,false,407,79,8,2,9175,1782,119,23
20200522,false,419,81,12,2,9638,1872,463,90
20200523,false,425,83,6,1,9895,1922,257,50
20200524,false,435,84,10,2,10096,1961,201,39
20200525,false,440,85,5,1,10178,1977,82,16
