date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,5,6,5,6
20200312,false,0,0,0,0,8,9,3,3
20200313,false,0,0,0,0,9,10,1,1
20200314,false,0,0,0,0,9,10,0,0
20200315,false,0,0,0,0,9,10,0,0
20200316,false,0,0,0,0,10,11,1,1
20200317,false,0,0,0,0,11,12,1,1
20200318,false,1,1,1,1,11,12,0,0
20200319,false,1,1,0,0,11,12,0,0
20200320,false,1,1,0,0,14,16,3,3
20200321,false,1,1,0,0,14,16,0,0
20200322,false,1,1,0,0,21,24,7,8
20200323,false,1,1,0,0,28,32,7,8
20200324,false,1,1,0,0,30,34,2,2
20200325,false,1,1,0,0,41,46,11,12
20200326,false,1,1,0,0,46,52,5,6
20200327,false,1,1,0,0,58,66,12,14
20200328,false,1,1,0,0,68,77,10,11
20200329,false,1,1,0,0,90,102,22,25
20200330,false,1,1,0,0,101,114,11,12
20200331,false,1,1,0,0,108,122,7,8
20200401,false,2,2,1,1,129,146,21,24
20200402,false,2,2,0,0,165,187,36,41
20200403,false,2,2,0,0,187,211,22,25
20200404,false,2,2,0,0,212,240,25,28
20200405,false,2,2,0,0,240,271,28,32
20200406,false,4,5,2,2,288,326,48,54
20200407,false,6,7,2,2,320,362,32,36
20200408,false,6,7,0,0,393,444,73,83
20200409,false,6,7,0,0,447,505,54,61
20200410,false,6,7,0,0,536,606,89,101
20200411,false,6,7,0,0,626,708,90,102
20200412,false,6,7,0,0,730,825,104,118
20200413,false,6,7,0,0,868,981,138,156
20200414,false,6,7,0,0,988,1117,120,136
20200415,false,6,7,0,0,1168,1320,180,203
20200416,false,7,8,1,1,1311,1482,143,162
20200417,false,7,8,0,0,1411,1595,100,113
20200418,false,7,8,0,0,1542,1743,131,148
20200419,false,7,8,0,0,1635,1848,93,105
20200420,false,7,8,0,0,1685,1905,50,57
20200421,false,8,9,1,1,1755,1984,70,79
20200422,false,8,9,0,0,1858,2100,103,116
20200423,false,9,10,1,1,1956,2211,98,111
20200424,false,10,11,1,1,2040,2306,84,95
20200425,false,10,11,0,0,2147,2427,107,121
20200426,false,11,12,1,1,2212,2500,65,73
20200427,false,11,12,0,0,2245,2538,33,37
20200428,false,11,12,0,0,2313,2615,68,77
20200429,false,13,15,2,2,2373,2682,60,68
20200430,false,17,19,4,5,2449,2768,76,86
20200501,false,21,24,4,5,2525,2854,76,86
20200502,false,21,24,0,0,2588,2925,63,71
20200503,false,21,24,0,0,2631,2974,43,49
20200504,false,21,24,0,0,2668,3016,37,42
20200505,false,24,27,3,3,2721,3076,53,60
20200506,false,29,33,5,6,2779,3141,58,66
20200507,false,31,35,2,2,2905,3284,126,142
20200508,false,31,35,0,0,3144,3554,239,270
20200509,false,34,38,3,3,3393,3835,249,281
20200510,false,34,38,0,0,3517,3976,124,140
20200511,false,34,38,0,0,3614,4085,97,110
20200512,false,39,44,5,6,3663,4141,49,55
20200513,false,39,44,0,0,3732,4219,69,78
20200514,false,43,49,4,5,3792,4286,60,68
20200515,false,44,50,1,1,3887,4394,95,107
20200516,false,44,50,0,0,3959,4475,72,81
20200517,false,44,50,0,0,3987,4507,28,32
20200518,false,44,50,0,0,4027,4552,40,45
20200519,false,46,52,2,2,4085,4618,58,66
20200520,false,46,52,0,0,4177,4722,92,104
20200521,false,48,54,2,2,4250,4804,73,83
20200522,false,50,57,2,2,4356,4924,106,120
20200523,false,50,57,0,0,4468,5051,112,127
20200524,false,50,57,0,0,4563,5158,95,107
20200525,false,50,57,0,0,4586,5184,23,26
20200526,false,50,57,0,0,4653,5260,67,76
20200527,false,54,61,4,5,4710,5324,57,64
20200528,false,54,61,0,0,4793,5418,83,94
20200529,false,59,67,5,6,4866,5500,73,83
20200530,false,62,70,3,3,4960,5607,94,106
20200531,false,62,70,0,0,4993,5644,33,37
20200601,false,62,70,0,0,5034,5690,41,46
20200602,false,62,70,0,0,5067,5728,33,37
20200603,false,62,70,0,0,5162,5835,95,107
20200604,false,64,72,2,2,5247,5931,85,96
20200605,false,65,73,1,1,5277,5965,30,34
20200606,false,65,73,0,0,5367,6067,90,102
20200607,false,65,73,0,0,5438,6147,71,80
20200608,false,65,73,0,0,5471,6184,33,37
20200609,false,68,77,3,3,5523,6243,52,59
20200610,false,69,78,1,1,5604,6335,81,92
20200611,false,73,83,4,5,5665,6404,61,69
20200612,false,74,84,1,1,5742,6491,77,87
20200613,false,75,85,1,1,5833,6594,91,103
