date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,1,0,0,0
20200308,false,0,0,0,0,1,0,0,0
20200309,false,0,0,0,0,1,0,0,0
20200310,false,0,0,0,0,2,1,1,0
20200311,false,0,0,0,0,2,1,0,0
20200312,false,0,0,0,0,4,1,2,1
20200313,false,0,0,0,0,6,2,2,1
20200314,false,0,0,0,0,6,2,0,0
20200315,false,0,0,0,0,28,9,22,7
20200316,false,0,0,0,0,39,12,11,3
20200317,false,0,0,0,0,51,16,12,4
20200318,false,0,0,0,0,63,20,12,4
20200319,false,0,0,0,0,78,24,15,5
20200320,false,0,0,0,0,112,35,34,11
20200321,false,0,0,0,0,136,42,24,7
20200322,false,1,0,1,0,181,56,45,14
20200323,false,1,0,0,0,257,80,76,24
20200324,false,1,0,0,0,299,93,42,13
20200325,false,1,0,0,0,346,108,47,15
20200326,false,1,0,0,0,402,125,56,17
20200327,false,2,1,1,0,480,150,78,24
20200328,false,2,1,0,0,602,188,122,38
20200329,false,2,1,0,0,719,224,117,36
20200330,false,4,1,2,1,806,251,87,27
20200331,false,5,2,1,0,887,277,81,25
20200401,false,7,2,2,1,1012,316,125,39
20200402,false,7,2,0,0,1074,335,62,19
20200403,false,7,2,0,0,1246,389,172,54
20200404,false,8,2,1,0,1428,445,182,57
20200405,false,8,2,0,0,1605,501,177,55
20200406,false,13,4,5,2,1675,522,70,22
20200407,false,13,4,0,0,1738,542,63,20
20200408,false,13,4,0,0,1846,576,108,34
20200409,false,13,4,0,0,1976,616,130,41
20200410,false,17,5,4,1,2102,656,126,39
20200411,false,18,6,1,0,2206,688,104,32
20200412,false,18,6,0,0,2303,718,97,30
20200413,false,18,6,0,0,2363,737,60,19
20200414,false,19,6,1,0,2412,752,49,15
20200415,false,20,6,1,0,2542,793,130,41
20200416,false,21,7,1,0,2683,837,141,44
20200417,false,23,7,2,1,2805,875,122,38
20200418,false,25,8,2,1,2931,914,126,39
20200419,false,27,8,2,1,3069,957,138,43
20200420,false,28,9,1,0,3213,1002,144,45
20200421,false,32,10,4,1,3296,1028,83,26
20200422,false,34,11,2,1,3445,1075,149,46
20200423,false,35,11,1,0,3612,1127,167,52
20200424,false,39,12,4,1,3782,1180,170,53
20200425,false,41,13,2,1,3948,1231,166,52
20200426,false,41,13,0,0,4123,1286,175,55
20200427,false,41,13,0,0,4233,1320,110,34
20200428,false,45,14,4,1,4343,1355,110,34
20200429,false,45,14,0,0,4495,1402,152,47
20200430,false,46,14,1,0,4672,1457,177,55
20200501,false,46,14,0,0,4828,1506,156,49
20200502,false,49,15,3,1,4981,1554,153,48
20200503,false,50,16,1,0,5175,1614,194,61
20200504,false,50,16,0,0,5317,1658,142,44
20200505,false,56,17,6,2,5449,1700,132,41
20200506,false,58,18,2,1,5595,1745,146,46
20200507,false,61,19,3,1,5724,1785,129,40
20200508,false,61,19,0,0,5919,1846,195,61
20200509,false,66,21,5,2,6103,1904,184,57
