date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200227,false,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,2,0,2,0
20200309,false,0,0,0,0,3,0,1,0
20200310,false,0,0,0,0,8,1,5,1
20200311,false,0,0,0,0,9,1,1,0
20200312,false,0,0,0,0,17,2,8,1
20200313,false,0,0,0,0,30,4,13,2
20200314,false,0,0,0,0,30,4,0,0
20200315,false,1,0,1,0,45,5,15,2
20200316,false,1,0,0,0,51,6,6,1
20200317,false,1,0,0,0,67,8,16,2
20200318,false,1,0,0,0,77,9,10,1
20200319,false,2,0,1,0,94,11,17,2
20200320,false,2,0,0,0,114,13,20,2
20200321,false,2,0,0,0,152,18,38,4
20200322,false,3,0,1,0,219,26,67,8
20200323,false,6,1,3,0,254,30,35,4
20200324,false,7,1,1,0,290,34,36,4
20200325,false,9,1,2,0,391,46,101,12
20200326,false,13,2,4,0,460,54,69,8
20200327,false,14,2,1,0,604,71,144,17
20200328,false,17,2,3,0,739,87,135,16
20200329,false,22,3,5,1,890,104,151,18
20200330,false,25,3,3,0,1020,120,130,15
20200331,false,27,3,2,0,1250,146,230,27
20200401,false,34,4,7,1,1484,174,234,27
20200402,false,41,5,7,1,1706,200,222,26
20200403,false,46,5,5,1,2012,236,306,36
20200404,false,52,6,6,1,2407,282,395,46
20200405,false,51,6,-1,0,2637,309,230,27
20200406,false,54,6,3,0,2878,337,241,28
20200407,false,63,7,9,1,3333,390,455,53
20200408,false,75,9,12,1,3645,427,312,37
20200409,false,109,13,34,4,4042,474,397,47
20200410,false,121,14,12,1,4509,528,467,55
20200411,false,130,15,9,1,5077,595,568,67
20200412,false,141,17,11,1,5274,618,197,23
20200413,false,149,17,8,1,5747,673,473,55
20200414,false,154,18,5,1,6171,723,424,50
20200415,false,195,23,41,5,6500,762,329,39
20200416,false,208,24,13,2,6889,807,389,46
20200417,false,231,27,23,3,7491,878,602,71
20200418,false,258,30,27,3,8053,943,562,66
20200419,false,277,32,19,2,8537,1000,484,57
20200420,false,300,35,23,3,8990,1053,453,53
20200421,false,324,38,24,3,9630,1128,640,75
20200422,false,349,41,25,3,10266,1203,636,75
20200423,false,372,44,23,3,10998,1288,732,86
20200424,false,410,48,38,4,11594,1358,596,70
20200425,false,436,51,26,3,12366,1449,772,90
20200426,false,448,52,12,1,12970,1520,604,71
20200427,false,458,54,10,1,13535,1586,565,66
20200428,false,492,58,34,4,14339,1680,804,94
20200429,false,522,61,30,4,14961,1753,622,73
20200430,false,552,65,30,4,15846,1856,885,104
20200501,false,581,68,29,3,16901,1980,1055,124
20200502,false,616,72,35,4,17731,2077,830,97
20200503,false,660,77,44,5,18671,2187,940,110
20200504,false,684,80,24,3,19492,2284,821,96
20200505,false,713,84,29,3,20256,2373,764,90
20200506,false,713,84,0,0,20256,2373,0,0
20200507,false,769,90,56,7,21570,2527,1314,154
20200508,false,812,95,43,5,22342,2618,772,90
20200509,false,827,97,15,2,23196,2718,854,100
20200510,false,839,98,12,1,24081,2821,885,104
20200511,false,850,100,11,1,25070,2937,989,116
20200512,false,891,104,41,5,25800,3023,730,86
20200513,false,927,109,36,4,26746,3133,946,111
20200514,false,955,112,28,3,27813,3259,1067,125
20200515,false,977,114,22,3,28672,3359,859,101
20200516,false,1002,117,25,3,29683,3478,1011,118
20200517,false,1009,118,7,1,30388,3560,705,83
20200518,false,1014,119,5,1,31140,3648,752,88
20200519,false,1041,122,27,3,32145,3766,1005,118
20200520,false,1074,126,33,4,32908,3855,763,89
20200521,false,1099,129,25,3,34137,3999,1229,144
20200522,false,1136,133,37,4,34950,4095,813,95
20200523,false,1159,136,23,3,35749,4188,799,94
20200524,false,1171,137,12,1,36244,4246,495,58
20200525,false,1208,142,37,4,37727,4420,1483,174
20200526,false,1236,145,28,3,39342,4609,1615,189
20200527,false,1281,150,45,5,40249,4715,907,106
20200528,false,1338,157,57,7,41401,4850,1152,135
20200529,false,1358,159,20,2,42533,4983,1132,133
20200530,false,1370,161,12,1,43611,5109,1078,126
20200531,false,1375,161,5,1,44607,5226,996,117
20200601,false,1392,163,17,2,45398,5319,791,93
20200602,false,1407,165,15,2,46239,5417,841,99
20200603,false,1428,167,21,2,46905,5495,666,78
20200604,false,1445,169,17,2,47856,5607,951,111
20200605,false,1453,170,8,1,48532,5686,676,79
20200606,false,1460,171,7,1,49397,5787,865,101
20200607,false,1472,172,12,1,50681,5938,1284,150
20200608,false,1477,173,5,1,51251,6004,570,67
20200609,false,1496,175,19,2,51738,6061,487,57
20200610,false,1514,177,18,2,52177,6113,439,51
20200611,false,1520,178,6,1,52647,6168,470,55
20200612,false,1534,180,14,2,53211,6234,564,66
20200613,false,1541,181,7,1,53869,6311,658,77
20200614,false,1546,181,5,1,54506,6386,637,75
20200615,false,1552,182,6,1,54886,6430,380,45
20200616,false,1570,184,18,2,55331,6482,445,52
20200617,false,1583,185,13,2,55775,6534,444,52
20200618,false,1586,186,3,0,56238,6589,463,54
20200619,false,1602,188,16,2,56793,6654,555,65
20200620,false,1607,188,5,1,57443,6730,650,76
20200621,false,1611,189,4,0,57994,6794,551,65
20200622,false,1620,190,9,1,58465,6850,471,55
20200623,false,1645,193,25,3,58994,6912,529,62
20200624,false,1661,195,16,2,59514,6973,520,61
20200625,false,1675,196,14,2,59946,7023,432,51
20200626,false,1700,199,25,3,60570,7096,624,73
20200627,false,1724,202,24,3,61247,7176,677,79
20200628,false,1732,203,8,1,61736,7233,489,57
20200629,false,1740,204,8,1,62189,7286,453,53
20200630,false,1763,207,23,3,62787,7356,598,70
20200701,false,1786,209,23,3,63203,7405,416,49
20200702,false,1816,213,30,4,63735,7467,532,62
20200703,false,1845,216,29,3,64393,7544,658,77
20200704,false,1849,217,4,0,65109,7628,716,84
20200705,false,1853,217,4,0,65748,7703,639,75
20200706,false,1853,217,0,0,66102,7744,354,41
20200707,false,1881,220,28,3,66740,7819,638,75
20200708,false,1905,223,24,3,67375,7893,635,74
20200709,false,1937,227,32,4,67988,7965,613,72
20200710,false,1958,229,21,2,68931,8076,943,110
