date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200316,false,0,0,0,0,1,10,0,0
20200317,false,0,0,0,0,2,19,1,10
20200318,false,0,0,0,0,2,19,0,0
20200319,false,0,0,0,0,3,29,1,10
20200320,false,0,0,0,0,3,29,0,0
20200321,false,0,0,0,0,6,57,3,29
20200322,false,0,0,0,0,6,57,0,0
20200323,false,0,0,0,0,17,162,11,105
20200324,false,0,0,0,0,17,162,0,0
20200325,false,0,0,0,0,17,162,0,0
20200326,false,0,0,0,0,17,162,0,0
20200327,false,0,0,0,0,19,181,2,19
20200328,false,0,0,0,0,22,210,3,29
20200329,false,0,0,0,0,23,219,1,10
20200330,false,0,0,0,0,30,286,7,67
20200331,false,0,0,0,0,30,286,0,0
20200401,false,0,0,0,0,30,286,0,0
20200402,false,0,0,0,0,33,315,3,29
20200403,false,0,0,0,0,38,362,5,48
20200404,false,0,0,0,0,40,381,2,19
20200405,false,1,10,1,10,42,400,2,19
20200406,false,1,10,0,0,43,410,1,10
20200407,false,1,10,0,0,43,410,0,0
20200408,false,1,10,0,0,45,429,2,19
20200409,false,1,10,0,0,46,438,1,10
20200410,false,1,10,0,0,50,477,4,38
20200411,false,1,10,0,0,51,486,1,10
20200412,false,1,10,0,0,51,486,0,0
20200413,false,1,10,0,0,51,486,0,0
20200414,false,1,10,0,0,51,486,0,0
20200415,false,1,10,0,0,51,486,0,0
20200416,false,1,10,0,0,51,486,0,0
20200417,false,2,19,1,10,51,486,0,0
20200418,false,3,29,1,10,53,505,2,19
20200419,false,3,29,0,0,53,505,0,0
20200420,false,3,29,0,0,53,505,0,0
20200421,false,3,29,0,0,54,515,1,10
20200422,false,3,29,0,0,54,515,0,0
20200423,false,3,29,0,0,54,515,0,0
20200424,false,3,29,0,0,54,515,0,0
20200425,false,3,29,0,0,55,524,1,10
20200426,false,4,38,1,10,57,543,2,19
20200427,false,4,38,0,0,59,562,2,19
20200428,false,4,38,0,0,59,562,0,0
20200429,false,4,38,0,0,62,591,3,29
20200430,false,4,38,0,0,66,629,4,38
20200501,false,4,38,0,0,66,629,0,0
20200502,false,4,38,0,0,66,629,0,0
20200503,false,4,38,0,0,66,629,0,0
20200504,false,4,38,0,0,66,629,0,0
20200505,false,4,38,0,0,66,629,0,0
20200506,false,4,38,0,0,66,629,0,0
20200507,false,4,38,0,0,66,629,0,0
20200508,false,4,38,0,0,68,648,2,19
20200509,false,4,38,0,0,68,648,0,0
20200510,false,4,38,0,0,69,658,1,10
20200511,false,5,48,1,10,69,658,0,0
20200512,false,6,57,1,10,69,658,0,0
20200513,false,6,57,0,0,69,658,0,0
