date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,0,0,0,0,0,0
20200313,false,0,0,0,0,0,0,0,0,0,0,0,0
20200314,false,0,0,0,0,0,0,0,0,0,0,0,0
20200315,false,0,0,0,0,0,0,0,0,0,0,0,0
20200316,false,0,0,0,0,0,0,0,0,0,0,0,0
20200317,false,0,0,0,0,0,0,3,4,3,0,4,0
20200318,false,0,0,0,0,0,0,8,11,5,0,7,0
20200319,false,0,0,0,0,0,0,11,15,3,1,4,1
20200320,false,0,0,0,0,0,0,14,19,3,2,4,3
20200321,false,0,0,0,0,0,0,15,21,1,2,1,3
20200322,false,0,0,0,0,0,0,25,34,10,2,14,3
20200323,false,0,0,0,0,0,0,38,52,13,4,18,5
20200324,false,0,0,0,0,0,0,42,57,4,5,5,7
20200325,false,1,1,1,0,1,0,49,67,7,6,10,8
20200326,false,1,1,0,0,0,0,63,86,14,6,19,8
20200327,false,1,1,0,0,0,0,74,101,11,7,15,10
20200328,false,2,3,1,0,1,0,91,124,17,9,23,12
20200329,false,2,3,0,0,0,0,110,150,19,11,26,15
20200330,false,3,4,1,0,1,0,118,161,8,12,11,16
20200331,false,3,4,0,0,0,0,128,175,10,11,14,15
20200401,false,3,4,0,0,0,0,141,193,13,12,18,16
20200402,false,3,4,0,0,0,0,149,204,8,13,11,18
20200403,false,3,4,0,0,0,0,160,219,11,12,15,16
20200404,false,5,7,2,0,3,0,171,234,11,12,15,16
20200405,false,6,8,1,0,1,0,185,253,14,11,19,15
20200406,false,6,8,0,1,0,1,191,261,6,11,8,15
20200407,false,6,8,0,0,0,0,213,291,22,10,30,14
20200408,false,7,10,1,0,1,0,226,309,13,12,18,16
20200409,false,7,10,0,1,0,1,235,321,9,12,12,16
20200410,false,7,10,0,1,0,1,246,336,11,12,15,16
20200411,false,8,11,1,1,1,1,257,351,11,12,15,16
20200412,false,8,11,0,0,0,0,272,372,15,12,21,16
20200413,false,8,11,0,0,0,0,277,379,5,12,7,16
20200414,false,9,12,1,0,1,0,285,390,8,12,11,16
20200415,false,9,12,0,0,0,0,293,401,8,10,11,14
20200416,false,9,12,0,0,0,0,300,410,7,10,10,14
20200417,false,9,12,0,0,0,0,309,422,9,9,12,12
20200418,false,9,12,0,0,0,0,314,429,5,9,7,12
20200419,false,9,12,0,0,0,0,319,436,5,8,7,11
20200420,false,9,12,0,0,0,0,321,439,2,7,3,10
20200421,false,9,12,0,0,0,0,329,450,8,6,11,8
20200422,false,9,12,0,0,0,0,335,458,6,6,8,8
20200423,false,9,12,0,0,0,0,337,461,2,6,3,8
20200424,false,9,12,0,0,0,0,339,463,2,5,3,7
20200425,false,9,12,0,0,0,0,339,463,0,4,0,5
20200426,false,9,12,0,0,0,0,341,466,2,4,3,5
20200427,false,9,12,0,0,0,0,345,472,4,3,5,4
20200428,false,9,12,0,0,0,0,351,480,6,3,8,4
20200429,false,9,12,0,0,0,0,355,485,4,3,5,4
20200430,false,9,12,0,0,0,0,355,485,0,3,0,4
20200501,false,9,12,0,0,0,0,364,498,9,3,12,4
20200502,false,9,12,0,0,0,0,365,499,1,4,1,5
20200503,false,9,12,0,0,0,0,368,503,3,4,4,5
20200504,false,9,12,0,0,0,0,370,506,2,4,3,5
20200505,false,9,12,0,0,0,0,371,507,1,4,1,5
20200506,false,10,14,1,0,1,0,372,509,1,3,1,4
20200507,false,10,14,0,0,0,0,374,511,2,2,3,3
20200508,false,10,14,0,0,0,0,377,515,3,3,4,4
20200509,false,10,14,0,0,0,0,378,517,1,2,1,3
20200510,false,10,14,0,0,0,0,379,518,1,2,1,3
20200511,false,10,14,0,0,0,0,381,521,2,2,3,3
20200512,false,10,14,0,0,0,0,383,524,2,2,3,3
20200513,false,10,14,0,0,0,0,384,525,1,2,1,3
20200514,false,10,14,0,0,0,0,389,532,5,2,7,3
20200515,false,10,14,0,0,0,0,390,533,1,2,1,3
20200516,false,10,14,0,0,0,0,394,539,4,2,5,3
20200517,false,10,14,0,0,0,0,398,544,4,2,5,3
20200518,false,10,14,0,0,0,0,401,548,3,3,4,4
20200519,false,10,14,0,0,0,0,401,548,0,3,0,4
20200520,false,10,14,0,0,0,0,404,552,3,3,4,4
20200521,false,10,14,0,0,0,0,404,552,0,3,0,4
20200522,false,10,14,0,0,0,0,406,555,2,2,3,3
20200523,false,10,14,0,0,0,0,410,560,4,2,5,3
20200524,false,10,14,0,0,0,0,410,560,0,2,0,3
20200525,false,10,14,0,0,0,0,411,562,1,2,1,3
20200526,false,10,14,0,0,0,0,413,565,2,1,3,1
20200527,false,10,14,0,0,0,0,414,566,1,2,1,3
20200528,false,10,14,0,0,0,0,427,584,13,1,18,1
20200529,false,10,14,0,0,0,0,432,591,5,3,7,4
20200530,false,10,14,0,0,0,0,435,595,3,4,4,5
20200531,false,10,14,0,0,0,0,463,633,28,4,38,5
20200601,false,10,14,0,0,0,0,470,642,7,8,10,11
20200602,false,10,14,0,0,0,0,490,670,20,8,27,11
20200603,false,10,14,0,0,0,0,508,694,18,11,25,15
20200604,false,10,14,0,0,0,0,518,708,10,13,14,18
20200605,false,10,14,0,0,0,0,529,723,11,13,15,18
20200606,false,10,14,0,0,0,0,541,740,12,14,16,19
20200607,false,10,14,0,0,0,0,549,750,8,15,11,21
20200608,false,10,14,0,0,0,0,567,775,18,12,25,16
20200609,false,11,15,1,0,1,0,578,790,11,14,15,19
20200610,false,11,15,0,0,0,0,598,817,20,13,27,18
20200611,false,11,15,0,0,0,0,616,842,18,13,25,18
20200612,false,12,16,1,0,1,0,630,861,14,14,19,19
20200613,false,12,16,0,0,0,0,656,897,26,14,36,19
20200614,false,12,16,0,0,0,0,665,909,9,16,12,22
20200615,false,12,16,0,0,0,0,668,913,3,17,4,23
20200616,false,12,16,0,0,0,0,681,931,13,14,18,19
20200617,false,12,16,0,0,0,0,701,958,20,15,27,21
20200618,false,12,16,0,0,0,0,713,975,12,15,16,21
20200619,false,12,16,0,0,0,0,729,997,16,14,22,19
20200620,false,12,16,0,0,0,0,750,1025,21,14,29,19
20200621,false,12,16,0,0,0,0,761,1040,11,13,15,18
20200622,false,12,16,0,0,0,0,767,1048,6,14,8,19
20200623,false,12,16,0,0,0,0,783,1070,16,14,22,19
20200624,false,12,16,0,0,0,0,797,1089,14,15,19,21
20200625,false,12,16,0,0,0,0,821,1122,24,14,33,19
20200626,false,14,19,2,0,3,0,839,1147,18,15,25,21
20200627,false,14,19,0,0,0,0,858,1173,19,16,26,22
20200628,false,14,19,0,0,0,0,887,1213,29,15,40,21
20200629,false,14,19,0,0,0,0,908,1241,21,18,29,25
20200630,false,14,19,0,0,0,0,944,1290,36,20,49,27
20200701,false,14,19,0,0,0,0,982,1342,38,23,52,31
20200702,false,14,19,0,0,0,0,1020,1394,38,26,52,36
20200703,false,15,21,1,0,1,0,1065,1456,45,28,62,38
20200704,false,16,22,1,0,1,0,1114,1523,49,32,67,44
20200705,false,16,22,0,0,0,0,1141,1560,27,37,37,51
20200706,false,16,22,0,0,0,0,1168,1597,27,36,37,49
20200707,false,17,23,1,0,1,0,1186,1621,18,37,25,51
20200708,false,17,23,0,0,0,0,1226,1676,40,35,55,48
20200709,false,17,23,0,0,0,0,1273,1740,47,35,64,48
20200710,false,17,23,0,0,0,0,1323,1809,50,36,68,49
20200711,false,17,23,0,0,0,0,1386,1895,63,37,86,51
20200712,false,17,23,0,0,0,0,1478,2020,92,39,126,53
20200713,false,17,23,0,0,0,0,1537,2101,59,48,81,66
20200714,false,17,23,0,0,0,0,1580,2160,43,53,59,72
20200715,false,17,23,0,0,0,0,1631,2230,51,56,70,77
20200716,false,17,23,0,0,0,0,1695,2317,64,58,87,79
20200717,false,17,23,0,0,0,0,1737,2374,42,60,57,82
20200718,false,18,25,1,0,1,0,1799,2459,62,59,85,81
20200719,false,18,25,0,0,0,0,1882,2573,83,59,113,81
20200720,false,18,25,0,0,0,0,1955,2672,73,58,100,79
20200721,false,18,25,0,0,0,0,2045,2795,90,60,123,82
20200722,false,19,26,1,0,1,0,2139,2924,94,66,128,90
20200723,false,19,26,0,0,0,0,2203,3011,64,73,87,100
20200724,false,19,26,0,0,0,0,2260,3089,57,73,78,100
20200725,false,20,27,1,0,1,0,2348,3210,88,75,120,103
20200726,false,20,27,0,0,0,0,2533,3463,185,78,253,107
20200727,false,21,29,1,0,1,0,2627,3591,94,93,128,127
20200728,false,22,30,1,0,1,0,2735,3739,108,96,148,131
20200729,false,22,30,0,1,0,1,2803,3832,68,99,93,135
20200730,false,23,31,1,0,1,0,2887,3946,84,95,115,130
20200731,false,23,31,0,1,0,1,2993,4091,106,98,145,134
20200801,false,24,33,1,1,1,1,3137,4288,144,105,197,144
20200802,false,24,33,0,1,0,1,3273,4474,136,113,186,154
20200803,false,25,34,1,1,1,1,3331,4553,58,106,79,145
20200804,false,25,34,0,1,0,1,3392,4637,61,101,83,138
20200805,false,25,34,0,0,0,0,3447,4712,55,94,75,128
20200806,false,25,34,0,0,0,0,3487,4767,40,92,55,126
20200807,false,25,34,0,0,0,0,3542,4842,55,86,75,118
20200808,false,26,36,1,0,1,0,3621,4950,79,78,108,107
20200809,false,26,36,0,0,0,0,3718,5082,97,69,133,94
20200810,false,26,36,0,0,0,0,3786,5175,68,64,93,87
20200811,false,26,36,0,0,0,0,3835,5242,49,65,67,89
20200812,false,27,37,1,0,1,0,3896,5326,61,63,83,86
20200813,false,27,37,0,0,0,0,3978,5438,82,64,112,87
20200814,false,27,37,0,0,0,0,4078,5575,100,70,137,96
20200815,false,28,38,1,0,1,0,4162,5689,84,77,115,105
20200816,false,28,38,0,0,0,0,4263,5827,101,77,138,105
20200817,false,28,38,0,0,0,0,4313,5896,50,78,68,107
20200818,false,29,40,1,0,1,0,4379,5986,66,75,90,103
20200819,false,29,40,0,0,0,0,4452,6086,73,78,100,107
20200820,false,29,40,0,0,0,0,4535,6199,83,79,113,108
20200821,false,30,41,1,0,1,0,4604,6294,69,80,94,109
20200822,false,31,42,1,0,1,0,4692,6414,88,75,120,103
20200823,false,32,44,1,0,1,0,4758,6504,66,76,90,104
20200824,false,32,44,0,1,0,1,4829,6601,71,71,97,97
20200825,false,36,49,4,1,5,1,4862,6646,33,74,45,101
20200826,false,37,51,1,1,1,1,4914,6717,52,69,71,94
20200827,false,37,51,0,1,0,1,4998,6832,84,66,115,90
20200828,false,37,51,0,1,0,1,5114,6991,116,66,159,90
20200829,false,37,51,0,1,0,1,5207,7118,93,73,127,100
20200830,false,37,51,0,1,0,1,5250,7177,43,74,59,101
20200831,false,37,51,0,1,0,1,5286,7226,36,70,49,96
20200901,false,39,53,2,1,3,1,5321,7274,35,65,48,89
20200902,false,39,53,0,0,0,0,5387,7364,66,66,90,90
20200903,false,40,55,1,0,1,0,5475,7484,88,68,120,93
