date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,6,2,6,6,2,2
20200313,false,0,0,0,0,0,0,9,3,3,3,1,1
20200314,false,0,0,0,0,0,0,12,4,3,1,1,0
20200315,false,0,0,0,0,0,0,16,5,4,2,1,1
20200316,false,0,0,0,0,0,0,22,7,6,2,2,1
20200317,false,0,0,0,0,0,0,22,7,0,3,0,1
20200318,false,0,0,0,0,0,0,33,11,11,3,4,1
20200319,false,0,0,0,0,0,0,46,15,13,5,4,2
20200320,false,0,0,0,0,0,0,96,32,50,6,17,2
20200321,false,0,0,0,0,0,0,118,39,22,12,7,4
20200322,false,0,0,0,0,0,0,165,55,47,15,16,5
20200323,false,0,0,0,0,0,0,174,58,9,21,3,7
20200324,false,0,0,0,0,0,0,218,72,44,22,15,7
20200325,false,2,1,2,0,1,0,280,93,62,28,21,9
20200326,false,3,1,1,0,0,0,335,111,55,35,18,12
20200327,false,3,1,0,0,0,0,381,126,46,41,15,14
20200328,false,5,2,2,0,1,0,404,134,23,41,8,14
20200329,false,6,2,1,1,0,0,426,141,22,41,7,14
20200330,false,7,2,1,1,0,0,473,157,47,37,16,12
20200331,false,8,3,1,1,0,0,523,173,50,43,17,14
20200401,false,10,3,2,1,1,0,584,194,61,44,20,15
20200402,false,12,4,2,1,1,0,643,213,59,43,20,14
20200403,false,12,4,0,1,0,0,704,233,61,44,20,15
20200404,false,14,5,2,1,1,0,743,246,39,46,13,15
20200405,false,16,5,2,1,1,0,830,275,87,48,29,16
20200406,false,16,5,0,1,0,0,875,290,45,58,15,19
20200407,false,16,5,0,1,0,0,946,313,71,57,24,19
20200408,false,18,6,2,1,1,0,1000,331,54,60,18,20
20200409,false,21,7,3,1,1,0,1119,371,119,59,39,20
20200410,false,23,8,2,1,1,0,1171,388,52,68,17,23
20200411,false,24,8,1,2,0,1,1226,406,55,67,18,22
20200412,false,27,9,3,1,1,0,1280,424,54,69,18,23
20200413,false,30,10,3,2,1,1,1410,467,130,64,43,21
20200414,false,30,10,0,2,0,1,1480,490,70,76,23,25
20200415,false,33,11,3,2,1,1,1569,520,89,76,29,25
20200416,false,37,12,4,2,1,1,1620,537,51,81,17,27
20200417,false,37,12,0,2,0,1,1695,562,75,72,25,24
20200418,false,38,13,1,2,0,1,1739,576,44,75,15,25
20200419,false,40,13,2,2,1,1,1781,590,42,73,14,24
20200420,false,42,14,2,2,1,1,1923,637,142,72,47,24
20200421,false,43,14,1,2,0,1,2227,738,304,73,101,24
20200422,false,42,14,-1,2,0,1,2276,754,49,107,16,35
20200423,false,45,15,3,1,1,0,2465,817,189,101,63,33
20200424,false,45,15,0,1,0,0,2741,908,276,121,91,40
20200425,false,47,16,2,1,1,0,2829,937,88,149,29,49
20200426,false,49,16,2,1,1,0,2941,975,112,156,37,52
20200427,false,50,17,1,1,0,0,3017,1000,76,166,25,55
20200428,false,52,17,2,1,1,0,3111,1031,94,156,31,52
20200429,false,59,20,7,1,2,0,3192,1058,81,126,27,42
20200430,false,61,20,2,2,1,1,3255,1079,63,131,21,43
20200501,false,64,21,3,2,1,1,3321,1100,66,113,22,37
20200502,false,73,24,9,3,3,1,3372,1117,51,83,17,28
20200503,false,76,25,3,4,1,1,3431,1137,59,78,20,26
20200504,false,81,27,5,4,2,1,3458,1146,27,70,9,23
20200505,false,83,28,2,4,1,1,3496,1158,38,63,13,21
20200506,false,85,28,2,4,1,1,3568,1182,72,55,24,18
20200507,false,87,29,2,4,1,1,3611,1197,43,54,14,18
20200508,false,88,29,1,4,0,1,3694,1224,83,51,28,17
20200509,false,88,29,0,3,0,1,3747,1242,53,53,18,18
20200510,false,88,29,0,2,0,1,3747,1242,0,54,0,18
20200511,false,94,31,6,2,2,1,4034,1337,287,45,95,15
20200512,false,95,31,1,2,0,1,4164,1380,130,82,43,27
20200513,false,95,31,0,2,0,1,4164,1380,0,95,0,31
20200514,false,97,32,2,1,1,0,4236,1404,72,85,24,28
20200515,false,98,32,1,1,0,0,4463,1479,227,89,75,29
20200516,false,98,32,0,1,0,0,4578,1517,115,110,38,36
20200517,false,98,32,0,1,0,0,4759,1577,181,119,60,39
20200518,false,100,33,2,1,1,0,4813,1595,54,145,18,48
20200519,false,102,34,2,1,1,0,4923,1631,110,111,36,37
20200520,false,107,35,5,1,2,0,5003,1658,80,108,27,36
20200521,false,110,36,3,2,1,1,5458,1809,455,120,151,40
20200522,false,113,37,3,2,1,1,5612,1860,154,175,51,58
20200523,false,113,37,0,2,0,1,5612,1860,0,164,0,54
20200524,false,116,38,3,2,1,1,5922,1962,310,148,103,49
20200525,false,117,39,1,3,0,1,6029,1998,107,166,35,55
20200526,false,119,39,2,2,1,1,6180,2048,151,174,50,58
20200527,false,120,40,1,2,0,1,6277,2080,97,180,32,60
20200528,false,120,40,0,2,0,1,6538,2166,261,182,86,60
20200529,false,125,41,5,1,2,0,6538,2166,0,154,0,51
20200530,false,133,44,8,2,3,1,7013,2324,475,132,157,44
20200531,false,133,44,0,3,0,1,7253,2403,240,200,80,66
20200601,false,133,44,0,2,0,1,7443,2466,190,190,63,63
20200602,false,133,44,0,2,0,1,7443,2466,0,202,0,67
20200603,false,142,47,9,2,3,1,8067,2673,624,180,207,60
20200604,false,142,47,0,3,0,1,8067,2673,0,256,0,85
20200605,false,152,50,10,3,3,1,8651,2867,584,218,194,72
20200606,false,154,51,2,4,1,1,9101,3016,450,302,149,100
20200607,false,154,51,0,3,0,1,9426,3123,325,298,108,99
20200608,false,155,51,1,3,0,1,9740,3227,314,310,104,103
20200609,false,161,53,6,3,2,1,10080,3340,340,328,113,109
20200610,false,165,55,4,4,1,1,10368,3436,288,377,95,125
20200611,false,171,57,6,3,2,1,10816,3584,448,329,148,109
20200612,false,176,58,5,4,2,1,11547,3826,731,393,242,130
20200613,false,176,58,0,3,0,1,11547,3826,0,414,0,137
20200614,false,179,59,3,3,1,1,12501,4142,954,349,316,116
20200615,false,182,60,3,4,1,1,12917,4280,416,439,138,145
20200616,false,182,60,0,4,0,1,13191,4371,274,454,91,150
20200617,false,197,65,15,3,5,1,13606,4509,415,444,138,147
20200618,false,208,69,11,5,4,2,13928,4615,322,463,107,153
20200619,false,214,71,6,5,2,2,14631,4848,703,445,233,147
20200620,false,224,74,10,5,3,2,15142,5018,511,441,169,146
20200621,false,224,74,0,7,0,2,15142,5018,0,514,0,170
20200622,false,227,75,3,6,1,2,16083,5329,941,377,312,125
20200623,false,237,79,10,6,3,2,16678,5526,595,452,197,150
20200624,false,240,80,3,8,1,3,17375,5757,697,498,231,165
20200625,false,240,80,0,6,0,2,18062,5985,687,538,228,178
20200626,false,240,80,0,5,0,2,18062,5985,0,591,0,196
20200627,false,249,83,9,4,3,1,18740,6210,678,490,225,162
20200628,false,259,86,10,4,3,1,19310,6399,570,514,189,170
20200629,false,265,88,6,5,2,2,20257,6712,947,595,314,197
20200630,false,270,89,5,5,2,2,20777,6885,520,596,172,197
20200701,false,277,92,7,5,2,2,21197,7024,420,586,139,194
20200702,false,279,92,2,5,1,2,22075,7315,878,546,291,181
20200703,false,281,93,2,6,1,2,22622,7496,547,573,181,190
20200704,false,286,95,5,6,2,2,23209,7691,587,651,195,216
20200705,false,286,95,0,5,0,2,23209,7691,0,638,0,211
20200706,false,292,97,6,4,2,1,24253,8037,1044,557,346,185
20200707,false,292,97,0,4,0,1,24512,8122,259,571,86,189
20200708,false,301,100,9,3,3,1,24512,8122,0,534,0,177
20200709,false,309,102,8,3,3,1,26052,8633,1540,474,510,157
20200710,false,313,104,4,4,1,1,26803,8882,751,568,249,188
20200711,false,313,104,0,5,0,2,26803,8882,0,597,0,198
20200712,false,321,106,8,4,3,1,28367,9400,1564,513,518,170
20200713,false,323,107,2,5,1,2,28939,9589,572,737,190,244
20200714,false,331,110,8,4,3,1,29733,9852,794,669,263,222
20200715,false,335,111,4,6,1,2,30297,10039,564,746,187,247
20200716,false,341,113,6,5,2,2,31114,10310,817,826,271,274
20200717,false,353,117,12,5,4,2,31762,10525,648,723,215,240
20200718,false,353,117,0,6,0,2,31762,10525,0,708,0,235
20200719,false,357,118,4,6,1,2,32533,10780,771,708,255,235
20200720,false,357,118,0,5,0,2,33927,11242,1394,595,462,197
20200721,false,374,124,17,5,6,2,34655,11483,728,713,241,236
20200722,false,380,126,6,6,2,2,35246,11679,591,703,196,233
20200723,false,386,128,6,6,2,2,36259,12015,1013,707,336,234
20200724,false,394,131,8,6,3,2,37249,12343,990,735,328,244
20200725,false,394,131,0,6,0,2,37249,12343,0,784,0,260
20200726,false,401,133,7,6,2,2,38623,12798,1374,784,455,260
20200727,false,408,135,7,6,2,2,39447,13071,824,870,273,288
20200728,false,428,142,20,7,7,2,40181,13315,734,789,243,261
20200729,false,434,144,6,8,2,3,40968,13575,787,789,261,261
20200730,false,442,146,8,8,3,3,41759,13837,791,817,262,271
20200731,false,453,150,11,8,4,3,42511,14087,752,786,249,260
20200801,false,460,152,7,8,2,3,43173,14306,662,752,219,249
20200802,false,458,152,-2,9,-1,3,43173,14306,0,846,0,280
20200803,false,475,157,17,8,6,3,44597,14778,1424,650,472,215
20200804,false,490,162,15,10,5,3,45381,15038,784,736,260,244
20200805,false,508,168,18,9,6,3,46293,15340,912,743,302,246
20200806,false,515,171,7,11,2,4,47028,15583,735,761,244,252
20200807,false,521,173,6,10,2,3,48039,15918,1011,753,335,250
20200808,false,521,173,0,10,0,3,48039,15918,0,790,0,262
20200809,false,544,180,23,9,8,3,49383,16364,1344,695,445,230
20200810,false,555,184,11,12,4,4,50028,16578,645,887,214,294
20200811,false,566,188,11,11,4,4,50411,16704,383,776,127,257
20200812,false,566,188,0,11,0,4,51114,16937,703,719,233,238
20200813,false,582,193,16,8,5,3,51766,17153,652,689,216,228
20200814,false,587,195,5,10,2,3,52392,17361,626,677,207,224
20200815,false,600,199,13,9,4,3,51992,17228,-400,622,-133,206
20200816,false,599,198,-1,11,0,4,52665,17451,673,565,223,187
20200817,false,603,200,4,8,1,3,53077,17588,412,469,137,155
20200818,false,619,205,16,7,5,2,53487,17724,410,436,136,144
20200819,false,631,209,12,8,4,3,54216,17965,729,439,242,145
20200820,false,641,212,10,9,3,3,54765,18147,549,443,182,147
20200821,false,663,220,22,8,7,3,55652,18441,887,428,294,142
20200822,false,674,223,11,11,4,4,56199,18622,547,466,181,154
20200823,false,687,228,13,11,4,4,56574,18747,375,601,124,199
20200824,false,696,231,9,13,3,4,56894,18853,320,558,106,185
20200825,false,711,236,15,13,5,4,57374,19012,480,545,159,181
20200826,false,732,243,21,13,7,4,58023,19227,649,555,215,184
20200827,false,739,245,7,14,2,5,58745,19466,722,544,239,180
20200828,false,756,251,17,14,6,5,59583,19744,838,569,278,189
20200829,false,772,256,16,13,5,4,60378,20007,795,562,263,186
