date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200316,false,0,0,0,0,0,0,0,0,0,0
20200317,false,0,0,0,0,0,0,0,0,0,0
20200318,false,0,0,0,0,0,0,0,0,0,0
20200319,false,0,0,0,0,0,0,0,0,0,0
20200320,false,0,0,0,0,0,0,0,0,0,0
20200321,false,0,0,0,0,0,0,0,0,0,0
20200322,false,0,0,0,0,0,0,0,0,0,0
20200323,false,0,0,0,0,0,0,0,0,0,0
20200324,false,0,0,0,0,0,0,0,0,0,0
20200325,false,0,0,0,0,0,0,0,0,0,0
20200326,false,0,0,0,0,0,0,0,0,0,0
20200327,false,0,0,0,0,0,0,0,0,0,0
20200328,false,0,0,0,0,0,0,0,0,0,0
20200329,false,0,0,0,0,0,0,0,0,0,0
20200330,false,0,0,0,0,0,0,0,0,0,0
20200331,false,0,0,0,0,0,0,0,0,0,0
20200401,false,0,0,0,0,0,0,0,0,0,0
20200402,false,0,0,0,0,0,0,0,0,0,0
20200403,false,0,0,0,0,0,0,0,0,0,0
20200404,false,0,0,0,0,0,0,0,0,0,0
20200405,false,0,0,0,0,0,0,0,0,0,0
20200406,false,0,0,0,0,0,0,0,0,0,0
20200407,false,0,0,0,0,0,0,0,0,0,0
20200408,false,0,0,0,0,0,0,0,0,0,0
20200409,false,0,0,0,0,0,0,0,0,0,0
20200410,false,0,0,0,0,0,0,0,0,0,0
20200411,false,0,0,0,0,0,0,0,0,0,0
20200412,false,0,0,0,0,0,0,0,0,0,0
20200413,false,0,0,0,0,0,0,0,0,0,0
20200414,false,0,0,0,0,0,0,0,0,0,0
20200415,false,0,0,0,0,0,0,0,0,0,0
20200416,false,0,0,0,0,0,0,0,0,0,0
20200417,false,0,0,0,0,0,0,0,0,0,0
20200418,false,0,0,0,0,0,0,0,0,0,0
20200419,false,0,0,0,0,0,0,0,0,0,0
20200420,false,0,0,0,0,0,0,0,0,0,0
20200421,false,0,0,0,0,0,0,0,0,0,0
20200422,false,0,0,0,0,0,0,0,0,0,0
20200423,false,0,0,0,0,0,0,0,0,0,0
20200424,false,0,0,0,0,0,0,0,0,0,0
20200425,false,0,0,0,0,0,0,0,0,0,0
20200426,false,0,0,0,0,0,0,0,0,0,0
20200427,false,0,0,0,0,0,0,0,0,0,0
20200428,false,0,0,0,0,0,0,0,0,0,0
20200429,false,0,0,0,0,0,0,0,0,0,0
20200430,false,0,0,0,0,0,0,0,0,0,0
20200501,false,0,0,0,0,0,0,0,0,0,0
20200502,false,0,0,0,0,0,0,0,0,0,0
20200503,false,0,0,0,0,0,0,0,0,0,0
20200504,false,0,0,0,0,0,0,0,0,0,0
20200505,false,0,0,0,0,0,0,0,0,0,0
20200506,false,0,0,0,0,0,0,0,0,0,0
20200507,false,0,0,0,0,0,0,0,0,0,0
20200508,false,0,0,0,0,0,0,0,0,0,0
20200509,false,0,0,0,0,0,0,0,0,0,0
20200510,false,0,0,0,0,0,0,0,0,0,0
20200511,false,0,0,0,0,0,0,0,0,0,0
20200512,false,0,0,0,0,0,0,0,0,0,0
20200513,false,0,0,0,0,0,0,0,0,0,0
20200514,false,0,0,0,0,0,0,0,0,0,0
20200515,false,0,0,0,0,0,0,0,0,0,0
20200516,false,0,0,0,0,0,0,0,0,0,0
20200517,false,0,0,0,0,0,0,0,0,0,0
20200518,false,0,0,0,0,0,0,0,0,0,0
20200519,false,0,0,0,0,0,0,0,0,0,0
20200520,false,0,0,0,0,0,0,0,0,0,0
20200521,false,0,0,0,0,0,0,0,0,0,0
20200522,false,0,0,0,0,0,0,0,0,0,0
20200523,false,0,0,0,0,0,0,0,0,0,0
20200524,false,0,0,0,0,0,0,0,0,0,0
20200525,false,0,0,0,0,0,0,0,0,0,0
20200526,false,0,0,0,0,0,0,0,0,0,0
20200527,false,0,0,0,0,0,0,0,0,0,0
20200528,false,0,0,0,0,0,0,0,0,0,0
20200529,false,0,0,0,0,0,0,0,0,0,0
20200530,false,0,0,0,0,0,0,0,0,0,0
20200531,false,0,0,0,0,0,0,0,0,0,0
20200601,false,0,0,0,0,0,0,0,0,0,0
