date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200304,false,0,0,0,0,0,2,0,0,0,0
20200305,false,0,0,0,0,0,2,0,0,0,0
20200306,false,0,0,0,0,0,3,0,1,1,0
20200307,false,0,0,0,0,0,5,1,2,2,0
20200308,false,0,0,0,0,0,5,1,0,0,0
20200309,false,0,0,0,0,0,5,1,0,0,0
20200310,false,0,0,0,0,0,6,1,1,1,0
20200311,false,0,0,0,0,0,9,1,3,3,0
20200312,false,0,0,0,0,0,9,1,0,1,0
20200313,false,0,0,0,0,0,9,1,0,1,0
20200314,false,0,0,0,0,0,12,2,3,1,0
20200315,false,0,0,0,0,0,12,2,0,1,0
20200316,false,0,0,0,0,0,18,2,6,1,1
20200317,false,0,0,0,0,0,20,3,2,2,0
20200318,false,0,0,0,0,0,28,4,8,2,1
20200319,false,0,0,0,0,0,44,6,16,3,2
20200320,false,0,0,0,0,0,65,9,21,5,3
20200321,false,1,0,1,0,0,104,14,39,8,5
20200322,false,2,0,1,0,0,152,21,48,13,7
20200323,false,2,0,0,0,0,265,36,113,20,16
20200324,false,5,1,3,0,0,357,49,92,35,13
20200325,false,6,1,1,1,0,450,62,93,48,13
20200326,false,8,1,2,1,0,577,79,127,60,17
20200327,false,13,2,5,1,1,736,101,159,76,22
20200328,false,15,2,2,2,0,873,120,137,96,19
20200329,false,17,2,2,2,0,919,126,46,110,6
20200330,false,20,3,3,2,0,1157,159,238,110,33
20200331,false,24,3,4,3,1,1289,177,132,127,18
20200401,false,29,4,5,3,1,1413,194,124,133,17
20200402,false,32,4,3,3,0,1598,220,185,138,25
20200403,false,41,6,9,3,1,1769,243,171,146,23
20200404,false,52,7,11,4,2,2019,277,250,148,34
20200405,false,64,9,12,5,2,2269,312,250,164,34
20200406,false,65,9,1,7,0,2456,337,187,193,26
20200407,false,73,10,8,6,1,2575,354,119,186,16
20200408,false,80,11,7,7,1,2726,375,151,184,21
20200409,false,89,12,9,7,1,3018,415,292,188,40
20200410,false,97,13,8,8,1,3112,428,94,203,13
20200411,false,108,15,11,8,2,3393,466,281,192,39
20200412,false,115,16,7,8,1,3539,486,146,196,20
20200413,false,122,17,7,7,1,3702,509,163,181,22
