date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200304,false,0,0,0,0,0,0,53,1,0,0,0,0
20200305,false,0,0,0,0,0,0,53,1,0,0,0,0
20200306,false,0,0,0,0,0,0,60,2,7,7,0,0
20200307,false,0,0,0,0,0,0,69,2,9,9,0,0
20200308,false,0,0,0,0,0,0,88,2,19,19,0,0
20200309,false,0,0,0,0,0,0,114,3,26,26,1,1
20200310,false,0,0,0,0,0,0,133,3,19,19,0,0
20200311,false,0,0,0,0,0,0,157,4,24,24,1,1
20200312,false,4,0,4,0,0,0,202,5,45,15,1,0
20200313,false,4,0,0,1,0,0,202,5,0,21,0,1
20200314,false,5,0,1,1,0,0,252,6,50,20,1,1
20200315,false,5,0,0,1,0,0,293,7,41,26,1,1
20200316,false,6,0,1,1,0,0,335,8,42,29,1,1
20200317,false,11,0,5,1,0,0,483,12,148,32,4,1
20200318,false,13,0,2,2,0,0,611,15,128,50,3,1
20200319,false,18,0,5,2,0,0,924,23,313,65,8,2
20200320,false,20,1,2,2,0,0,1063,27,139,103,4,3
20200321,false,24,1,4,2,0,0,1279,32,216,123,5,3
20200322,false,27,1,3,3,0,0,1536,39,257,147,7,4
20200323,false,27,1,0,3,0,0,1733,44,197,178,5,5
20200324,false,40,1,13,3,0,0,2102,53,369,200,9,5
20200325,false,53,1,13,4,0,0,2355,60,253,231,6,6
20200326,false,65,2,12,6,0,0,3006,76,651,249,16,6
20200327,false,78,2,13,7,0,0,3879,98,873,297,22,8
20200328,false,101,3,23,8,1,0,4643,118,764,402,19,10
20200329,false,123,3,22,11,1,0,5708,144,1065,481,27,12
20200330,false,133,3,10,14,0,0,6447,163,739,596,19,15
20200331,false,153,4,20,15,1,0,7482,189,1035,673,26,17
20200401,false,171,4,18,16,0,0,8155,206,673,769,17,19
20200402,false,203,5,32,17,1,0,9191,233,1036,829,26,21
20200403,false,237,6,34,20,1,1,10701,271,1510,884,38,22
20200404,false,276,7,39,23,1,1,12026,304,1325,975,34,25
20200405,false,319,8,43,25,1,1,13438,340,1412,1055,36,27
20200406,false,343,9,24,28,1,1,14336,363,898,1104,23,28
20200407,false,374,9,31,30,1,1,15865,402,1529,1127,39,29
20200408,false,442,11,68,32,2,1,16957,429,1092,1198,28,30
20200409,false,492,12,50,39,1,1,18309,463,1352,1257,34,32
20200410,false,541,14,49,41,1,1,19472,493,1163,1303,29,33
20200411,false,609,15,68,43,2,1,20615,522,1143,1253,29,32
20200412,false,651,16,42,48,1,1,21794,552,1179,1227,30,31
20200413,false,687,17,36,47,1,1,22348,566,554,1194,14,30
20200414,false,758,19,71,49,2,1,23338,591,990,1145,25,29
20200415,false,821,21,63,55,2,1,24424,618,1086,1068,27,27
20200416,false,890,23,69,54,2,1,26182,663,1758,1067,44,27
20200417,false,985,25,95,57,2,1,27528,697,1346,1125,34,28
20200418,false,1072,27,87,63,2,2,28963,733,1435,1151,36,29
20200419,false,1166,30,94,66,2,2,30333,768,1370,1193,35,30
20200420,false,1208,31,42,74,1,2,30978,784,645,1220,16,31
20200421,false,1268,32,60,74,2,2,33261,842,2283,1233,58,31
20200422,false,1354,34,86,73,2,2,35396,896,2135,1418,54,36
20200423,false,1469,37,115,76,3,2,37369,946,1973,1567,50,40
20200424,false,1562,40,93,83,2,2,39254,993,1885,1598,48,40
20200425,false,1651,42,89,82,2,2,41137,1041,1883,1675,48,42
20200426,false,1710,43,59,83,1,2,42164,1067,1027,1739,26,44
20200427,false,1755,44,45,78,1,2,43464,1100,1300,1690,33,43
20200428,false,1809,46,54,78,1,2,45031,1140,1567,1784,40,45
20200429,false,1887,48,78,77,2,2,46500,1177,1469,1681,37,43
20200430,false,1982,50,95,76,2,2,48917,1238,2417,1586,61,40
20200501,false,2073,52,91,73,2,2,50442,1277,1525,1650,39,42
20200502,false,2171,55,98,73,2,2,52197,1321,1755,1598,44,40
20200503,false,2215,56,44,74,1,2,53616,1357,1419,1580,36,40
20200504,false,2254,57,39,72,1,2,54937,1390,1321,1636,33,41
20200505,false,2317,59,63,71,2,2,56212,1423,1275,1639,32,41
20200506,false,2412,61,95,73,2,2,58815,1489,2603,1597,66,40
20200507,false,2504,63,92,75,2,2,60614,1534,1799,1759,46,45
20200508,false,2585,65,81,75,2,2,62512,1582,1898,1671,48,42
20200509,false,2678,68,93,73,2,2,64561,1634,2049,1724,52,44
20200510,false,2745,69,67,72,2,2,66680,1688,2119,1766,54,45
20200511,false,2770,70,25,76,1,2,67939,1719,1259,1866,32,47
20200512,false,2847,72,77,74,2,2,69382,1756,1443,1857,37,47
20200513,false,2934,74,87,76,2,2,71141,1800,1759,1881,45,48
20200514,false,3032,77,98,75,2,2,73164,1852,2023,1761,51,45
