date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200305,false,0,0,0,0,2,0,0,0
20200306,false,0,0,0,0,2,0,0,0
20200307,false,0,0,0,0,8,1,6,1
20200308,false,0,0,0,0,8,1,0,0
20200309,false,0,0,0,0,9,2,1,0
20200310,false,0,0,0,0,12,2,3,1
20200311,false,0,0,0,0,28,5,16,3
20200312,false,0,0,0,0,45,8,17,3
20200313,false,0,0,0,0,72,13,27,5
20200314,false,1,0,1,0,101,18,29,5
20200315,false,1,0,0,0,131,23,30,5
20200316,false,1,0,0,0,131,23,0,0
20200317,false,1,0,0,0,160,28,29,5
20200318,false,2,0,1,0,183,32,23,4
20200319,false,2,0,0,0,216,38,33,6
20200320,false,3,1,1,0,277,48,61,11
20200321,false,4,1,1,0,363,63,86,15
20200322,false,5,1,1,0,475,82,112,19
20200323,false,6,1,1,0,591,103,116,20
20200324,false,7,1,1,0,720,125,129,22
20200325,false,11,2,4,1,912,158,192,33
20200326,false,19,3,8,1,1086,189,174,30
20200327,false,24,4,5,1,1430,248,344,60
20200328,false,31,5,7,1,1734,301,304,53
20200329,false,44,8,13,2,2061,358,327,57
20200330,false,51,9,7,1,2627,456,566,98
20200331,false,51,9,0,0,2627,456,0,0
20200401,false,69,12,18,3,2966,515,339,59
20200402,false,80,14,11,2,3342,580,376,65
20200403,false,97,17,17,3,3728,647,386,67
20200404,false,111,19,14,2,4173,725,445,77
20200405,false,126,22,15,3,4565,793,392,68
20200406,false,140,24,14,2,4950,860,385,67
20200407,false,150,26,10,2,5172,898,222,39
20200408,false,179,31,29,5,5429,943,257,45
20200409,false,193,34,14,2,5655,982,226,39
20200410,false,250,43,57,10,6510,1130,855,148
20200411,false,250,43,0,0,6510,1130,0,0
20200412,false,274,48,24,4,6893,1197,383,67
20200413,false,304,53,30,5,7684,1334,791,137
20200414,false,308,53,4,1,7691,1336,7,1
20200415,false,329,57,21,4,7941,1379,250,43
20200416,false,357,62,28,5,8280,1438,339,59
20200417,false,374,65,17,3,8675,1506,395,69
20200418,false,391,68,17,3,9047,1571,372,65
20200419,false,411,71,20,3,9433,1638,386,67
20200420,false,422,73,11,2,9730,1690,297,52
20200421,false,449,78,27,5,10106,1755,376,65
20200422,false,486,84,37,6,10447,1814,341,59
20200423,false,508,88,22,4,10878,1889,431,75
20200424,false,552,96,44,8,11262,1956,384,67
20200425,false,674,117,122,21,12255,2128,993,172
20200426,false,672,117,-2,0,12968,2252,713,124
20200427,false,680,118,8,1,13441,2334,473,82
20200428,false,706,123,26,5,13879,2410,438,76
20200429,false,760,132,54,9,14316,2486,437,76
20200430,false,766,133,6,1,14758,2563,442,77
20200501,false,777,135,11,2,15284,2654,526,91
20200502,false,820,142,43,7,15768,2738,484,84
20200503,false,832,144,12,2,16225,2817,457,79
20200504,false,842,146,10,2,16635,2889,410,71
20200505,false,851,148,9,2,16907,2936,272,47
20200506,false,903,157,52,9,17364,3015,457,79
20200507,false,921,160,18,3,17830,3096,466,81
20200508,false,961,167,40,7,18371,3190,541,94
20200509,false,960,167,-1,0,18827,3269,456,79
