date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200305,false,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,1,1,1,1,1
20200309,false,0,0,0,0,0,1,1,0,0,0
20200310,false,0,0,0,0,0,5,7,4,4,6
20200311,false,0,0,0,0,0,5,7,0,0,0
20200312,false,0,0,0,0,0,10,14,5,5,7
20200313,false,0,0,0,0,0,10,14,0,1,0
20200314,false,0,0,0,0,0,10,14,0,1,0
20200315,false,0,0,0,0,0,16,23,6,1,9
20200316,false,0,0,0,0,0,17,24,1,2,1
20200317,false,0,0,0,0,0,22,31,5,2,7
20200318,false,0,0,0,0,0,31,44,9,2,13
20200319,false,0,0,0,0,0,39,55,8,4,11
20200320,false,1,1,1,0,1,71,101,32,4,45
20200321,false,1,1,0,0,0,77,109,6,9,9
20200322,false,1,1,0,0,0,98,139,21,10,30
20200323,false,2,3,1,0,1,116,164,18,12,26
20200324,false,2,3,0,0,0,137,194,21,14,30
20200325,false,2,3,0,0,0,183,259,46,16,65
20200326,false,3,4,1,0,1,231,327,48,22,68
20200327,false,3,4,0,0,0,267,378,36,27,51
20200328,false,4,6,1,0,1,304,431,37,28,52
20200329,false,5,7,1,0,1,342,485,38,32,54
20200330,false,9,13,4,1,6,401,568,59,35,84
20200331,false,9,13,0,1,0,495,701,94,41,133
20200401,false,11,16,2,1,3,586,830,91,51,129
20200402,false,12,17,1,1,1,653,925,67,58,95
20200403,false,15,21,3,1,4,757,1073,104,60,147
20200404,false,21,30,6,2,9,902,1278,145,70,205
20200405,false,22,31,1,2,1,998,1414,96,85,136
20200406,false,24,34,2,2,3,1097,1554,99,94,140
20200407,false,22,31,-2,2,-3,1211,1716,114,99,162
20200408,false,27,38,5,2,7,1440,2040,229,102,324
20200409,false,32,45,5,2,7,1523,2158,83,122,118
20200410,false,38,54,6,3,9,1660,2352,137,124,194
20200411,false,47,67,9,3,13,1778,2519,118,129,167
20200412,false,50,71,3,4,4,1875,2657,97,125,137
20200413,false,53,75,3,4,4,1955,2770,80,125,113
20200414,false,67,95,14,4,20,2058,2916,103,123,146
20200415,false,72,102,5,6,7,2197,3113,139,121,197
20200416,false,81,115,9,6,13,2350,3330,153,108,217
20200417,false,86,122,5,7,7,2476,3508,126,118,179
20200418,false,91,129,5,7,7,2666,3778,190,117,269
20200419,false,96,136,5,6,7,2793,3957,127,127,180
20200420,false,105,149,9,7,13,2927,4147,134,131,190
20200421,false,112,159,7,7,10,3098,4390,171,139,242
20200422,false,127,180,15,6,21,3206,4543,108,149,153
20200423,false,139,197,12,8,17,3361,4762,155,144,220
20200424,false,153,217,14,8,20,3528,4999,167,144,237
20200425,false,165,234,12,10,17,3699,5241,171,150,242
20200426,false,178,252,13,11,18,3841,5442,142,148,201
20200427,false,185,262,7,12,10,3892,5515,51,150,72
20200428,false,190,269,5,11,7,3994,5659,102,138,145
20200429,false,205,290,15,11,21,4106,5818,112,128,159
20200430,false,224,317,19,11,27,4323,6125,217,129,307
20200501,false,231,327,7,12,10,4658,6600,335,137,475
20200502,false,240,340,9,11,13,4797,6797,139,161,197
20200503,false,251,356,11,11,16,5016,7107,219,157,310
20200504,false,258,366,7,10,10,5170,7326,154,168,218
20200505,false,264,374,6,10,9,5322,7541,152,183,215
20200506,false,277,392,13,11,18,5461,7738,139,190,197
20200507,false,285,404,8,10,11,5654,8011,193,194,273
20200508,false,304,431,19,9,27,5899,8358,245,190,347
20200509,false,311,441,7,10,10,6102,8646,203,177,288
20200510,false,323,458,12,10,17,6272,8887,170,186,241
20200511,false,328,465,5,10,7,6389,9053,117,179,166
20200512,false,336,476,8,10,11,6485,9189,96,174,136
20200513,false,350,496,14,10,20,6584,9329,99,166,140
20200514,false,358,507,8,10,11,6736,9544,152,160,215
20200515,false,368,521,10,10,14,6871,9736,135,155,191
20200516,false,375,531,7,9,10,7042,9978,171,139,242
20200517,false,383,543,8,9,11,7123,10093,81,134,115
20200518,false,392,555,9,9,13,7270,10301,147,122,208
20200519,false,400,567,8,9,11,7434,10533,164,126,232
20200520,false,407,577,7,9,10,7551,10699,117,136,166
20200521,false,412,584,5,8,7,7788,11035,237,138,336
20200522,false,418,592,6,8,9,7893,11184,105,150,149
20200523,false,427,605,9,7,13,7966,11287,73,146,103
20200524,false,427,605,0,7,0,7966,11287,0,132,0
