date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200129,false,0,0,0,0,0,0,0,0
20200130,false,0,0,0,0,0,0,0,0
20200131,false,0,0,0,0,0,0,0,0
20200201,false,0,0,0,0,0,0,0,0
20200202,false,0,0,0,0,0,0,0,0
20200203,false,0,0,0,0,0,0,0,0
20200204,false,0,0,0,0,0,0,0,0
20200205,false,0,0,0,0,0,0,0,0
20200206,false,0,0,0,0,0,0,0,0
20200207,false,0,0,0,0,0,0,0,0
20200208,false,0,0,0,0,0,0,0,0
20200209,false,0,0,0,0,0,0,0,0
20200210,false,0,0,0,0,0,0,0,0
20200211,false,0,0,0,0,0,0,0,0
20200212,false,0,0,0,0,0,0,0,0
20200213,false,0,0,0,0,0,0,0,0
20200214,false,0,0,0,0,0,0,0,0
20200215,false,0,0,0,0,0,0,0,0
20200216,false,0,0,0,0,0,0,0,0
20200217,false,0,0,0,0,0,0,0,0
20200218,false,0,0,0,0,0,0,0,0
20200219,false,0,0,0,0,0,0,0,0
20200220,false,0,0,0,0,0,0,0,0
20200221,false,0,0,0,0,0,0,0,0
20200222,false,0,0,0,0,0,0,0,0
20200223,false,0,0,0,0,0,0,0,0
20200224,false,0,0,0,0,0,0,0,0
20200225,false,0,0,0,0,0,0,0,0
20200226,false,0,0,0,0,0,0,0,0
20200227,false,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,2,0,2,0
20200304,false,0,0,0,0,3,0,1,0
20200305,false,0,0,0,0,7,0,4,0
20200306,false,0,0,0,0,8,0,1,0
20200307,false,0,0,0,0,8,0,0,0
20200308,false,0,0,0,0,12,1,4,0
20200309,false,0,0,0,0,13,1,1,0
20200310,false,0,0,0,0,18,1,5,0
20200311,false,2,0,2,0,20,1,2,0
20200312,false,2,0,0,0,26,1,6,0
20200313,false,2,0,0,0,31,1,5,0
20200314,false,3,0,1,0,51,2,20,1
20200315,false,4,0,1,0,91,4,40,2
20200316,false,4,0,0,0,122,6,31,1
20200317,false,6,0,2,0,149,7,27,1
20200318,false,7,0,1,0,211,10,62,3
20200319,false,8,0,1,0,310,14,99,5
20200320,false,10,0,2,0,386,18,76,4
20200321,false,12,1,2,0,528,25,142,7
20200322,false,13,1,1,0,731,34,203,9
