date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200304,false,0,0,0,0,0,2,0,0,0,0
20200305,false,0,0,0,0,0,2,0,0,0,0
20200306,false,0,0,0,0,0,2,0,0,0,0
20200307,false,0,0,0,0,0,6,1,4,4,0
20200308,false,0,0,0,0,0,7,1,1,1,0
20200309,false,0,0,0,0,0,12,1,5,5,0
20200310,false,0,0,0,0,0,17,2,5,5,0
20200311,false,0,0,0,0,0,22,2,5,5,0
20200312,false,0,0,0,0,0,31,3,9,3,1
20200313,false,1,0,1,0,0,42,4,11,4,1
20200314,false,1,0,0,0,0,66,6,24,6,2
20200315,false,1,0,0,0,0,99,9,33,9,3
20200316,false,1,0,0,0,0,121,11,22,13,2
20200317,false,1,0,0,0,0,146,14,25,16,2
20200318,false,1,0,0,0,0,197,19,51,18,5
20200319,false,10,1,9,0,1,287,27,90,25,8
20200320,false,13,1,3,1,0,420,40,133,37,13
20200321,false,14,1,1,2,0,507,48,87,54,8
20200322,false,23,2,9,2,1,600,57,93,63,9
20200323,false,25,2,2,3,0,772,73,172,72,16
20200324,false,32,3,7,3,1,1026,97,254,93,24
20200325,false,40,4,8,4,1,1247,117,221,126,21
20200326,false,48,5,8,6,1,1525,144,278,150,26
20200327,false,64,6,16,5,2,2001,188,476,177,45
20200328,false,69,6,5,7,0,2366,223,365,226,34
20200329,false,80,8,11,8,1,2651,250,285,266,27
20200330,false,87,8,7,8,1,2809,265,158,293,15
20200331,false,111,10,24,9,2,3929,370,1120,291,105
20200401,false,139,13,28,11,3,4638,437,709,415,67
20200402,false,163,15,24,14,2,5348,504,710,484,67
20200403,false,184,17,21,16,2,5831,549,483,546,45
20200404,false,201,19,17,17,2,6160,580,329,547,31
20200405,false,211,20,10,19,1,6647,626,487,542,46
20200406,false,229,22,18,19,2,7314,689,667,571,63
20200407,false,329,31,100,20,9,8818,831,1504,644,142
20200408,false,362,34,33,31,3,9901,933,1083,698,102
20200409,false,379,36,17,32,2,10566,995,665,752,63
20200410,false,416,39,37,31,3,11483,1082,917,745,86
20200411,false,428,40,12,33,1,12159,1145,676,807,64
20200412,false,433,41,5,32,0,12452,1173,293,857,28
20200413,false,464,44,31,32,3,13315,1254,863,829,81
