date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200316,false,0,0,0,0,0,0,3,18,0,0,0,0
20200317,false,0,0,0,0,0,0,5,30,2,2,12,12
20200318,false,0,0,0,0,0,0,8,48,3,3,18,18
20200319,false,0,0,0,0,0,0,12,72,4,4,24,24
20200320,false,0,0,0,0,0,0,14,84,2,2,12,12
20200321,false,0,0,0,0,0,0,15,91,1,1,6,6
20200322,false,1,6,1,1,6,6,27,163,12,12,72,72
20200323,false,1,6,0,0,0,0,29,175,2,2,12,12
20200324,false,1,6,0,0,0,0,32,193,3,4,18,24
20200325,false,1,6,0,0,0,0,37,223,5,4,30,24
20200326,false,1,6,0,0,0,0,45,272,8,4,48,24
20200327,false,1,6,0,0,0,0,51,308,6,5,36,30
20200328,false,1,6,0,0,0,0,55,332,4,5,24,30
20200329,false,1,6,0,0,0,0,56,338,1,6,6,36
20200330,false,1,6,0,0,0,0,58,350,2,4,12,24
20200331,false,2,12,1,0,6,0,69,416,11,4,66,24
20200401,false,3,18,1,0,6,0,77,465,8,5,48,30
20200402,false,3,18,0,0,0,0,82,495,5,6,30,36
20200403,false,4,24,1,0,6,0,84,507,2,5,12,30
20200404,false,4,24,0,0,0,0,93,561,9,5,54,30
20200405,false,4,24,0,0,0,0,112,676,19,5,115,30
20200406,false,4,24,0,0,0,0,113,682,1,8,6,48
20200407,false,4,24,0,0,0,0,121,730,8,8,48,48
20200408,false,4,24,0,0,0,0,125,754,4,7,24,42
20200409,false,4,24,0,0,0,0,128,772,3,7,18,42
20200410,false,4,24,0,0,0,0,130,784,2,7,12,42
20200411,false,5,30,1,0,6,0,133,803,3,7,18,42
20200412,false,5,30,0,0,0,0,133,803,0,6,0,36
20200413,false,5,30,0,0,0,0,133,803,0,3,0,18
20200414,false,5,30,0,0,0,0,133,803,0,3,0,18
20200415,false,5,30,0,0,0,0,133,803,0,2,0,12
20200416,false,5,30,0,0,0,0,133,803,0,1,0,6
20200417,false,5,30,0,0,0,0,133,803,0,1,0,6
20200418,false,5,30,0,0,0,0,133,803,0,0,0,0
20200419,false,5,30,0,0,0,0,133,803,0,0,0,0
20200420,false,5,30,0,0,0,0,133,803,0,0,0,0
20200421,false,5,30,0,0,0,0,133,803,0,0,0,0
20200422,false,5,30,0,0,0,0,134,809,1,0,6,0
20200423,false,5,30,0,0,0,0,138,833,4,0,24,0
20200424,false,5,30,0,0,0,0,140,845,2,1,12,6
20200425,false,5,30,0,0,0,0,141,851,1,1,6,6
20200426,false,5,30,0,0,0,0,141,851,0,1,0,6
20200427,false,5,30,0,0,0,0,142,857,1,1,6,6
20200428,false,5,30,0,0,0,0,144,869,2,1,12,6
20200429,false,5,30,0,0,0,0,145,875,1,2,6,12
20200430,false,5,30,0,0,0,0,146,881,1,2,6,12
20200501,false,5,30,0,0,0,0,146,881,0,1,0,6
20200502,false,5,30,0,0,0,0,148,893,2,1,12,6
20200503,false,5,30,0,0,0,0,150,905,2,1,12,6
20200504,false,5,30,0,0,0,0,149,899,-1,1,-6,6
20200505,false,5,30,0,0,0,0,149,899,0,1,0,6
20200506,false,5,30,0,0,0,0,151,911,2,1,12,6
20200507,false,5,30,0,0,0,0,151,911,0,1,0,6
20200508,false,5,30,0,0,0,0,151,911,0,1,0,6
20200509,false,5,30,0,0,0,0,151,911,0,1,0,6
20200510,false,5,30,0,0,0,0,151,911,0,0,0,0
20200511,false,5,30,0,0,0,0,151,911,0,0,0,0
20200512,false,5,30,0,0,0,0,152,917,1,0,6,0
20200513,false,5,30,0,0,0,0,152,917,0,0,0,0
20200514,false,5,30,0,0,0,0,153,923,1,0,6,0
20200515,false,5,30,0,0,0,0,154,929,1,0,6,0
20200516,false,5,30,0,0,0,0,154,929,0,0,0,0
20200517,false,5,30,0,0,0,0,154,929,0,0,0,0
20200518,false,5,30,0,0,0,0,154,929,0,0,0,0
20200519,false,5,30,0,0,0,0,154,929,0,0,0,0
20200520,false,5,30,0,0,0,0,165,996,11,0,66,0
20200521,false,5,30,0,0,0,0,165,996,0,2,0,12
20200522,false,5,30,0,0,0,0,165,996,0,2,0,12
20200523,false,5,30,0,0,0,0,165,996,0,2,0,12
20200524,false,5,30,0,0,0,0,166,1002,1,2,6,12
20200525,false,5,30,0,0,0,0,166,1002,0,2,0,12
20200526,false,5,30,0,0,0,0,169,1020,3,2,18,12
20200527,false,5,30,0,0,0,0,170,1026,1,2,6,12
20200528,false,5,30,0,0,0,0,172,1038,2,1,12,6
20200529,false,5,30,0,0,0,0,172,1038,0,1,0,6
20200530,false,5,30,0,0,0,0,173,1044,1,1,6,6
20200531,false,5,30,0,0,0,0,173,1044,0,1,0,6
20200601,false,5,30,0,0,0,0,175,1056,2,1,12,6
20200602,false,5,30,0,0,0,0,177,1068,2,1,12,6
20200603,false,5,30,0,0,0,0,178,1074,1,1,6,6
20200604,false,5,30,0,0,0,0,179,1080,1,1,6,6
20200605,false,5,30,0,0,0,0,179,1080,0,1,0,6
20200606,false,5,30,0,0,0,0,179,1080,0,1,0,6
20200607,false,5,30,0,0,0,0,179,1080,0,1,0,6
20200608,false,5,30,0,0,0,0,179,1080,0,1,0,6
20200609,false,5,30,0,0,0,0,180,1086,1,1,6,6
20200610,false,5,30,0,0,0,0,182,1098,2,0,12,0
20200611,false,5,30,0,0,0,0,183,1104,1,1,6,6
20200612,false,5,30,0,0,0,0,184,1110,1,1,6,6
20200613,false,5,30,0,0,0,0,185,1116,1,1,6,6
20200614,false,5,30,0,0,0,0,185,1116,0,1,0,6
20200615,false,5,30,0,0,0,0,185,1116,0,1,0,6
20200616,false,5,30,0,0,0,0,186,1122,1,1,6,6
