date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200304,false,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,1,1,1,1,1
20200308,false,0,0,0,0,0,1,1,0,0,0
20200309,false,0,0,0,0,0,2,1,1,1,1
20200310,false,0,0,0,0,0,2,1,0,0,0
20200311,false,0,0,0,0,0,2,1,0,0,0
20200312,false,0,0,0,0,0,2,1,0,0,0
20200313,false,0,0,0,0,0,2,1,0,0,0
20200314,false,0,0,0,0,0,2,1,0,0,0
20200315,false,0,0,0,0,0,2,1,0,0,0
20200316,false,0,0,0,0,0,7,5,5,0,4
20200317,false,0,0,0,0,0,10,7,3,1,2
20200318,false,0,0,0,0,0,14,10,4,1,3
20200319,false,0,0,0,0,0,16,11,2,2,1
20200320,false,0,0,0,0,0,26,18,10,2,7
20200321,false,0,0,0,0,0,37,26,11,3,8
20200322,false,0,0,0,0,0,48,34,11,5,8
20200323,false,0,0,0,0,0,56,40,8,7,6
20200324,false,0,0,0,0,0,77,54,21,7,15
20200325,false,0,0,0,0,0,90,64,13,10,9
20200326,false,0,0,0,0,0,95,67,5,11,4
20200327,false,0,0,0,0,0,106,75,11,11,8
20200328,false,0,0,0,0,0,120,85,14,11,10
20200329,false,0,0,0,0,0,151,107,31,12,22
20200330,false,0,0,0,0,0,175,124,24,15,17
20200331,false,0,0,0,0,0,204,144,29,17,20
20200401,false,1,1,1,0,1,208,147,4,18,3
20200402,false,1,1,0,0,0,258,182,50,17,35
20200403,false,2,1,1,0,1,285,201,27,23,19
20200404,false,3,2,1,0,1,319,225,34,26,24
20200405,false,4,3,1,0,1,351,248,32,28,23
20200406,false,4,3,0,1,0,371,262,20,29,14
20200407,false,5,4,1,1,1,387,273,16,28,11
20200408,false,5,4,0,1,0,410,290,23,26,16
20200409,false,5,4,0,1,0,435,307,25,29,18
20200410,false,6,4,1,1,1,442,312,7,25,5
20200411,false,8,6,2,1,1,465,328,23,22,16
20200412,false,8,6,0,1,0,486,343,21,21,15
20200413,false,9,6,1,1,1,499,352,13,19,9
20200414,false,9,6,0,1,0,504,356,5,18,4
20200415,false,9,6,0,1,0,517,365,13,17,9
20200416,false,9,6,0,1,0,530,374,13,15,9
20200417,false,9,6,0,1,0,541,382,11,14,8
20200418,false,9,6,0,0,0,553,391,12,14,8
20200419,false,9,6,0,0,0,574,405,21,13,15
20200420,false,10,7,1,0,1,580,410,6,13,4
20200421,false,10,7,0,0,0,584,412,4,12,3
20200422,false,12,8,2,0,1,586,414,2,11,1
20200423,false,12,8,0,0,0,592,418,6,10,4
20200424,false,12,8,0,0,0,596,421,4,9,3
20200425,false,13,9,1,0,1,601,424,5,8,4
20200426,false,14,10,1,1,1,603,426,2,7,1
20200427,false,14,10,0,1,0,606,428,3,4,2
20200428,false,16,11,2,1,1,607,429,1,4,1
20200429,false,16,11,0,1,0,609,430,2,3,1
20200430,false,16,11,0,1,0,613,433,4,3,3
20200501,false,16,11,0,1,0,618,436,5,3,4
20200502,false,16,11,0,1,0,619,437,1,3,1
20200503,false,16,11,0,0,0,620,438,1,3,1
20200504,false,17,12,1,0,1,620,438,0,2,0
20200505,false,17,12,0,0,0,621,439,1,2,1
20200506,false,17,12,0,0,0,625,441,4,2,3
20200507,false,17,12,0,0,0,626,442,1,2,1
20200508,false,17,12,0,0,0,629,444,3,2,2
20200509,false,17,12,0,0,0,629,444,0,2,0
20200510,false,17,12,0,0,0,631,446,2,1,1
20200511,false,17,12,0,0,0,632,446,1,2,1
20200512,false,17,12,0,0,0,634,448,2,2,1
20200513,false,17,12,0,0,0,635,448,1,2,1
20200514,false,17,12,0,0,0,638,451,3,1,2
20200515,false,17,12,0,0,0,637,450,-1,2,-1
20200516,false,17,12,0,0,0,638,451,1,1,1
20200517,false,17,12,0,0,0,639,451,1,1,1
20200518,false,17,12,0,0,0,640,452,1,1,1
20200519,false,17,12,0,0,0,640,452,0,1,0
20200520,false,17,12,0,0,0,641,453,1,1,1
20200521,false,17,12,0,0,0,643,454,2,1,1
20200522,false,17,12,0,0,0,647,457,4,1,3
20200523,false,17,12,0,0,0,642,453,-5,1,-4
20200524,false,17,12,0,0,0,643,454,1,1,1
20200525,false,17,12,0,0,0,643,454,0,1,0
20200526,false,17,12,0,0,0,643,454,0,0,0
20200527,false,17,12,0,0,0,643,454,0,0,0
20200528,false,17,12,0,0,0,644,455,1,0,1
20200529,false,17,12,0,0,0,647,457,3,0,2
20200530,false,17,12,0,0,0,649,458,2,0,1
20200531,false,17,12,0,0,0,651,460,2,1,1
20200601,false,17,12,0,0,0,652,460,1,1,1
20200602,false,17,12,0,0,0,652,460,0,1,0
20200603,false,17,12,0,0,0,653,461,1,1,1
20200604,false,17,12,0,0,0,653,461,0,1,0
20200605,false,17,12,0,0,0,655,463,2,1,1
20200606,false,17,12,0,0,0,664,469,9,1,6
20200607,false,17,12,0,0,0,673,475,9,2,6
20200608,false,17,12,0,0,0,675,477,2,3,1
20200609,false,17,12,0,0,0,676,477,1,3,1
20200610,false,17,12,0,0,0,682,482,6,3,4
20200611,false,17,12,0,0,0,685,484,3,4,2
20200612,false,17,12,0,0,0,692,489,7,5,5
20200613,false,17,12,0,0,0,706,499,14,5,10
20200614,false,17,12,0,0,0,723,511,17,6,12
20200615,false,17,12,0,0,0,728,514,5,7,4
20200616,false,17,12,0,0,0,736,520,8,8,6
20200617,false,17,12,0,0,0,740,523,4,9,3
20200618,false,17,12,0,0,0,744,525,4,8,3
20200619,false,17,12,0,0,0,762,538,18,8,13
20200620,false,17,12,0,0,0,789,557,27,10,19
20200621,false,17,12,0,0,0,803,567,14,12,10
20200622,false,17,12,0,0,0,814,575,11,11,8
20200623,false,17,12,0,0,0,816,576,2,12,1
20200624,false,17,12,0,0,0,819,578,3,11,2
20200625,false,17,12,0,0,0,835,590,16,11,11
20200626,false,17,12,0,0,0,850,600,15,13,11
20200627,false,17,12,0,0,0,866,612,16,13,11
