date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,0,0,0,0,0,0
20200313,false,0,0,0,0,0,0,0,0,0,0,0,0
20200314,false,0,0,0,0,0,0,2,1,2,2,1,1
20200315,false,0,0,0,0,0,0,5,3,3,0,2,0
20200316,false,0,0,0,0,0,0,5,3,0,1,0,1
20200317,false,0,0,0,0,0,0,7,4,2,1,1,1
20200318,false,0,0,0,0,0,0,9,5,2,1,1,1
20200319,false,0,0,0,0,0,0,11,6,2,1,1,1
20200320,false,0,0,0,0,0,0,23,13,12,2,7,1
20200321,false,0,0,0,0,0,0,31,17,8,3,4,2
20200322,false,0,0,0,0,0,0,42,23,11,4,6,2
20200323,false,0,0,0,0,0,0,47,26,5,5,3,3
20200324,false,0,0,0,0,0,0,50,28,3,6,2,3
20200325,false,0,0,0,0,0,0,73,41,23,6,13,3
20200326,false,0,0,0,0,0,0,123,69,50,9,28,5
20200327,false,3,2,3,0,2,0,189,105,66,16,37,9
20200328,false,4,2,1,0,1,0,230,128,41,24,23,13
20200329,false,5,3,1,1,1,1,261,146,31,28,17,16
20200330,false,6,3,1,1,1,1,310,173,49,31,27,17
20200331,false,7,4,1,1,1,1,415,232,105,38,59,21
20200401,false,9,5,2,1,1,1,525,293,110,52,61,29
20200402,false,9,5,0,1,0,1,669,373,144,65,80,36
20200403,false,9,5,0,1,0,1,891,497,222,78,124,44
20200404,false,10,6,1,1,1,1,1013,565,122,100,68,56
20200405,false,10,6,0,1,0,1,1077,601,64,112,36,62
20200406,false,10,6,0,1,0,1,1101,614,24,117,13,65
20200407,false,13,7,3,1,2,1,1170,653,69,113,39,63
20200408,false,15,8,2,1,1,1,1210,675,40,108,22,60
20200409,false,18,10,3,1,2,1,1232,687,22,98,12,55
20200410,false,24,13,6,1,3,1,1353,755,121,80,68,45
20200411,false,25,14,1,2,1,1,1396,779,43,66,24,37
20200412,false,27,15,2,2,1,1,1407,785,11,55,6,31
20200413,false,27,15,0,2,0,1,1426,796,19,47,11,26
20200414,false,33,18,6,2,3,1,1453,811,27,46,15,26
20200415,false,39,22,6,3,3,2,1464,817,11,40,6,22
20200416,false,41,23,2,3,1,2,1587,886,123,36,69,20
20200417,false,41,23,0,3,0,2,1609,898,22,51,12,28
20200418,false,43,24,2,2,1,1,1655,924,46,37,26,21
20200419,false,44,25,1,3,1,2,1668,931,13,37,7,21
20200420,false,45,25,1,2,1,1,1672,933,4,37,2,21
20200421,false,48,27,3,3,2,2,1736,969,64,35,36,20
20200422,false,51,28,3,2,2,1,1766,985,30,40,17,22
20200423,false,54,30,3,2,2,1,1802,1006,36,43,20,24
20200424,false,54,30,0,2,0,1,1836,1025,34,31,19,17
20200425,false,54,30,0,2,0,1,1870,1043,34,32,19,18
20200426,false,56,31,2,2,1,1,1887,1053,17,31,9,17
20200427,false,56,31,0,2,0,1,1897,1059,10,31,6,17
20200428,false,58,32,2,2,1,1,1917,1070,20,32,11,18
20200429,false,60,33,2,1,1,1,1952,1089,35,26,20,15
20200430,false,60,33,0,1,0,1,1984,1107,32,27,18,15
20200501,false,63,35,3,1,2,1,2015,1124,31,26,17,15
20200502,false,63,35,0,1,0,1,2035,1136,20,26,11,15
20200503,false,63,35,0,1,0,1,2061,1150,26,24,15,13
20200504,false,64,36,1,1,1,1,2061,1150,0,25,0,14
20200505,false,64,36,0,1,0,1,2106,1175,45,23,25,13
20200506,false,65,36,1,1,1,1,2127,1187,21,27,12,15
20200507,false,66,37,1,1,1,1,2158,1204,31,25,17,14
20200508,false,67,37,1,1,1,1,2178,1215,20,25,11,14
20200509,false,67,37,0,1,0,1,2205,1230,27,23,15,13
20200510,false,67,37,0,1,0,1,2230,1244,25,24,14,13
