date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200304,false,0,0,0,0,0,0,4,0,0,0,0,0
20200305,false,0,0,0,0,0,0,5,0,1,1,0,0
20200306,false,0,0,0,0,0,0,5,0,0,0,0,0
20200307,false,0,0,0,0,0,0,6,0,1,1,0,0
20200308,false,0,0,0,0,0,0,6,0,0,0,0,0
20200309,false,0,0,0,0,0,0,7,1,1,1,0,0
20200310,false,0,0,0,0,0,0,19,1,12,12,1,1
20200311,false,0,0,0,0,0,0,19,1,0,0,0,0
20200312,false,0,0,0,0,0,0,25,2,6,2,0,0
20200313,false,0,0,0,0,0,0,32,3,7,3,1,0
20200314,false,0,0,0,0,0,0,46,4,14,4,1,0
20200315,false,0,0,0,0,0,0,64,5,18,6,1,0
20200316,false,0,0,0,0,0,0,93,7,29,8,2,1
20200317,false,1,0,1,0,0,0,159,13,66,12,5,1
20200318,false,1,0,0,0,0,0,288,23,129,20,10,2
20200319,false,4,0,3,0,0,0,422,33,134,38,11,3
20200320,false,5,0,1,1,0,0,585,46,163,57,13,4
20200321,false,6,0,1,1,0,0,753,59,168,79,13,6
20200322,false,9,1,3,1,0,0,1049,83,296,101,23,8
20200323,false,12,1,3,1,0,0,1273,100,224,141,18,11
20200324,false,16,1,4,2,0,0,1535,121,262,169,21,13
20200325,false,19,1,3,2,0,0,1865,147,330,197,26,16
20200326,false,26,2,7,3,1,0,2538,200,673,225,53,18
20200327,false,34,3,8,3,1,0,3026,239,488,302,39,24
20200328,false,47,4,13,4,1,0,3491,275,465,349,37,28
20200329,false,65,5,18,6,1,0,4596,363,1105,391,87,31
20200330,false,73,6,8,8,1,1,5057,399,461,507,36,40
20200331,false,99,8,26,9,2,1,5994,473,937,541,74,43
20200401,false,141,11,42,12,3,1,6980,551,986,637,78,50
20200402,false,157,12,16,17,1,1,7695,607,715,731,56,58
20200403,false,210,17,53,19,4,1,8904,703,1209,737,95,58
20200404,false,243,19,33,25,3,2,10357,817,1453,840,115,66
20200405,false,274,22,31,28,2,2,11256,888,899,981,71,77
20200406,false,307,24,33,30,3,2,12262,968,1006,951,79,75
20200407,false,380,30,73,33,6,3,13549,1069,1287,1029,102,81
20200408,false,462,36,82,40,6,3,15078,1190,1529,1079,121,85
20200409,false,528,42,66,46,5,4,16422,1296,1344,1157,106,91
20200410,false,596,47,68,53,5,4,17887,1412,1465,1247,116,98
20200411,false,677,53,81,55,6,4,19180,1514,1293,1283,102,101
20200412,false,720,57,43,62,3,5,20852,1646,1672,1260,132,99
20200413,false,794,63,74,64,6,5,22025,1738,1173,1371,93,108
20200414,false,868,68,74,70,6,6,23247,1835,1222,1395,96,110
20200415,false,948,75,80,70,6,6,24593,1941,1346,1385,106,109
20200416,false,1072,85,124,69,10,5,25733,2031,1140,1359,90,107
20200417,false,1134,89,62,78,5,6,27575,2176,1842,1330,145,105
20200418,false,1259,99,125,77,10,6,29160,2301,1585,1384,125,109
20200419,false,1290,102,31,83,2,7,30357,2396,1197,1426,94,113
20200420,false,1349,106,59,81,5,6,31508,2486,1151,1358,91,107
20200421,false,1468,116,119,79,9,6,33059,2609,1551,1355,122,107
20200422,false,1565,124,97,86,8,7,35108,2771,2049,1402,162,111
20200423,false,1688,133,123,88,10,7,36934,2915,1826,1502,144,119
20200424,false,1795,142,107,88,8,7,39658,3130,2724,1600,215,126
20200425,false,1874,148,79,94,6,7,41777,3297,2119,1726,167,136
20200426,false,1933,153,59,88,5,7,43903,3465,2126,1802,168,142
20200427,false,1983,156,50,92,4,7,45883,3621,1980,1935,156,153
20200428,false,2125,168,142,91,11,7,48102,3796,2219,2054,175,162
20200429,false,2215,175,90,94,7,7,50355,3974,2253,2149,178,170
20200430,false,2355,186,140,93,11,7,52918,4176,2563,2178,202,172
20200501,false,2457,194,102,95,8,7,56055,4424,3137,2283,248,180
20200502,false,2559,202,102,95,8,7,58505,4617,2450,2342,193,185
20200503,false,2618,207,59,98,5,8,61499,4853,2994,2390,236,189
20200504,false,2662,210,44,98,3,8,63840,5038,2341,2514,185,198
