date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200227,false,0,0,0,0,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,1,0,1,0,0,0
20200307,false,0,0,0,0,0,0,1,0,0,0,0,0
20200308,false,0,0,0,0,0,0,2,0,1,0,0,0
20200309,false,0,0,0,0,0,0,2,0,0,0,0,0
20200310,false,0,0,0,0,0,0,6,1,4,0,1,0
20200311,false,0,0,0,0,0,0,10,1,4,1,1,0
20200312,false,0,0,0,0,0,0,12,2,2,1,0,0
20200313,false,0,0,0,0,0,0,12,2,0,2,0,0
20200314,false,0,0,0,0,0,0,15,2,3,2,0,0
20200315,false,0,0,0,0,0,0,19,3,4,2,1,0
20200316,false,1,0,1,0,0,0,24,4,5,2,1,0
20200317,false,2,0,1,0,0,0,30,4,6,3,1,0
20200318,false,2,0,0,0,0,0,39,6,9,3,1,0
20200319,false,2,0,0,0,0,0,56,8,17,4,3,1
20200320,false,2,0,0,0,0,0,79,12,23,6,3,1
20200321,false,4,1,2,0,0,0,126,19,47,10,7,1
20200322,false,6,1,2,1,0,0,201,30,75,16,11,2
20200323,false,7,1,1,1,0,0,259,38,58,26,9,4
20200324,false,12,2,5,1,1,0,365,54,106,34,16,5
20200325,false,14,2,2,1,0,0,477,71,112,48,17,7
20200326,false,17,3,3,2,0,0,645,96,168,63,25,9
20200327,false,24,4,7,2,1,0,981,146,336,84,50,12
20200328,false,31,5,7,3,1,0,1232,183,251,129,37,19
20200329,false,32,5,1,4,0,1,1514,225,282,158,42,23
20200330,false,35,5,3,4,0,1,1786,265,272,188,40,28
20200331,false,49,7,14,4,2,1,2159,321,373,218,55,32
20200401,false,65,10,16,5,2,1,2565,381,406,256,60,38
20200402,false,78,12,13,7,2,1,3039,451,474,298,70,44
20200403,false,102,15,24,9,4,1,3437,511,398,342,59,51
20200404,false,116,17,14,11,2,2,3953,587,516,351,77,52
20200405,false,127,19,11,12,2,2,4411,655,458,389,68,58
20200406,false,139,21,12,14,2,2,4944,734,533,414,79,61
20200407,false,173,26,34,15,5,2,5507,818,563,451,84,67
20200408,false,203,30,30,18,4,3,5943,883,436,478,65,71
20200409,false,245,36,42,20,6,3,6351,943,408,483,61,72
20200410,false,300,45,55,24,8,4,6907,1026,556,473,83,70
20200411,false,330,49,30,28,4,4,7435,1104,528,496,78,74
20200412,false,343,51,13,31,2,5,7928,1178,493,497,73,74
20200413,false,350,52,7,31,1,5,8236,1223,308,502,46,75
20200414,false,388,58,38,30,6,4,8527,1267,291,470,43,70
20200415,false,436,65,48,31,7,5,8955,1330,428,431,64,64
20200416,false,477,71,41,33,6,5,9542,1417,587,430,87,64
20200417,false,519,77,42,33,6,5,10154,1508,612,456,91,68
20200418,false,545,81,26,31,4,5,10641,1581,487,464,72,69
20200419,false,562,83,17,31,3,5,11210,1665,569,458,85,68
20200420,false,569,85,7,31,1,5,11686,1736,476,469,71,70
20200421,false,630,94,61,31,9,5,12097,1797,411,493,61,73
20200422,false,661,98,31,35,5,5,12438,1848,341,510,51,76
20200423,false,706,105,45,32,7,5,13039,1937,601,498,89,74
20200424,false,741,110,35,33,5,5,13680,2032,641,500,95,74
20200425,false,785,117,44,32,7,5,14395,2138,715,504,106,75
20200426,false,813,121,28,34,4,5,15012,2230,617,536,92,80
20200427,false,844,125,31,36,5,5,15961,2371,949,543,141,81
20200428,false,901,134,57,39,8,6,16588,2464,627,611,93,91
20200429,false,1065,158,164,39,24,6,17182,2552,594,642,88,95
20200430,false,1114,165,49,58,7,9,17835,2649,653,678,97,101
20200501,false,1175,175,61,58,9,9,18630,2767,795,685,118,102
20200502,false,1229,183,54,62,8,9,19295,2866,665,707,99,105
20200503,false,1246,185,17,63,3,9,19933,2961,638,700,95,104
20200504,false,1264,188,18,62,3,9,20507,3046,574,703,85,104
20200505,false,1326,197,62,60,9,9,21033,3124,526,649,78,96
20200506,false,1377,205,51,61,8,9,21870,3249,837,635,124,94
20200507,false,1414,210,37,45,5,7,22503,3343,633,670,94,100
20200508,false,1447,215,33,43,5,6,23146,3438,643,667,96,99
20200509,false,1490,221,43,39,6,6,23732,3525,586,645,87,96
20200510,false,1508,224,18,37,3,5,24126,3584,394,634,59,94
20200511,false,1540,229,32,37,5,5,24627,3658,501,599,74,89
20200512,false,1578,234,38,39,6,6,25127,3732,500,589,74,87
20200513,false,1619,240,41,36,6,5,25473,3784,346,585,51,87
20200514,false,1646,244,27,35,4,5,26053,3870,580,515,86,76
20200515,false,1691,251,45,33,7,5,26655,3959,602,507,89,75
20200516,false,1741,259,50,35,7,5,27280,4052,625,501,93,74
20200517,false,1751,260,10,36,1,5,27778,4126,498,507,74,75
20200518,false,1765,262,14,35,2,5,28255,4197,477,522,71,78
20200519,false,1824,271,59,32,9,5,28705,4264,450,518,67,77
20200520,false,1864,277,40,35,6,5,29274,4348,569,511,85,76
20200521,false,1913,284,49,35,7,5,29936,4447,662,543,98,81
20200522,false,1941,288,28,38,4,6,30409,4517,473,555,70,82
20200523,false,1943,289,2,36,0,5,30901,4590,492,536,73,80
20200524,false,1976,294,33,29,5,4,31376,4661,475,517,71,77
20200525,false,1976,294,0,32,0,5,31715,4711,339,514,50,76
20200526,false,2004,298,28,30,4,4,32078,4765,363,494,54,73
20200527,false,2030,302,26,26,4,4,32437,4818,359,482,53,72
20200528,false,2068,307,38,24,6,4,33068,4912,631,452,94,67
20200529,false,2110,313,42,22,6,3,33558,4985,490,447,73,66
20200530,false,2125,316,15,24,2,4,34211,5082,653,450,97,67
20200531,false,2134,317,9,26,1,4,34574,5136,363,473,54,70
20200601,false,2142,318,8,23,1,3,34830,5174,256,457,38,68
20200602,false,2197,326,55,24,8,4,35237,5234,407,445,60,66
20200603,false,2207,328,10,28,1,4,35712,5305,475,451,71,67
