date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,1,0,1,1,0,0
20200309,false,0,0,0,0,0,0,1,0,0,0,0,0
20200310,false,0,0,0,0,0,0,1,0,0,0,0,0
20200311,false,0,0,0,0,0,0,1,0,0,0,0,0
20200312,false,0,0,0,0,0,0,4,1,3,3,1,1
20200313,false,0,0,0,0,0,0,6,2,2,2,1,1
20200314,false,1,0,1,0,0,0,6,2,0,1,0,0
20200315,false,1,0,0,0,0,0,8,3,2,1,1,0
20200316,false,1,0,0,0,0,0,11,4,3,1,1,0
20200317,false,1,0,0,0,0,0,15,5,4,1,1,0
20200318,false,1,0,0,0,0,0,16,5,1,2,0,1
20200319,false,1,0,0,0,0,0,34,12,18,2,6,1
20200320,false,1,0,0,0,0,0,44,15,10,4,3,1
20200321,false,2,1,1,0,0,0,55,19,11,5,4,2
20200322,false,2,1,0,0,0,0,64,22,9,7,3,2
20200323,false,2,1,0,0,0,0,82,28,18,8,6,3
20200324,false,2,1,0,0,0,0,98,34,16,10,5,3
20200325,false,3,1,1,0,0,0,126,43,28,12,10,4
20200326,false,3,1,0,0,0,0,168,58,42,16,14,5
20200327,false,4,1,1,0,0,0,202,69,34,19,12,7
20200328,false,5,2,1,0,0,0,261,90,59,23,20,8
20200329,false,6,2,1,0,0,0,319,109,58,29,20,10
20200330,false,8,3,2,1,1,0,368,126,49,36,17,12
20200331,false,9,3,1,1,0,0,428,147,60,41,21,14
20200401,false,10,3,1,1,0,0,482,165,54,47,19,16
20200402,false,13,4,3,1,1,0,552,189,70,51,24,18
20200403,false,17,6,4,1,1,0,620,213,68,55,23,19
20200404,false,21,7,4,2,1,1,698,240,78,60,27,21
20200405,false,22,8,1,2,0,1,747,256,49,62,17,21
20200406,false,25,9,3,2,1,1,845,290,98,61,34,21
20200407,false,27,9,2,2,1,1,900,309,55,68,19,23
20200408,false,38,13,11,3,4,1,1046,359,146,67,50,23
20200409,false,42,14,4,4,1,1,1106,380,60,81,21,28
20200410,false,50,17,8,4,3,1,1166,400,60,79,21,27
20200411,false,55,19,5,5,2,2,1268,435,102,78,35,27
20200412,false,56,19,1,5,0,2,1337,459,69,81,24,28
20200413,false,62,21,6,5,2,2,1376,472,39,84,13,29
20200414,false,69,24,7,5,2,2,1426,489,50,76,17,26
20200415,false,76,26,7,6,2,2,1494,513,68,75,23,26
20200416,false,80,27,4,5,1,2,1588,545,94,64,32,22
20200417,false,84,29,4,5,1,2,1705,585,117,69,40,24
20200418,false,86,30,2,5,1,2,1790,614,85,77,29,26
20200419,false,92,32,6,4,2,1,1849,635,59,75,20,26
20200420,false,100,34,8,5,3,2,1986,682,137,73,47,25
20200421,false,107,37,7,5,2,2,2025,695,39,87,13,30
20200422,false,110,38,3,5,1,2,2211,759,186,86,64,30
20200423,false,112,38,2,5,1,2,2482,852,271,102,93,35
20200424,false,111,38,-1,5,0,2,2777,953,295,128,101,44
20200425,false,117,40,6,4,2,1,3056,1049,279,153,96,53
20200426,false,118,41,1,4,0,1,3174,1089,118,181,41,62
20200427,false,120,41,2,4,1,1,3328,1142,154,189,53,65
20200428,false,124,43,4,3,1,1,3491,1198,163,192,56,66
20200429,false,125,43,1,2,0,1,3738,1283,247,209,85,72
20200430,false,129,44,4,2,1,1,4238,1455,500,218,172,75
20200501,false,130,45,1,2,0,1,4449,1527,211,251,72,86
20200502,false,131,45,1,3,0,1,4746,1629,297,239,102,82
20200503,false,134,46,3,2,1,1,5030,1727,284,241,97,83
20200504,false,136,47,2,2,1,1,5245,1800,215,265,74,91
20200505,false,137,47,1,2,0,1,5458,1873,213,274,73,94
20200506,false,144,49,7,2,2,1,5734,1968,276,281,95,96
20200507,false,147,50,3,3,1,1,6144,2109,410,285,141,98
20200508,false,152,52,5,3,2,1,6501,2231,357,272,123,93
20200509,false,157,54,5,3,2,1,6751,2317,250,293,86,101
20200510,false,157,54,0,4,0,1,6948,2385,197,286,68,98
20200511,false,158,54,1,3,0,1,7116,2443,168,274,58,94
20200512,false,158,54,0,3,0,1,7116,2443,0,267,0,92
20200513,false,164,56,6,3,2,1,7468,2563,352,237,121,81
20200514,false,164,56,0,3,0,1,7468,2563,0,248,0,85
20200515,false,172,59,8,2,3,1,7886,2707,418,189,143,65
20200516,false,172,59,0,3,0,1,7886,2707,0,198,0,68
20200517,false,172,59,0,2,0,1,7886,2707,0,162,0,56
20200518,false,173,59,1,2,0,1,8340,2863,454,134,156,46
20200519,false,173,59,0,2,0,1,8340,2863,0,175,0,60
20200520,false,178,61,5,2,2,1,8539,2931,199,175,68,60
20200521,false,178,61,0,2,0,1,8539,2931,0,153,0,53
20200522,false,185,64,7,2,2,1,8958,3075,419,153,144,53
20200523,false,185,64,0,2,0,1,8958,3075,0,153,0,53
20200524,false,185,64,0,2,0,1,8958,3075,0,153,0,53
20200525,false,188,65,3,2,1,1,9218,3164,260,153,89,53
20200526,false,188,65,0,2,0,1,9218,3164,0,125,0,43
20200527,false,205,70,17,2,6,1,9337,3205,119,125,41,43
20200528,false,205,70,0,4,0,1,9337,3205,0,114,0,39
20200529,false,208,71,3,4,1,1,9719,3336,382,114,131,39
20200530,false,208,71,0,3,0,1,9719,3336,0,109,0,37
20200531,false,208,71,0,3,0,1,9719,3336,0,109,0,37
20200601,false,217,74,9,3,3,1,10011,3436,292,109,100,37
20200602,false,217,74,0,4,0,1,10011,3436,0,113,0,39
20200603,false,222,76,5,4,2,1,10170,3491,159,113,55,39
20200604,false,222,76,0,2,0,1,10170,3491,0,119,0,41
20200605,false,232,80,10,2,3,1,10393,3567,223,119,77,41
20200606,false,232,80,0,3,0,1,10393,3567,0,96,0,33
20200607,false,232,80,0,3,0,1,10393,3567,0,96,0,33
20200608,false,236,81,4,3,1,1,10650,3656,257,96,88,33
20200609,false,236,81,0,3,0,1,10650,3656,0,91,0,31
20200610,false,240,82,4,3,1,1,10812,3711,162,91,56,31
20200611,false,240,82,0,3,0,1,10812,3711,0,92,0,32
20200612,false,243,83,3,3,1,1,11047,3792,235,92,81,32
20200613,false,243,83,0,2,0,1,11047,3792,0,93,0,32
20200614,false,243,83,0,2,0,1,11047,3792,0,93,0,32
20200615,false,245,84,2,2,1,1,11419,3920,372,93,128,32
20200616,false,245,84,0,1,0,0,11419,3920,0,110,0,38
20200617,false,247,85,2,1,1,0,11681,4010,262,110,90,38
20200618,false,247,85,0,1,0,0,11681,4010,0,124,0,43
20200619,false,254,87,7,1,2,0,12059,4139,378,124,130,43
20200620,false,254,87,0,2,0,1,12059,4139,0,145,0,50
20200621,false,254,87,0,2,0,1,12059,4139,0,145,0,50
20200622,false,259,89,5,2,2,1,12465,4279,406,145,139,50
20200623,false,259,89,0,2,0,1,12465,4279,0,149,0,51
20200624,false,261,90,2,2,1,1,12970,4452,505,149,173,51
20200625,false,261,90,0,2,0,1,12970,4452,0,184,0,63
20200626,false,264,91,3,2,1,1,13538,4647,568,184,195,63
20200627,false,264,91,0,1,0,0,13538,4647,0,211,0,72
20200628,false,264,91,0,1,0,0,13538,4647,0,211,0,72
20200629,false,270,93,6,1,2,0,14443,4958,905,211,311,72
20200630,false,270,93,0,2,0,1,14443,4958,0,283,0,97
20200701,false,272,93,2,2,1,1,14990,5145,547,283,188,97
20200702,false,272,93,0,2,0,1,14990,5145,0,289,0,99
20200703,false,277,95,5,2,2,1,15919,5464,929,289,319,99
20200704,false,277,95,0,2,0,1,15919,5464,0,340,0,117
20200705,false,277,95,0,2,0,1,15919,5464,0,340,0,117
20200706,false,280,96,3,2,1,1,16901,5801,982,340,337,117
20200707,false,280,96,0,1,0,0,16901,5801,0,351,0,120
20200708,false,282,97,2,1,1,0,17618,6047,717,351,246,120
20200709,false,282,97,0,1,0,0,17618,6047,0,375,0,129
20200710,false,284,97,2,1,1,0,18611,6388,993,375,341,129
20200711,false,284,97,0,1,0,0,18611,6388,0,385,0,132
20200712,false,284,97,0,1,0,0,18611,6388,0,385,0,132
20200713,false,288,99,4,1,1,0,20058,6885,1447,385,497,132
20200714,false,288,99,0,1,0,0,20058,6885,0,451,0,155
20200715,false,299,103,11,1,4,0,20933,7185,875,451,300,155
20200716,false,299,103,0,2,0,1,20933,7185,0,474,0,163
20200717,false,299,103,0,2,0,1,21965,7540,1032,474,354,163
20200718,false,299,103,0,2,0,1,21965,7540,0,479,0,164
20200719,false,299,103,0,2,0,1,21965,7540,0,479,0,164
20200720,false,307,105,8,2,3,1,23334,8009,1369,479,470,164
20200721,false,307,105,0,3,0,1,23334,8009,0,468,0,161
20200722,false,308,106,1,3,0,1,24104,8274,770,468,264,161
20200723,false,308,106,0,1,0,0,24104,8274,0,453,0,155
20200724,false,326,112,18,1,6,0,25109,8619,1005,453,345,155
20200725,false,326,112,0,4,0,1,25109,8619,0,449,0,154
20200726,false,326,112,0,4,0,1,25109,8619,0,449,0,154
20200727,false,335,115,9,4,3,1,26172,8984,1063,449,365,154
20200728,false,335,115,0,4,0,1,26172,8984,0,405,0,139
20200729,false,349,120,14,4,5,1,26870,9223,698,405,240,139
20200730,false,349,120,0,6,0,2,26870,9223,0,395,0,136
20200731,false,358,123,9,6,3,2,27812,9547,942,395,323,136
20200801,false,358,123,0,5,0,2,27812,9547,0,386,0,132
20200802,false,358,123,0,5,0,2,27812,9547,0,386,0,132
20200803,false,365,125,7,5,2,2,28876,9912,1064,386,365,132
20200804,false,365,125,0,4,0,1,28876,9912,0,386,0,132
20200805,false,368,126,3,4,1,1,29717,10200,841,386,289,132
20200806,false,368,126,0,3,0,1,29717,10200,0,407,0,140
20200807,false,380,130,12,3,4,1,30638,10517,921,407,316,140
20200808,false,380,130,0,3,0,1,30638,10517,0,404,0,139
20200809,false,380,130,0,3,0,1,30638,10517,0,404,0,139
20200810,false,387,133,7,3,2,1,31730,10891,1092,404,375,139
20200811,false,387,133,0,3,0,1,31730,10891,0,408,0,140
20200812,false,395,136,8,3,3,1,32547,11172,817,408,280,140
20200813,false,395,136,0,4,0,1,32547,11172,0,404,0,139
20200814,false,402,138,7,4,2,1,33885,11631,1338,404,459,139
20200815,false,402,138,0,3,0,1,33885,11631,0,464,0,159
20200816,false,402,138,0,3,0,1,33885,11631,0,464,0,159
20200817,false,405,139,3,3,1,1,35167,12071,1282,464,440,159
20200818,false,405,139,0,3,0,1,35167,12071,0,491,0,169
20200819,false,411,141,6,3,2,1,35890,12319,723,491,248,169
20200820,false,411,141,0,2,0,1,35890,12319,0,478,0,164
20200821,false,419,144,8,2,3,1,36856,12651,966,478,332,164
20200822,false,419,144,0,2,0,1,36856,12651,0,424,0,146
20200823,false,419,144,0,2,0,1,36856,12651,0,424,0,146
20200824,false,426,146,7,2,2,1,38401,13181,1545,424,530,146
20200825,false,426,146,0,3,0,1,38401,13181,0,462,0,159
20200826,false,437,150,11,3,4,1,39937,13708,1536,462,527,159
20200827,false,437,150,0,4,0,1,39937,13708,0,578,0,198
20200828,false,443,152,6,4,2,1,41048,14090,1111,578,381,198
20200829,false,443,152,0,3,0,1,41048,14090,0,599,0,206
