date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,1,0,1,1,0,0
20200308,false,0,0,0,0,0,0,1,0,0,0,0,0
20200309,false,0,0,0,0,0,0,4,1,3,3,1,1
20200310,false,0,0,0,0,0,0,6,1,2,2,0,0
20200311,false,0,0,0,0,0,0,8,2,2,2,0,0
20200312,false,0,0,0,0,0,0,8,2,0,0,0,0
20200313,false,0,0,0,0,0,0,11,2,3,3,1,1
20200314,false,1,0,1,0,0,0,14,3,3,2,1,0
20200315,false,1,0,0,0,0,0,16,4,2,2,0,0
20200316,false,1,0,0,0,0,0,21,5,5,2,1,0
20200317,false,1,0,0,0,0,0,22,5,1,2,0,0
20200318,false,1,0,0,0,0,0,26,6,4,2,1,0
20200319,false,1,0,0,0,0,0,35,8,9,3,2,1
20200320,false,1,0,0,0,0,0,47,11,12,4,3,1
20200321,false,2,0,1,0,0,0,54,12,7,5,2,1
20200322,false,3,1,1,0,0,0,99,22,45,6,10,1
20200323,false,3,1,0,0,0,0,104,23,5,12,1,3
20200324,false,4,1,1,0,0,0,124,28,20,12,4,3
20200325,false,4,1,0,0,0,0,157,35,33,15,7,3
20200326,false,4,1,0,0,0,0,198,44,41,19,9,4
20200327,false,6,1,2,0,0,0,248,56,50,23,11,5
20200328,false,8,2,2,1,0,0,302,68,54,29,12,6
20200329,false,9,2,1,1,0,0,394,88,92,35,21,8
20200330,false,9,2,0,1,0,0,439,98,45,42,10,9
20200331,false,11,2,2,1,0,0,480,107,41,48,9,11
20200401,false,17,4,6,1,1,0,591,132,111,51,25,11
20200402,false,20,4,3,2,1,0,680,152,89,62,20,14
20200403,false,31,7,11,2,2,0,770,172,90,69,20,15
20200404,false,37,8,6,4,1,1,831,186,61,75,14,17
20200405,false,40,9,3,4,1,1,917,205,86,76,19,17
20200406,false,45,10,5,4,1,1,955,214,38,75,9,17
20200407,false,59,13,14,5,3,1,1008,226,53,74,12,17
20200408,false,65,15,6,7,1,2,1149,257,141,75,32,17
20200409,false,73,16,8,7,2,2,1346,301,197,80,44,18
20200410,false,90,20,17,8,4,2,1693,379,347,95,78,21
20200411,false,90,20,0,8,0,2,1693,379,0,132,0,30
20200412,false,94,21,4,8,1,2,1840,412,147,123,33,28
20200413,false,97,22,3,8,1,2,1963,439,123,132,28,30
20200414,false,104,23,7,7,2,2,2048,458,85,144,19,32
20200415,false,115,26,11,6,2,1,2210,495,162,149,36,33
20200416,false,122,27,7,7,2,2,2291,513,81,152,18,34
20200417,false,129,29,7,7,2,2,2429,544,138,135,31,30
20200418,false,137,31,8,6,2,1,2522,564,93,105,21,24
20200419,false,144,32,7,7,2,2,2707,606,185,118,41,26
20200420,false,148,33,4,7,1,2,2960,663,253,124,57,28
20200421,false,154,34,6,7,1,2,3050,683,90,142,20,32
20200422,false,171,38,17,7,4,2,3192,714,142,143,32,32
20200423,false,185,41,14,8,3,2,3373,755,181,140,41,31
20200424,false,191,43,6,9,1,2,3481,779,108,155,24,35
20200425,false,200,45,9,9,2,2,3779,846,298,150,67,34
20200426,false,205,46,5,9,1,2,3905,874,126,180,28,40
20200427,false,208,47,3,9,1,2,4074,912,169,171,38,38
20200428,false,213,48,5,9,1,2,4146,928,72,159,16,36
20200429,false,225,50,12,8,3,2,4375,979,229,157,51,35
20200430,false,235,53,10,8,2,2,4539,1016,164,169,37,38
20200501,false,240,54,5,7,1,2,4708,1054,169,167,38,37
20200502,false,248,56,8,7,2,2,4879,1092,171,175,38,39
20200503,false,248,56,0,7,0,2,4879,1092,0,157,0,35
20200504,false,253,57,5,6,1,1,5130,1148,251,139,56,31
20200505,false,261,58,8,6,2,1,5245,1174,115,151,26,34
20200506,false,275,62,14,7,3,2,5822,1303,577,157,129,35
20200507,false,283,63,8,7,2,2,5934,1328,112,207,25,46
20200508,false,294,66,11,7,2,2,6129,1372,195,199,44,45
20200509,false,298,67,4,8,1,2,6288,1407,159,203,36,45
20200510,false,304,68,6,7,1,2,6440,1441,152,201,34,45
