date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,1,0,1,1,0
20200310,false,0,0,0,0,0,1,0,0,0,0
20200311,false,0,0,0,0,0,6,1,5,5,1
20200312,false,0,0,0,0,0,14,3,8,8,2
20200313,false,0,0,0,0,0,36,8,22,22,5
20200314,false,0,0,0,0,0,51,11,15,15,3
20200315,false,2,0,2,0,0,90,19,39,7,2
20200316,false,2,0,0,0,0,115,25,25,13,3
20200317,false,4,1,2,0,0,137,29,22,16,3
20200318,false,6,1,2,1,0,240,52,103,19,4
20200319,false,8,2,2,1,0,347,75,107,33,7
20200320,false,12,3,4,1,0,473,102,126,48,10
20200321,false,16,3,4,2,0,580,125,107,62,13
20200322,false,20,4,4,2,0,837,180,257,76,16
20200323,false,34,7,14,3,1,1172,252,335,107,23
20200324,false,46,10,12,5,1,1388,299,216,151,32
20200325,false,65,14,19,6,1,1795,386,407,179,39
20200326,false,83,18,18,8,2,2305,496,510,222,48
20200327,false,119,26,36,11,2,2746,591,441,280,60
20200328,false,137,29,18,15,3,3315,713,569,325,70
20200329,false,151,32,14,17,4,3540,761,225,391,84
20200330,false,185,40,34,19,4,4025,866,485,386,83
20200331,false,239,51,54,22,5,5237,1127,1212,408,88
20200401,false,273,59,34,28,6,6424,1382,1187,550,118
20200402,false,310,67,37,30,6,9150,1968,2726,661,142
20200403,false,370,80,60,32,7,10297,2215,1147,978,210
20200404,false,409,88,39,36,8,12496,2688,2199,1079,232
20200405,false,477,103,68,39,8,13010,2799,514,1312,282
20200406,false,512,110,35,47,10,14867,3198,1857,1353,291
20200407,false,582,125,70,47,10,16284,3503,1417,1549,333
20200408,false,652,140,70,49,11,17030,3663,746,1578,339
20200409,false,702,151,50,54,12,18283,3933,1253,1515,326
20200410,false,755,162,53,56,12,19253,4142,970,1305,281
20200411,false,806,173,51,55,12,20014,4305,761,1279,275
20200412,false,840,181,34,57,12,20595,4430,581,1074,231
20200413,false,884,190,44,52,11,21016,4521,421,1084,233
20200414,false,1013,218,129,53,11,21518,4629,502,878,189
20200415,false,1103,237,90,62,13,21951,4722,433,748,161
20200416,false,1156,249,53,64,14,22532,4847,581,703,151
20200417,false,1213,261,57,65,14,23118,4973,586,607,131
20200418,false,1267,273,54,65,14,23580,5072,462,552,119
20200419,false,1296,279,29,66,14,23928,5147,348,509,109
20200420,false,1328,286,32,65,14,24523,5275,595,476,102
20200421,false,1405,302,77,63,14,24854,5346,331,501,108
20200422,false,1473,317,68,56,12,25258,5433,404,477,103
20200423,false,1540,331,67,53,11,25739,5537,481,472,102
20200424,false,1601,344,61,55,12,26140,5623,401,458,99
20200425,false,1644,354,43,55,12,26512,5703,372,432,93
20200426,false,1670,359,26,54,12,26773,5759,261,419,90
20200427,false,1697,365,27,53,11,27068,5823,295,406,87
20200428,false,1758,378,61,53,11,27286,5869,218,364,78
20200429,false,1802,388,44,50,11,27660,5950,374,347,75
20200430,false,1862,401,60,47,10,28001,6023,341,343,74
20200501,false,1927,415,65,46,10,28711,6176,710,323,69
20200502,false,1950,419,23,47,10,29140,6268,429,367,79
20200503,false,1969,424,19,44,9,29340,6311,200,375,81
20200504,false,2064,444,95,43,9,29673,6383,333,367,79
20200505,false,2115,455,51,52,11,29996,6452,323,372,80
20200506,false,2115,455,0,51,11,30399,6539,403,387,83
20200507,false,2208,475,93,45,10,30652,6594,253,391,84
20200508,false,2227,479,19,49,11,30855,6637,203,379,82
20200509,false,2267,488,40,43,9,31417,6758,562,306,66
20200510,false,2286,492,19,45,10,31600,6797,183,325,70
20200511,false,2308,496,22,45,10,31815,6844,215,323,69
20200512,false,2347,505,39,35,8,32050,6894,235,306,66
20200513,false,2381,512,34,33,7,32662,7026,612,293,63
20200514,false,2417,520,36,38,8,33489,7204,827,323,69
20200515,false,2448,527,31,30,6,33837,7279,348,405,87
20200516,false,2479,533,31,32,7,34117,7339,280,426,92
20200517,false,2491,536,12,30,6,34432,7407,315,386,83
20200518,false,2563,551,72,29,6,34709,7466,277,405,87
20200519,false,2581,555,18,36,8,35038,7537,329,413,89
20200520,false,2608,561,27,33,7,35316,7597,278,427,92
20200521,false,2629,566,21,32,7,36504,7852,1188,379,82
20200522,false,2668,574,39,30,6,36925,7943,421,431,93
20200523,false,2668,574,0,31,7,37040,7968,115,441,95
20200524,false,2690,579,22,27,6,37169,7995,129,418,90
20200525,false,2690,579,0,28,6,37809,8133,640,391,84
20200526,false,2701,581,11,18,4,38054,8186,245,443,95
20200527,false,2722,586,21,17,4,38497,8281,443,431,93
20200528,false,2740,589,18,16,3,38802,8347,305,454,98
20200529,false,2766,595,26,16,3,38802,8347,0,328,71
20200530,false,2785,599,19,14,3,39577,8513,775,268,58
20200531,false,2791,600,6,17,4,39916,8586,339,362,78
20200601,false,2801,603,10,14,3,40341,8678,425,392,84
20200602,false,2835,610,34,16,3,40746,8765,405,362,78
20200603,false,2870,617,35,19,4,41133,8848,387,385,83
20200604,false,2883,620,13,21,5,41562,8940,429,377,81
20200605,false,2912,626,29,20,4,41989,9032,427,394,85
20200606,false,2925,629,13,21,5,42486,9139,497,455,98
20200607,false,2936,632,11,20,4,42816,9210,330,416,89
20200608,false,2944,633,8,21,5,43050,9260,234,414,89
20200609,false,2957,636,13,20,4,43612,9381,562,387,83
20200610,false,2968,638,11,17,4,44030,9471,418,409,88
20200611,false,2987,643,19,14,3,44472,9566,442,414,89
20200612,false,2996,644,9,15,3,44995,9679,523,416,89
20200613,false,3004,646,8,12,3,46283,9956,1288,429,92
20200614,false,3014,648,10,11,2,46619,10028,336,542,117
20200615,false,3018,649,4,11,2,47172,10147,553,543,117
20200616,false,3042,654,24,11,2,47706,10262,534,589,127
20200617,false,3062,659,20,12,3,48634,10462,928,585,126
20200618,false,3062,659,0,13,3,48634,10462,0,658,142
20200619,false,3084,663,22,11,2,48515,10436,-119,595,128
20200620,false,3104,668,20,13,3,49385,10623,870,503,108
20200621,false,3105,668,1,14,3,49778,10708,393,443,95
20200622,false,3117,670,12,13,3,50239,10807,461,451,97
20200623,false,3134,674,17,14,3,51595,11099,1356,438,94
20200624,false,3152,678,18,13,3,52477,11288,882,556,120
20200625,false,3164,681,12,13,3,53415,11490,938,549,118
20200626,false,3190,686,26,15,3,54769,11781,1354,683,147
20200627,false,3190,686,0,15,3,54769,11781,0,893,192
20200628,false,3199,688,9,12,3,56236,12097,1467,769,165
20200629,false,3199,688,0,13,3,57081,12279,845,923,199
20200630,false,3221,693,22,12,3,58095,12497,1014,977,210
20200701,false,3238,697,17,12,3,60178,12945,2083,929,200
20200702,false,3255,700,17,12,3,61561,13242,1383,1100,237
20200703,false,3278,705,23,13,3,63289,13614,1728,1164,250
20200704,false,3278,705,0,13,3,63289,13614,0,1217,262
20200705,false,3288,707,10,13,3,65226,14031,1937,1217,262
20200706,false,3296,709,8,13,3,66327,14268,1101,1284,276
20200707,false,3319,714,23,14,3,68263,14684,1936,1321,284
20200708,false,3339,718,20,14,3,70151,15090,1888,1453,313
20200709,false,3355,722,16,14,3,71994,15487,1843,1425,307
20200710,false,3380,727,25,14,3,74636,16055,2642,1490,321
20200711,false,3403,732,23,15,3,76803,16521,2167,1621,349
20200712,false,3416,735,13,18,4,78122,16805,1319,1931,415
20200713,false,3423,736,7,18,4,79827,17172,1705,1842,396
20200714,false,3445,741,22,18,4,82042,17648,2215,1929,415
20200715,false,3461,744,16,18,4,84131,18097,2089,1968,423
20200716,false,3485,750,24,17,4,86411,18588,2280,1997,430
20200717,false,3509,755,24,19,4,88590,19057,2179,2060,443
20200718,false,3509,755,0,18,4,88590,19057,0,1993,429
20200719,false,3543,762,34,15,3,91706,19727,3116,1684,362
20200720,false,3572,768,29,18,4,94892,20412,3186,1941,418
20200721,false,3608,776,36,21,5,96583,20776,1691,2152,463
20200722,false,3670,789,62,23,5,99354,21372,2771,2077,447
20200723,false,3686,793,16,30,6,101650,21866,2296,2175,468
20200724,false,3715,799,29,29,6,103734,22314,2084,2177,468
20200725,false,3715,799,0,29,6,103734,22314,0,2163,465
20200726,false,3763,809,48,29,6,107574,23140,3840,2163,465
20200727,false,3786,814,23,31,7,109917,23644,2343,2267,488
20200728,false,3812,820,26,31,7,111038,23885,1121,2146,462
20200729,false,3883,835,71,29,6,112773,24259,1735,2065,444
20200730,false,3925,844,42,30,6,114481,24626,1708,1917,412
20200731,false,3949,849,24,34,7,116280,25013,1799,1833,394
20200801,false,3949,849,0,33,7,116280,25013,0,1792,385
20200802,false,4007,862,58,33,7,119747,25759,3467,1792,385
20200803,false,4024,866,17,35,8,120846,25995,1099,1739,374
20200804,false,4051,871,27,34,7,124461,26773,3615,1561,336
20200805,false,4096,881,45,34,7,125943,27092,1482,1918,413
20200806,false,4146,892,50,30,6,127246,27372,1303,1881,405
20200807,false,4207,905,61,32,7,128746,27694,1500,1824,392
20200808,false,4207,905,0,37,8,128746,27694,0,1781,383
20200809,false,4263,917,56,37,8,131399,28265,2653,1781,383
20200810,false,4287,922,24,37,8,131961,28386,562,1665,358
20200811,false,4313,928,26,38,8,133125,28636,1164,1588,342
20200812,false,4361,938,48,37,8,134304,28890,1179,1238,266
20200813,false,4402,947,41,38,8,135439,29134,1135,1194,257
20200814,false,4430,953,28,37,8,136737,29413,1298,1170,252
20200815,false,4430,953,0,32,7,136737,29413,0,1142,246
20200816,false,4507,969,77,32,7,137918,29667,1181,1142,246
20200817,false,4526,974,19,35,8,138485,29789,567,931,200
20200818,false,4554,980,28,34,7,139125,29927,640,932,200
20200819,false,4609,991,55,34,7,139903,30094,778,857,184
20200820,false,4637,997,28,35,8,140821,30292,918,800,172
20200821,false,4687,1008,50,34,7,141720,30485,899,769,165
20200822,false,4687,1008,0,37,8,141720,30485,0,712,153
20200823,false,4746,1021,59,37,8,142943,30748,1223,712,153
20200824,false,4764,1025,18,34,7,143566,30882,623,718,154
20200825,false,4797,1032,33,34,7,144116,31001,550,726,156
20200826,false,4851,1043,54,35,8,145661,31333,1545,713,153
20200827,false,4874,1048,23,35,8,146338,31479,677,823,177
20200828,false,4904,1055,30,34,7,146944,31609,606,788,170
20200829,false,4904,1055,0,31,7,146944,31609,0,746,160
20200830,false,4931,1061,27,31,7,148568,31958,1624,746,160
20200831,false,4950,1065,19,26,6,148894,32029,326,804,173
20200901,false,4984,1072,34,27,6,149583,32177,689,761,164
20200902,false,5004,1076,20,27,6,150734,32424,1151,781,168
20200903,false,5021,1080,17,22,5,151547,32599,813,725,156
20200904,false,5035,1083,14,21,5,152369,32776,822,744,160
20200905,false,5035,1083,0,19,4,152369,32776,0,775,167
20200906,false,5093,1096,58,19,4,153764,33076,1395,775,167
20200907,false,5105,1098,12,23,5,154073,33143,309,742,160
20200908,false,5118,1101,13,22,5,154329,33198,256,740,159
20200909,false,5140,1106,22,19,4,155890,33533,1561,678,146
20200910,false,5161,1110,21,19,4,156354,33633,464,737,159
20200911,false,5202,1119,41,20,4,157109,33796,755,687,148
20200912,false,5202,1119,0,24,5,157109,33796,0,677,146
20200913,false,5235,1126,33,24,5,158390,34071,1281,677,146
20200914,false,5252,1130,17,20,4,158882,34177,492,661,142
20200915,false,5278,1135,26,21,5,159253,34257,371,687,148
20200916,false,5294,1139,16,23,5,159865,34388,612,703,151
20200917,false,5311,1142,17,22,5,160343,34491,478,568,122
20200918,false,5340,1149,29,21,5,161322,34702,979,570,123
20200919,false,5340,1149,0,20,4,161322,34702,0,602,129
20200920,false,5366,1154,26,20,4,162258,34903,936,602,129
20200921,false,5375,1156,9,19,4,162501,34956,243,553,119
20200922,false,5386,1159,11,18,4,163253,35117,752,517,111
20200923,false,5407,1163,21,15,3,163869,35250,616,571,123
20200924,false,5423,1167,16,16,3,164446,35374,577,572,123
20200925,false,5444,1171,21,16,3,165152,35526,706,586,126
20200926,false,5444,1171,0,15,3,165152,35526,0,547,118
20200927,false,5465,1176,21,15,3,166075,35724,923,547,118
20200928,false,5480,1179,15,14,3,166315,35776,240,545,117
20200929,false,5490,1181,10,15,3,166848,35891,533,545,117
20200930,false,5511,1185,21,15,3,167458,36022,610,514,111
20201001,false,5519,1187,8,15,3,168009,36140,551,513,110
20201002,false,5545,1193,26,14,3,168826,36316,817,509,109
20201003,false,5545,1193,0,14,3,168826,36316,0,525,113
20201004,false,5577,1200,32,14,3,169719,36508,893,525,113
20201005,false,5586,1202,9,16,3,169937,36555,218,521,112
20201006,false,5592,1203,6,15,3,170469,36670,532,517,111
20201007,false,5604,1205,12,15,3,172625,37133,2156,517,111
20201008,false,5609,1207,5,13,3,173149,37246,524,738,159
20201009,false,5635,1212,26,13,3,173406,37301,257,734,158
20201010,false,5635,1212,0,13,3,173406,37301,0,654,141
20201011,false,5655,1216,20,13,3,174587,37555,1181,654,141
20201012,false,5669,1219,14,11,2,174647,37568,60,695,150
20201013,false,5679,1222,10,12,3,175329,37715,682,673,145
20201014,false,5695,1225,16,12,3,176209,37904,880,694,149
20201015,false,5707,1228,12,13,3,176952,38064,743,512,110
20201016,false,5727,1232,20,14,3,177726,38231,774,543,117
20201017,false,5727,1232,0,13,3,177726,38231,0,617,133
20201018,false,5750,1237,23,13,3,178869,38476,1143,617,133
20201019,false,5766,1240,16,14,3,179070,38520,201,612,132
20201020,false,5772,1242,6,14,3,179769,38670,699,632,136
20201021,false,5790,1245,18,13,3,181132,38963,1363,634,136
20201022,false,5799,1247,9,14,3,181904,39129,772,703,151
20201023,false,5820,1252,21,13,3,182603,39280,699,707,152
20201024,false,5820,1252,0,13,3,182603,39280,0,697,150
20201025,false,5837,1256,17,13,3,183575,39489,972,697,150
20201026,false,5854,1259,17,12,3,183802,39538,227,672,145
20201027,false,5872,1263,18,13,3,184724,39736,922,676,145
20201028,false,5890,1267,18,14,3,185822,39972,1098,708,152
20201029,false,5908,1271,18,14,3,186216,40057,394,670,144
20201030,false,5919,1273,11,16,3,186649,40150,433,616,133
20201031,false,5919,1273,0,14,3,186649,40150,0,578,124
20201101,false,5926,1275,7,14,3,187720,40380,1071,578,124
20201102,false,5934,1276,8,13,3,187995,40440,275,592,127
20201103,false,5951,1280,17,11,2,189148,40688,1153,599,129
20201104,false,5975,1285,24,11,2,190164,40906,1016,632,136
20201105,false,5995,1290,20,12,3,190845,41053,681,620,133
20201106,false,6016,1294,21,12,3,191715,41240,870,661,142
20201107,false,6016,1294,0,14,3,191715,41240,0,724,156
20201108,false,6036,1298,20,14,3,192981,41512,1266,724,156
20201109,false,6048,1301,12,16,3,193372,41596,391,752,162
20201110,false,6058,1303,10,16,3,194702,41882,1330,768,165
20201111,false,6058,1303,0,15,3,194702,41882,0,793,171
20201112,true,6073,1306,15,15,3,195495,42053,793,793,171
20201113,true,6088,1310,15,15,3,196288,42223,793,793,171
20201114,true,6103,1313,15,15,3,197081,42394,793,793,171
20201115,true,6118,1316,15,15,3,197874,42565,793,793,171
