date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,3,0,3,3,0,0
20200307,false,0,0,0,0,0,0,3,0,0,0,0,0
20200308,false,0,0,0,0,0,0,3,0,0,0,0,0
20200309,false,0,0,0,0,0,0,5,1,2,2,0,0
20200310,false,0,0,0,0,0,0,6,1,1,1,0,0
20200311,false,0,0,0,0,0,0,9,1,3,3,0,0
20200312,false,0,0,0,0,0,0,12,2,3,3,0,0
20200313,false,0,0,0,0,0,0,17,3,5,2,1,0
20200314,false,0,0,0,0,0,0,26,4,9,2,1,0
20200315,false,0,0,0,0,0,0,31,5,5,3,1,0
20200316,false,2,0,2,0,0,0,37,6,6,4,1,1
20200317,false,0,0,-2,0,0,0,57,9,20,5,3,1
20200318,false,2,0,2,0,0,0,85,14,28,7,5,1
20200319,false,2,0,0,0,0,0,107,18,22,11,4,2
20200320,false,3,0,1,0,0,0,149,25,42,14,7,2
20200321,false,3,0,0,0,0,0,190,31,41,19,7,3
20200322,false,4,1,1,0,0,0,244,40,54,23,9,4
20200323,false,4,1,0,1,0,0,288,48,44,30,7,5
20200324,false,5,1,1,0,0,0,349,58,61,36,10,6
20200325,false,5,1,0,1,0,0,423,70,74,42,12,7
20200326,false,7,1,2,0,0,0,580,96,157,48,26,8
20200327,false,10,2,3,1,0,0,774,128,194,68,32,11
20200328,false,17,3,7,1,1,0,992,164,218,89,36,15
20200329,false,24,4,7,2,1,0,1239,205,247,115,41,19
20200330,false,35,6,11,3,2,0,1413,234,174,142,29,23
20200331,false,43,7,8,4,1,1,1660,275,247,161,41,27
20200401,false,52,9,9,5,1,1,1985,328,325,187,54,31
20200402,false,64,11,12,7,2,1,2331,386,346,223,57,37
20200403,false,84,14,20,8,3,1,2758,456,427,250,71,41
20200404,false,101,17,17,11,3,2,3125,517,367,283,61,47
20200405,false,122,20,21,12,3,2,3609,597,484,305,80,50
20200406,false,138,23,16,14,3,2,4045,669,436,339,72,56
20200407,false,160,26,22,15,4,2,4371,723,326,376,54,62
20200408,false,191,32,31,17,5,3,5529,915,1158,387,192,64
20200409,false,221,37,30,20,5,3,6185,1023,656,506,109,84
20200410,false,255,42,34,22,6,4,6968,1153,783,551,130,91
20200411,false,298,49,43,24,7,4,7694,1273,726,601,120,99
20200412,false,335,55,37,28,6,5,8225,1360,531,653,88,108
20200413,false,384,64,49,30,8,5,8936,1478,711,659,118,109
20200414,false,421,70,37,35,6,6,9472,1567,536,699,89,116
20200415,false,469,78,48,37,8,6,10032,1659,560,729,93,121
20200416,false,499,83,30,40,5,7,10784,1784,752,643,124,106
20200417,false,541,89,42,40,7,7,11572,1914,788,657,130,109
20200418,false,582,96,41,41,7,7,12308,2036,736,658,122,109
20200419,false,626,104,44,41,7,7,12830,2122,522,659,86,109
20200420,false,683,113,57,42,9,7,13684,2263,854,658,141,109
20200421,false,732,121,49,43,8,7,14193,2348,509,678,84,112
20200422,false,779,129,47,44,8,7,14775,2444,582,674,96,111
20200423,false,831,137,52,44,9,7,15737,2603,962,678,159,112
20200424,false,899,149,68,47,11,8,16616,2748,879,708,145,117
20200425,false,948,157,49,51,8,8,17766,2939,1150,721,190,119
20200426,false,1001,166,53,52,9,9,18581,3073,815,780,135,129
20200427,false,1045,173,44,54,7,9,19487,3223,906,822,150,136
20200428,false,1099,182,54,52,9,9,20113,3327,626,829,104,137
20200429,false,1168,193,69,52,11,9,20849,3449,736,846,122,140
20200430,false,1226,203,58,56,10,9,21742,3596,893,868,148,144
20200501,false,1276,211,50,56,8,9,23472,3882,1730,858,286,142
20200502,false,1323,219,47,54,8,9,24473,4048,1001,979,166,162
20200503,false,1372,227,49,54,8,9,25462,4212,989,958,164,158
20200504,false,1424,236,52,53,9,9,26408,4368,946,983,156,163
20200505,false,1476,244,52,54,9,9,27117,4485,709,989,117,164
20200506,false,1520,251,44,54,7,9,28163,4658,1046,1001,173,166
20200507,false,1580,261,60,50,10,8,29374,4859,1211,1045,200,173
20200508,false,1643,272,63,51,10,8,30485,5042,1111,1090,184,180
20200509,false,1692,280,49,52,8,9,31534,5216,1049,1002,174,166
20200510,false,1739,288,47,53,8,9,32587,5390,1053,1009,174,167
20200511,false,1788,296,49,52,8,9,33373,5520,786,1018,130,168
20200512,false,1834,303,46,52,8,9,34061,5634,688,995,114,165
20200513,false,1881,311,47,51,8,8,34812,5758,751,992,124,164
20200514,false,1935,320,54,52,9,9,35903,5939,1091,950,180,157
20200515,false,1991,329,56,51,9,8,36986,6118,1083,933,179,154
20200516,false,2040,337,49,50,8,8,37968,6280,982,929,162,154
20200517,false,2090,346,50,50,8,8,38804,6418,836,919,138,152
20200518,false,2122,351,32,50,5,8,39762,6577,958,888,158,147
20200519,false,2164,358,42,48,7,8,41546,6872,1784,913,295,151
20200520,false,2198,364,34,47,6,8,42323,7001,777,1069,129,177
20200521,false,2221,367,23,45,4,7,43531,7200,1208,1073,200,177
20200522,false,2274,376,53,41,9,7,44424,7348,893,1090,148,180
20200523,false,2306,381,32,40,5,7,45495,7525,1071,1063,177,176
20200524,false,2341,387,35,38,6,6,46313,7661,818,1075,135,178
20200525,false,2379,394,38,36,6,6,47152,7799,839,1073,139,177
20200526,false,2417,400,38,37,6,6,47687,7888,535,1056,88,175
20200527,false,2458,407,41,36,7,6,48423,8010,736,877,122,145
20200528,false,2501,414,43,37,7,6,49709,8222,1286,871,213,144
20200529,false,2538,420,37,40,6,7,50988,8434,1279,883,212,146
20200530,false,2562,424,24,38,4,6,52015,8604,1027,938,170,155
20200531,false,2596,429,34,37,6,6,52778,8730,763,931,126,154
20200601,false,2625,434,29,36,5,6,53327,8821,549,924,91,153
20200602,false,2646,438,21,35,3,6,54175,8961,848,882,140,146
20200603,false,2666,441,20,33,3,5,54982,9094,807,927,133,153
20200604,false,2668,441,2,30,0,5,55858,9239,876,937,145,155
20200605,false,2702,447,34,24,6,4,56770,9390,912,878,151,145
20200606,false,2740,453,38,23,6,4,57482,9508,712,826,118,137
20200607,false,2749,455,9,25,1,4,57973,9589,491,781,81,129
20200608,false,2776,459,27,22,4,4,58404,9660,431,742,71,123
20200609,false,2811,465,35,22,6,4,58904,9743,500,725,83,120
20200610,false,2844,470,33,24,5,4,59465,9836,561,676,93,112
20200611,false,2875,476,31,25,5,4,60197,9957,732,640,121,106
20200612,false,2900,480,25,30,4,5,60613,10026,416,620,69,103
20200613,false,2926,484,26,28,4,5,61305,10140,692,549,114,91
20200614,false,2939,486,13,27,2,4,61701,10206,396,546,66,90
20200615,false,2947,487,8,27,1,4,62032,10261,331,533,55,88
