date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,1,1,1,1,1,1
20200313,false,0,0,0,0,0,0,3,2,2,2,1,1
20200314,false,0,0,0,0,0,0,3,2,0,0,0,0
20200315,false,0,0,0,0,0,0,3,2,0,0,0,0
20200316,false,0,0,0,0,0,0,17,13,14,0,10,0
20200317,false,0,0,0,0,0,0,32,24,15,2,11,1
20200318,false,0,0,0,0,0,0,43,32,11,5,8,4
20200319,false,0,0,0,0,0,0,53,39,10,6,7,4
20200320,false,0,0,0,0,0,0,57,42,4,7,3,5
20200321,false,0,0,0,0,0,0,73,54,16,8,12,6
20200322,false,0,0,0,0,0,0,89,66,16,10,12,7
20200323,false,0,0,0,0,0,0,107,80,18,12,13,9
20200324,false,0,0,0,0,0,0,125,93,18,13,13,10
20200325,false,0,0,0,0,0,0,149,111,24,13,18,10
20200326,false,0,0,0,0,0,0,155,115,6,15,4,11
20200327,false,1,1,1,0,1,0,168,125,13,15,10,11
20200328,false,1,1,0,0,0,0,211,157,43,16,32,12
20200329,false,3,2,2,0,1,0,253,188,42,20,31,15
20200330,false,3,2,0,0,0,0,275,205,22,23,16,17
20200331,false,5,4,2,0,1,0,303,225,28,24,21,18
20200401,false,7,5,2,1,1,1,344,256,41,25,31,19
20200402,false,7,5,0,1,0,1,376,280,32,28,24,21
20200403,false,9,7,2,1,1,1,432,321,56,32,42,24
20200404,false,10,7,1,1,1,1,456,339,24,38,18,28
20200405,false,10,7,0,1,0,1,470,350,14,35,10,26
20200406,false,10,7,0,1,0,1,499,371,29,31,22,23
20200407,false,12,9,2,1,1,1,519,386,20,32,15,24
20200408,false,14,10,2,1,1,1,537,399,18,31,13,23
20200409,false,16,12,2,1,1,1,560,417,23,28,17,21
20200410,false,17,13,1,1,1,1,586,436,26,26,19,19
20200411,false,19,14,2,1,1,1,616,458,30,22,22,16
20200412,false,19,14,0,1,0,1,633,471,17,23,13,17
20200413,false,19,14,0,1,0,1,698,519,65,23,48,17
20200414,false,20,15,1,1,1,1,734,546,36,28,27,21
20200415,false,24,18,4,1,3,1,770,573,36,31,27,23
20200416,false,27,20,3,1,2,1,796,592,26,33,19,25
20200417,false,29,22,2,2,1,1,827,615,31,34,23,25
20200418,false,32,24,3,2,2,1,847,630,20,34,15,25
20200419,false,34,25,2,2,1,1,867,645,20,33,15,25
20200420,false,35,26,1,2,1,1,875,651,8,33,6,25
20200421,false,36,27,1,2,1,1,888,661,13,25,10,19
20200422,false,39,29,3,2,2,1,907,675,19,22,14,16
20200423,false,44,33,5,2,4,1,937,697,30,20,22,15
20200424,false,47,35,3,2,2,1,965,718,28,20,21,15
20200425,false,50,37,3,3,2,2,990,736,25,20,19,15
20200426,false,50,37,0,3,0,2,1015,755,25,20,19,15
20200427,false,51,38,1,2,1,1,1023,761,8,21,6,16
20200428,false,51,38,0,2,0,1,1040,774,17,21,13,16
20200429,false,52,39,1,2,1,1,1056,786,16,22,12,16
20200430,false,53,39,1,2,1,1,1095,815,39,21,29,16
20200501,false,55,41,2,1,1,1,1123,835,28,23,21,17
20200502,false,56,42,1,1,1,1,1152,857,29,23,22,17
20200503,false,57,42,1,1,1,1,1185,882,33,23,25,17
20200504,false,57,42,0,1,0,1,1205,896,20,24,15,18
20200505,false,61,45,4,1,3,1,1226,912,21,26,16,19
20200506,false,62,46,1,1,1,1,1254,933,28,27,21,20
20200507,false,62,46,0,1,0,1,1330,989,76,28,57,21
20200508,false,63,47,1,1,1,1,1374,1022,44,34,33,25
20200509,false,64,48,1,1,1,1,1408,1047,34,36,25,27
20200510,false,64,48,0,1,0,1,1436,1068,28,37,21,28
20200511,false,65,48,1,1,1,1,1462,1088,26,36,19,27
