date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200301,false,0,0,0,0,0,0,14,1,0,0,0,0
20200302,false,0,0,0,0,0,0,27,3,13,13,1,1
20200303,false,0,0,0,0,0,0,50,5,23,23,2,2
20200304,false,0,0,0,0,0,0,74,7,24,24,2,2
20200305,false,0,0,0,0,0,0,100,10,26,26,3,3
20200306,false,0,0,0,0,0,0,140,14,40,40,4,4
20200307,false,0,0,0,0,0,0,188,19,48,48,5,5
20200308,false,0,0,0,0,0,0,251,25,63,63,6,6
20200309,false,0,0,0,0,0,0,372,37,121,34,12,3
20200310,false,0,0,0,0,0,0,528,53,156,49,16,5
20200311,false,0,0,0,0,0,0,727,73,199,68,20,7
20200312,false,0,0,0,0,0,0,997,100,270,93,27,9
20200313,false,0,0,0,0,0,0,1361,136,364,128,36,13
20200314,false,0,0,0,0,0,0,1728,173,367,174,37,17
20200315,false,0,0,0,0,0,0,2188,219,460,220,46,22
20200316,false,0,0,0,0,0,0,2895,290,707,277,71,28
20200317,false,2,0,2,0,0,0,3659,366,764,360,77,36
20200318,false,5,1,3,0,0,0,4531,454,872,447,87,45
20200319,false,10,1,5,1,1,0,5276,528,745,543,75,54
20200320,false,13,1,3,1,0,0,6219,623,943,611,94,61
20200321,false,23,2,10,2,1,0,7023,703,804,694,81,69
20200322,false,36,4,13,3,1,0,7822,783,799,756,80,76
20200323,false,57,6,21,5,2,1,9062,907,1240,805,124,81
20200324,false,86,9,29,8,3,1,10155,1017,1093,881,109,88
20200325,false,111,11,25,12,3,1,11335,1135,1180,928,118,93
20200326,false,159,16,48,15,5,2,12475,1249,1140,972,114,97
20200327,false,212,21,53,21,5,2,13799,1382,1324,1028,133,103
20200328,false,283,28,71,28,7,3,14865,1488,1066,1083,107,108
20200329,false,351,35,68,37,7,4,15784,1580,919,1120,92,112
20200330,false,437,44,86,45,9,5,17363,1739,1579,1137,158,114
20200331,false,551,55,114,54,11,5,18654,1868,1291,1186,129,119
20200401,false,676,68,125,66,13,7,20246,2027,1592,1214,159,122
20200402,false,801,80,125,81,13,8,21376,2140,1130,1273,113,127
20200403,false,918,92,117,92,12,9,22579,2261,1203,1272,120,127
20200404,false,1030,103,112,101,11,10,23581,2361,1002,1254,100,126
20200405,false,1150,115,120,107,12,11,24458,2449,877,1245,88,125
20200406,false,1291,129,141,114,14,11,25785,2582,1327,1239,133,124
20200407,false,1449,145,158,122,16,12,26964,2700,1179,1203,118,120
20200408,false,1600,160,151,128,15,13,28064,2810,1100,1187,110,119
20200409,false,1756,176,156,132,16,13,29096,2913,1032,1117,103,112
20200410,false,1917,192,161,136,16,14,30172,3021,1076,1103,108,110
20200411,false,2081,208,164,143,16,14,30980,3102,808,1085,81,109
20200412,false,2249,225,168,150,17,15,31666,3171,686,1057,69,106
20200413,false,2391,239,142,157,14,16,32702,3275,1036,1030,104,103
20200414,false,2532,254,141,157,14,16,33613,3366,911,988,91,99
20200415,false,2672,268,140,155,14,16,34533,3458,920,950,92,95
20200416,false,2841,284,169,153,17,15,35455,3550,922,924,92,93
20200417,false,2984,299,143,155,14,16,36320,3637,865,908,87,91
20200418,false,3107,311,123,152,12,15,37029,3708,709,878,71,88
20200419,false,3236,324,129,147,13,15,37557,3761,528,864,53,87
20200420,false,3347,335,111,141,11,14,38494,3854,937,842,94,84
