date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,1,0,1,1,0
20200309,false,0,0,0,0,0,1,0,0,0,0
20200310,false,0,0,0,0,0,1,0,0,0,0
20200311,false,0,0,0,0,0,1,0,0,0,0
20200312,false,0,0,0,0,0,1,0,0,0,0
20200313,false,0,0,0,0,0,2,0,1,1,0
20200314,false,0,0,0,0,0,4,1,2,2,0
20200315,false,0,0,0,0,0,5,1,1,1,0
20200316,false,0,0,0,0,0,6,1,1,1,0
20200317,false,0,0,0,0,0,8,1,2,1,0
20200318,false,0,0,0,0,0,13,2,5,1,1
20200319,false,1,0,1,0,0,24,4,11,2,2
20200320,false,1,0,0,0,0,47,8,23,3,4
20200321,false,3,0,2,0,0,73,12,26,6,4
20200322,false,3,0,0,0,0,90,15,17,10,3
20200323,false,3,0,0,0,0,183,30,93,12,15
20200324,false,3,0,0,0,0,183,30,0,25,0
20200325,false,8,1,5,0,1,356,58,173,25,28
20200326,false,8,1,0,1,0,502,82,146,49,24
20200327,false,8,1,0,1,0,669,109,167,68,27
20200328,false,10,2,2,1,0,838,137,169,89,28
20200329,false,10,2,0,1,0,838,137,0,109,0
20200330,false,13,2,3,1,0,1031,168,193,107,31
20200331,false,14,2,1,1,0,1327,216,296,121,48
20200401,false,18,3,4,2,1,1581,258,254,163,41
20200402,false,19,3,1,1,0,1834,299,253,175,41
20200403,false,19,3,0,2,0,2113,344,279,190,45
20200404,false,24,4,5,2,1,2291,373,178,206,29
20200405,false,34,6,10,2,2,2367,386,76,208,12
20200406,false,39,6,5,3,1,2722,444,355,218,58
20200407,false,53,9,14,4,2,3037,495,315,242,51
20200408,false,58,9,5,6,1,3327,542,290,244,47
20200409,false,77,13,19,6,3,3539,577,212,249,35
20200410,false,96,16,19,8,3,3799,619,260,244,42
20200411,false,109,18,13,11,2,4024,656,225,241,37
20200412,false,110,18,1,12,0,4160,678,136,248,22
20200413,false,114,19,4,11,1,4388,715,228,256,37
20200414,false,133,22,19,11,3,4686,764,298,238,49
20200415,false,147,24,14,11,2,4895,798,209,236,34
20200416,false,152,25,5,13,1,5111,833,216,224,35
20200417,false,165,27,13,11,2,5283,861,172,225,28
20200418,false,175,29,10,10,2,5517,899,234,212,38
20200419,false,176,29,1,9,0,5667,923,150,213,24
20200420,false,177,29,1,9,0,5807,946,140,215,23
20200421,false,189,31,12,9,2,5941,968,134,203,22
20200422,false,208,34,19,8,3,6137,1000,196,179,32
20200423,false,218,36,10,9,2,6321,1030,184,177,30
20200424,false,262,43,44,9,7,6625,1079,304,173,50
20200425,false,273,44,11,14,2,6826,1112,201,192,33
20200426,false,274,45,1,14,0,6997,1140,171,187,28
20200427,false,288,47,14,14,2,7171,1168,174,190,28
20200428,false,314,51,26,16,4,7303,1190,132,195,22
20200429,false,318,52,4,18,1,7425,1210,122,195,20
20200430,false,329,54,11,16,2,7562,1232,137,184,22
20200501,false,337,55,8,16,1,7835,1277,273,177,44
20200502,false,351,57,14,11,2,8154,1329,319,173,52
20200503,false,352,57,1,11,0,8386,1366,232,190,38
20200504,false,358,58,6,11,1,8754,1426,368,198,60
20200505,false,377,61,19,10,3,8916,1453,162,226,26
20200506,false,396,65,19,9,3,9102,1483,186,230,30
20200507,false,418,68,22,11,4,9341,1522,239,240,39
20200508,false,449,73,31,13,5,9489,1546,148,254,24
20200509,false,472,77,23,16,4,9666,1575,177,236,29
20200510,false,482,79,10,17,2,9844,1604,178,216,29
20200511,false,488,80,6,19,1,9918,1616,74,208,12
20200512,false,524,85,36,19,6,10006,1630,88,166,14
20200513,false,542,88,18,21,3,10142,1652,136,156,22
20200514,false,562,92,20,21,3,10317,1681,175,149,29
20200515,false,576,94,14,21,2,10456,1704,139,139,23
20200516,false,589,96,13,18,2,10675,1739,219,138,36
20200517,false,594,97,5,17,1,10789,1758,114,144,19
20200518,false,605,99,11,16,2,10945,1783,156,135,25
20200519,false,616,100,11,17,2,11080,1805,135,147,22
20200520,false,631,103,15,13,2,11232,1830,152,153,25
20200521,false,661,108,30,13,5,11340,1848,108,156,18
20200522,false,671,109,10,14,2,11558,1883,218,146,36
20200523,false,676,110,5,14,1,11752,1915,194,157,32
20200524,false,681,111,5,12,1,11988,1953,236,154,38
20200525,false,685,112,4,12,1,12167,1982,179,171,29
20200526,false,686,112,1,11,0,12291,2003,124,175,20
20200527,false,696,113,10,10,2,12492,2035,201,173,33
20200528,false,707,115,11,9,2,12673,2065,181,180,29
20200529,false,738,120,31,7,5,12795,2085,122,190,20
20200530,false,771,126,33,10,5,12962,2112,167,177,27
20200531,false,772,126,1,14,0,13147,2142,185,173,30
20200601,false,773,126,1,13,0,13327,2171,180,166,29
20200602,false,783,128,10,13,2,13575,2212,248,166,40
20200603,false,786,128,3,14,0,13767,2243,192,183,31
20200604,false,786,128,0,13,0,14057,2290,290,182,47
20200605,false,799,130,13,11,2,14253,2322,196,198,32
20200606,false,809,132,10,9,2,14442,2353,189,208,31
20200607,false,809,132,0,5,0,14553,2371,111,211,18
20200608,false,819,133,10,5,2,14734,2401,181,201,29
20200609,false,840,137,21,7,3,14913,2430,179,201,29
20200610,false,848,138,8,8,1,15187,2474,274,191,45
20200611,false,860,140,12,9,2,15390,2508,203,203,33
20200612,false,872,142,12,11,2,15585,2539,195,190,32
20200613,false,879,143,7,10,1,15810,2576,225,190,37
20200614,false,879,143,0,10,0,15810,2576,0,195,0
20200615,false,880,143,1,10,0,16189,2638,379,180,62
20200616,false,882,144,2,9,0,16414,2674,225,208,37
20200617,false,909,148,27,6,4,16625,2709,211,214,34
20200618,false,946,154,37,9,6,16908,2755,283,205,46
20200619,false,948,154,2,12,0,17201,2803,293,217,48
20200620,false,955,156,7,11,1,17590,2866,389,231,63
20200621,false,956,156,1,11,0,18003,2933,413,254,67
20200622,false,961,157,5,11,1,18143,2956,140,313,23
20200623,false,961,157,0,12,0,18143,2956,0,279,0
20200624,false,975,159,14,11,2,18868,3074,725,247,118
20200625,false,982,160,7,9,1,19421,3164,553,320,90
20200626,false,990,161,8,5,1,19914,3245,493,359,80
20200627,false,996,162,6,6,1,20261,3301,347,388,57
20200628,false,997,162,1,6,0,20575,3352,314,382,51
20200629,false,998,163,1,6,0,21043,3429,468,367,76
20200630,false,1015,165,17,5,3,21551,3511,508,414,83
20200701,false,1017,166,2,8,0,21927,3573,376,487,61
20200702,false,1022,167,5,6,1,22283,3631,356,437,58
20200703,false,1026,167,4,6,1,22830,3720,547,409,89
20200704,false,1027,167,1,5,0,23215,3783,385,417,63
20200705,false,1028,167,1,4,0,23436,3819,221,422,36
20200706,false,1028,167,0,4,0,23856,3887,420,409,68
20200707,false,1042,170,14,4,2,24629,4013,773,402,126
20200708,false,1046,170,4,4,1,25204,4107,575,440,94
20200709,false,1051,171,5,4,1,25999,4236,795,468,130
20200710,false,1051,171,0,4,0,25999,4236,0,531,0
20200711,false,1069,174,18,4,3,27133,4421,1134,453,185
20200712,false,1069,174,0,6,0,27443,4471,310,560,51
20200713,false,1083,176,14,6,2,27890,4544,447,572,73
20200714,false,1093,178,10,8,2,28826,4697,936,576,153
20200715,false,1102,180,9,7,1,29714,4841,888,600,145
20200716,false,1113,181,11,8,2,30422,4957,708,644,115
20200717,false,1121,183,8,9,1,31288,5098,866,632,141
20200718,false,1130,184,9,10,1,32248,5254,960,756,156
20200719,false,1129,184,-1,9,0,33094,5392,846,731,138
20200720,false,1132,184,3,9,0,33624,5479,530,807,86
20200721,false,1143,186,11,7,2,34762,5664,1138,819,185
20200722,false,1159,189,16,7,3,36063,5876,1301,848,212
20200723,false,1179,192,20,8,3,37700,6143,1637,907,267
20200724,false,1178,192,-1,9,0,39352,6412,1652,1040,269
20200725,false,1182,193,4,8,1,40709,6633,1357,1152,221
20200726,false,1197,195,15,7,2,41927,6831,1218,1209,198
20200727,false,1201,196,4,10,1,43050,7014,1123,1262,183
20200728,false,1213,198,12,10,2,44823,7303,1773,1347,289
20200729,false,1220,199,7,10,1,46750,7617,1927,1437,314
20200730,false,1233,201,13,9,2,48834,7957,2084,1527,340
20200731,false,1243,203,10,8,2,50323,8199,1489,1591,243
20200801,false,1253,204,10,9,2,51258,8352,935,1567,152
20200802,false,1253,204,0,10,0,51840,8447,582,1507,95
20200803,false,1255,204,2,8,0,52887,8617,1047,1416,171
20200804,false,1266,206,11,8,2,54080,8812,1193,1405,194
20200805,false,1272,207,6,8,1,55321,9014,1241,1322,202
20200806,false,1280,209,8,7,1,56383,9187,1062,1224,173
20200807,false,1301,212,21,7,3,57379,9349,996,1078,162
20200808,false,1301,212,0,8,0,57379,9349,0,1008,0
20200809,false,1301,212,0,7,0,57379,9349,0,874,0
20200810,false,1307,213,6,7,1,59954,9769,2575,791,420
20200811,false,1312,214,5,7,1,60935,9928,981,1010,160
20200812,false,1323,216,11,7,2,62530,10188,1595,979,260
20200813,false,1325,216,2,7,0,63797,10395,1267,1030,206
