date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200316,false,0,0,0,0,0,0,0,0,0,0,0,0
20200317,false,0,0,0,0,0,0,0,0,0,0,0,0
20200318,false,0,0,0,0,0,0,0,0,0,0,0,0
20200319,false,0,0,0,0,0,0,0,0,0,0,0,0
20200320,false,0,0,0,0,0,0,0,0,0,0,0,0
20200321,false,0,0,0,0,0,0,0,0,0,0,0,0
20200322,false,0,0,0,0,0,0,0,0,0,0,0,0
20200323,false,0,0,0,0,0,0,0,0,0,0,0,0
20200324,false,0,0,0,0,0,0,0,0,0,0,0,0
20200325,false,0,0,0,0,0,0,0,0,0,0,0,0
20200326,false,0,0,0,0,0,0,0,0,0,0,0,0
20200327,false,0,0,0,0,0,0,0,0,0,0,0,0
20200328,false,0,0,0,0,0,0,2,36,2,0,36,0
20200329,false,0,0,0,0,0,0,2,36,0,0,0,0
20200330,false,0,0,0,0,0,0,2,36,0,0,0,0
20200331,false,0,0,0,0,0,0,2,36,0,0,0,0
20200401,false,0,0,0,0,0,0,6,109,4,0,72,0
20200402,false,1,18,1,0,18,0,8,145,2,1,36,18
20200403,false,1,18,0,0,0,0,8,145,0,1,0,18
20200404,false,1,18,0,0,0,0,8,145,0,1,0,18
20200405,false,1,18,0,0,0,0,8,145,0,1,0,18
20200406,false,1,18,0,0,0,0,8,145,0,1,0,18
20200407,false,2,36,1,0,18,0,8,145,0,1,0,18
20200408,false,2,36,0,0,0,0,11,199,3,1,54,18
20200409,false,2,36,0,0,0,0,11,199,0,1,0,18
20200410,false,2,36,0,0,0,0,11,199,0,0,0,0
20200411,false,2,36,0,0,0,0,11,199,0,0,0,0
20200412,false,2,36,0,0,0,0,11,199,0,0,0,0
20200413,false,2,36,0,0,0,0,11,199,0,0,0,0
20200414,false,2,36,0,0,0,0,13,236,2,0,36,0
20200415,false,2,36,0,0,0,0,13,236,0,1,0,18
20200416,false,2,36,0,0,0,0,13,236,0,0,0,0
20200417,false,2,36,0,0,0,0,13,236,0,0,0,0
20200418,false,2,36,0,0,0,0,14,254,1,0,18,0
20200419,false,2,36,0,0,0,0,14,254,0,0,0,0
20200420,false,2,36,0,0,0,0,14,254,0,0,0,0
20200421,false,2,36,0,0,0,0,14,254,0,0,0,0
20200422,false,2,36,0,0,0,0,14,254,0,0,0,0
20200423,false,2,36,0,0,0,0,14,254,0,0,0,0
20200424,false,2,36,0,0,0,0,14,254,0,0,0,0
20200425,false,2,36,0,0,0,0,14,254,0,0,0,0
20200426,false,2,36,0,0,0,0,14,254,0,0,0,0
20200427,false,2,36,0,0,0,0,14,254,0,0,0,0
20200428,false,2,36,0,0,0,0,14,254,0,0,0,0
20200429,false,2,36,0,0,0,0,14,254,0,0,0,0
20200430,false,2,36,0,0,0,0,14,254,0,0,0,0
20200501,false,2,36,0,0,0,0,14,254,0,0,0,0
20200502,false,2,36,0,0,0,0,14,254,0,0,0,0
20200503,false,2,36,0,0,0,0,14,254,0,0,0,0
20200504,false,2,36,0,0,0,0,14,254,0,0,0,0
20200505,false,2,36,0,0,0,0,14,254,0,0,0,0
20200506,false,2,36,0,0,0,0,15,272,1,0,18,0
20200507,false,2,36,0,0,0,0,15,272,0,0,0,0
20200508,false,2,36,0,0,0,0,15,272,0,0,0,0
20200509,false,2,36,0,0,0,0,16,290,1,0,18,0
20200510,false,2,36,0,0,0,0,16,290,0,0,0,0
20200511,false,2,36,0,0,0,0,19,344,3,0,54,0
20200512,false,2,36,0,0,0,0,19,344,0,1,0,18
20200513,false,2,36,0,0,0,0,19,344,0,1,0,18
20200514,false,2,36,0,0,0,0,19,344,0,1,0,18
20200515,false,2,36,0,0,0,0,19,344,0,1,0,18
20200516,false,2,36,0,0,0,0,21,380,2,1,36,18
20200517,false,2,36,0,0,0,0,21,380,0,1,0,18
20200518,false,2,36,0,0,0,0,21,380,0,1,0,18
20200519,false,2,36,0,0,0,0,21,380,0,0,0,0
20200520,false,2,36,0,0,0,0,21,380,0,0,0,0
20200521,false,2,36,0,0,0,0,22,399,1,0,18,0
20200522,false,2,36,0,0,0,0,22,399,0,0,0,0
20200523,false,2,36,0,0,0,0,22,399,0,0,0,0
20200524,false,2,36,0,0,0,0,22,399,0,0,0,0
20200525,false,2,36,0,0,0,0,22,399,0,0,0,0
