date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200304,false,0,0,0,0,0,0,1,0,0,0,0,0
20200305,false,0,0,0,0,0,0,1,0,0,0,0,0
20200306,false,0,0,0,0,0,0,2,0,1,1,0,0
20200307,false,0,0,0,0,0,0,2,0,0,0,0,0
20200308,false,0,0,0,0,0,0,2,0,0,0,0,0
20200309,false,0,0,0,0,0,0,2,0,0,0,0,0
20200310,false,0,0,0,0,0,0,7,1,5,5,0,0
20200311,false,0,0,0,0,0,0,7,1,0,0,0,0
20200312,false,0,0,0,0,0,0,12,1,5,1,0,0
20200313,false,0,0,0,0,0,0,15,1,3,2,0,0
20200314,false,0,0,0,0,0,0,23,2,8,2,1,0
20200315,false,0,0,0,0,0,0,32,3,9,3,1,0
20200316,false,0,0,0,0,0,0,33,3,1,4,0,0
20200317,false,0,0,0,0,0,0,40,4,7,4,1,0
20200318,false,0,0,0,0,0,0,63,6,23,5,2,0
20200319,false,0,0,0,0,0,0,97,9,34,8,3,1
20200320,false,0,0,0,0,0,0,137,13,40,12,4,1
20200321,false,0,0,0,0,0,0,184,18,47,17,4,2
20200322,false,0,0,0,0,0,0,255,24,71,23,7,2
20200323,false,0,0,0,0,0,0,297,28,42,32,4,3
20200324,false,0,0,0,0,0,0,398,38,101,38,10,4
20200325,false,1,0,1,0,0,0,504,48,106,51,10,5
20200326,false,2,0,1,0,0,0,636,61,132,63,13,6
20200327,false,3,0,1,0,0,0,763,73,127,77,12,7
20200328,false,4,0,1,0,0,0,935,89,172,89,16,8
20200329,false,4,0,0,1,0,0,1040,99,105,107,10,10
20200330,false,6,1,2,1,0,0,1307,125,267,112,25,11
20200331,false,8,1,2,1,0,0,1498,143,191,144,18,14
20200401,false,10,1,2,1,0,0,1584,151,86,157,8,15
20200402,false,16,2,6,1,1,0,1857,177,273,154,26,15
20200403,false,19,2,3,2,0,0,2093,200,236,174,23,17
20200404,false,24,2,5,2,0,0,2402,229,309,190,29,18
20200405,false,31,3,7,3,1,0,2585,246,183,210,17,20
20200406,false,33,3,2,4,0,0,2870,274,285,221,27,21
20200407,false,46,4,13,4,1,0,3221,307,351,223,33,21
20200408,false,53,5,7,5,1,0,3426,327,205,246,20,23
20200409,false,65,6,12,6,1,1,3651,348,225,263,21,25
20200410,false,74,7,9,7,1,1,3908,373,257,256,25,24
20200411,false,80,8,6,8,1,1,4312,411,404,259,39,25
20200412,false,81,8,1,8,0,1,4520,431,208,273,20,26
20200413,false,86,8,5,7,0,1,4816,459,296,276,28,26
20200414,false,108,10,22,8,2,1,5024,479,208,278,20,27
20200415,false,117,11,9,9,1,1,5123,488,99,258,9,25
20200416,false,131,12,14,9,1,1,5465,521,342,242,33,23
20200417,false,152,14,21,9,2,1,5859,559,394,259,38,25
20200418,false,164,16,12,11,1,1,6140,585,281,279,27,27
20200419,false,172,16,8,12,1,1,6493,619,353,261,34,25
20200420,false,179,17,7,13,1,1,6764,645,271,282,26,27
20200421,false,213,20,34,13,3,1,6951,663,187,278,18,27
20200422,false,242,23,29,15,3,1,7220,688,269,275,26,26
20200423,false,253,24,11,18,1,2,7608,725,388,300,37,29
20200424,false,269,26,16,17,2,2,8052,768,444,306,42,29
20200425,false,289,28,20,17,2,2,8623,822,571,313,54,30
20200426,false,299,29,10,18,1,2,8830,842,207,355,20,34
20200427,false,306,29,7,18,1,2,9142,872,312,334,30,32
20200428,false,342,33,36,18,3,2,9568,912,426,340,41,32
20200429,false,354,34,12,18,1,2,9948,949,380,374,36,36
20200430,false,378,36,24,16,2,2,10509,1002,561,390,53,37
20200501,false,399,38,21,18,2,2,10923,1041,414,414,39,39
20200502,false,420,40,21,19,2,2,11509,1097,586,410,56,39
20200503,false,422,40,2,19,0,2,11664,1112,155,412,15,39
20200504,false,430,41,8,18,1,2,11848,1130,184,405,18,39
20200505,false,452,43,22,18,2,2,12256,1169,408,387,39,37
20200506,false,477,45,25,16,2,2,12758,1216,502,384,48,37
20200507,false,507,48,30,18,3,2,13397,1277,639,401,61,38
20200508,false,527,50,20,18,2,2,13868,1322,471,413,45,39
20200509,false,544,52,17,18,2,2,14360,1369,492,421,47,40
20200510,false,547,52,3,18,0,2,14764,1408,404,407,39,39
20200511,false,550,52,3,18,0,2,15045,1434,281,443,27,42
20200512,false,577,55,27,17,3,2,15346,1463,301,457,29,44
20200513,false,597,57,20,18,2,2,15816,1508,470,441,45,42
20200514,false,615,59,18,17,2,2,16507,1574,691,437,66,42
20200515,false,641,61,26,15,2,1,17129,1633,622,444,59,42
20200516,false,652,62,11,16,1,2,17982,1715,853,466,81,44
20200517,false,659,63,7,15,1,1,18512,1765,530,517,51,49
20200518,false,661,63,2,16,0,2,19023,1814,511,535,49,51
20200519,false,691,66,30,16,3,2,19700,1878,677,568,65,54
20200520,false,702,67,11,16,1,2,20122,1919,422,622,40,59
20200521,false,716,68,14,15,1,1,20860,1989,738,615,70,59
20200522,false,728,69,12,14,1,1,21618,2061,758,622,72,59
20200523,false,737,70,9,12,1,1,22725,2167,1107,641,106,61
20200524,false,744,71,7,12,1,1,23222,2214,497,678,47,65
20200525,false,754,72,10,12,1,1,23964,2285,742,673,71,64
20200526,false,766,73,12,13,1,1,24140,2302,176,706,17,67
20200527,false,794,76,28,11,3,1,24628,2348,488,634,47,60
20200528,false,827,79,33,13,3,1,25412,2423,784,644,75,61
20200529,false,859,82,32,16,3,2,26488,2526,1076,650,103,62
20200530,false,877,84,18,19,2,2,27673,2639,1185,696,113,66
20200531,false,886,84,9,20,1,2,28589,2726,916,707,87,67
20200601,false,898,86,12,20,1,2,29263,2790,674,767,64,73
20200602,false,921,88,23,21,2,2,29889,2850,626,757,60,72
20200603,false,939,90,18,22,2,2,30777,2934,888,821,85,78
20200604,false,960,92,21,21,2,2,31966,3048,1189,878,113,84
20200605,false,966,92,6,19,1,2,33255,3171,1289,936,123,89
20200606,false,992,95,26,15,2,1,34625,3301,1370,967,131,92
20200607,false,996,95,4,16,0,2,35546,3389,921,993,88,95
20200608,false,1006,96,10,16,1,2,36484,3479,938,994,89,95
20200609,false,1029,98,23,15,2,1,37160,3543,676,1032,64,98
20200610,false,1053,100,24,15,2,1,38171,3639,1011,1039,96,99
20200611,false,1064,101,11,16,1,2,39481,3764,1310,1056,125,101
20200612,false,1092,104,28,15,3,1,41249,3933,1768,1074,169,102
20200613,false,1104,105,12,18,1,2,42676,4069,1427,1142,136,109
20200614,false,1109,106,5,16,0,2,44119,4207,1443,1150,138,110
20200615,false,1118,107,9,16,1,2,45102,4300,983,1225,94,117
20200616,false,1154,110,36,16,3,2,45853,4372,751,1231,72,117
