date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200215,false,0,0,0,0,0,0,0,0,0,0,0,0
20200216,false,0,0,0,0,0,0,0,0,0,0,0,0
20200217,false,0,0,0,0,0,0,0,0,0,0,0,0
20200218,false,0,0,0,0,0,0,0,0,0,0,0,0
20200219,false,0,0,0,0,0,0,0,0,0,0,0,0
20200220,false,0,0,0,0,0,0,0,0,0,0,0,0
20200221,false,0,0,0,0,0,0,0,0,0,0,0,0
20200222,false,0,0,0,0,0,0,0,0,0,0,0,0
20200223,false,0,0,0,0,0,0,0,0,0,0,0,0
20200224,false,0,0,0,0,0,0,0,0,0,0,0,0
20200225,false,0,0,0,0,0,0,0,0,0,0,0,0
20200226,false,0,0,0,0,0,0,0,0,0,0,0,0
20200227,false,0,0,0,0,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,1,1,1,0,1,0
20200308,false,0,0,0,0,0,0,1,1,0,0,0,0
20200309,false,0,0,0,0,0,0,3,2,2,0,1,0
20200310,false,0,0,0,0,0,0,3,2,0,0,0,0
20200311,false,0,0,0,0,0,0,5,3,2,0,1,0
20200312,false,0,0,0,0,0,0,10,5,5,1,3,1
20200313,false,0,0,0,0,0,0,13,7,3,1,2,1
20200314,false,0,0,0,0,0,0,14,7,1,2,1,1
20200315,false,0,0,0,0,0,0,17,9,3,2,2,1
20200316,false,0,0,0,0,0,0,18,9,1,2,1,1
20200317,false,0,0,0,0,0,0,21,11,3,2,2,1
20200318,false,0,0,0,0,0,0,24,12,3,3,2,2
20200319,false,0,0,0,0,0,0,27,14,3,3,2,2
20200320,false,0,0,0,0,0,0,32,17,5,2,3,1
20200321,false,0,0,0,0,0,0,38,20,6,3,3,2
