date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200304,false,0,0,0,0,0,0,2,1,0,0,0,0
20200305,false,0,0,0,0,0,0,2,1,0,0,0,0
20200306,false,0,0,0,0,0,0,2,1,0,0,0,0
20200307,false,0,0,0,0,0,0,2,1,0,0,0,0
20200308,false,0,0,0,0,0,0,4,3,2,2,1,1
20200309,false,0,0,0,0,0,0,4,3,0,0,0,0
20200310,false,0,0,0,0,0,0,4,3,0,0,0,0
20200311,false,0,0,0,0,0,0,4,3,0,0,0,0
20200312,false,0,0,0,0,0,0,6,4,2,0,1,0
20200313,false,0,0,0,0,0,0,6,4,0,1,0,1
20200314,false,0,0,0,0,0,0,7,5,1,1,1,1
20200315,false,0,0,0,0,0,0,13,10,6,1,4,1
20200316,false,0,0,0,0,0,0,13,10,0,1,0,1
20200317,false,0,0,0,0,0,0,17,13,4,1,3,1
20200318,false,0,0,0,0,0,0,26,19,9,2,7,1
20200319,false,0,0,0,0,0,0,39,29,13,3,10,2
20200320,false,0,0,0,0,0,0,44,32,5,5,4,4
20200321,false,0,0,0,0,0,0,55,40,11,5,8,4
20200322,false,0,0,0,0,0,0,65,48,10,7,7,5
20200323,false,0,0,0,0,0,0,78,57,13,7,10,5
20200324,false,1,1,1,0,1,0,101,74,23,9,17,7
20200325,false,1,1,0,0,0,0,108,79,7,12,5,9
20200326,false,1,1,0,0,0,0,137,101,29,12,21,9
20200327,false,1,1,0,0,0,0,158,116,21,14,15,10
20200328,false,2,1,1,0,1,0,187,138,29,16,21,12
20200329,false,2,1,0,0,0,0,214,157,27,19,20,14
20200330,false,3,2,1,0,1,0,314,231,100,21,74,15
20200331,false,3,2,0,0,0,0,314,231,0,34,0,25
20200401,false,4,3,1,0,1,0,415,305,101,30,74,22
20200402,false,4,3,0,0,0,0,415,305,0,44,0,32
20200403,false,5,4,1,0,1,0,479,352,64,40,47,29
20200404,false,7,5,2,1,1,1,540,397,61,46,45,34
20200405,false,9,7,2,1,1,1,621,457,81,50,60,37
20200406,false,9,7,0,1,0,1,669,492,48,58,35,43
20200407,false,9,7,0,1,0,1,715,526,46,51,34,38
20200408,false,18,13,9,1,7,1,788,580,73,57,54,42
20200409,false,18,13,0,2,0,1,788,580,0,53,0,39
20200410,false,21,15,3,2,2,1,819,602,31,53,23,39
20200411,false,22,16,1,2,1,1,885,651,66,49,49,36
20200412,false,23,17,1,2,1,1,929,683,44,49,32,36
20200413,false,23,17,0,2,0,1,985,724,56,44,41,32
20200414,false,23,17,0,2,0,1,1020,750,35,45,26,33
20200415,false,32,24,9,2,7,1,1139,838,119,44,88,32
20200416,false,32,24,0,2,0,1,1139,838,0,50,0,37
20200417,false,37,27,5,2,4,1,1287,947,148,50,109,37
20200418,false,37,27,0,2,0,1,1287,947,0,67,0,49
20200419,false,38,28,1,2,1,1,1342,987,55,57,40,42
20200420,false,41,30,3,2,2,1,1392,1024,50,59,37,43
20200421,false,42,31,1,3,1,2,1491,1097,99,58,73,43
20200422,false,42,31,0,3,0,2,1491,1097,0,67,0,49
20200423,false,48,35,6,1,4,1,1588,1168,97,50,71,37
20200424,false,51,38,3,2,2,1,1670,1228,82,64,60,47
20200425,false,53,39,2,2,1,1,1720,1265,50,55,37,40
20200426,false,60,44,7,2,5,1,1787,1314,67,62,49,46
20200427,false,60,44,0,3,0,2,1864,1371,77,64,57,47
20200428,false,60,44,0,3,0,2,1938,1425,74,67,54,49
20200429,false,60,44,0,3,0,2,2010,1478,72,64,53,47
20200430,false,66,49,6,3,4,2,2054,1511,44,74,32,54
20200501,false,72,53,6,3,4,2,2146,1578,92,67,68,49
20200502,false,81,60,9,3,7,2,2310,1699,164,68,121,50
20200503,false,84,62,3,4,2,3,2429,1786,119,84,88,62
20200504,false,86,63,2,3,1,2,2588,1903,159,92,117,68
20200505,false,86,63,0,4,0,3,2588,1903,0,103,0,76
20200506,false,92,68,6,4,4,3,2636,1939,48,93,35,68
20200507,false,111,82,19,5,14,4,2740,2015,104,89,76,65
20200508,false,114,84,3,6,2,4,2843,2091,103,98,76,72
20200509,false,121,89,7,6,5,4,2947,2167,104,100,76,74
20200510,false,131,96,10,6,7,4,3011,2214,64,91,47,67
20200511,false,133,98,2,7,1,5,3160,2324,149,83,110,61
20200512,false,133,98,0,7,0,5,3160,2324,0,82,0,60
20200513,false,142,104,9,7,7,5,3239,2382,79,82,58,60
