date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200210,false,0,0,0,0,0,0,0,0,0,0
20200211,false,0,0,0,0,0,0,0,0,0,0
20200212,false,0,0,0,0,0,0,0,0,0,0
20200213,false,0,0,0,0,0,0,0,0,0,0
20200214,false,0,0,0,0,0,0,0,0,0,0
20200215,false,0,0,0,0,0,0,0,0,0,0
20200216,false,0,0,0,0,0,0,0,0,0,0
20200217,false,0,0,0,0,0,0,0,0,0,0
20200218,false,0,0,0,0,0,0,0,0,0,0
20200219,false,0,0,0,0,0,0,0,0,0,0
20200220,false,0,0,0,0,0,0,0,0,0,0
20200221,false,0,0,0,0,0,0,0,0,0,0
20200222,false,0,0,0,0,0,0,0,0,0,0
20200223,false,0,0,0,0,0,0,0,0,0,0
20200224,false,0,0,0,0,0,0,0,0,0,0
20200225,false,0,0,0,0,0,0,0,0,0,0
20200226,false,0,0,0,0,0,0,0,0,0,0
20200227,false,0,0,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,1,0,1,0,0
20200306,false,0,0,0,0,0,1,0,0,0,0
20200307,false,0,0,0,0,0,4,0,3,0,0
20200308,false,0,0,0,0,0,6,1,2,1,0
20200309,false,0,0,0,0,0,11,1,5,1,1
20200310,false,0,0,0,0,0,15,2,4,2,0
20200311,false,1,0,1,0,0,24,3,9,2,1
20200312,false,1,0,0,0,0,30,3,6,3,1
20200313,false,1,0,0,0,0,50,6,20,4,2
20200314,false,1,0,0,0,0,50,6,0,7,0
20200315,false,2,0,1,0,0,98,11,48,7,5
20200316,false,2,0,0,0,0,178,20,80,13,9
20200317,false,4,0,2,0,0,267,30,89,24,10
20200318,false,7,1,3,1,0,427,48,160,36,18
20200319,false,13,1,6,1,1,742,84,315,58,35
20200320,false,16,2,3,2,0,890,100,148,102,17
20200321,false,22,2,6,2,1,1327,149,437,120,49
20200322,false,29,3,7,3,1,1914,215,587,182,66
20200323,false,40,5,11,4,1,2844,320,930,259,105
20200324,false,60,7,20,5,2,3675,414,831,381,94
20200325,false,81,9,21,8,2,4402,496,727,487,82
20200326,false,108,12,27,11,3,6876,774,2474,568,279
20200327,false,140,16,32,14,4,8825,994,1949,876,219
20200328,false,191,22,51,18,6,11124,1252,2299,1134,259
20200329,false,217,24,26,24,3,13386,1507,2262,1400,255
