date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200305,false,0,0,0,0,0,0,1,0,0,0,0,0
20200306,false,0,0,0,0,0,0,3,1,2,2,1,1
20200307,false,0,0,0,0,0,0,4,1,1,1,0,0
20200308,false,0,0,0,0,0,0,4,1,0,0,0,0
20200309,false,0,0,0,0,0,0,5,2,1,1,0,0
20200310,false,0,0,0,0,0,0,5,2,0,0,0,0
20200311,false,0,0,0,0,0,0,9,3,4,4,1,1
20200312,false,0,0,0,0,0,0,12,4,3,3,1,1
20200313,false,0,0,0,0,0,0,22,7,10,2,3,1
20200314,false,0,0,0,0,0,0,34,11,12,3,4,1
20200315,false,1,0,1,0,0,0,45,15,11,4,4,1
20200316,false,1,0,0,0,0,0,63,20,18,6,6,2
20200317,false,1,0,0,0,0,0,73,24,10,8,3,3
20200318,false,2,1,1,0,0,0,78,25,5,10,2,3
20200319,false,3,1,1,0,0,0,101,33,23,10,7,3
20200320,false,3,1,0,0,0,0,109,35,8,13,3,4
20200321,false,5,2,2,0,1,0,124,40,15,12,5,4
20200322,false,7,2,2,1,1,0,154,50,30,13,10,4
20200323,false,8,3,1,1,0,0,190,62,36,16,12,5
20200324,false,13,4,5,1,2,0,278,90,88,18,29,6
20200325,false,13,4,0,2,0,1,321,104,43,29,14,9
20200326,false,17,6,4,2,1,1,420,136,99,35,32,11
20200327,false,21,7,4,2,1,1,535,174,115,46,37,15
20200328,false,25,8,4,3,1,1,621,202,86,61,28,20
20200329,false,28,9,3,3,1,1,738,240,117,71,38,23
20200330,false,32,10,4,3,1,1,996,323,258,83,84,27
20200331,false,37,12,5,3,2,1,1113,361,117,115,38,37
20200401,false,45,15,8,3,3,1,1279,415,166,119,54,39
20200402,false,51,17,6,5,2,2,1458,473,179,137,58,44
20200403,false,59,19,8,5,3,2,1514,492,56,148,18,48
20200404,false,70,23,11,5,4,2,1742,566,228,140,74,45
20200405,false,76,25,6,6,2,2,1836,596,94,160,31,52
20200406,false,79,26,3,7,1,2,1953,634,117,157,38,51
20200407,false,91,30,12,7,4,2,2087,678,134,137,44,44
20200408,false,101,33,10,8,3,3,2318,753,231,139,75,45
20200409,false,110,36,9,8,3,3,2456,797,138,148,45,48
20200410,false,120,39,10,8,3,3,2584,839,128,143,42,46
20200411,false,125,41,5,9,2,3,2700,877,116,153,38,50
20200412,false,128,42,3,8,1,3,2836,921,136,137,44,44
20200413,false,133,43,5,7,2,2,2971,965,135,143,44,46
20200414,false,141,46,8,8,3,3,3088,1003,117,145,38,47
20200415,false,150,49,9,7,3,2,3211,1042,123,143,40,46
20200416,false,158,51,8,7,3,2,3321,1078,110,128,36,42
20200417,false,162,53,4,7,1,2,3524,1144,203,124,66,40
20200418,false,168,55,6,6,2,2,3626,1177,102,134,33,44
20200419,false,172,56,4,6,1,2,3728,1210,102,132,33,43
20200420,false,180,58,8,6,3,2,3830,1243,102,127,33,41
20200421,false,193,63,13,7,4,2,3937,1278,107,123,35,40
20200422,false,201,65,8,7,3,2,4081,1325,144,121,47,39
20200423,false,210,68,9,7,3,2,4208,1366,127,124,41,40
20200424,false,216,70,6,7,2,2,4398,1428,190,127,62,41
20200425,false,229,74,13,8,4,3,4539,1474,141,125,46,41
20200426,false,235,76,6,9,2,3,4602,1494,63,130,20,42
20200427,false,245,80,10,9,3,3,4690,1523,88,125,29,41
20200428,false,251,81,6,9,2,3,4805,1560,115,123,37,40
20200429,false,257,83,6,8,2,3,4898,1590,93,124,30,40
20200430,false,269,87,12,8,4,3,4998,1623,100,117,32,38
20200501,false,277,90,8,8,3,3,5227,1697,229,113,74,37
20200502,false,281,91,4,9,1,3,5311,1724,84,118,27,38
20200503,false,287,93,6,7,2,2,5423,1761,112,110,36,36
20200504,false,292,95,5,7,2,2,5491,1783,68,117,22,38
20200505,false,297,96,5,7,2,2,5594,1816,103,114,33,37
20200506,false,311,101,14,7,5,2,5663,1839,69,113,22,37
20200507,false,320,104,9,8,3,3,5766,1872,103,109,33,35
20200508,false,328,106,8,7,3,2,5884,1910,118,110,38,36
20200509,false,334,108,6,7,2,2,6028,1957,144,94,47,31
20200510,false,339,110,5,8,2,3,6098,1980,70,102,23,33
20200511,false,344,112,5,7,2,2,6152,1997,54,96,18,31
20200512,false,350,114,6,7,2,2,6311,2049,159,94,52,31
20200513,false,355,115,5,8,2,3,6394,2076,83,102,27,33
20200514,false,358,116,3,6,1,2,6499,2110,105,104,34,34
20200515,false,368,119,10,5,3,2,6614,2147,115,105,37,34
20200516,false,369,120,1,6,0,2,6709,2178,95,104,31,34
20200517,false,375,122,6,5,2,2,6857,2226,148,97,48,31
20200518,false,383,124,8,5,3,2,6906,2242,49,108,16,35
20200519,false,390,127,7,6,2,2,7046,2288,140,108,45,35
20200520,false,393,128,3,6,1,2,7166,2327,120,105,39,34
20200521,false,397,129,4,5,1,2,7255,2355,89,110,29,36
20200522,false,400,130,3,6,1,2,7401,2403,146,108,47,35
20200523,false,404,131,4,5,1,2,7696,2499,295,112,96,36
20200524,false,408,132,4,5,1,2,7770,2523,74,141,24,46
20200525,false,410,133,2,5,1,2,7879,2558,109,130,35,42
20200526,false,412,134,2,4,1,1,7997,2596,118,139,38,45
20200527,false,416,135,4,3,1,1,8113,2634,116,136,38,44
20200528,false,425,138,9,3,3,1,8208,2665,95,135,31,44
20200529,false,435,141,10,4,3,1,8350,2711,142,136,46,44
20200530,false,439,143,4,5,1,2,8495,2758,145,136,47,44
20200531,false,444,144,5,5,2,2,8593,2790,98,114,32,37
20200601,false,445,144,1,5,0,2,8688,2821,95,118,31,38
20200602,false,452,147,7,5,2,2,8830,2867,142,116,46,38
20200603,false,455,148,3,6,1,2,8931,2900,101,119,33,39
20200604,false,460,149,5,6,2,2,9090,2951,159,117,52,38
20200605,false,460,149,0,5,0,2,9266,3008,176,126,57,41
20200606,false,463,150,3,4,1,1,9460,3071,194,131,63,43
20200607,false,465,151,2,3,1,1,9649,3133,189,138,61,45
20200608,false,469,152,4,3,1,1,9786,3177,137,151,44,49
20200609,false,472,153,3,3,1,1,10030,3256,244,157,79,51
20200610,false,474,154,2,3,1,1,10164,3300,134,171,44,56
20200611,false,475,154,1,3,0,1,10399,3376,235,176,76,57
20200612,false,475,154,0,2,0,1,10676,3466,277,187,90,61
20200613,false,478,155,3,2,1,1,10946,3554,270,201,88,65
20200614,false,479,156,1,2,0,1,11173,3627,227,212,74,69
