date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200303,false,0,0,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,2,0,2,2,0,0
20200307,false,0,0,0,0,0,0,4,0,2,2,0,0
20200308,false,0,0,0,0,0,0,6,0,2,2,0,0
20200309,false,0,0,0,0,0,0,10,1,4,4,0,0
20200310,false,0,0,0,0,0,0,12,1,2,2,0,0
20200311,false,0,0,0,0,0,0,16,1,4,2,0,0
20200312,false,0,0,0,0,0,0,22,2,6,2,0,0
20200313,false,0,0,0,0,0,0,41,3,19,3,1,0
20200314,false,0,0,0,0,0,0,47,4,6,6,0,0
20200315,false,0,0,0,0,0,0,63,5,16,6,1,0
20200316,false,0,0,0,0,0,0,76,6,13,8,1,1
20200317,false,0,0,0,0,0,0,96,7,20,9,2,1
20200318,false,1,0,1,0,0,0,133,10,37,12,3,1
20200319,false,1,0,0,0,0,0,185,14,52,17,4,1
20200320,false,1,0,0,0,0,0,268,21,83,23,6,2
20200321,false,2,0,1,0,0,0,371,29,103,32,8,2
20200322,false,2,0,0,0,0,0,479,37,108,46,8,4
20200323,false,6,0,4,0,0,0,644,50,165,59,13,5
20200324,false,7,1,1,1,0,0,851,66,207,81,16,6
20200325,false,11,1,4,1,0,0,1127,88,276,108,22,8
20200326,false,16,1,5,1,0,0,1687,132,560,142,44,11
20200327,false,22,2,6,2,0,0,2218,173,531,215,41,17
20200328,false,34,3,12,3,1,0,2751,215,533,279,42,22
20200329,false,38,3,4,5,0,0,3394,265,643,340,50,27
20200330,false,49,4,11,5,1,0,4087,319,693,416,54,32
20200331,false,63,5,14,6,1,0,4843,378,756,492,59,38
20200401,false,74,6,11,8,1,1,5805,453,962,570,75,45
20200402,false,90,7,16,9,1,1,7016,548,1211,668,95,52
20200403,false,102,8,12,11,1,1,8420,658,1404,761,110,59
20200404,false,136,11,34,11,3,1,10017,782,1597,886,125,69
20200405,false,150,12,14,15,1,1,11510,899,1493,1038,117,81
20200406,false,162,13,12,16,1,1,12980,1014,1470,1159,115,91
20200407,false,240,19,78,16,6,1,14559,1137,1579,1270,123,99
20200408,false,309,24,69,25,5,2,16239,1268,1680,1388,131,108
20200409,false,338,26,29,34,2,3,18228,1424,1989,1491,155,116
20200410,false,416,32,78,35,6,3,19979,1561,1751,1602,137,125
20200411,false,494,39,78,45,6,4,21655,1692,1676,1651,131,129
20200412,false,507,40,13,51,1,4,22833,1784,1178,1663,92,130
20200413,false,524,41,17,51,1,4,24199,1890,1366,1618,107,126
20200414,false,584,46,60,52,5,4,25345,1980,1146,1603,90,125
20200415,false,647,51,63,49,5,4,26490,2069,1145,1541,89,120
20200416,false,707,55,60,48,5,4,27735,2166,1245,1464,97,114
20200417,false,756,59,49,53,4,4,29441,2300,1706,1358,133,106
20200418,false,836,65,80,49,6,4,31069,2427,1628,1352,127,106
20200419,false,1112,87,276,49,22,4,32284,2522,1215,1345,95,105
20200420,false,1204,94,92,86,7,7,33232,2596,948,1350,74,105
20200421,false,1564,122,360,97,28,8,34528,2697,1296,1290,101,101
20200422,false,1622,127,58,140,5,11,35684,2787,1156,1312,90,102
20200423,false,1421,111,-201,139,-16,11,37053,2894,1369,1313,107,103
20200424,false,1492,117,71,102,6,8,38652,3019,1599,1331,125,104
20200425,false,1537,120,45,105,4,8,40049,3128,1397,1316,109,103
20200426,false,1550,121,13,100,1,8,41165,3216,1116,1283,87,100
20200427,false,1597,125,47,63,4,5,42050,3285,885,1269,69,99
20200428,false,1716,134,119,56,9,4,43264,3379,1214,1260,95,98
20200429,false,2195,171,479,22,37,2,44366,3466,1102,1248,86,97
20200430,false,2292,179,97,82,8,6,45763,3575,1397,1240,109,97
20200501,false,2354,184,62,124,5,10,46971,3669,1208,1244,94,97
20200502,false,2418,189,64,123,5,10,48305,3773,1334,1188,104,93
20200503,false,2444,191,26,126,2,10,49267,3848,962,1179,75,92
20200504,false,2458,192,14,128,1,10,50092,3913,825,1157,64,90
20200505,false,3012,235,554,123,43,10,50957,3980,865,1149,68,90
20200506,false,3106,243,94,185,7,14,51845,4050,888,1099,69,86
20200507,false,3416,267,310,130,24,10,52915,4133,1070,1068,84,83
20200508,false,3616,282,200,161,16,13,54238,4237,1323,1022,103,80
20200509,false,3688,288,72,180,6,14,55316,4321,1078,1038,84,81
20200510,false,3707,290,19,181,1,14,56611,4422,1295,1002,101,78
20200511,false,3731,291,24,180,2,14,57154,4464,543,1049,42,82
20200512,false,3806,297,75,182,6,14,57991,4530,837,1009,65,79
20200513,false,3943,308,137,113,11,9,58698,4585,707,1005,55,79
20200514,false,4218,329,275,120,21,9,59636,4658,938,979,73,76
20200515,false,4342,339,124,115,10,9,60622,4735,986,960,77,75
20200516,false,4403,344,61,104,5,8,61611,4813,989,912,77,71
20200517,false,4418,345,15,102,1,8,62234,4861,623,899,49,70
20200518,false,4505,352,87,102,7,8,63056,4925,822,803,64,63
20200519,false,4624,361,119,111,9,9,63666,4973,610,843,48,66
20200520,false,4624,361,0,117,0,9,63666,4973,0,811,0,63
20200521,false,4869,380,245,97,19,8,65392,5108,1726,710,135,55
20200522,false,4984,389,115,93,9,7,66258,5176,866,822,68,64
20200523,false,5096,398,112,92,9,7,66983,5232,725,805,57,63
20200524,false,5124,400,28,99,2,8,67713,5289,730,767,57,60
20200525,false,5139,401,15,101,1,8,68186,5326,473,783,37,61
20200526,false,5152,402,13,91,1,7,68637,5361,451,733,35,57
20200527,false,5265,411,113,75,9,6,69417,5422,780,710,61,55
20200528,false,5373,420,108,92,8,7,70042,5471,625,822,49,64
20200529,false,5464,427,91,72,7,6,71339,5572,1297,664,101,52
20200530,false,5537,433,73,69,6,5,72031,5627,692,726,54,57
20200531,false,5555,434,18,63,1,5,72546,5667,515,721,40,56
20200601,false,5567,435,12,62,1,5,72898,5694,352,690,27,54
20200602,false,5667,443,100,61,8,5,73510,5742,612,673,48,53
20200603,false,5741,448,74,74,6,6,74022,5782,512,696,40,54
20200604,false,5817,454,76,68,6,5,74560,5824,538,658,42,51
20200605,false,5886,460,69,63,5,5,75005,5859,445,645,35,50
20200606,false,5931,463,45,60,4,5,75706,5914,701,524,55,41
20200607,false,5943,464,12,56,1,4,76212,5953,506,525,40,41
20200608,false,5953,465,10,55,1,4,76563,5981,351,524,27,41
20200609,false,6014,470,61,55,5,4,77056,6019,493,524,39,41
20200610,false,6062,474,48,50,4,4,77466,6051,410,507,32,40
20200611,false,6113,478,51,46,4,4,77933,6088,467,492,36,38
20200612,false,6162,481,49,42,4,3,77999,6093,66,482,5,38
20200613,false,6211,485,49,39,4,3,78462,6129,463,428,36,33
20200614,false,6215,485,4,40,0,3,78798,6155,336,394,26,31
20200615,false,6243,488,28,39,2,3,79121,6180,323,369,25,29
20200616,false,6276,490,33,41,3,3,79483,6209,362,365,28,29
20200617,false,6319,494,43,37,3,3,79818,6235,335,347,26,27
20200618,false,6361,497,42,37,3,3,80236,6267,418,336,33,26
20200619,false,6399,500,38,35,3,3,80762,6309,526,329,41,26
20200620,false,6419,501,20,34,2,3,81266,6348,504,395,39,31
20200621,false,6423,502,4,30,0,2,81730,6384,464,401,36,31
20200622,false,6426,502,3,30,0,2,82186,6420,456,419,36,33
20200623,false,6464,505,38,26,3,2,82696,6460,510,438,40,34
20200624,false,6518,509,54,27,4,2,83191,6498,495,459,39,36
20200625,false,6557,512,39,28,3,2,83770,6544,579,482,45,38
20200626,false,6579,514,22,28,2,2,84370,6590,600,505,47,39
20200627,false,6579,514,0,26,0,2,84370,6590,0,515,0,40
20200628,false,6579,514,0,23,0,2,85496,6678,1126,443,88,35
20200629,false,6614,517,35,22,3,2,85988,6717,492,538,38,42
20200630,false,6649,519,35,27,3,2,86606,6765,618,543,48,42
20200701,false,6649,519,0,26,0,2,87242,6815,636,559,50,44
20200702,false,6712,524,63,19,5,1,88074,6880,832,579,65,45
20200703,false,6746,527,34,22,3,2,88741,6932,667,615,52,48
20200704,false,6749,527,3,24,0,2,89375,6981,634,624,50,49
20200705,false,6753,527,4,24,0,2,89854,7019,479,715,37,56
20200706,false,6754,528,1,25,0,2,90304,7054,450,623,35,49
20200707,false,6787,530,33,20,3,2,91299,7132,995,617,78,48
20200708,false,6812,532,25,20,2,2,92148,7198,849,670,66,52
20200709,false,6848,535,36,23,3,2,92867,7254,719,701,56,55
20200710,false,6880,537,32,19,2,1,93876,7333,1009,685,79,54
20200711,false,6897,539,17,19,1,1,94689,7396,813,734,64,57
20200712,false,6904,539,7,21,1,2,95266,7441,577,759,45,59
20200713,false,6911,540,7,22,1,2,95742,7479,476,773,37,60
20200714,false,6931,541,20,22,2,2,96671,7551,929,777,73,61
20200715,false,6957,543,26,21,2,2,97665,7629,994,767,78,60
20200716,false,6973,545,16,21,1,2,98446,7690,781,788,61,62
20200717,false,6992,546,19,18,1,1,99478,7771,1032,797,81,62
20200718,false,7007,547,15,16,1,1,100241,7830,763,800,60,62
20200719,false,7015,548,8,16,1,1,101027,7892,786,793,61,62
20200720,false,7018,548,3,16,0,1,101738,7947,711,823,56,64
20200721,false,7038,550,20,15,2,1,102765,8027,1027,857,80,67
20200722,false,7063,552,25,15,2,1,103396,8077,631,871,49,68
20200723,false,7079,553,16,15,1,1,104358,8152,962,819,75,64
20200724,false,7101,555,22,15,2,1,105571,8246,1213,845,95,66
20200725,false,7114,556,13,16,1,1,106625,8329,1054,870,82,68
20200726,false,7118,556,4,15,0,1,107425,8391,800,912,62,71
20200727,false,7122,556,4,15,0,1,108264,8457,839,914,66,71
20200728,false,7146,558,24,15,2,1,109384,8544,1120,932,87,73
20200729,false,7162,559,16,15,1,1,110218,8609,834,946,65,74
20200730,false,7176,561,14,14,1,1,111078,8677,860,975,67,76
20200731,false,7189,562,13,14,1,1,112048,8752,970,960,76,75
20200801,false,7204,563,15,13,1,1,112936,8822,888,925,69,72
