date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200301,false,0,0,0,0,0,0,2,2,0,0,0,0
20200302,false,0,0,0,0,0,0,2,2,0,0,0,0
20200303,false,0,0,0,0,0,0,2,2,0,0,0,0
20200304,false,0,0,0,0,0,0,2,2,0,0,0,0
20200305,false,0,0,0,0,0,0,3,3,1,1,1,1
20200306,false,0,0,0,0,0,0,3,3,0,0,0,0
20200307,false,0,0,0,0,0,0,3,3,0,0,0,0
20200308,false,0,0,0,0,0,0,3,3,0,0,0,0
20200309,false,0,0,0,0,0,0,4,4,1,0,1,0
20200310,false,0,0,0,0,0,0,5,5,1,0,1,0
20200311,false,0,0,0,0,0,0,5,5,0,0,0,0
20200312,false,0,0,0,0,0,0,13,12,8,0,8,0
20200313,false,0,0,0,0,0,0,19,18,6,1,6,1
20200314,false,0,0,0,0,0,0,19,18,0,2,0,2
20200315,false,0,0,0,0,0,0,20,19,1,2,1,2
20200316,false,0,0,0,0,0,0,22,21,2,2,2,2
20200317,false,0,0,0,0,0,0,33,31,11,3,10,3
20200318,false,0,0,0,0,0,0,44,42,11,4,10,4
20200319,false,0,0,0,0,0,0,61,58,17,6,16,6
20200320,false,0,0,0,0,0,0,74,70,13,7,12,7
20200321,false,0,0,0,0,0,0,88,83,14,8,13,8
20200322,false,0,0,0,0,0,0,113,107,25,10,24,9
20200323,false,0,0,0,0,0,0,129,122,16,13,15,12
20200324,false,0,0,0,0,0,0,148,140,19,15,18,14
20200325,false,0,0,0,0,0,0,176,166,28,16,26,15
20200326,false,0,0,0,0,0,0,217,205,41,19,39,18
20200327,false,0,0,0,0,0,0,248,234,31,22,29,21
20200328,false,0,0,0,0,0,0,312,295,64,25,60,24
20200329,false,3,3,3,0,3,0,417,394,105,32,99,30
20200330,false,4,4,1,0,1,0,495,467,78,43,74,41
