date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,2,0,2,2,0,0
20200308,false,0,0,0,0,0,0,2,0,0,0,0,0
20200309,false,0,0,0,0,0,0,7,1,5,5,1,1
20200310,false,0,0,0,0,0,0,7,1,0,0,0,0
20200311,false,0,0,0,0,0,0,9,2,2,2,0,0
20200312,false,0,0,0,0,0,0,10,2,1,1,0,0
20200313,false,0,0,0,0,0,0,12,2,2,1,0,0
20200314,false,0,0,0,0,0,0,13,3,1,2,0,0
20200315,false,0,0,0,0,0,0,19,4,6,2,1,0
20200316,false,1,0,1,0,0,0,28,5,9,2,2,0
20200317,false,1,0,0,0,0,0,33,6,5,3,1,1
20200318,false,1,0,0,0,0,0,60,12,27,4,5,1
20200319,false,1,0,0,0,0,0,60,12,0,7,0,1
20200320,false,1,0,0,0,0,0,81,16,21,7,4,1
20200321,false,1,0,0,0,0,0,152,30,71,10,14,2
20200322,false,3,1,2,0,0,0,195,38,43,20,8,4
20200323,false,5,1,2,0,0,0,298,58,103,25,20,5
20200324,false,5,1,0,1,0,0,298,58,0,39,0,8
20200325,false,7,1,2,1,0,0,424,82,126,38,24,7
20200326,false,9,2,2,1,0,0,456,89,32,52,6,10
20200327,false,9,2,0,1,0,0,456,89,0,57,0,11
20200328,false,13,3,4,1,1,0,539,105,83,54,16,10
20200329,false,16,3,3,2,1,0,774,150,235,55,46,11
20200330,false,18,3,2,2,0,0,925,180,151,83,29,16
20200331,false,22,4,4,2,1,0,1083,210,158,90,31,17
20200401,false,26,5,4,2,1,0,1293,251,210,112,41,22
20200402,false,31,6,5,3,1,1,1554,302,261,124,51,24
20200403,false,31,6,0,3,0,1,1554,302,0,157,0,30
20200404,false,40,8,9,3,2,1,1917,372,363,157,71,30
20200405,false,44,9,4,4,1,1,2049,398,132,197,26,38
20200406,false,44,9,0,4,0,1,2049,398,0,182,0,35
20200407,false,51,10,7,4,1,1,2417,469,368,161,71,31
20200408,false,63,12,12,4,2,1,2552,496,135,191,26,37
20200409,false,67,13,4,5,1,1,2792,542,240,180,47,35
20200410,false,72,14,5,5,1,1,3065,595,273,177,53,34
20200411,false,80,16,8,6,2,1,3207,623,142,216,28,42
20200412,false,82,16,2,6,0,1,3319,645,112,184,22,36
20200413,false,82,16,0,5,0,1,3319,645,0,181,0,35
20200414,false,97,19,15,5,3,1,3553,690,234,181,45,35
20200415,false,107,21,10,7,2,1,3656,710,103,162,20,31
20200416,false,107,21,0,6,0,1,3656,710,0,158,0,31
20200417,false,109,21,2,6,0,1,3931,763,275,123,53,24
20200418,false,119,23,10,5,2,1,4246,825,315,124,61,24
20200419,false,120,23,1,6,0,1,4377,850,131,148,25,29
20200420,false,120,23,0,5,0,1,4377,850,0,151,0,29
20200421,false,124,24,4,5,1,1,4439,862,62,151,12,29
20200422,false,140,27,16,4,3,1,4761,925,322,127,63,25
20200423,false,150,29,10,5,2,1,4917,955,156,158,30,31
20200424,false,150,29,0,6,0,1,4917,955,0,180,0,35
20200425,false,166,32,16,6,3,1,5253,1020,336,141,65,27
20200426,false,174,34,8,7,2,1,5490,1066,237,144,46,28
20200427,false,174,34,0,8,0,2,5490,1066,0,159,0,31
20200428,false,177,34,3,8,1,2,5613,1090,123,159,24,31
20200429,false,203,39,26,8,5,2,5881,1142,268,168,52,33
20200430,false,244,47,41,9,8,2,6095,1184,214,160,42,31
20200501,false,256,50,12,13,2,3,6258,1215,163,168,32,33
20200502,false,267,52,11,15,2,3,6489,1260,231,192,45,37
20200503,false,275,53,8,14,2,3,6626,1287,137,177,27,34
20200504,false,275,53,0,14,0,3,6626,1287,0,162,0,31
20200505,false,283,55,8,14,2,3,6757,1312,131,162,25,31
20200506,false,305,59,22,15,4,3,6936,1347,179,163,35,32
20200507,false,305,59,0,15,0,3,6936,1347,0,151,0,29
20200508,false,316,61,11,9,2,2,7142,1387,206,120,40,23
20200509,false,330,64,14,9,3,2,7531,1463,389,126,76,24
20200510,false,331,64,1,9,0,2,7653,1486,122,149,24,29
20200511,false,331,64,0,8,0,2,7653,1486,0,147,0,29
20200512,false,355,69,24,8,5,2,7927,1540,274,147,53,29
20200513,false,355,69,0,10,0,2,7927,1540,0,167,0,32
20200514,false,371,72,16,7,3,1,8189,1590,262,142,51,28
20200515,false,380,74,9,9,2,2,8407,1633,218,179,42,35
20200516,false,380,74,0,9,0,2,8407,1633,0,181,0,35
20200517,false,380,74,0,7,0,1,8816,1712,409,125,79,24
20200518,false,391,76,11,7,2,1,8942,1737,126,166,24,32
20200519,false,399,77,8,9,2,2,9056,1759,114,184,22,36
20200520,false,399,77,0,6,0,1,9056,1759,0,161,0,31
20200521,false,407,79,8,6,2,1,9175,1782,119,161,23,31
20200522,false,419,81,12,5,2,1,9638,1872,463,141,90,27
20200523,false,425,83,6,6,1,1,9895,1922,257,176,50,34
20200524,false,435,84,10,6,2,1,10096,1961,201,213,39,41
20200525,false,440,85,5,8,1,2,10178,1977,82,183,16,36
20200526,false,446,87,6,7,1,1,10416,2023,238,177,46,34
20200527,false,466,91,20,7,4,1,10623,2063,207,194,40,38
20200528,false,470,91,4,10,1,2,10788,2095,165,224,32,44
20200529,false,483,94,13,9,3,2,11131,2162,343,230,67,45
20200530,false,487,95,4,9,1,2,11394,2213,263,213,51,41
20200531,false,494,96,7,9,1,2,11861,2304,467,214,91,42
20200601,false,500,97,6,8,1,2,12148,2359,287,252,56,49
20200602,false,501,97,1,9,0,2,12415,2411,267,281,52,55
20200603,false,518,101,17,8,3,2,12651,2457,236,286,46,56
20200604,false,525,102,7,7,1,1,13005,2526,354,290,69,56
