date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,5,6,5,5,6,6
20200312,false,0,0,0,0,0,0,8,9,3,3,3,3
20200313,false,0,0,0,0,0,0,9,10,1,1,1,1
20200314,false,0,0,0,0,0,0,9,10,0,0,0,0
20200315,false,0,0,0,0,0,0,9,10,0,1,0,1
20200316,false,0,0,0,0,0,0,10,11,1,1,1,1
20200317,false,0,0,0,0,0,0,11,12,1,1,1,1
20200318,false,1,1,1,0,1,0,11,12,0,2,0,2
20200319,false,1,1,0,0,0,0,11,12,0,1,0,1
20200320,false,1,1,0,0,0,0,14,16,3,0,3,0
20200321,false,1,1,0,0,0,0,14,16,0,1,0,1
20200322,false,1,1,0,0,0,0,21,24,7,1,8,1
20200323,false,1,1,0,0,0,0,28,32,7,2,8,2
20200324,false,1,1,0,0,0,0,30,34,2,3,2,3
20200325,false,1,1,0,0,0,0,41,46,11,3,12,3
20200326,false,1,1,0,0,0,0,46,52,5,4,6,5
20200327,false,1,1,0,0,0,0,58,66,12,5,14,6
20200328,false,1,1,0,0,0,0,68,77,10,6,11,7
20200329,false,1,1,0,0,0,0,90,102,22,8,25,9
20200330,false,1,1,0,0,0,0,101,114,11,10,12,11
20200331,false,1,1,0,0,0,0,108,122,7,10,8,11
20200401,false,2,2,1,0,1,0,129,146,21,11,24,12
20200402,false,2,2,0,0,0,0,165,187,36,13,41,15
20200403,false,2,2,0,0,0,0,187,211,22,17,25,19
20200404,false,2,2,0,0,0,0,212,240,25,18,28,20
20200405,false,2,2,0,0,0,0,240,271,28,21,32,24
20200406,false,4,5,2,0,2,0,288,326,48,21,54,24
20200407,false,6,7,2,0,2,0,320,362,32,27,36,31
20200408,false,6,7,0,1,0,1,393,444,73,30,83,34
20200409,false,6,7,0,1,0,1,447,505,54,38,61,43
20200410,false,6,7,0,1,0,1,536,606,89,40,101,45
20200411,false,6,7,0,1,0,1,626,708,90,50,102,57
20200412,false,6,7,0,1,0,1,730,825,104,59,118,67
20200413,false,6,7,0,1,0,1,868,981,138,70,156,79
20200414,false,6,7,0,0,0,0,988,1117,120,83,136,94
20200415,false,6,7,0,0,0,0,1168,1320,180,95,203,107
20200416,false,7,8,1,0,1,0,1311,1482,143,111,162,125
20200417,false,7,8,0,0,0,0,1411,1595,100,123,113,139
20200418,false,7,8,0,0,0,0,1542,1743,131,125,148,141
20200419,false,7,8,0,0,0,0,1635,1848,93,131,105,148
20200420,false,7,8,0,0,0,0,1685,1905,50,129,57,146
20200421,false,8,9,1,0,1,0,1755,1984,70,117,79,132
20200422,false,8,9,0,0,0,0,1858,2100,103,110,116,124
20200423,false,9,10,1,0,1,0,1956,2211,98,99,111,112
20200424,false,10,11,1,0,1,0,2040,2306,84,92,95,104
20200425,false,10,11,0,0,0,0,2147,2427,107,90,121,102
20200426,false,11,12,1,0,1,0,2212,2500,65,86,73,97
20200427,false,11,12,0,1,0,1,2245,2538,33,82,37,93
20200428,false,11,12,0,1,0,1,2313,2615,68,80,77,90
20200429,false,13,15,2,0,2,0,2373,2682,60,80,68,90
20200430,false,17,19,4,1,5,1,2449,2768,76,74,86,84
20200501,false,21,24,4,1,5,1,2525,2854,76,70,86,79
20200502,false,21,24,0,2,0,2,2588,2925,63,69,71,78
20200503,false,21,24,0,2,0,2,2631,2974,43,63,49,71
20200504,false,21,24,0,1,0,1,2668,3016,37,60,42,68
20200505,false,24,27,3,1,3,1,2721,3076,53,60,60,68
20200506,false,29,33,5,2,6,2,2779,3141,58,58,66,66
20200507,false,31,35,2,2,2,2,2905,3284,126,58,142,66
20200508,false,31,35,0,2,0,2,3144,3554,239,65,270,73
20200509,false,34,38,3,1,3,1,3393,3835,249,88,281,99
20200510,false,34,38,0,2,0,2,3517,3976,124,115,140,130
