date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200305,false,0,0,0,0,0,1,0,0,0,0
20200306,false,0,0,0,0,0,1,0,0,0,0
20200307,false,0,0,0,0,0,1,0,0,0,0
20200308,false,0,0,0,0,0,3,0,2,2,0
20200309,false,0,0,0,0,0,3,0,0,0,0
20200310,false,0,0,0,0,0,7,1,4,4,1
20200311,false,0,0,0,0,0,7,1,0,0,0
20200312,false,0,0,0,0,0,18,3,11,11,2
20200313,false,0,0,0,0,0,26,4,8,2,1
20200314,false,0,0,0,0,0,32,5,6,4,1
20200315,false,0,0,0,0,0,39,6,7,4,1
20200316,false,0,0,0,0,0,52,8,13,5,2
20200317,false,0,0,0,0,0,73,11,21,7,3
20200318,false,0,0,0,0,0,98,14,25,9,4
20200319,false,0,0,0,0,0,154,23,56,13,8
20200320,false,0,0,0,0,0,228,33,74,19,11
20200321,false,0,0,0,0,0,371,54,143,29,21
20200322,false,0,0,0,0,0,505,74,134,48,20
20200323,false,2,0,2,0,0,615,90,110,67,16
20200324,false,2,0,0,0,0,667,98,52,80,8
20200325,false,3,0,1,0,0,784,115,117,85,17
20200326,false,3,0,0,0,0,957,140,173,98,25
20200327,false,6,1,3,0,0,1203,176,246,115,36
20200328,false,6,1,0,1,0,1373,201,170,139,25
20200329,false,7,1,1,1,0,1537,225,164,143,24
20200330,false,13,2,6,1,1,1834,268,297,147,43
20200331,false,23,3,10,2,1,2239,328,405,174,59
20200401,false,24,4,1,3,0,2683,393,444,225,65
20200402,false,32,5,8,3,1,2845,416,162,271,24
20200403,false,37,5,5,4,1,3067,449,222,270,32
20200404,false,43,6,6,4,1,3321,486,254,266,37
20200405,false,44,6,1,5,0,3633,532,312,278,46
20200406,false,65,10,21,5,3,3802,556,169,299,25
20200407,false,72,11,7,7,1,4138,606,336,281,49
20200408,false,79,12,7,7,1,4362,638,224,271,33
20200409,false,94,14,15,8,2,4634,678,272,240,40
20200410,false,98,14,4,9,1,4862,712,228,256,33
20200411,false,101,15,3,9,0,5114,748,252,256,37
20200412,false,101,15,0,8,0,5308,777,194,256,28
20200413,false,109,16,8,8,1,5610,821,302,239,44
20200414,false,124,18,15,6,2,5823,852,213,258,31
20200415,false,135,20,11,7,2,6079,890,256,241,37
20200416,false,141,21,6,8,1,6262,916,183,245,27
20200417,false,142,21,1,7,0,6589,964,327,233,48
20200418,false,145,21,3,6,0,6762,990,173,247,25
20200419,false,148,22,3,6,0,7070,1035,308,235,45
20200420,false,152,22,4,7,1,7238,1059,168,252,25
20200421,false,157,23,5,6,1,7394,1082,156,233,23
20200422,false,166,24,9,5,1,7842,1148,448,224,66
20200423,false,170,25,4,4,1,8266,1210,424,252,62
20200424,false,168,25,-2,4,0,8726,1277,460,286,67
20200425,false,178,26,10,4,1,9189,1345,463,305,68
20200426,false,181,26,3,5,0,9667,1415,478,347,70
20200427,false,184,27,3,5,0,9918,1451,251,371,37
20200428,false,188,28,4,5,1,10052,1471,134,383,20
20200429,false,195,29,7,4,1,10366,1517,314,380,46
20200430,false,199,29,4,4,1,10735,1571,369,361,54
