date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200303,false,0,0,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,5,0,5,5,0,0
20200307,false,0,0,0,0,0,0,5,0,0,0,0,0
20200308,false,0,0,0,0,0,0,5,0,0,0,0,0
20200309,false,0,0,0,0,0,0,12,0,7,7,0,0
20200310,false,0,0,0,0,0,0,15,1,3,3,0,0
20200311,false,0,0,0,0,0,0,18,1,3,2,0,0
20200312,false,0,0,0,0,0,0,22,1,4,3,0,0
20200313,false,0,0,0,0,0,0,22,1,0,3,0,0
20200314,false,0,0,0,0,0,0,22,1,0,2,0,0
20200315,false,0,0,0,0,0,0,56,2,34,2,1,0
20200316,false,0,0,0,0,0,0,56,2,0,7,0,0
20200317,false,1,0,1,0,0,0,63,2,7,6,0,0
20200318,false,2,0,1,0,0,0,82,3,19,7,1,0
20200319,false,3,0,1,0,0,0,108,4,26,9,1,0
20200320,false,5,0,2,0,0,0,175,6,67,12,2,0
20200321,false,5,0,0,1,0,0,235,8,60,22,2,1
20200322,false,5,0,0,1,0,0,263,9,28,30,1,1
20200323,false,8,0,3,1,0,0,287,10,24,30,1,1
20200324,false,9,0,1,1,0,0,712,25,425,33,15,1
20200325,false,12,0,3,1,0,0,975,34,263,93,9,3
20200326,false,18,1,6,1,0,0,1394,48,419,128,14,4
20200327,false,23,1,5,2,0,0,1731,60,337,184,12,6
20200328,false,27,1,4,3,0,0,2048,71,317,222,11,8
20200329,false,34,1,7,3,0,0,2552,88,504,259,17,9
20200330,false,34,1,0,4,0,0,2874,99,322,327,11,11
20200331,false,41,1,7,4,0,0,3266,113,392,370,14,13
20200401,false,58,2,17,5,1,0,3996,138,730,365,25,13
20200402,false,70,2,12,7,0,0,4665,161,669,432,23,15
20200403,false,90,3,20,7,1,0,5324,184,659,467,23,16
20200404,false,105,4,15,10,1,0,6112,211,788,513,27,18
20200405,false,127,4,22,11,1,0,6793,234,681,581,23,20
20200406,false,140,5,13,13,0,0,7273,251,480,606,17,21
20200407,false,154,5,14,15,0,1,8261,285,988,628,34,22
20200408,false,177,6,23,16,1,1,9353,323,1092,714,38,25
20200409,false,199,7,22,17,1,1,10230,353,877,765,30,26
20200410,false,226,8,27,18,1,1,11671,403,1441,795,50,27
20200411,false,254,9,28,19,1,1,12561,433,890,907,31,31
20200412,false,271,9,17,21,1,1,13484,465,923,921,32,32
20200413,false,287,10,16,21,1,1,13906,480,422,956,15,33
20200414,false,318,11,31,21,1,1,14624,504,718,948,25,33
20200415,false,364,13,46,23,2,1,15492,534,868,909,30,31
20200416,false,393,14,29,27,1,1,16455,567,963,877,33,30
20200417,false,428,15,35,28,1,1,17371,599,916,889,32,31
20200418,false,453,16,25,29,1,1,18260,630,889,814,31,28
20200419,false,477,16,24,28,1,1,18923,653,663,814,23,28
20200420,false,495,17,18,29,1,1,19458,671,535,777,18,27
20200421,false,517,18,22,30,1,1,20196,697,738,793,25,27
20200422,false,543,19,26,28,1,1,21069,727,873,796,30,27
20200423,false,561,19,18,26,1,1,21944,757,875,797,30,27
20200424,false,593,20,32,24,1,1,22806,787,862,784,30,27
20200425,false,623,21,30,24,1,1,23773,820,967,776,33,27
20200426,false,648,22,25,24,1,1,24631,849,858,788,30,27
20200427,false,663,23,15,24,1,1,25297,872,666,815,23,28
20200428,false,690,24,27,24,1,1,26171,903,874,834,30,29
20200429,false,732,25,42,25,1,1,27054,933,883,854,30,29
20200430,false,782,27,50,27,2,1,28087,969,1033,855,36,29
20200501,false,816,28,34,32,1,1,29229,1008,1142,878,39,30
20200502,false,847,29,31,32,1,1,30522,1053,1293,918,45,32
20200503,false,867,30,20,32,1,1,31548,1088,1026,964,35,33
20200504,false,884,30,17,31,1,1,32332,1115,784,988,27,34
20200505,false,906,31,22,32,1,1,33369,1151,1037,1005,36,35
20200506,false,948,33,42,31,1,1,34422,1187,1053,1028,36,35
20200507,false,973,34,25,31,1,1,35390,1221,968,1053,33,36
20200508,false,1004,35,31,27,1,1,36609,1263,1219,1043,42,36
20200509,false,1049,36,45,27,2,1,37860,1306,1251,1054,43,36
20200510,false,1088,38,39,29,1,1,38869,1341,1009,1048,35,36
20200511,false,1100,38,12,32,0,1,39869,1375,1000,1046,34,36
20200512,false,1133,39,33,31,1,1,41048,1416,1179,1077,41,37
20200513,false,1158,40,25,32,1,1,42403,1462,1355,1097,47,38
20200514,false,1216,42,58,30,2,1,43851,1512,1448,1140,50,39
20200515,false,1272,44,56,35,2,1,45198,1559,1347,1209,46,42
20200516,false,1305,45,33,38,1,1,46999,1621,1801,1227,62,42
20200517,false,1336,46,31,37,1,1,47784,1648,785,1306,27,45
20200518,false,1347,46,11,35,0,1,48693,1679,909,1274,31,44
20200519,false,1369,47,22,35,1,1,49912,1721,1219,1261,42,43
20200520,false,1419,49,50,34,2,1,51323,1770,1411,1266,49,44
20200521,false,1440,50,21,37,1,1,52268,1803,945,1274,33,44
20200522,false,1480,51,40,32,1,1,53449,1843,1181,1202,41,41
20200523,false,1506,52,26,30,1,1,54509,1880,1060,1179,37,41
20200524,false,1506,52,0,29,0,1,55348,1909,839,1073,29,37
20200525,false,1527,53,21,24,1,1,55971,1930,623,1081,21,37
20200526,false,1536,53,9,26,0,1,56560,1951,589,1040,20,36
20200527,false,1562,54,26,24,1,1,57921,1998,1361,950,47,33
20200528,false,1601,55,39,20,1,1,59776,2062,1855,943,64,33
20200529,false,1626,56,25,23,1,1,61006,2104,1230,1073,42,37
20200530,false,1626,56,0,21,0,1,62338,2150,1332,1080,46,37
20200531,false,1672,58,46,17,2,1,64287,2217,1949,1118,67,39
20200601,false,1678,58,6,24,0,1,64880,2238,593,1277,20,44
20200602,false,1698,59,20,22,1,1,66568,2296,1688,1273,58,44
20200603,false,1734,60,36,23,1,1,68271,2355,1703,1430,59,49
20200604,false,1767,61,33,25,1,1,69920,2411,1649,1479,57,51
20200605,false,1788,62,21,24,1,1,71613,2470,1693,1449,58,50
20200606,false,1819,63,31,23,1,1,73553,2537,1940,1515,67,52
20200607,false,1830,63,11,28,0,1,74978,2586,1425,1602,49,55
20200608,false,1830,63,0,23,0,1,75616,2608,638,1527,22,53
20200609,false,1853,64,23,22,1,1,77253,2664,1637,1534,56,53
20200610,false,1885,65,32,22,1,1,79757,2751,2504,1526,86,53
20200611,false,1920,66,35,22,1,1,81583,2814,1826,1641,63,57
20200612,false,1939,67,19,22,1,1,83680,2886,2097,1666,72,57
20200613,false,1957,67,18,22,1,1,86011,2966,2331,1724,80,59
20200614,false,1976,68,19,20,1,1,87854,3030,1843,1780,64,61
20200615,false,1983,68,7,21,0,1,89108,3073,1254,1839,43,63
20200616,false,2029,70,46,22,2,1,93206,3214,4098,1927,141,66
20200617,false,2062,71,33,25,1,1,96335,3322,3129,2279,108,79
20200618,false,2105,73,43,25,1,1,99851,3444,3516,2368,121,82
20200619,false,2140,74,35,26,1,1,103305,3563,3454,2610,119,90
20200620,false,2165,75,25,29,1,1,107735,3716,4430,2804,153,97
20200621,false,2182,75,17,30,1,1,111601,3849,3866,3103,133,107
20200622,false,2192,76,10,29,0,1,114881,3962,3280,3392,113,117
20200623,false,2220,77,28,30,1,1,120370,4151,5489,3682,189,127
20200624,false,2249,78,29,27,1,1,125921,4343,5551,3881,191,134
20200625,false,2296,79,47,27,2,1,131917,4550,5996,4227,207,146
20200626,false,2324,80,28,27,1,1,137624,4746,5707,4581,197,158
20200627,false,2366,82,42,26,1,1,143366,4944,5742,4903,198,169
20200628,false,2393,83,27,29,1,1,148723,5129,5357,5090,185,176
20200629,false,2403,83,10,30,0,1,153011,5277,4288,5303,148,183
20200630,false,2424,84,21,30,1,1,159986,5518,6975,5447,241,188
20200701,false,2481,86,57,29,2,1,168062,5796,8076,5659,279,195
20200702,false,2525,87,44,33,2,1,175977,6069,7915,6020,273,208
20200703,false,2575,89,50,33,2,1,183532,6330,7555,6294,261,217
20200704,false,2608,90,33,36,1,1,191790,6614,8258,6558,285,226
20200705,false,2637,91,29,35,1,1,195239,6733,3449,6918,119,239
20200706,false,2655,92,18,35,1,1,200557,6917,5318,6645,183,229
20200707,false,2715,94,60,36,2,1,210585,7263,10028,6792,346,234
20200708,false,2813,97,98,42,3,1,220564,7607,9979,7228,344,249
20200709,false,2918,101,105,47,4,2,230346,7944,9782,7500,337,259
20200710,false,3013,104,95,56,3,2,240111,8281,9765,7767,337,268
20200711,false,3112,107,99,63,3,2,250462,8638,10351,8083,357,279
20200712,false,3192,110,80,72,3,2,258658,8921,8196,8382,283,289
20200713,false,3235,112,43,79,1,3,264313,9116,5655,9060,195,312
20200714,false,3322,115,87,83,3,3,271574,9366,7261,9108,250,314
20200715,false,3432,118,110,87,4,3,282365,9738,10791,8713,372,300
20200716,false,3561,123,129,88,4,3,292656,10093,10291,8829,355,304
20200717,false,3735,129,174,92,6,3,307572,10607,14916,8901,514,307
20200718,false,3865,133,130,103,4,4,317730,10958,10158,9637,350,332
20200719,false,3958,137,93,108,3,4,325030,11210,7300,9610,252,331
20200720,false,4020,139,62,109,2,4,332434,11465,7404,9482,255,327
20200721,false,4151,143,131,112,5,4,341739,11786,9305,9732,321,336
20200722,false,4348,150,197,118,7,4,351618,12126,9879,10024,341,346
20200723,false,4521,156,173,131,6,5,361125,12454,9507,9893,328,341
20200724,false,4717,163,196,137,7,5,369826,12754,8701,9781,300,337
20200725,false,4885,168,168,140,6,5,375846,12962,6020,8893,208,307
20200726,false,5038,174,153,146,5,5,381656,13162,5810,8302,200,286
20200727,false,5713,197,675,154,23,5,385923,13310,4267,8089,147,279
20200728,false,5877,203,164,242,6,8,394265,13597,8342,7641,288,264
20200729,false,6190,213,313,247,11,9,403307,13909,9042,7504,312,259
20200730,false,6274,216,84,263,3,9,412107,14213,8800,7384,303,255
20200731,false,6569,227,295,250,10,9,420946,14517,8839,7283,305,251
