date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,1,0,0,0,0,0
20200308,false,0,0,0,0,0,0,1,0,0,0,0,0
20200309,false,0,0,0,0,0,0,1,0,0,0,0,0
20200310,false,0,0,0,0,0,0,2,1,1,1,0,0
20200311,false,0,0,0,0,0,0,2,1,0,0,0,0
20200312,false,0,0,0,0,0,0,4,1,2,2,1,1
20200313,false,0,0,0,0,0,0,6,2,2,2,1,1
20200314,false,0,0,0,0,0,0,6,2,0,0,0,0
20200315,false,0,0,0,0,0,0,28,9,22,1,7,0
20200316,false,0,0,0,0,0,0,39,12,11,4,3,1
20200317,false,0,0,0,0,0,0,51,16,12,5,4,2
20200318,false,0,0,0,0,0,0,63,20,12,7,4,2
20200319,false,0,0,0,0,0,0,78,24,15,9,5,3
20200320,false,0,0,0,0,0,0,112,35,34,11,11,3
20200321,false,0,0,0,0,0,0,136,42,24,15,7,5
20200322,false,1,0,1,0,0,0,181,56,45,19,14,6
20200323,false,1,0,0,0,0,0,257,80,76,22,24,7
20200324,false,1,0,0,0,0,0,299,93,42,31,13,10
20200325,false,1,0,0,0,0,0,346,108,47,35,15,11
20200326,false,1,0,0,0,0,0,402,125,56,40,17,12
20200327,false,2,1,1,0,0,0,480,150,78,46,24,14
20200328,false,2,1,0,0,0,0,602,188,122,53,38,17
20200329,false,2,1,0,0,0,0,719,224,117,67,36,21
20200330,false,4,1,2,0,1,0,806,251,87,77,27,24
20200331,false,5,2,1,0,0,0,887,277,81,78,25,24
20200401,false,7,2,2,1,1,0,1012,316,125,84,39,26
20200402,false,7,2,0,1,0,0,1074,335,62,95,19,30
20200403,false,7,2,0,1,0,0,1246,389,172,96,54,30
20200404,false,8,2,1,1,0,0,1428,445,182,109,57,34
20200405,false,8,2,0,1,0,0,1605,501,177,118,55,37
20200406,false,13,4,5,1,2,0,1675,522,70,127,22,40
20200407,false,13,4,0,1,0,0,1738,542,63,124,20,39
20200408,false,13,4,0,1,0,0,1846,576,108,122,34,38
20200409,false,13,4,0,1,0,0,1976,616,130,119,41,37
20200410,false,17,5,4,1,1,0,2102,656,126,129,39,40
20200411,false,18,6,1,1,0,0,2206,688,104,122,32,38
20200412,false,18,6,0,1,0,0,2303,718,97,111,30,35
20200413,false,18,6,0,1,0,0,2363,737,60,100,19,31
20200414,false,19,6,1,1,0,0,2412,752,49,98,15,31
20200415,false,20,6,1,1,0,0,2542,793,130,96,41,30
20200416,false,21,7,1,1,0,0,2683,837,141,99,44,31
20200417,false,23,7,2,1,1,0,2805,875,122,101,38,32
20200418,false,25,8,2,1,1,0,2931,914,126,100,39,31
20200419,false,27,8,2,1,1,0,3069,957,138,104,43,32
20200420,false,28,9,1,1,0,0,3213,1002,144,109,45,34
20200421,false,32,10,4,1,1,0,3296,1028,83,121,26,38
20200422,false,34,11,2,2,1,1,3445,1075,149,126,46,39
20200423,false,35,11,1,2,0,1,3612,1127,167,129,52,40
20200424,false,39,12,4,2,1,1,3782,1180,170,133,53,41
20200425,false,41,13,2,2,1,1,3948,1231,166,140,52,44
20200426,false,41,13,0,2,0,1,4123,1286,175,145,55,45
20200427,false,41,13,0,2,0,1,4233,1320,110,151,34,47
20200428,false,45,14,4,2,1,1,4343,1355,110,146,34,46
20200429,false,45,14,0,2,0,1,4495,1402,152,150,47,47
20200430,false,46,14,1,2,0,1,4672,1457,177,150,55,47
20200501,false,46,14,0,2,0,1,4828,1506,156,151,49,47
20200502,false,49,15,3,1,1,0,4981,1554,153,149,48,46
20200503,false,50,16,1,1,0,0,5175,1614,194,148,61,46
20200504,false,50,16,0,1,0,0,5317,1658,142,150,44,47
20200505,false,56,17,6,1,2,0,5449,1700,132,155,41,48
20200506,false,58,18,2,2,1,1,5595,1745,146,158,46,49
20200507,false,61,19,3,2,1,1,5724,1785,129,157,40,49
20200508,false,61,19,0,2,0,1,5919,1846,195,150,61,47
20200509,false,66,21,5,2,2,1,6103,1904,184,156,57,49
20200510,false,67,21,1,2,0,1,6251,1950,148,160,46,50
20200511,false,68,21,1,2,0,1,6362,1984,111,154,35,48
20200512,false,73,23,5,3,2,1,6432,2006,70,149,22,46
20200513,false,75,23,2,2,1,1,6620,2065,188,140,59,44
20200514,false,75,23,0,2,0,1,6749,2105,129,146,40,46
20200515,false,77,24,2,2,1,1,6913,2156,164,146,51,46
20200516,false,78,24,1,2,0,1,7068,2205,155,142,48,44
20200517,false,80,25,2,2,1,1,7238,2258,170,138,53,43
20200518,false,80,25,0,2,0,1,7384,2303,146,141,46,44
20200519,false,88,27,8,2,2,1,7518,2345,134,146,42,46
20200520,false,90,28,2,2,1,1,7710,2405,192,155,60,48
20200521,false,92,29,2,2,1,1,7874,2456,164,156,51,49
20200522,false,93,29,1,2,0,1,8057,2513,183,161,57,50
20200523,false,97,30,4,2,1,1,8260,2576,203,163,63,51
20200524,false,97,30,0,3,0,1,8392,2618,132,170,41,53
20200525,false,98,31,1,2,0,1,8521,2658,129,165,40,51
20200526,false,101,32,3,3,1,1,8620,2689,99,162,31,51
20200527,false,105,33,4,2,1,1,8706,2716,86,157,27,49
20200528,false,106,33,1,2,0,1,8921,2783,215,142,67,44
20200529,false,107,33,1,2,0,1,9264,2890,343,150,107,47
20200530,false,112,35,5,2,2,1,9533,2974,269,172,84,54
20200531,false,113,35,1,2,0,1,9797,3056,264,182,82,57
20200601,false,113,35,0,2,0,1,9999,3119,202,201,63,63
20200602,false,113,35,0,2,0,1,10202,3182,203,211,63,66
20200603,false,117,36,4,2,1,1,10497,3274,295,226,92,70
20200604,false,117,36,0,2,0,1,10813,3373,316,256,99,80
20200605,false,120,37,3,2,1,1,11252,3510,439,270,137,84
20200606,false,121,38,1,2,0,1,11798,3680,546,284,170,89
20200607,false,121,38,0,1,0,0,12066,3764,268,324,84,101
20200608,false,124,39,3,1,1,0,12322,3843,256,324,80,101
20200609,false,127,40,3,2,1,1,12559,3917,237,332,74,104
20200610,false,128,40,1,2,0,1,12864,4013,305,337,95,105
20200611,false,131,41,3,2,1,1,13252,4134,388,338,121,105
20200612,false,139,43,8,2,2,1,13577,4235,325,348,101,109
20200613,false,139,43,0,3,0,1,13981,4361,404,332,126,104
20200614,false,139,43,0,3,0,1,14313,4465,332,312,104,97
20200615,false,143,45,4,3,1,1,14608,4557,295,321,92,100
20200616,false,145,45,2,3,1,1,14937,4659,329,327,103,102
20200617,false,149,46,4,3,1,1,15344,4786,407,340,127,106
20200618,false,152,47,3,3,1,1,15839,4940,495,354,154,110
20200619,false,155,48,3,3,1,1,16425,5123,586,370,183,115
20200620,false,155,48,0,2,0,1,17068,5324,643,407,201,127
20200621,false,158,49,3,2,1,1,17462,5447,394,441,123,138
20200622,false,158,49,0,3,0,1,17906,5585,444,450,138,140
20200623,false,163,51,5,2,2,1,18300,5708,394,471,123,147
20200624,false,163,51,0,3,0,1,18784,5859,484,480,151,150
20200625,false,164,51,1,2,0,1,19374,6043,590,491,184,153
20200626,false,166,52,2,2,1,1,20050,6254,676,505,211,158
20200627,false,167,52,1,2,0,1,20628,6434,578,518,180,162
20200628,false,167,52,0,2,0,1,21100,6581,472,509,147,159
20200629,false,168,52,1,1,0,0,21664,6757,564,520,176,162
20200630,false,172,54,4,1,1,0,22217,6930,553,537,172,168
20200701,false,173,54,1,1,0,0,22716,7086,499,560,156,175
20200702,false,176,55,3,1,1,0,23270,7258,554,562,173,175
20200703,false,181,56,5,2,2,1,23866,7444,596,557,186,174
20200704,false,181,56,0,2,0,1,24542,7655,676,545,211,170
20200705,false,184,57,3,2,1,1,24952,7783,410,559,128,174
20200706,false,190,59,6,2,2,1,25469,7944,517,550,161,172
20200707,false,194,61,4,3,1,1,26033,8120,564,544,176,170
20200708,false,201,63,7,3,2,1,26755,8345,722,545,225,170
20200709,false,205,64,4,4,1,1,27356,8533,601,577,187,180
20200710,false,207,65,2,4,1,1,28223,8803,867,584,270,182
20200711,false,212,66,5,4,2,1,28855,9000,632,622,197,194
20200712,false,215,67,3,4,1,1,29484,9197,629,616,196,192
20200713,false,216,67,1,4,0,1,30030,9367,546,647,170,202
20200714,false,226,70,10,4,3,1,30478,9507,448,652,140,203
20200715,false,233,73,7,5,2,2,30891,9635,413,635,129,198
20200716,false,234,73,1,5,0,2,31845,9933,954,591,298,184
20200717,false,235,73,1,4,0,1,32572,10160,727,641,227,200
20200718,false,243,76,8,4,2,1,33332,10397,760,621,237,194
20200719,false,243,76,0,4,0,1,34117,10642,785,640,245,200
20200720,false,247,77,4,4,1,1,34526,10769,409,662,128,206
20200721,false,251,78,4,4,1,1,35012,10921,486,642,152,200
20200722,false,260,81,9,4,3,1,35578,11097,566,648,177,202
20200723,false,267,83,7,4,2,1,36099,11260,521,670,163,209
20200724,false,273,85,6,5,2,2,36962,11529,863,608,269,190
20200725,false,274,85,1,5,0,2,37623,11735,661,627,206,196
20200726,false,274,85,0,4,0,1,37973,11845,350,613,109,191
20200727,false,281,88,7,4,2,1,38409,11981,436,551,136,172
20200728,false,286,89,5,5,2,2,38855,12120,446,555,139,173
20200729,false,292,91,6,5,2,2,39194,12225,339,549,106,171
20200730,false,300,94,8,5,2,2,39696,12382,502,517,157,161
20200731,false,304,95,4,5,1,2,40196,12538,500,514,156,160
20200801,false,310,97,6,4,2,1,40702,12696,506,462,158,144
20200802,false,311,97,1,5,0,2,41175,12843,473,440,148,137
20200803,false,314,98,3,5,1,2,41529,12954,354,457,110,143
20200804,false,321,100,7,5,2,2,41907,13072,378,446,118,139
20200805,false,327,102,6,5,2,2,42328,13203,421,436,131,136
20200806,false,330,103,3,5,1,2,42915,13386,587,448,183,140
20200807,false,335,104,5,4,2,1,43375,13529,460,460,143,143
20200808,false,335,104,0,4,0,1,43751,13647,376,454,117,142
20200809,false,336,105,1,4,0,1,44127,13764,376,436,117,136
20200810,false,345,108,9,4,3,1,44390,13846,263,422,82,132
20200811,false,349,109,4,4,1,1,44752,13959,362,409,113,128
20200812,false,351,109,2,4,1,1,45090,14064,338,406,105,127
20200813,false,353,110,2,3,1,1,45424,14169,334,395,104,123
20200814,false,360,112,7,3,2,1,45976,14341,552,358,172,112
20200815,false,363,113,3,4,1,1,46321,14448,345,372,108,116
