date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200127,false,0,0,0,0,0,0,0,0,0,0,0,0
20200128,false,0,0,0,0,0,0,0,0,0,0,0,0
20200129,false,0,0,0,0,0,0,0,0,0,0,0,0
20200130,false,0,0,0,0,0,0,0,0,0,0,0,0
20200131,false,0,0,0,0,0,0,0,0,0,0,0,0
20200201,false,0,0,0,0,0,0,0,0,0,0,0,0
20200202,false,0,0,0,0,0,0,0,0,0,0,0,0
20200203,false,0,0,0,0,0,0,0,0,0,0,0,0
20200204,false,0,0,0,0,0,0,0,0,0,0,0,0
20200205,false,0,0,0,0,0,0,0,0,0,0,0,0
20200206,false,0,0,0,0,0,0,0,0,0,0,0,0
20200207,false,0,0,0,0,0,0,0,0,0,0,0,0
20200208,false,0,0,0,0,0,0,0,0,0,0,0,0
20200209,false,0,0,0,0,0,0,0,0,0,0,0,0
20200210,false,0,0,0,0,0,0,0,0,0,0,0,0
20200211,false,0,0,0,0,0,0,0,0,0,0,0,0
20200212,false,0,0,0,0,0,0,0,0,0,0,0,0
20200213,false,0,0,0,0,0,0,0,0,0,0,0,0
20200214,false,0,0,0,0,0,0,0,0,0,0,0,0
20200215,false,0,0,0,0,0,0,0,0,0,0,0,0
20200216,false,0,0,0,0,0,0,0,0,0,0,0,0
20200217,false,0,0,0,0,0,0,0,0,0,0,0,0
20200218,false,0,0,0,0,0,0,0,0,0,0,0,0
20200219,false,0,0,0,0,0,0,0,0,0,0,0,0
20200220,false,0,0,0,0,0,0,0,0,0,0,0,0
20200221,false,0,0,0,0,0,0,0,0,0,0,0,0
20200222,false,0,0,0,0,0,0,0,0,0,0,0,0
20200223,false,0,0,0,0,0,0,0,0,0,0,0,0
20200224,false,0,0,0,0,0,0,0,0,0,0,0,0
20200225,false,0,0,0,0,0,0,0,0,0,0,0,0
20200226,false,0,0,0,0,0,0,0,0,0,0,0,0
20200227,false,0,0,0,0,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,2,0,2,0,0,0
20200309,false,0,0,0,0,0,0,3,0,1,0,0,0
20200310,false,0,0,0,0,0,0,8,1,5,0,1,0
20200311,false,0,0,0,0,0,0,9,1,1,1,0,0
20200312,false,0,0,0,0,0,0,17,2,8,1,1,0
20200313,false,0,0,0,0,0,0,30,4,13,2,2,0
20200314,false,0,0,0,0,0,0,30,4,0,4,0,0
20200315,false,1,0,1,0,0,0,45,5,15,4,2,0
20200316,false,1,0,0,0,0,0,51,6,6,6,1,1
20200317,false,1,0,0,0,0,0,67,8,16,7,2,1
20200318,false,1,0,0,0,0,0,77,9,10,8,1,1
20200319,false,2,0,1,0,0,0,94,11,17,10,2,1
20200320,false,2,0,0,0,0,0,114,13,20,11,2,1
20200321,false,2,0,0,0,0,0,152,18,38,12,4,1
20200322,false,3,0,1,0,0,0,219,26,67,17,8,2
20200323,false,6,1,3,0,0,0,254,30,35,25,4,3
20200324,false,7,1,1,1,0,0,290,34,36,29,4,3
20200325,false,9,1,2,1,0,0,391,46,101,32,12,4
20200326,false,13,2,4,1,0,0,460,54,69,45,8,5
20200327,false,14,2,1,2,0,0,604,71,144,52,17,6
20200328,false,17,2,3,2,0,0,739,87,135,70,16,8
20200329,false,22,3,5,2,1,0,890,104,151,84,18,10
20200330,false,25,3,3,3,0,0,1020,120,130,96,15,11
