date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200316,false,0,0,0,0,0,0,1,10,0,0,0,0
20200317,false,0,0,0,0,0,0,2,19,1,1,10,10
20200318,false,0,0,0,0,0,0,2,19,0,0,0,0
20200319,false,0,0,0,0,0,0,3,29,1,1,10,10
20200320,false,0,0,0,0,0,0,3,29,0,0,0,0
20200321,false,0,0,0,0,0,0,6,57,3,3,29,29
20200322,false,0,0,0,0,0,0,6,57,0,0,0,0
20200323,false,0,0,0,0,0,0,17,162,11,11,105,105
20200324,false,0,0,0,0,0,0,17,162,0,2,0,19
20200325,false,0,0,0,0,0,0,17,162,0,2,0,19
20200326,false,0,0,0,0,0,0,17,162,0,2,0,19
20200327,false,0,0,0,0,0,0,19,181,2,2,19,19
20200328,false,0,0,0,0,0,0,22,210,3,2,29,19
20200329,false,0,0,0,0,0,0,23,219,1,2,10,19
20200330,false,0,0,0,0,0,0,30,286,7,2,67,19
20200331,false,0,0,0,0,0,0,30,286,0,2,0,19
20200401,false,0,0,0,0,0,0,30,286,0,2,0,19
20200402,false,0,0,0,0,0,0,33,315,3,2,29,19
20200403,false,0,0,0,0,0,0,38,362,5,2,48,19
20200404,false,0,0,0,0,0,0,40,381,2,3,19,29
20200405,false,1,10,1,0,10,0,42,400,2,3,19,29
20200406,false,1,10,0,0,0,0,43,410,1,3,10,29
20200407,false,1,10,0,0,0,0,43,410,0,2,0,19
20200408,false,1,10,0,0,0,0,45,429,2,2,19,19
20200409,false,1,10,0,0,0,0,46,438,1,2,10,19
20200410,false,1,10,0,0,0,0,50,477,4,2,38,19
20200411,false,1,10,0,0,0,0,51,486,1,2,10,19
20200412,false,1,10,0,0,0,0,51,486,0,2,0,19
20200413,false,1,10,0,0,0,0,51,486,0,1,0,10
20200414,false,1,10,0,0,0,0,51,486,0,1,0,10
20200415,false,1,10,0,0,0,0,51,486,0,1,0,10
20200416,false,1,10,0,0,0,0,51,486,0,1,0,10
20200417,false,2,19,1,0,10,0,51,486,0,1,0,10
20200418,false,3,29,1,0,10,0,53,505,2,0,19,0
20200419,false,3,29,0,0,0,0,53,505,0,0,0,0
20200420,false,3,29,0,0,0,0,53,505,0,0,0,0
20200421,false,3,29,0,0,0,0,54,515,1,0,10,0
20200422,false,3,29,0,0,0,0,54,515,0,0,0,0
20200423,false,3,29,0,0,0,0,54,515,0,0,0,0
20200424,false,3,29,0,0,0,0,54,515,0,0,0,0
20200425,false,3,29,0,0,0,0,55,524,1,0,10,0
20200426,false,4,38,1,0,10,0,57,543,2,0,19,0
20200427,false,4,38,0,0,0,0,59,562,2,1,19,10
20200428,false,4,38,0,0,0,0,59,562,0,1,0,10
20200429,false,4,38,0,0,0,0,62,591,3,1,29,10
20200430,false,4,38,0,0,0,0,66,629,4,1,38,10
20200501,false,4,38,0,0,0,0,66,629,0,2,0,19
20200502,false,4,38,0,0,0,0,66,629,0,2,0,19
20200503,false,4,38,0,0,0,0,66,629,0,2,0,19
20200504,false,4,38,0,0,0,0,66,629,0,1,0,10
20200505,false,4,38,0,0,0,0,66,629,0,1,0,10
20200506,false,4,38,0,0,0,0,66,629,0,1,0,10
20200507,false,4,38,0,0,0,0,66,629,0,1,0,10
20200508,false,4,38,0,0,0,0,68,648,2,0,19,0
20200509,false,4,38,0,0,0,0,68,648,0,0,0,0
20200510,false,4,38,0,0,0,0,69,658,1,0,10,0
20200511,false,5,48,1,0,10,0,69,658,0,0,0,0
20200512,false,6,57,1,0,10,0,69,658,0,0,0,0
20200513,false,6,57,0,0,0,0,69,658,0,0,0,0
20200514,false,6,57,0,0,0,0,69,658,0,0,0,0
20200515,false,6,57,0,0,0,0,69,658,0,0,0,0
20200516,false,6,57,0,0,0,0,69,658,0,0,0,0
20200517,false,6,57,0,0,0,0,69,658,0,0,0,0
20200518,false,6,57,0,0,0,0,69,658,0,0,0,0
20200519,false,6,57,0,0,0,0,69,658,0,0,0,0
20200520,false,6,57,0,0,0,0,69,658,0,0,0,0
20200521,false,6,57,0,0,0,0,69,658,0,0,0,0
20200522,false,6,57,0,0,0,0,69,658,0,0,0,0
20200523,false,6,57,0,0,0,0,69,658,0,0,0,0
20200524,false,6,57,0,0,0,0,69,658,0,0,0,0
20200525,false,6,57,0,0,0,0,69,658,0,0,0,0
20200526,false,6,57,0,0,0,0,69,658,0,0,0,0
20200527,false,6,57,0,0,0,0,69,658,0,0,0,0
20200528,false,6,57,0,0,0,0,69,658,0,0,0,0
20200529,false,6,57,0,0,0,0,69,658,0,0,0,0
20200530,false,6,57,0,0,0,0,69,658,0,0,0,0
20200531,false,6,57,0,0,0,0,69,658,0,0,0,0
20200601,false,6,57,0,0,0,0,70,667,1,0,10,0
20200602,false,6,57,0,0,0,0,70,667,0,0,0,0
20200603,false,6,57,0,0,0,0,70,667,0,0,0,0
20200604,false,6,57,0,0,0,0,71,677,1,0,10,0
20200605,false,6,57,0,0,0,0,71,677,0,0,0,0
20200606,false,6,57,0,0,0,0,71,677,0,0,0,0
20200607,false,6,57,0,0,0,0,71,677,0,0,0,0
20200608,false,6,57,0,0,0,0,71,677,0,0,0,0
20200609,false,6,57,0,0,0,0,71,677,0,0,0,0
20200610,false,6,57,0,0,0,0,72,686,1,0,10,0
20200611,false,6,57,0,0,0,0,72,686,0,0,0,0
20200612,false,6,57,0,0,0,0,72,686,0,0,0,0
20200613,false,6,57,0,0,0,0,72,686,0,0,0,0
20200614,false,6,57,0,0,0,0,72,686,0,0,0,0
20200615,false,6,57,0,0,0,0,73,696,1,0,10,0
20200616,false,6,57,0,0,0,0,73,696,0,0,0,0
20200617,false,6,57,0,0,0,0,73,696,0,0,0,0
20200618,false,6,57,0,0,0,0,73,696,0,0,0,0
20200619,false,6,57,0,0,0,0,74,705,1,0,10,0
20200620,false,6,57,0,0,0,0,74,705,0,0,0,0
20200621,false,6,57,0,0,0,0,76,724,2,0,19,0
20200622,false,6,57,0,0,0,0,76,724,0,1,0,10
20200623,false,6,57,0,0,0,0,76,724,0,0,0,0
20200624,false,6,57,0,0,0,0,78,743,2,0,19,0
20200625,false,6,57,0,0,0,0,80,763,2,1,19,10
20200626,false,6,57,0,0,0,0,81,772,1,1,10,10
20200627,false,6,57,0,0,0,0,81,772,0,1,0,10
20200628,false,6,57,0,0,0,0,81,772,0,1,0,10
20200629,false,6,57,0,0,0,0,81,772,0,1,0,10
20200630,false,6,57,0,0,0,0,84,801,3,1,29,10
20200701,false,6,57,0,0,0,0,90,858,6,1,57,10
20200702,false,6,57,0,0,0,0,92,877,2,2,19,19
