date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200303,false,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,1,0,1,1,0
20200305,false,0,0,0,0,0,1,0,0,0,0
20200306,false,0,0,0,0,0,1,0,0,0,0
20200307,false,0,0,0,0,0,1,0,0,0,0
20200308,false,0,0,0,0,0,1,0,0,0,0
20200309,false,0,0,0,0,0,1,0,0,0,0
20200310,false,0,0,0,0,0,2,0,1,1,0
20200311,false,0,0,0,0,0,3,1,1,0,0
20200312,false,0,0,0,0,0,9,2,6,0,0
20200313,false,0,0,0,0,0,23,4,14,1,0
20200314,false,0,0,0,0,0,23,4,0,3,1
20200315,false,0,0,0,0,0,37,6,14,3,1
20200316,false,0,0,0,0,0,56,10,19,5,1
20200317,false,0,0,0,0,0,83,14,27,8,1
20200318,false,0,0,0,0,0,121,21,38,12,2
20200319,false,0,0,0,0,0,174,30,53,17,3
20200320,false,3,1,3,0,0,235,40,61,24,4
20200321,false,4,1,1,0,0,315,54,80,30,5
20200322,false,4,1,0,1,0,425,73,110,42,7
20200323,false,5,1,1,1,0,466,80,41,55,9
20200324,false,5,1,0,1,0,525,90,59,59,10
20200325,false,7,1,2,1,0,667,115,142,63,11
20200326,false,8,1,1,1,0,806,138,139,78,13
20200327,false,13,2,5,1,0,969,166,163,90,15
20200328,false,13,2,0,1,0,1134,195,165,105,18
20200329,false,13,2,0,1,0,1276,219,142,117,20
20200330,false,14,2,1,1,0,1422,244,146,122,21
20200331,false,16,3,2,1,0,1585,272,163,137,24
20200401,false,24,4,8,2,0,1821,313,236,151,26
20200402,false,31,5,7,2,0,2040,350,219,165,28
20200403,false,37,6,6,3,1,2263,389,223,176,30
20200404,false,56,10,19,3,1,2476,425,213,185,32
20200405,false,68,12,12,6,1,2643,454,167,192,33
20200406,false,77,13,9,8,1,2866,492,223,195,33
20200407,false,92,16,15,9,2,3064,526,198,206,35
20200408,false,99,17,7,11,2,3279,563,215,211,36
20200409,false,111,19,12,11,2,3443,591,164,208,36
20200410,false,128,22,17,11,2,3665,629,222,200,34
20200411,false,137,24,9,13,2,3822,656,157,200,34
20200412,false,144,25,7,12,2,3964,681,142,192,33
20200413,false,154,26,10,11,2,4080,701,116,189,32
20200414,false,170,29,16,11,2,4246,729,166,173,30
20200415,false,182,31,12,11,2,4453,765,207,169,29
20200416,false,197,34,15,12,2,4636,796,183,168,29
20200417,false,205,35,8,12,2,4839,831,203,170,29
20200418,false,211,36,6,11,2,5013,861,174,168,29
20200419,false,220,38,9,11,2,5176,889,163,170,29
20200420,false,230,40,10,11,2,5353,919,177,173,30
20200421,false,242,42,12,11,2,5509,946,156,182,31
20200422,false,246,42,4,10,2,5766,990,257,180,31
20200423,false,257,44,11,9,2,6011,1032,245,188,32
20200424,false,262,45,5,9,2,6364,1093,353,196,34
20200425,false,266,46,4,8,1,6715,1153,351,218,37
20200426,false,272,47,6,8,1,6963,1196,248,243,42
20200427,false,281,48,9,7,1,7161,1230,198,255,44
20200428,false,300,52,19,7,1,7391,1269,230,258,44
20200429,false,308,53,8,8,1,7660,1316,269,269,46
20200430,false,316,54,8,9,2,8052,1383,392,271,47
20200501,false,327,56,11,8,1,8550,1468,498,292,50
20200502,false,334,57,7,9,2,8920,1532,370,312,54
20200503,false,339,58,5,10,2,9227,1585,307,315,54
20200504,false,340,58,1,10,2,9538,1638,311,323,55
20200505,false,353,61,13,8,1,9896,1700,358,340,58
20200506,false,362,62,9,8,1,10262,1762,366,358,61
20200507,false,374,64,12,8,1,10621,1824,359,372,64
20200508,false,384,66,10,8,1,11030,1894,409,367,63
20200509,false,398,68,14,8,1,11402,1958,372,354,61
20200510,false,400,69,2,9,2,11694,2008,292,355,61
20200511,false,409,70,9,9,2,11920,2047,226,352,60
20200512,false,418,72,9,10,2,12131,2083,211,340,58
20200513,false,421,72,3,9,2,12449,2138,318,319,55
20200514,false,434,75,13,8,1,12869,2210,420,312,54
20200515,false,445,76,11,9,2,13344,2292,475,321,55
20200516,false,453,78,8,9,2,13878,2384,534,331,57
20200517,false,453,78,0,8,1,14257,2449,379,354,61
20200518,false,459,79,6,8,1,14442,2480,185,366,63
20200519,false,467,80,8,7,1,14692,2523,250,360,62
20200520,false,481,83,14,7,1,15269,2622,577,366,63
20200521,false,487,84,6,9,2,15792,2712,523,403,69
20200522,false,496,85,9,8,1,16340,2806,548,418,72
20200523,false,507,87,11,7,1,16843,2893,503,428,74
20200524,false,510,88,3,8,1,17253,2963,410,424,73
20200525,false,514,88,4,8,1,17571,3018,318,428,74
20200526,false,517,89,3,8,1,17867,3069,296,447,77
20200527,false,539,93,22,7,1,18513,3180,646,454,78
20200528,false,550,94,11,8,1,19077,3276,564,463,80
20200529,false,568,98,18,9,2,19843,3408,766,469,81
20200530,false,588,101,20,10,2,20382,3501,539,500,86
20200531,false,592,102,4,12,2,20564,3532,182,506,87
20200601,false,595,102,3,12,2,20736,3561,172,473,81
20200602,false,607,104,12,12,2,21155,3633,419,452,78
20200603,false,616,106,9,13,2,21661,3720,506,470,81
20200604,false,626,108,10,11,2,22193,3812,532,450,77
20200605,false,633,109,7,11,2,22599,3881,406,445,76
20200606,false,645,111,12,9,2,22937,3939,338,394,68
20200607,false,647,111,2,8,1,23212,3987,275,365,63
20200608,false,646,111,-1,8,1,23434,4025,222,378,65
20200609,false,661,114,15,7,1,23734,4076,300,385,66
20200610,false,671,115,10,8,1,24070,4134,336,368,63
