date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,0,0,0,0
20200313,false,0,0,0,0,0,0,0,0,0,0
20200314,false,0,0,0,0,0,0,0,0,0,0
20200315,false,0,0,0,0,0,0,0,0,0,0
20200316,false,0,0,0,0,0,0,0,0,0,0
20200317,false,0,0,0,0,0,0,0,0,0,0
20200318,false,0,0,0,0,0,1,1,1,0,1
20200319,false,0,0,0,0,0,2,1,1,0,1
20200320,false,0,0,0,0,0,7,4,5,0,3
20200321,false,0,0,0,0,0,11,6,4,1,2
20200322,false,0,0,0,0,0,12,7,1,2,1
20200323,false,0,0,0,0,0,16,9,4,2,2
20200324,false,0,0,0,0,0,20,11,4,2,2
20200325,false,0,0,0,0,0,39,22,19,3,11
20200326,false,0,0,0,0,0,51,29,12,5,7
20200327,false,0,0,0,0,0,76,43,25,7,14
20200328,false,0,0,0,0,0,96,54,20,10,11
20200329,false,0,0,0,0,0,113,63,17,12,10
20200330,false,1,1,1,0,1,126,71,13,14,7
20200331,false,1,1,0,0,0,162,91,36,16,20
20200401,false,1,1,0,0,0,191,107,29,20,16
20200402,false,2,1,1,0,1,217,121,26,22,15
20200403,false,2,1,0,0,0,237,133,20,24,11
20200404,false,2,1,0,0,0,282,158,45,23,25
20200405,false,3,2,1,0,1,324,181,42,27,24
20200406,false,4,2,1,0,1,345,193,21,30,12
20200407,false,4,2,0,0,0,412,231,67,31,37
20200408,false,4,2,0,0,0,462,259,50,36,28
20200409,false,5,3,1,0,1,523,293,61,39,34
20200410,false,5,3,0,0,0,554,310,31,44,17
20200411,false,5,3,0,0,0,577,323,23,45,13
20200412,false,8,4,3,0,2,611,342,34,42,19
20200413,false,9,5,1,1,1,626,350,15,41,8
20200414,false,9,5,0,1,0,640,358,14,40,8
20200415,false,10,6,1,1,1,702,393,62,33,35
20200416,false,13,7,3,1,2,739,414,37,34,21
20200417,false,13,7,0,1,0,754,422,15,31,8
20200418,false,16,9,3,1,2,785,439,31,29,17
20200419,false,18,10,2,2,1,863,483,78,30,44
20200420,false,24,13,6,1,3,902,505,39,36,22
20200421,false,26,15,2,2,1,914,511,12,39,7
20200422,false,26,15,0,2,0,939,525,25,39,14
20200423,false,29,16,3,2,2,967,541,28,34,16
20200424,false,32,18,3,2,2,988,553,21,33,12
20200425,false,32,18,0,3,0,1020,571,32,33,18
20200426,false,34,19,2,2,1,1044,584,24,34,13
20200427,false,36,20,2,2,1,1063,595,19,26,11
20200428,false,37,21,1,2,1,1079,604,16,23,9
20200429,false,38,21,1,2,1,1095,613,16,24,9
20200430,false,41,23,3,2,2,1118,626,23,22,13
20200501,false,46,26,5,2,3,1136,636,18,22,10
20200502,false,48,27,2,2,1,1169,654,33,21,18
20200503,false,50,28,2,2,1,1191,666,22,21,12
20200504,false,50,28,0,2,0,1206,675,15,21,8
20200505,false,50,28,0,2,0,1238,693,32,20,18
20200506,false,50,28,0,2,0,1248,698,10,23,6
20200507,false,51,29,1,2,1,1287,720,39,22,22
20200508,false,51,29,0,1,0,1310,733,23,24,13
20200509,false,53,30,2,1,1,1335,747,25,25,14
20200510,false,54,30,1,1,1,1360,761,25,24,14
20200511,false,54,30,0,1,0,1366,764,6,24,3
20200512,false,57,32,3,1,2,1371,767,5,23,3
20200513,false,58,32,1,1,1,1398,782,27,19,15
20200514,false,60,34,2,1,1,1427,798,29,21,16
20200515,false,62,35,2,1,1,1441,806,14,20,8
20200516,false,64,36,2,2,1,1457,815,16,19,9
20200517,false,67,37,3,2,2,1490,834,33,17,18
20200518,false,67,37,0,2,0,1491,834,1,19,1
20200519,false,68,38,1,2,1,1509,844,18,18,10
20200520,false,69,39,1,2,1,1545,865,36,20,20
20200521,false,70,39,1,2,1,1593,891,48,21,27
20200522,false,71,40,1,1,1,1616,904,23,24,13
20200523,false,72,40,1,1,1,1717,961,101,25,57
20200524,false,72,40,0,1,0,1759,984,42,37,24
20200525,false,72,40,0,1,0,1774,993,15,38,8
20200526,false,74,41,2,1,1,1854,1037,80,40,45
20200527,false,74,41,0,1,0,1867,1045,13,49,7
